likes,about_post,date,type,comments,tagged_names
19257.0," aashnashroff Verified Dressingupandfestivitiesgohand-in-handfor andme,quiteliterally!😉  Pairingourfavourite watcheswithourfestivelooksthis#DWALI🪔  Shoptwoproductsandget10%offonthewebsite,additionallyusemycode‘AASHNAXDW’for15%off💃 20h",20 HOURS AGO,post,54.0,  @masoomminawala @danielwellington
25695.0, aashnashroff Verified Goodshoestakeyougoodplaces&I’msurethesewilltoo😉  Sportingapairfrom newcollectionoftheirSkechersD’lites!👟#OriginalsKeepMoving 1d,1 DAY AGO,post,100.0,  @skechersindia’s
20700.0," aashnashroff Verified #GucciBloomAmbrosiaDiFioriby isaperfumedeepenedinarefinedEaudeParfumIntense🌹  TheblendbeginsfromtheoriginalGucciBloomEaudeParfumanditstrioofnobleandrareflowers;JasmineBudextract,TuberoseandRangoonCreeper,enhancedbytwonewingredientsthatradiatewitheleganceandfemininity;OrrisandDamascenaRose.Discover AmbrosiaDiFiori,nowonNykaa.  #InBloom#GucciBeauty 1d",1 DAY AGO,post,87.0,  @alessandro_michele @gucci
16202.0," aashnashroff Verified SoItriedthenewKWaterInstantGlossBlowDryby andIthinkivefoundmyhairfixformylastminuteshoots!It’sasuperquickin-salonwashandblowdryservice,andleavesyourhairsomuchshiner.  Headtothenewest openedatLokhandwalaforanamazing yournearestsalononwww.kerastase.in  #DareToShine#KerastaseIndia#KerastaseClub#geetanjalisalon#ad 2d",2 DAYS AGO,post,143.0,"  @kerastase_official, @geetanjalisalon @experience. israni.sumit  Find"
21122.0," aashnashroff Verified Aftereverythingthisyearhastaughtus,allIwanttodonowiscozyupwitheveryoneIloveandmakesurewhat’sleftoftheyearis#BrighterThanEver✨  Ofcourse,theseasonwon’tbecompletewithoutPreetimasiandmeinourfestivebestsfrom ❤️  #HMIndia#ad  🎥 ",3 DAYS AGO,post,147.0,  @hm @jvfilms_ 3d
31193.0, aashnashroff Verified Igotthatfestivefeeling💥  Wearing & 🤩 4d,4 DAYS AGO,post,71.0,  @payalsinghal @dior
25478.0, aashnashroff Verified HavingalittledramaticsareemomentwiththemostbeautifulbeadedLadyDior🕊  #Dior#LadyDior 5d,5 DAYS AGO,post,112.0, 
20846.0," aashnashroff Verified 3LadyDiors,3Festivelooks💥  NothinglikeaclassicLadyDiortocompleteanyfestivelook!Whichone’syour #Dior#LadyDior  Outfits: Look1 2 3  ",5 DAYS AGO,post,118.0,  @favourite?  dior @picchika Look @theq_amritdawani Look @payalsinghal  🎥 @jvfilms_ 5d
24853.0," aashnashroff Verified 1gorggg scarf,5ways!🤩  NoonedoessilkscarveslikeHermès,andIabsolutelyfellinlovewiththeprintofthisone!Styleditasatop,belt,headband,ahandbagaccessoryandthecutestDIYholidaybag!Whichwayisyourfavourite? 5d",5 DAYS AGO,post,108.0,  @hermes
103024.0," aashnashroff Verified Callingitadaywithsomeskincare.YouknowIabsolutelyLOVEmy CrystalMicroEssence,andtheirnewRevitaliftCrystalMicroessencesheetmaskisbasicallytheessenceonacushiontissuemask,thatdeeplyhydrates&balancesthehydrationoftheskin!Nobetterwaytogetreadyforbed💤  #itscrystalclear#crystalsheetmasks#skincare 1w",7 DAYS AGO,video,101.0,  @lorealparis
18690.0," aashnashroff Verified Glammedupandsetforthefestiveseasonin LovetheirvarietyofprintsandthenewstylesintheirlatestFestiveCollection! Theyalsohaveagiveawaygoingonrightnow,andallyouhavetodois: -Answerthebelowquestion: ‘WhichcountrydidtheIkatprintoriginatefrom?’ -Follow andDMthemforyouranswerstobeconsidered! Winnerswillbeannouncedontheofficialpageof  ",7 DAYS AGO,post,86.0,  @myprojecteve! @myprojecteve @myprojecteve!☺️  🎥 @jvfilms_ 1w
46088.0," aashnashroff Verified Justanotherdaywithmylifesizebouquet💐 you’reonthelookoutfortheperfectfloralarrangementstogiftthisseason,theydosomeofthemostbeautifulbouquets! 1w",NOVEMBER 3,post,44.0,  @flowerlabindia  If
30866.0, aashnashroff Verified Backtomy#AssembleMyEnsemblevideos🥳Howprettyisthisoutfit?😍  Kurtawornasadress: andearrings: charmnecklace: : & : : #CAIxAashna‘I’mStrapped’inYellow Onmylips: Bombshell&Crush 1w,NOVEMBER 2,post,119.0,  @labelritukumar Choker @zara Leo @misho_designs Bracelets @danielwellington @outhousejewellery Bag @dior Shoes @thecaistore @hudabeauty
17118.0," aashnashroff Verified Twinningwithmyfavouritemascara😅❤️  Everyday’sagoodlashdaywhenyou’reusing LashParadisemascara!Instantvolume,andyou’llnoticesuchadramaticdifference.Onceyoutryit,there’shonestlynogoingback!  #LashParadiseMascara 1w",OCTOBER 30,post,139.0,  @lorealparis’
15372.0," aashnashroff Verified Dayoutwithmynewfavouritehairtool,the Corrale!IcannottellyouhowmuchtheCorralehaschangedmylife!It’sportable,cordless,reducesdamagetoyourhairby50%,andmyhairhonestlyhasn’tfeltbetterorlookedhealthier(giventhatIputmyhairthroughquiteabitwithallthebleachandcolour)  StaytunedforadetailedvideoonhowIusetheCorraleforallmyhairstylingneeds,andwhyitgoeseverywherewithme!❤️  #DysonCorrale#DysonIndia#DysonHair  📸 ",OCTOBER 30,post,126.0,  @dyson_india @jvfilms_ 1w
21590.0," aashnashroff Verified Justwalkingaroundthecityinthebiggest,mostbeautifulbouquetofflowersI’veever noonedoesflowerarrangementsquitelikeyou😍  Also,couldn’tthinkofamoreaptsongtogowiththis😅 1w",OCTOBER 28,post,191.0,"  @seen!flowerlabindia,"
12423.0,"  wetbrushesaretheperfectwaytodetanglewethairwhileavoidingbreakage,soIstartedwiththewetbrush,andthencombedoutmycurlswiththeFinishingBrushforamorenaturallook,andvoila!Lovehowmyhairturnedout😍  GIVEAWAYTIME!  Toenter,answerthequestioninthecommentsbelow: WhichTangleTeezerwouldyouliketoWINforyourhairtype&why?  -3LuckyWinnerswillwintheirfavouriteTangleTeezerHairBrush -Tag3friends&getthemtoplay -Durationofcontest:4Days  GetyourhandsonTangleTeezerbrusheson ",OCTOBER 27,post,206.0,  @aashnashroff Verified tangleteezer’s @mynykaa! 2w
27256.0, aashnashroff Verified BeenspendingmoretimefiguringoutwhatjewellerytolayereverydaythanIdoonmymakeup😅 2w,OCTOBER 26,post,65.0, 
20515.0," aashnashroff Verified Alldressedupandsoexcitedfor digitalshowcaseforthefinaleof tonight!I’vealwayslovedtheirdesigns,andcannotwaittoseewhatthey’vegotinstoreforustoday🧡  Hopeyou’rejoiningmeat8pm!☺️ 2w",OCTOBER 25,post,127.0,  @saakshakinni’s @lakmefashionwk
14872.0," aashnashroff Verified Ionlywantgoodvibes🎵☺️  Showingyouoneofmymostversatilepairofshoesfromour#CAIxAashnacollectioninactiontoday!‘StringsAttached’comeswith2pairsofstringsattached,oneinacolourfulprint,andtheotherisjute,tomatchtherestoftheshoe,andyoucanalsowearitasis,withoutthestraps!❤️ details: Pyjamasare 1 Linenjacket&shortsset: abikinitopinside(notsurewhereit’sfrom)  Look2 Topandjeans: : 3 Dress:  ",OCTOBER 25,post,165.0,  @thecaistore  Outfit @hm  Look @hm Wearing @zara Bag @dior  Look @hm  📸- @jvfilms_ 2w
