likes,about_post,date,type,comments,tagged_names
29294.0, aditi_budhathoki Verified 💄☀️ 1d,1 DAY AGO,post,367.0, 
38798.0, aditi_budhathoki Verified waitingformypizzalike🤪 2d,2 DAYS AGO,post,152.0, 
17689.0, aditi_budhathoki Verified TuMeraNahihits15million🥰😍already.Thankyouallforthelove&support. i'moverwhelmedbyallthepositivecomments.keepthelovecoming💜🙏🏻   #tumeranahi#aditians 2d,2 DAYS AGO,post,378.0,  @amaal_mallik @sonymusicindia @arifkhan09 #gratitude
34053.0, aditi_budhathoki Verified foundtheperfectpictureforShaadi.com🙊🤪 3d,3 DAYS AGO,post,402.0, 
37545.0, aditi_budhathoki Verified It'shotchocolateweather❄️ 5d,5 DAYS AGO,post,482.0, 
52773.0, aditi_budhathoki Verified 🧚‍♀️ 6d,6 DAYS AGO,post,51.0, 
6014.0," aditi_budhathoki Verified postofAppreciation💜🙏🏻 Thankyou isveryspecialtome,lotsoflove&bestwishes🌟shineon 1w",7 DAYS AGO,post,488.0,  @venkatsiddhu This
46375.0, aditi_budhathoki Verified betheprincessofyourownfairytale🧚‍♀️ outfit:   ,NOVEMBER 17,post,201.0,  @siwangiofficial jewellery: @kuberjewellers 📸: @aayyuus #traditional 1w
32366.0, aditi_budhathoki Verified Myfirstreel☺️  #reelitfeelit#reels#tumeranahi 1w,NOVEMBER 15,post,292.0, 
35394.0, aditi_budhathoki Verified नारीinसाड़ी wearing: by: ,NOVEMBER 15,post,268.0,  @siwangiofficial shot @aayyuus hairstylist_durga 1w
34978.0, aditi_budhathoki Verified Toloveandbelovedistofeelthesunfrombothsides🌟  📸  ,NOVEMBER 15,post,392.0,  @nischalphotography outfit: @zuri.ktm 1w
34582.0, aditi_budhathoki Verified Happydiwali🪔🥰 HappyTihar🪔🥰 #festival#lights#blessings#diwali2020 1w,NOVEMBER 14,post,133.0, 
18701.0," aditi_budhathoki Verified Angel'stihartoday🥰🥰TheBossinourhouse😜 todayiskukurtiharinnepal,weworshipdogs🐶Myfavoritefestival.#kurkurtihar#tihar2020 1w",NOVEMBER 14,post,256.0, 
