likes,about_post,date,type,comments,tagged_names
10138.0, agnijitabanerjee Verified Howmuchhotisthismuchhot!!! 1d,1 DAY AGO,post,168.0, 
12711.0, agnijitabanerjee Verified Ittakesalittlewhiletofiguremeout.. Dress- - - #outfitoftheday#birthdaygirl#dress#dresstoimpress#poser#girly#polkadots#nudemakeup#heels#bdaycelebration#love#life#lifestyleblogger#fashionblogger#fashionista 1w,7 DAYS AGO,post,461.0,  @prettylittlething Heels @riverisland Bag @fendi #bossbabe
25486.0, agnijitabanerjee Verified Everyyearwhenthisdaycomesyouallmakemefeellikeaqueen👸..thanksalotagainguysforallyourlovelywishes! Turning27issurelyfun🤩 Wearing- #happybirthday#babygirl#plt#15thnov 1w,NOVEMBER 15,post,54.0,  @prettylittlething #birthdaygirl
4033.0, agnijitabanerjee Verified MaythisDiwali🪔bringallgoodnessandlighttoyou.. Mayyougetthestrengthtofighttheevilandshinethrough✨ #happydiwali#diwali2020#diwalioutfit#diwalivibes#diwalicelebration#pastelaesthetic#pastelcolours#outfitoftheday#ootd#desigirl 1w,NOVEMBER 14,post,114.0, 
7531.0, agnijitabanerjee Verified AreyoureadyforDiwali🪔??? CozI’m🥰 AlsolaunchingmyClothinglineby15th!!!Yippiebdaygifttomyselfandtoyoualllovelies❤️❤️❤️ Follow- formorefashionupdates!! #diwali#diwali2020#diwalihampers#launchingsoon#myonlinestore#lookbook#staytuned#vocalforlocal#ootd#potd 1w,NOVEMBER 12,post,123.0,  @quenchathirst
12311.0, agnijitabanerjee Verified Rapunzeldays💓 Wearing— Top&denim- - #throwback#photography#prettyinpink#barbiegirl#rapunzel#versace#fashionblogger#fashionstyle#novababe#fashionnova 2w,NOVEMBER 9,post,105.0,  @fashionnova Belt @versace #longhair
9257.0, agnijitabanerjee Verified PeterPantoldmeI’mthecookiehealwayswanted😏 #beingwendy#peterpantheme#disneytshirt#zara#zarawoman#fashionstyle#blogger#beautiful 2w,NOVEMBER 5,post,68.0, 
5972.0," agnijitabanerjee Verified Checkoutthe SportsDri-FitFaceMaskthatisexclusivelydesignedtoensureitisform-fittingstretchfit,super-breathable,reusable,with6-layeranti-bacterialprotectionsystemandquickdrytechnology,&mostdefinitelyaffordable.  Buyyour’stoday-visit    toorderyourGiordanoMask!  #protectivefacemask#giordanosports#masks#giordanoessentials#madeinindia#masksforsafety#vocalforlocal#facemask#giordano#antipollution 3w",NOVEMBER 3,post,185.0,  @Giordanoindia @Giordanoindia @amazonfashionin @myntra @flipkart
8155.0, agnijitabanerjee Verified GuesswhatI’mstaringat👀(funnyanswersonly) 3w,NOVEMBER 2,post,104.0, 
6094.0," agnijitabanerjee Verified Areyouabelieverof“lessismore”??Thenthismonochrome,cut-outdressisforyou!!Wearingthisgorgeousensemblefrommybrand  formoreoutfitinspirations! #quenchathirst#monochromeoutfit#dress#blackandwhite#fashion#fashionstyle 3w",OCTOBER 29,post,102.0,  @quenchathirst Follow @quenchathirst
10284.0," agnijitabanerjee Verified শুভবিজয়াদশমীরপ্রীতি,শুভেচ্ছাওঅভিনন্দন🙏❤️😀🙏 #subhobijoya#aschebochorabarhobe#dashami#family#goodtimes 4w",OCTOBER 27,post,131.0, 
10755.0, agnijitabanerjee Verified SubhoBijoya🙏 HappyDussehra🙏 DurgaPujaforBengalisisnotjustafestival..it’sanemotionwhichwehavecultivatedsincechildhood.Thistimeoftheyearismyfavouriteandthebest4daysoftheyear. Thoughitwasn’tthesamegrandeurthisyearduetocoronabutthefeelingswerethesameandthat’swhatmattersthemost. Aschebochorabarhobe☺️ #subhobijoya#dussehra#durgapuja#2020#kolkata#kolkatadiaries#madurga 4w,OCTOBER 26,post,144.0, 
9169.0, agnijitabanerjee Verified SubhoAshtami🙏 Mysareelook Fullycustomisedby #sareelove#sareesofinstagram#sareeswag#pinkandgrey#poser#ethnicwear#ethinicstyle#durgapuja#mahaashtami#beautiful#desigirl#vocalforlocal#agnijitabanerjee 4w,OCTOBER 24,post,123.0,  @quenchathirst #saree
9071.0, agnijitabanerjee Verified SubhoSaptami🙏 DurgaPujahasstartedandGoddessDurgaisshoweringHerblessingsonus.. Onthisauspiciousoccasion..IwouldliketoannouncethatI’mfinallyturningmydreamintoreality...I’mopeningmyBoutique!!!!! Ohyes!!Youreaditright..it’sallaboutcreatingthesassiestandtheclassiesthautecoutureclothing💋youcanseethedressI’mwearing..it’soneofourbrand’sveryfirstdesign..andI’mveryproudtoshowittoyouall.... Meandmyteamisworkingdayandnighttobringthebesttoyouall..willbelaunchingitverysoon.. thenameis—QuenchAThirst.. launchdaywillbeannouncedsoonwithabigsurprise!!! #quenchathirst#hautecouture#launchingsoon#mydesignercloset#boutique#shoponline#shoplocal#vocalforlocal#vocalforlocalindia#agnijitabanerjee 4w,OCTOBER 23,post,513.0,  @quenchathirst the
34379.0, agnijitabanerjee Verified Lookbeyond💓 4w,OCTOBER 21,post,336.0, 
16623.0, agnijitabanerjee Verified Pinkpoloanddenimshortsissuchaperfection💓 Wearing——— PoloT-shirt- - #tshirt#pink#tommyhilfiger#denim#shorts#fashionstyle#fashionista#fashioninspo#styleoftheday#stylediary#ootd#potd 6w,OCTOBER 12,post,85.0,  @tommyhilfiger Shorts @bershka #polo
