likes,about_post,date,type,comments,tagged_names
2443.0, alexandralapp_ Verified Werbung/AdIlovemymorningritualofhavingacupofteainmycozykitchenandinmy jumpsuitPaulIdon’thavecompromisebetweenstyleandcomfortwhiledoingso!Andnotonlybecause ‘ssupersoftfabricsaremadefrombamboothewholeworldisupsidedownbutbecauseyoucannowshopthe‘LooklikeFriday-FeellikeSunday’–styleswith50%discountusingthecodeALEXANDRA.Witheverypurchaseat you’llreceivetheworld’ssoftestfacemaskasafreegiftandgeneratea1€donationtodie_arche.MyjumpsuitPAULisdefinitely#BabyTapproved!;) #leslunesfamily#foreversunday 6h,6 HOURS AGO,post,13,  @leslunes.de @leslunes.de @leslunes.de
1830.0, alexandralapp_ Verified #tbtParis 18h,18 HOURS AGO,post,43, 
6135.0, alexandralapp_ Verified #tbt❤️ 1d,1 DAY AGO,post,91, 
2363.0, alexandralapp_ Verified Ilovethechristmassyeveningvibesathome!What’syourfavoriteperiodofthedayduringthistime?Havealookatmystoryfordetails✨ 1d,1 DAY AGO,post,39, 
2584.0," alexandralapp_ Verified Werbung/AdGiftingapieceofjewelrytomeisaverypersonalthing.EverytimeIlookatapieceofjewelryIalwaysthinkofthepersonwhogaveittomeandourveryownstory.Jewelrycansendamessageofjoy,loveorhopewhichIthinkespeciallythesedaysarethevaluesweshouldallremindourselvesofandstayfocusedon.Asmultifacetedasitisiconic,the Tcollectionisatangiblereminderoftheconnectionswefeelbutcan'talwayssee.Tomethe TSquareBraceletisareminderofbelongingtogether,loyaltyandtrust–anunbreakableconnectionthatismadetolast.DiscovertheTIFFANYTCOLLECTIONstylesatyour boutiqueandfindtheperfectXMASpresentforthoseclosetoyourheart!#TiffanyFavorites#TiffanyAndCo 2d",2 DAYS AGO,post,209,  @tiffanyandco @tiffanyandco @tiffanyandco
1564.0, alexandralapp_ Verified Vintagevs.Remake!What’syourfavoriteneweditionoficonicfashionitems?#diorsaddlebag 2d,2 DAYS AGO,post,35, 
2053.0, alexandralapp_ Verified Werbung/AdSomedayssimplyscreamforvelvet!Wearingmyheadtotoegreen suitandfeelingreadytoconquerwhatevertheremightcome!#marccain#marccaingirls#fw20 3d,3 DAYS AGO,post,68,  @marccain
1249.0, alexandralapp_ Verified 🛀#metime 3d,3 DAYS AGO,post,62, 
5682.0, alexandralapp_ Verified #elevatorselfie 4d,4 DAYS AGO,post,25, 
3376.0, alexandralapp_ Verified Ayearagotoday ✨ 4d,4 DAYS AGO,post,54,  @bambi_awards
3293.0, alexandralapp_ Verified Traditionalroastgoosedinnerw/myfamily❤️Checkoutmystoryforalookbehindthescenesofourlovelyevening!#lappsters 4d,4 DAYS AGO,post,57, 
