likes,about_post,date,type,comments,tagged_names
2072467.0, aliaabhatt Verified #RRRMovie#RamarajuforBheemOnOct22  Can'twaittojointheteam💙 Await        #WeRRRBack#RRRMovie 5d,5 DAYS AGO,video,2664.0,  @#RamarajuforBheemOnOct22!  ssrajamouli @jrntr @AlwaysRamCharan @ajaydevgn @oliviakmorris @alison_doody @rrrmovie @dvvmovies
1425581.0, aliaabhatt Verified tiptoeifyouwant..buttakethatstep⭐️ 1w,OCTOBER 2,post,8221.0, 
2244486.0, aliaabhatt Verified happybirthday8❤️ 1w,SEPTEMBER 28,post,16900.0, 
868776.0," aliaabhatt Verified Ihavenothinglongornothingwisetosaytoday..Ourtimethisyearhasbeentoorichtofitintoacaption..butIwillsayonething..somethingfromourfavouritefilm...  “Lookinsideyourself,youaremorethanwhatyou’vebecome..rememberwhoyouare..remember!“  happybdaymymufasa..you’reagoodman!neverbelieveanythingelse☀️ 3w",SEPTEMBER 20,post,5152.0, 
884153.0, aliaabhatt Verified happybirthdaymylife☀️ 3w,SEPTEMBER 18,post,3984.0, 
1577373.0," aliaabhatt Verified butIkeepcruising,can’tstopwon’tstopmoving.. 3w",SEPTEMBER 15,post,17900.0, 
1908925.0," aliaabhatt Verified “Youmaynotcontrolalltheeventsthathappentoyou,butyoucandecidenottobereducedbythem,”saidMayaAngelou  📸&📝- ",AUGUST 31,post,17100.0,  @shaheenb 6w
2103473.0, aliaabhatt Verified shotbymylifeline 💛  Dress . Photographer:  by: (styling) Words: ,AUGUST 30,post,19300.0,  @shaheenb @saakshakinni @shaheenb Styling: @samar.rajput05 Assisted @rupangigrover @shaheenb 6w
1300325.0, aliaabhatt Verified Twosisters.Onecover☀️  Photographer:  by: (styling)Coverdesign:  Agency: -Me🙂 Cover: ,AUGUST 30,post,14100.0,  @shaheenb Styling: @samar.rajput05 Assisted @rupangigrover @pinkyakola Words: @shaheenb PR @hypenq_pr H&M @elleindia 6w
1087945.0, aliaabhatt Verified It’sshowtime✨(linkinbio) 6w,AUGUST 28,post,9938.0, 
