likes,about_post,date,type,comments,tagged_names
3481.0," andy_best Verified I'vebeentinkeringwithgear,chargingequipment,backingupfootage-thankstohavingconstantpowerforafewdays.Whatagamechanger!  Iheardgigglingcomingfromacrossthecabin.Ipeekedintoseethegirlsinfull'treatyoself'mode.Mycamerashutterbrokeuptheirlaughter,butseeinghowtheyaresousedtome,barelyflinched.  It'ssoincrediblywarmingtothehearttoseethesetwoenjoyingthemselvestoday.WhilelittleHeliesleepsinamountainofblankets,theygettoreconnect.Theyaresogorgeous.  Thankful.Hopeyou'reallwell. 11h",11 HOURS AGO,post,238, 
7880.0," andy_best Verified Foryears andIhavechosenthisdayspecificallytogetafewlocalingredients,loadupourbackpacks,anddisappearintothetrees.Thebiggestfactorwasknowingourfavoriteplaceswouldbeempty.Andit'snotthatwedidn'twanttospendtimewithfamily.See,incollegewecouldneveraffordtodrivehomebothforThanksgivingandChristmas,sowehadtopickone.Christmaswasourgotoobviously,soonThanksgivingwesoughtoutcomfortinthemountains.Nowwiththecurrentcircumstanceswearestayingput,enjoyingthewonderfulgiftofbeingabletobeinsidealittlecabinupinthemountainsofcalifornia.  I'veneverbeenbigonthisholidayforit'straditionalpracticesofgluttonyandreallyhowitallbegan.Ratherwefocusonandpracticethankfulnessofthehealthwehave,thewonderfulfamilythatsupportus,lovingfriends,andtheblessingsweenjoydaily.GettingoutintonaturereducesthenoiseoftheeverydayandprovidesperspectiveofallthethingsI'mthankfulfor.  I'mthankfulforallofyou.I'mthankfulfortheabilitytosharemyworkwithsomany.WhenIfocusonallthewonderfulthingsthatwehavetobeappreciativeof,it'strulyhumbling.Havealovefilleddayandpassiton.#LeaveABetterTrave+ONE 19h",19 HOURS AGO,post,47,  @ericabest_
8434.0," andy_best Verified Ihavetohammerthishome,thisworkshopisgoingtobeoffthehook.Can'tyouseeyourselfstandinghereshootingthenightskyasIrunupanddownthedunesgettingyoutheperfectshot?!!WellIcan!Comejoinmewearejustabouttocapacity.Covidsafe,permitted,professionallyguided,fivedayjourney.Myfirstever,inthefield AcademyAstroworkshoppoweredby  inBio!Thankyousomuch. 1d",1 DAY AGO,post,32,  @ROAM @PacificOverlander. @fourpointsadventures  Link
11548.0," andy_best Verified Ijustwokeupafterfallingasleepat7.  Wetypicallygetupjustbeforethesunriseandusuallygodownrightaftersunset.Thenintruefashionmyracingmindwakesmesomewhereinthemiddle,soIwriteorreadforawhiletosettlebackdown.  Tonight,Iwasdreamingofthesepeaksandthismoment.Thefreshairpushingpastmyface.Nosoundbutthelightbreezeandthepowderedsnowbeneathmyfeet.Thebrisktemperaturechillsthetipofmynoseandmakesmyeyeswatereversoslightly.HereandinmydreamI'mstandingonMt.HoodlookingoutatMt.Jefferson,bothpeekingoutofaninversionlayerasthesunsetexplodes.There'ssomuchpeaceouthere,Icouldstayforever.  Muchlikeadream,itcalmsthemindtostareintothescene,getlost,thenclosetheeyesanddriftbacktosleep.I'llpostthefullphotoonmystories.Enjoyandgoodnight.  Breathe. 2d",2 DAYS AGO,post,38, 
4042.0," andy_best Verified I'mouthereinthedesertwaitingforyou!Seriously.Ha!  There'sonlyoneseatleftonour Academy+ Astrophotographyworkshop!Ifyou'vebeenonthefenceit'stimetopullthetriggermyfriend.ComehangwithmeinDeathValley!  Ihavecometoreallyenjoyteaching.It'sfuntosharestoriesofmyjourneyandhowI'vehadtofailenoughtogetitright😜.Joinmeinthedesert,wearetakingallprecautionstocreateasafeworkshop.Inquireifyouhavequestions.LinkinBio.Thank   ",2 DAYS AGO,post,79,  @Roam @PacificOverlander @ya!  roam @pacificoverlander @fourpointsadventures 2d
5294.0," andy_best Verified It'sbizarrehowlifeontheroadprovidessucharollercoasterofemotions.Onedayeverythingisbroke,thekidsarescreaming,theweatherisshit,andthenextdayyouareoncloudninesurroundedbybeautifulhumansinanunimaginableplace.Ialwayscompareittoplayinggolf.Ifyouplayanythinglikeme,it'sterriblemostthewayuntilthatonegloriousshot,ortwo😜!It'llkeepyougoingbackforeverandpumpedevenlonger. 3d",3 DAYS AGO,post,47, 
9336.0," andy_best Verified PublicServiceAnnouncement:  I'vebeengettingalotofpushbackaboutmyfamilyandIroamingaroundduringthispandemic.ANDnotstaying'home'.Well,Ineedtocleartheairabitfolks.  I'mnotafraidtosayit.Myhomeismytruckandthosearethecardsthisyeardeltus.ThisyearslightningstrikecaughtuscompletelyoffguardaswealreadyexistedontheroadwhenCovidhit.ItrippedawayalmosteverythingIbuilt,overnight.2020wasgoingtobemybiggestyeartodate,anditwasgoneinablinkofaneye.ManyofyouhavethisstoryandIfeelforyou.I'vebeensellingmycameraequipmentallyearlongjusttosurvive.AllofitinwhichIwillhavetorecoupasworkcomesback,butwillit?Ihavepanicattacksmostdaysthinkingofthistaskandhowmyentirewellbeinghingesoffofmycraftandimagination,butamIthefacebrandswanttoworkwithanymore?Untilthen,wewillcontinuetoliveamobilelifestyle,regardlessifrightnowit'sourchoiceornot.Justremember,bekind!Youdon'tknowanyone'sstoryorneedtoknow.Justbecourteousandgracious.Weareallinthistogether.  Ibelievethefuturewillbebrightforusall.Iamnotgivinguponmydream.Wejusthavetopushthroughthishurdle.Iamstokedonwhat'stocomeandappreciateyouall!  Mywifewrestledmeintosharing(becauseIneverask,friendswillattesttothis)youcansupportbypurchasingaprintonmywebsiteatwww.andy.bestormypatreonwhereIampiecingtogetherapodcastthiswinterathttps://www.patreon.com/Andy_Best.WeappreciateallofyouandthiswillprobablybetakendowntomorrowwhenIfeelbadforsharing🤓 5d",5 DAYS AGO,post,20, 
8446.0," andy_best Verified !Excitingnews here!As FoundingMemberI'mgratefultoshare,TheindustryledRoamAcademy+ andIhavepartnereduponmyupcomingphotoworkshopinDeathValley.  There'snobettertimetosharpenupthoseskillsorjustaddanewonetoyourquiver.Thiswon'tbeyourtypicalworkshopasIwalkyouthroughreallifescenariosofsuccessandfailure,butmostimportantlyeverythingI'velearnedsofar.Allsupportedandhostedbytheexperiencedandwellversedguidesof throughoutoneofmyfavoriteNationalParks.AllwhilechasingtheGeminidMeteorShower!Checkoutthe IGstoriesformore!YoucanalsoheadtothelinkinmyBio andbesureandgetyourspotbeforethey'regone.Thankyou! 5d",5 DAYS AGO,post,32,  @friends!  Andy_Best @Roam @PacificOverlander @PacificOverlander @ROAM @(Andy-Best)
5284.0," andy_best Verified Anupdatefromtheroad.  EarlierthismonthwestoppedoverinBendtoswitchoutgearinthecamperinordertoprepareforwinterinthedesert.Snowfellthedayweleftasweheadedforthecoast.Endeexcitedtohitthebeachesagain,couldn'tstopaskingtostopateveryonewepassed.Helieisgrowingfastatalmost8months.She'snotassmoothapassengerashersisterandherteetharecominginwhichrequiresfrequentstopstogetheroutsidewhereshe'smosthappy.  WetraveleddownOregon'scoastintoCaliforniawherewepostedupforawhilenearSanFrancisco.There'ssomuchbeautyonthecoastit'salmosthardtocomprehend.Massiveelk,deer,beautifulbirdsofprey,andfreshair. iscrushingschoolcourseswithEnde.She'slearninghershapes,colors,numbers,thegamut.She'sincrediblysmartandgrowingfast.Listeningtohertalkaboutthedifferencesinterrain,theanimalsshesees,andallthesongsshesingsaboutthemareabsolutelybeautiful.  Wearenowhoveringaroundtheborderawaitingournextproject,ADeathValleyAstrophotographyworkshopnextmonthwherewe'lltravelfivedaysonaguidedtripwithstudentsthroughthedesert,chasingtheGeminidmeteorshower.It'sgoingtobeinsane!Seatsstillopensohurrytheyarelimited(LinkinBio).  FollowingwewillcrosstheborderintoBajajustintimeforChristmaswherewe'llspendthemajorityofthewinterworkingonanotherfilm.I'mexcitedandoptimisticaboutthefutureandthenewyear.Ifeelrefreshedaftersuchadarktimeinmylifeandtheworld.It'sgoingtobewonderful.Followamoreintimatelookofthejourneyoverat andinmyIGstories.Thanksforallthesupport,myfamilyandIgreatlyappreciateit.Moresoon! 5d",5 DAYS AGO,post,23,  @ericabest_ @Lone.Bison
5146.0," andy_best Verified THISONEgoesouttomybuddyJohnWallerat whowasrecentlydiagnosedwithadvancedstagesofcancer.Agoodfriendtomeovertheyearsalwayssendingwordsofencouragementalongmyjourney.Theyalwaysseemedtocomeattherighttime.WhetherIwasfullofdoubtorjustinabadway,myphonewouldpingwithanotefromJohn.Howheknew,Idon'tknow.  SevenyearsagoJohnandBrentMcGregortookmetowhatnowhasdisappeared.TheicecavesinMountHood'sSandyGlacier,PureImagination&SnowDragon.Ihadneverdoneanythinglikethatinmylife!JohntoldmeIcouldhandleitandIputtogethermyfirstevermountaineeringkitandpreparedfortheadventure.IspokeofmyfilmaboutthePCTandmydesiretohikeittofigureoutwhoIwas.Ireceivednothingbutwisewordsthewholehikeup.Thenboom!Wewerethere!Itwassuchashocktomysensesthatlookingbackatitall,Ifeelitwasthecatalystformetoleavethecommercialfilmmakingworldandchasetruewonderthatexistsouthere.Ihadahurtkneeandcouldn'tclimbdeepintothecavessoasBrentandJohnwentofftoexplore,Ihungbackshootingtime-lapsesofthemoonriseoutthemouthofSnowDragon.IfeltliketheGrinchstaringoutatthepeoplebelowfeelingevermoredisconnectedwiththeexpectedwayoftheworld.Itwasmyahamoment.Ilistenedtothewaterrushingbyme,rockscominglooseandfallingintothesnakingstream.Thesmellsoficysnowandfreshsoilfilledtheair.Themoonroseandblanketedthesideofthecaveeversoslightly.Mysensesheightened.Ifeltsoalive.  I'mgratefulforthisepiphanymomentandlookingback,it'sevenmorepivotaltomyjourneywitheverypassingday.IhaveJohntothankforthis.HesnappedmeoutofatimeinwhichIwassoconfusedonwhichdirectiontogo.Johnyouareatruestewardoftheland,humanity,andhavebeenachampionformeandsomany.Iknowyouhaveaphenomenalnetwork,justknowtheworldappreciatesyou.Iappreciateyoumorethanyou'lleverknow.Hangintheirmydearfriend.Yourtimehereisnotfinished.  Forwaystohelppleasevisitlinkin profile. 1w",7 DAYS AGO,post,78,  @uncagethesoulproductions @mamorelove
