likes,about_post,date,type,comments,tagged_names
1032.0," ariadibari JusttookaweekoffInstagramonlytopostunpublishedcontentfromlastsummer...Ihaven’tbeenlazy,Iwasjustcookingafewnew designsthatshouldbereleasedverysoon!💃🏻❤️ 5d",5 DAYS AGO,post,42,  @aria.dibari
2026.0," ariadibari 7monthsofnaturalcurlyhairtransition:nowvsApril2020💪🏻WhenIdecidedthatitwastimetogobacktomynaturalcurls,duringthefirstlockdown,myhairwasjustdamagedbeyondrepair.Inadesperateattempttofitin,Ispentthelast15yearsrelaxingandstraighteningmyhairregularly.Myhairwassofried,Istartedtogetbaldspotsonmyscalphereandthere.Italsoreallystruggledtocurlasyoucanseeonthesecondphotobecauseofallthedamagesdone.Afteralmost7months,I’monlystartingtogetsomegoodresults,despitehavingstillalotofdamagedstrands...However,notonlythiswasthebestdecisionItookthisyearbutI’malsoseriouslyconsideringfilmingsomecurlyvideosifitcanhelpsomeofyou❤️ . . . . . . . . #naturalcurls#curlyhair#parisienne#transitioninghair#parisian#frenchsummer#provence#parisianstyle#naturallycurly#parisianchic#frenchfashion#frenchstyle#parisstyle#parisianchic#curlycommunity#howtobeparisian#frenchgirlstyle#floraldress#curlytransition#3acurls#vintagedress#sustainablefashion#softaesthetic#vintageaesthetic#retroaesthetic#vintageootd 1w",NOVEMBER 11,post,94, 
2135.0, ariadibari Memoriesfromlastsummer💫Justbecausethereisnothingmorerewardingthanwearingyourownlabel❤️ 2w,NOVEMBER 8,post,50, 
1860.0, ariadibari ShouldItrytofilmsomereelsandIGTVs?(Curlyhairroutineincluded) . . . . . . . . . . . . #beparisian#lesparisiennesdumonde#mediterraneanlife#naturalcurls#parisianstyle#parisianchic#vintagestyle#vintageefeeling#whowhatwearing#wearthisnext#onparledemode#theparisguru#blogmode#blogueusemode#outfitinspo#parisiennegirl#laparisienne#frenchblogger#frenchvibes#alafrancaise#provence#everydayoutfit#lookdujour 2w,NOVEMBER 4,post,65, 
2822.0, ariadibari FrenchlockdownpartII 3w,OCTOBER 30,post,44, 
1737.0, ariadibari GuesswhohastogobacktoParistomorrowtosignalease?💃🏻 . . . . . . . .  #pursuepretty#lestyleàlafrançaise#simpleandstill#myeverydaymagic#minimalchic#beigepalette#streetstyleparis#theparisianchique#neutralaesthetic#effortlesschic#parisianmood#parisienne#smallmomentsofcalm#styleoftheday#parisstyle#parisparis#lavieparisienne#laparisienne#beparisian#neutralstyle#fallmood#vintagelife#bookworm#frenchvintage#mediterraneanlife#mediterraneanstyle 4w,OCTOBER 24,post,45, 
2854.0," ariadibari Sunday’stiredfaceandmessycurls...Itriedtocutmyowncurlybangs,whichwasthedumbestthingIdidthisyearsofar🤷🏻‍♀️ . . . . . . .  #sundayoutfit#lestyleàlafrançaise#onparledemode#minimalstyle#idano#minimalchic#beigepalette#streetstyleparis#theparisianchique#neutralaesthetic#effortlesschic#parisianmood#parisienne#thefashionforce#styleoftheday#parisstyle#parisparis#lavieparisienne#laparisienne#beparisian#neutralstyle#floraldress#neutraltones#frenchvintage#mediterraneanlife#mediterraneanstyle 6w",OCTOBER 11,post,58, 
1888.0," ariadibari Naturalhairjourneyupdate:after6months,myhairisalmostbacktoahealthystate💃🏻However,mycurlsdecidedtogetallovertheplacelatelybutIdon’tmindit:) (Wearingthecutestfalltopfrom ❤️) 6w",OCTOBER 6,post,103,  @balzacparis
1952.0, ariadibari *Commèremodeactivated* 7w,OCTOBER 5,post,58, 
2193.0, ariadibari Lastsummermemories🌞IrememberthatitwassoearlyinthemorningthatIwasstrugglingtokeepmyeyesopenbutIwantedtoshootthenew designsatallcost! Ps:Igotmyhairshorterthismorning🤫 7w,OCTOBER 1,post,53,  @aria.dibari
