likes,about_post,date,type,comments,tagged_names
5852562.0, notknown,2 DAYS AGO,post,33300.0, 
3811965.0, notknown,2 DAYS AGO,post,12300.0, 
1830745.0, arianagrande Verified 34+35outnow 5d,6 DAYS AGO,post,19000.0, 
4593268.0, arianagrande Verified 34+35outnow 5d,7 DAYS AGO,post,23800.0, 
3263888.0, arianagrande Verified 🤍thanku   loveu 1w,NOVEMBER 14,post,15300.0,  @thundercatmusic @domi_keys @jdbeckmusic
854997.0," arianagrande Verified georgia,thesenaterun-offthisjanuaryissoimportant!weneedu🗳formoreinfopleasevisit   ",NOVEMBER 13,post,0.0,  @newgeorgiaproject @fairfightaction @votesaveamerica 1w
1434986.0," arianagrande Verified wearesohappy,proudandexcited🐈🐕oursitecominsoon🔜follow formore☁️ 1w",NOVEMBER 11,post,7161.0,  @orangetwinsrescue
3730431.0, arianagrande Verified 🤍altphysicalcover🤍positions🤍🌫 1w,NOVEMBER 10,post,19700.0, 
6219566.0, arianagrande Verified 🤍altphysicalcover🤍positions🤍🌫 1w,NOVEMBER 9,post,34300.0, 
1466576.0, arianagrande Verified today’stheday.findyournearestpollingplaceatvotesaveamerica.com/plan. 2w,NOVEMBER 3,post,0.0, 
1031101.0, arianagrande Verified tomorrowiselectionday.save/share/govote!(forBiden)(nolongeraskingorgentlyencouragingbutbegging) 2w,NOVEMBER 2,post,0.0, 
2873548.0, arianagrande Verified thankufromthebottomofmyheart.....thefuck 3w,NOVEMBER 1,post,23200.0, 
1068120.0," arianagrande Verified callingonallmyFloridianfriends,followers,anyofureadingthis.pleaseshowupandhelpusliterallytakeasteptowardssavingdemocracy.bringfriends,headphones,wearmasks,wearafuckinghazmatsuit,dowhateveryouhavetodotomakeitfunandbearableandsafebutpleaseshowupandvote.wereallyreallyneedyou!🗳 3w",OCTOBER 31,post,0.0, 
4430316.0," arianagrande Verified happybestdayoftheyeareveryone!🦇pleasedressup,takephotos,getinyourpjsandstayyourasseshomebcthespookiestthinggoingontonightisstillthismassivepandemic. 3w",OCTOBER 31,post,16400.0, 
811588.0, arianagrande Verified gotovotesave.us/flgotvtoreachouttovotersinFloridathisweekendandhelpmakesureeveryonevotes(forbiden) 3w,OCTOBER 31,post,0.0, 
4774854.0, arianagrande Verified downlikesunsets downlikemyheadonyourchest 3w,OCTOBER 31,post,19300.0, 
3219684.0, arianagrande Verified downlikesunsets downlikemyheadonyourchest 3w,OCTOBER 31,post,14600.0, 
4262931.0, arianagrande Verified 🤍positions(thealbum)isoutnow🤍 3w,OCTOBER 30,post,52400.0, 
