likes,about_post,date,type,comments,tagged_names
73908.0, armaanmalik Verified Showmehowyou’revibingtomylatesttrack‘HowMany’.Tagmeandhashtag#HowManyReelsChallengeandI’llpostmyfavonesonmystory!❤️  #HowMany#ArmaanMalik#Reels#Reelitfeelit 6h,6 HOURS AGO,post,2164.0, 
356924.0, armaanmalik Verified 9MILLIONFOLLOWERSONINSTAGRAM!OURFAMISGROWING&HOW!!LOVEYOUGUYSSOMUCH😱🤩🥳💘 17h,17 HOURS AGO,post,1164.0, 
229582.0, armaanmalik Verified 💙 1d,1 DAY AGO,post,1449.0, 
262572.0, armaanmalik Verified #HowMany🎞 4d,4 DAYS AGO,post,2297.0, 
105879.0," armaanmalik Verified gavethisonemyall.howmanyofficialvideooutnow,gocheckitout!  #howmany#armaanmalik#feelitreelit#reels#musicvideo 5d",5 DAYS AGO,post,3797.0, 
110911.0, armaanmalik Verified Stokedtobeonthedigitalcoverof ,6 DAYS AGO,post,8099.0,  @GQIndia! 6d
161375.0, armaanmalik Verified howmany? 1w,7 DAYS AGO,post,2375.0, 
181259.0," armaanmalik Verified #HowManyoutthisFriday,20thNovember.Pre-savelinkinbio! 1w",NOVEMBER 18,post,4137.0, 
244257.0, armaanmalik Verified Howmanytimeswillwefallapart? 1w,NOVEMBER 17,post,2595.0, 
181030.0, armaanmalik Verified Lookatusnowwhathavewebecome.#hm 1w,NOVEMBER 16,post,1998.0, 
226921.0, armaanmalik Verified We’reondifferentplanets..#hm 1w,NOVEMBER 15,post,4614.0, 
383111.0, armaanmalik Verified HAPPYDIWALI🙏🏻🧿✨ 1w,NOVEMBER 14,post,1620.0, 
267645.0, armaanmalik Verified newselfiesonthenewphone! #iPhone12ProMax#shotoniphone 1w,NOVEMBER 14,post,1257.0, 
386595.0," armaanmalik Verified I’vejusthadthemostunrealyearsofarandthiswinatthe justmadeitbetterbyamillionnotches!ControlismydebutEnglishsingleandtohavereceivedthiskindoflove,support,andrecognitionatagloballevelsoearlyoninmyjourneymakesmereallyemotional.Iwanttothankallmy#Armaaniansacrosstheworldwhovotedformewithoutwhomthiswouldnothavebeenpossible.Theyjustshowermewithsomuchlove,makesmefeelliketheluckiestguyontheplanet!ThiswinisdedicatedtoalltheyoungIndianmusicianswhodaretodreamandworkhardtomakethemcometrue,thisisforyou.Dreamon!❤️🙏🏻 2w",NOVEMBER 9,post,2156.0,  @MTVEMA’s
234384.0," armaanmalik Verified It’salwaysbeenmetakingthecentrestageand supportingmeandbackingme.TodayafteralltheseyearsAmaalhasfinallyreleasedHISdebutsinglewhereheisattheforefrontandIcouldn’tbeprouder😭 It’sreallyanemotionalmomentforthewholefamily.Thisisabigoneforallofus.Goget‘emtiger,thisissuchamassivestartforyouandyournewjourney!Biglovetothe familyforbelievinginyouasanartistandbringingyourtruevoicetotheworld.#TuMeraNahiisoutnoweverywheregolisten,watch,streamandsharethesongandvideo❤️ 2w",NOVEMBER 6,post,1255.0,  @amaal_mallik @sonymusicindia
352680.0," armaanmalik Verified Hopeyouguysenjoyedlastnight’sperformance!Well,ifyoumisseditdon’tworry,youcancatchiton7thNovemberfrom8-9amIST.Herearesomemomentsfromtheepisode     ",NOVEMBER 2,post,1384.0,  @💜 . . jonitamusic @colorstv @jamminofficial @myqyuki @banijayasia 3w
321681.0, armaanmalik Verified sunsetvibes🙌🏼 3w,OCTOBER 30,post,3295.0, 
238153.0, armaanmalik Verified AlmosttwoyearsbackIbumpedintothisgirlatacinemahallinMumbaiandsincethentherewasjustnolookingback.It’sonlycozofherconstantpushthatIevengotmyselftowriteandreleasemyEnglishmusicthatyouheartoday.Happybirthday hopeyouhavethebesttimeofyourlife!thankyouforalwayshavingmybackandcheeringmeupduringmylowestmoments.Icouldn’thaveaskedforabetterfriendthanyou.Here’stomanymorehitsongsandawesomememoriesaheadwithyou👼🏻❤️🍾 4w,OCTOBER 29,post,3683.0,  @nataniamusic
285057.0, armaanmalik Verified eyesontheprize. 4w,OCTOBER 28,post,2932.0, 
334602.0, armaanmalik Verified morninglovewithmybabylion 🦁❤️ 5w,OCTOBER 23,post,4429.0,  @hihandsome08
336494.0, armaanmalik Verified Spec-tacularthenandnow🤓 5w,OCTOBER 21,post,1958.0, 
290160.0, armaanmalik Verified justafewmoodsondisplay🙆🏻‍♂️ 5w,OCTOBER 20,post,4397.0, 
265309.0, armaanmalik Verified Thefirstfivedaysaftertheweekendarealwaysthehardest... 5w,OCTOBER 19,post,3819.0, 
