likes,about_post,date,type,comments,tagged_names
79542.0," aslisona Verified #InternationalGirlChildDay  Feedthemwithlove..Enrichthemwithstrength...becauserasingstrongdaughtersislikereadyingsolidbricks,thatwillhelpbuildabetterworld. 18h",18 HOURS AGO,video,2.0, 
81962.0," aslisona Verified #AbBas🤚🏼  It'stimethatweprotectourowndignityonline,reportmeancommentsandbullies,kyuki#AbBas🤚🏼Let'smakeachangebyfloodingtimelineswithkindnessinstead!       ",1 DAY AGO,video,0.0,  @#IndiaAgainstOnlineHarassment #FullStopToCyberBullying  missionjoshofficial swatilakra40 @sutapasanyal @anjakovacs @mansidhanak @vinavb @studiounees @aasthakhandpur 1d
366428.0, aslisona Verified Happybirthdayyyytomycutiepatoutie!!Itsabigonehaan❤️ 2d,2 DAYS AGO,post,0.0, 
74336.0, aslisona Verified #flashbackfriday:23yearoldmeonmyfirrrrrstevermagazinecover!!!Somethingsneverchange...iSTILLdontfearbutter😂 2d,2 DAYS AGO,post,6.0, 
178950.0, aslisona Verified #unite2fightcoronakyukiyehladaishuruhotihaihumse...isupportthePM’sJanAndolanagainstcovid...and  ,3 DAYS AGO,post,6.0,  @you?  narendramodi @pmoindia mib_india 3d
146251.0," aslisona Verified Beingawoman,yourdignityismostimportant,andthatunfortunatelyisbeingusedagainstusonline!  Aswestruggleforsafetyofwomenbothonthewebandinreallife,it'stimethatwestandtogetheragainstharassment,abuseandcrime,kyuki#AbBas       ",OCTOBER 3,video,5.0,  @✋  swatilakra @sutapasanyal @anjakovacs @mansidhanak @vinavb studiounees @aasthakhandpur @missionjoshofficial  #FullStopToCyberBullying 1w
592031.0, aslisona Verified Happybirthdayyyytomy#1!Ekbacchekimaahogayiparakalnahiaayiabtak...herestonevergrowingup❤️ #crazylady 1w,OCTOBER 2,video,0.0,  @vidhilodhamehra
465912.0, aslisona Verified Whenplayingdressupwasaneverydaything!Styledby and in ❤️ 1w,SEPTEMBER 29,post,5.0,  @mohitrai @miloni_s91 @saakshakinni
200001.0," aslisona Verified Neverstopwandering.Neverstopwondering.Onthis #InternationalDayOfPeaceiwishwecanallmakepeacewitheachother,withnatureandmostlywithourselves🕊 2w",SEPTEMBER 21,post,1.0, 
392461.0, aslisona Verified Yehdoooriyaaaaan....🎶 3w,SEPTEMBER 14,post,2.0, 
368854.0," aslisona Verified 10yearsandcounting...  Icantbelieveitsbeen10wholeyearssinceifirstappearedonthesilverscreen.Irememberbeingsounsureifthisisreallywhatievenwantedtodo...butyouknowwhaterasedallthatdoubt?TheloveIreceivedfromallofYOU!Yourloveencouragedme,yourcriticismpushedmetodobetter.Myhardworksustainedme,andmyrespectformyworknudgedmeforward.Myenthusiasmonsetaidedme,myhungertolearnpropelledme.Hereiam,10yearsdowntheline,sogratefulforeveryfilm,everyexperience-goodorbad,everypersonihaveeverworkedwith!Thankyou!Thankyoutothisindustry,thankyoutomyaudience,andthankyouuniverse!Thisisjustthebeginning... 4w",SEPTEMBER 10,video,1.0, 
142856.0, aslisona Verified Hello!      ,SEPTEMBER 9,post,1.0,  @elleindia @colstonjulian @savleenmanchanda @themadhurinakhale @samar.rajput05 @universal_communications 4w
192380.0,  -The     ,SEPTEMBER 9,video,0.0,  @aslisona Verified elleindia @making!  colstonjulian @savleenmanchanda @themadhurinakhale @samar.rajput05 @universal_communications 4w
120579.0,       ,SEPTEMBER 9,post,2.0,  @aslisona Verified elleindia @colstonjulian @savleenmanchanda @themadhurinakhale @samar.rajput05 @universal_communications 4w
102229.0," aslisona Verified #Repost havealwaysbeentheonetopushmyselfforward,nomatterwhatpeoplearesayingaboutme.I’mverystrongthatway,Ihavetheabilitytolookpastit,”saysourSeptemberdigitalcoverstar Taponthelinkinbioforthefullstory.⁠ .⁠ On Blazer Shoes Alljewellery  /     by: (styling)⁠ PR: #SonakshiSinha#Bollywood#Celebrity⁠ 4w",SEPTEMBER 8,post,4.0,  @elleindia ・・・ “I @aslisona. @aslisona: @marksandspencerindia. @louboutinworld. @misho_designs.⁠ .⁠ Photographer: @colstonjulian @sonyalpha⁠ Make-up: @savleenmanchanda⁠ Hair: @themadhurinakhale⁠ Styling: @samar.rajput05⁠ Words: @manalishah_⁠ Assisted @rupangigrover @universal_communications⁠ .⁠ #ELLESeptember
102525.0," aslisona Verified #Repost thefaceofananti-cyberbullyingcampaign,ourdigitalcoverstar says,“For10years,ItookthevilecommentsthinkingIcan’tdoanythingbecauseIwasn’tawareofthelawsthatareinplace.Alotofwomenfeelliketheremaybeacertainshamethatcomeswithit,ortheyfeellikeit’stootediousaprocess.ButIthinkweneedtostepup,andnotletthishappentoourselves,orothersaroundus.Theminuteyoureportoneperson,you’llprobablybesavingfiftyotherwomengoingthroughthat.”Linkinbioformore. . On Jumpsuit Shoes Necklaceandearrings Rings  /     by: (styling) Actor'sPRagency: #SonakshiSinha#Bollywood#Celebrity 4w",SEPTEMBER 8,post,1.0,  @elleindia ・・・ As @aslisona @aslisona: @rishtabyarjunsaluja. @melissashoesindia. @theslowstudioofficial. @stacfinejewellery. . Photographer: @colstonjulian @sonyalpha Make-up: @savleenmanchanda Hair: @themadhurinakhale Styling: @samar.rajput05 Words: @manalishah_ Assisted @rupangigrover @universal_communications . #ELLESeptember
116567.0," aslisona Verified Via In2016, convertedabedroomintoaprofessionalstudiowitheasels,canvasses,brushes,tools,theworks…“Ididn’tevenknowwhatIwassupposedtodowithitall,Ijustwentballisticstockingmyroom.AndthenwhenIputthecanvason,itjustflowed.Paintingislikemeditationforme,it’sverycathartic,”shesays.Linkinbioformore. . On Topandpants;both X Necklace      by: (styling) Actor'sPRagency: #SonakshiSinha#Bollywood#Celebrity 4w",SEPTEMBER 8,post,7.0,  @elleindia: @aslisona @aslisona: @lovebirds.studio @smokelabofficial. @romanarsinghaniofficial. . Photographer: @colstonjulian Make-up: @savleenmanchanda Hair: @themadhurinakhale Styling: @samar.rajput05 Words: @manalishah_ Assisted @rupangigrover @universal_communications . #ELLESeptember
155891.0," aslisona Verified Via “WhenIwasyounger,IwouldhavereallylikedarolemodeltotellmethatI’mbeautifuljustthewayIam.SowhenIbecameanactor,Iwantedtobethatpersonforothergirls.Itfeelsreallyspecialwhenyounggirlstodaycomeuptomeandsay,‘Wewanttobejustlikeyou’,‘You’resocomfortableinyourskin’.That’stherealachievementforme,”saysourdigitalcoverstar Linkinbioformore. . On Dress Shoes Alljewellery      by: (styling) Actor'sPRagency: #SonakshiSinha#Bollywood#Celebrity 4w",SEPTEMBER 8,post,0.0,  @elleindia: @aslisona. @aslisona: @marksandspencerindia. @louboutinworld. @misho_designs. . Photographer: @colstonjulian Make-up: @savleenmanchanda Hair: @themadhurinakhale Styling: @samar.rajput05 Words: @manalishah_ Assisted @rupangigrover @universal_communications . #ELLESeptember
167807.0," aslisona Verified Via “IthinkI’mmybiggestcheerleader.Ibelievethatifyoudon’tcheerforyourself,ifyoudon’tclapforyourself,it’sgoingtobeverydifficultfortheworldtodoitforyou,”saysourdigitalcoverstar Readthefullstoryvialinkinbio. . On Dress Necklaces      by: (styling) Actor'sPRagency: #SonakshiSinha#Bollywood#Celebrity 4w",SEPTEMBER 8,post,9.0,  @elleindia: @aslisona. @aslisona: @marksandspencerindia. @misho_designs. . Photographer: @colstonjulian Make-up: @savleenmanchanda Hair: @themadhurinakhale Styling: @samar.rajput05 Words: @manalishah_ Assisted @rupangigrover @universal_communications . #ELLESeptember
204339.0," aslisona Verified Ellesbelle!#covergirlinBlazer,pantsandcroppedtop;all Shoes Ringsandnecklaces  makeup hair   by: (styling) Coverdesign: PRagency:  ",SEPTEMBER 8,post,0.0,"  @marksandspencerindia. @louboutinworld. @misho_designs  Photographer: @colstonjulian, @savleenmanchanda, @themadhurinakhale Styling: @samar.rajput05 Words: @manalishah_ Assisted @rupangigrover @pinkyakola Actor's @universal_communications @elleindia 4w"
47131.0, aslisona Verified Asrealasitgets.#producersguildofindia#insolidarity 5w,SEPTEMBER 4,post,3.0, 
