likes,about_post,date,type,comments,tagged_names
488411.0, camila_cabello Verified thankyouMaryOliver 2d,2 DAYS AGO,post,6539.0, 
1955890.0," camila_cabello Verified thankyousomuch forincludingmeinyourwomenoftheyearedition!tomyfansfromIndia,IloveyouandI’vebeendyingtogotoIndiaforalongtimenow.Iloveyourgorgeouscultureandthankyouforsupportingme!happyDiwali❤️ 1w",NOVEMBER 14,post,4365.0,  @vogueindia
1292164.0, camila_cabello Verified iloveyouTarzan💙 1w,NOVEMBER 10,post,3817.0, 
617015.0," camila_cabello Verified Immahaveaguhlassssofwinetonightandmaybethreemore!!!!! todaywefeelasenseofhopeandjoyinourcountryandareliefthatweareleavingbehindthesepainfulandconfusingfouryears.Wehavealotofhealingandworktodoandweallneedtodoourpartandcometogethertokeepbuildingthecountryandthesocietywewanttosee,withlove,empathy,honor,truth,andintegrity.WeneedademocracythattrulyworksforallAmericans. Andtodaywealsohaveahistoricalelectiontocelebrate!!!!!WeelectedtheFirstBlackwomanandthedaughterofSouthAsianandJamaicanimmigrantsasournextVicePresidentoftheUnitedStates!Thankyou forinspiringusall😻❣️❣️❣️❣️ 2w",NOVEMBER 8,post,3727.0,  @kamalaharris
1473074.0, camila_cabello Verified Respect.Honor.Truth.Integrity.Love.Compassion.Kindness.Thankyouforwalkingthewalk and Todayisagoodday!!!!!!!!!!!! 2w,NOVEMBER 7,post,1301.0,  @joebiden @kamalaharris
2323340.0, camila_cabello Verified diademuertos.💚💙🧡💛 2w,NOVEMBER 3,post,19400.0, 
1355838.0, camila_cabello Verified Thisismecopying ‘sphotojournalsbutbetter 3w,NOVEMBER 1,post,3245.0,  @shawnmendes
3214890.0, camila_cabello Verified HappyHalloweenfromus!!!!!!Belinda’ssuperpowersareinherChancletas-theLatinsknow 3w,NOVEMBER 1,post,5319.0, 
2685668.0, camila_cabello Verified ❣️❣️❣️ 3w,OCTOBER 29,post,50200.0, 
2705466.0, camila_cabello Verified ❤️🧡💚💙💖 3w,OCTOBER 28,post,27100.0, 
4865338.0, camila_cabello Verified heheheheheh 4w,OCTOBER 22,post,3908.0, 
3811907.0, camila_cabello Verified LOSTMYSHORTHAIRVIRGINITY!!!!I’vehadlonghairallmylifeit’sTIMETOFEELTHEAIRONTHESESHOULDERSBABYphotocredit: ❣️❣️❣️❣️ 4w,OCTOBER 22,post,3375.0,  @shawnmendes
1376104.0, camila_cabello Verified AllIcansayis:watchthisdocumentary.Ilearnedsomuch.Tellyourfriendsaboutit.Spreadawareness.Let’stakeactionbeforeit’stoolate. witnessstatement#ALifeOnOurPlanet 5w,OCTOBER 16,post,31500.0,  @davidattenborough’s
786638.0," camila_cabello Verified finallyhome.😻takingaphonebreakbutjustwantedtopopintosayHELLO!!!!becausewegotajobtodo!voterregistrationdeadlinesarerightaroundthecornerandit’sourresponsibilitytoshowupandmakesureourvoicesareheardinthiselection.registrationdeadlinesarehappeningnowsodouble,triple,quadruplecheckyourvoterregistrationstatusrightnow!!!!! headtomystoriestofindoutyourstate’svoterregistrationdeadlineandformoreinformationonhowtoregister! 7w",OCTOBER 5,post,25300.0, 
1925012.0," camila_cabello Verified lastdayofbeingafreakinbadassrebelliousdreamerprincess!Todaywasourlastdaywrapping Imean.I’msogratefultohavehadthisexperienceandsogratefultoourcrewandteamformakingitpossible(andcompletelyCovidsafe!)duringapandemic.Ican’twaitforallofyoutoseethismovie,ithasamessageIbelieveinsomuchandhassomuchlove,joy,laughter,andmagic❤️to ourbrilliantleaderanddirector!Wedidit!thankyouforyourbeliefinmeandforgivingusthisbeautifuljourney,onandoffscreen!To thankyoualsoforyourbeliefinmeandgivingmeanexperienceofalifetime,Imean..it’scinderfreakinrella.Tothecast,dancers,choreographers,musicteam,crew,iloveyouallsomuch!❤️Ican’twaitforyouguystosee,IalwayspicturedyouguysbehindthecameraandhowIhopedthisfilmwouldmakeyoufeelanditmotivatedmeandinspiredmeeveryday❤️ 7w",OCTOBER 2,post,1110.0,  @cinderellamovieofficial. @kaykaycannon @j_corden
2846018.0," camila_cabello Verified Happybirthdaytothisguy!!!!!HeplaystheprinceinourCinderellafilm,(spoileralert:it’squiteadifferenttakeonthestory👀👀)andit’shisBIRTHDAYtoday!Can’twaitforuguystoseeusbethisstupidonthebigscreen🥳🥳🥳🥳loveyoulotsnickster 7w",SEPTEMBER 29,post,2053.0, 
1643301.0," camila_cabello Verified COMINTOUFROMACROSSTHEPONDWHEREITSNIGHTTIME..it’snationalvoterregistrationDayinAmerica!42daysleftuntilthemostimportantelectionofourlives.Thiselection,wearen’tjustvotingforPresidentorotherdown-ballotraces.Morethaneverbefore,wearevotingtostandupagainstinjusticeandfightfortheissueswecareabout.Yourvoicematterssomakesureitisheard.WhatI’mtryingtosayis!!!!Registertovote.Makeaplantocastyourballot.Beapollworker.Askeveryoneyouknowiftheyhaveavotingplan.GotothelinkinmybiotocheckyourregistrationstatusORTextVOTERto40649.LOVEYOUUUU. #VoteReady 8w",SEPTEMBER 23,post,22100.0,  @headcountorg
235193.0," camila_cabello Verified ALLMYFLORIDIANS!!!!Florida’spay-to-votesystemstopsformerlyconvictedindividualswithfines&feesfromvoting.Weneedtodoeverythingwecantomakesureallvoicesareheard.Donateto (linkinmystories)sothesereturningcitizenscanregisterbythe10/5deadline. Ifyouwanttounderstandmoreabouthowfeesandfinescriminalizepoverty,checkoutthisarticle.It’sabsolutelyheartbreaking.Itwaswrittenin2018buttheinformationisreallyhelpful.❤️ 8w",SEPTEMBER 22,post,1860.0,  @flrightsrestore
312927.0, camila_cabello Verified “Mayhermemorybearevolution.”wewillhonorthisincredibletrailblazer’slifebycontinuingthefighttomakethiscountryabetterandsaferplaceforall.WEaretheanswertoabetterworld.EachandeverysingleoneofuscanmakeadifferencenextNovember.Pleasetakesometimerightnowtoseeifyouareregisteredtovoteandplanhowyouaregoingtovoteintheseelections.WEdecidethiscountry’sfuture.USEyourvoice.USEyourpower.USEyourVOTE. 9w,SEPTEMBER 20,post,3304.0, 
