likes,about_post,date,type,comments,tagged_names
19889.0,  meredostkasong🤪beautifullyrics👌🤩 2d,2 DAYS AGO,post,106.0,  @charliechauhan Verified jassinder_
45727.0, charliechauhan Verified ⭐️🌙 3d,3 DAYS AGO,post,206.0, 
41461.0, charliechauhan Verified Bhavensaariduniya‘chjaakevekhlo Husnmuqablakarakevekhlo😜 4d,4 DAYS AGO,post,220.0, 
61930.0, charliechauhan Verified Sabtonmehngihundiaemasoomiyat Sohnetaanunjhlokbatherehundene 4d,4 DAYS AGO,post,314.0, 
69477.0, charliechauhan Verified Terejachdaaekalakalasuitjattiye Merekehnuttekadekadepaaleyakar🖤 1w,7 DAYS AGO,post,348.0, 
14209.0, charliechauhan Verified Followmeon 🖤#chingari#chingariapp 1w,7 DAYS AGO,post,82.0,  @chingari_in
20626.0, charliechauhan Verified 🖤KaaleJeLibaasDiShukeenanKudi🖤 1w,NOVEMBER 16,post,0.0, 
18581.0, charliechauhan Verified Terekarkilawansachihaarteshringaar💙TeriHeer 1w,NOVEMBER 14,post,91.0, 
14164.0, charliechauhan Verified 💙 ,NOVEMBER 14,post,75.0,  @bunaai 1w
25395.0, charliechauhan Verified 💙JattdiPasand 1w,NOVEMBER 14,post,196.0, 
17746.0, charliechauhan Verified वोपूछतेहैअपनीशर्तोंपेकामकरकेक्याकमालोगे? हमनेकहाइज़्ज़त।।।।Heer(CC)  DoeverythingtoachieveyourgoalsBUTNOTeverything🙏IfyouknowwhatImean... 2w,NOVEMBER 10,post,238.0, 
40713.0," charliechauhan Verified ज़मानानिकलगयाहैउसकहानीकोबीतेजबहीरबदलीथी, कुछसालोपहलेराँझेकीतस्वीरबदलीथी, इसबारजोगनहीरहुई, नामिलपाएइसजनमभी, दोनोकीऐसीतक़दीरहुई........🖤हीर  ZamananikalgyausskahanikobeeteyjabHeerbadlithi, KuchsaalopehleRaanjhekitasveerbadlithi, IssbaarjogenHeerhui, Namilpayeissjanambhi, donokiaisitaqdeerhui....🖤HEER  📸   ",NOVEMBER 6,post,191.0,  @thegreydot MUA @divvsskhanna Stylist @aparnasingh9822 2w
