likes,about_post,date,type,comments,tagged_names
1743511.0," chrisevans Verified #fbftomyfirstphotoshootinLA.ItwasforAbercrombie,whichduringthelate90’swastheholygrailofoverpricedclothing.  DokidsstillwearAbercrombie? 3d",3 DAYS AGO,post,13600.0, 
1674972.0, chrisevans Verified Theycan’tallbewinners😂 1w,NOVEMBER 14,post,15900.0, 
981233.0, chrisevans Verified Biden/Harris2020💙 2w,NOVEMBER 8,post,9458.0, 
1237160.0, chrisevans Verified HappyHalloween!!  (Hehatedeverysecondofit) 3w,OCTOBER 31,post,13700.0, 
1238348.0, chrisevans Verified He’swatchingtv.Likethis.Imean... 4w,OCTOBER 25,post,10700.0, 
1797002.0, chrisevans Verified DodgerlyingonDODGER💙 4w,OCTOBER 25,post,20400.0, 
1421310.0," chrisevans Verified Thisisturningintoanautumnfanaccount,buthowcanInotpostthese3triumphsthatliveinfrontofmyhouse? 5w",OCTOBER 17,post,13700.0, 
2220986.0, chrisevans Verified Kindamissmylonghair#tbt 5w,OCTOBER 15,post,27300.0, 
1144653.0, chrisevans Verified Whatachampion.Somuchbeautyeverywhere. 5w,OCTOBER 14,post,8857.0, 
836231.0, chrisevans Verified It’shappeningfast! 6w,OCTOBER 10,post,6082.0, 
1310147.0," chrisevans Verified HonoredtobeonthecoverV127:TheThoughtLeadersIssue.  “Ithinkweareonthecuspofareallymotivated,drivengenerationofyoungpeoplewhoareveryawakeandconnected.It’ssuchaplatitude,buttheyreallyarethefuture.It’salwaysthestudents,isn’tit?Whetheritwasthecivilrightsinthe‘60sortoday,it’salwaysyoungpeople[workingtowardchange].Witheveryyoungergeneration,theycarelessandlessaboutthearchaicsocialnormsthatpeoplebeforethemaretryingtopreserve.Now,morethanever,youngpeopleareinvolvedinshapingthepoliticalandsociallandscape.Itreallyislikeapotter’swheelandtheseyoungvoicesaremoldingourfuture.’  Photoby by HEARD! ",OCTOBER 7,post,9803.0,  @inezandvinoodh Interview @owenmyers  BE @VOTE!!! plus1vote vmagazine 6w
929358.0, chrisevans Verified Goodmorning! 6w,OCTOBER 7,post,10600.0, 
1418631.0, chrisevans Verified Wow.Highschoolstarterkitcompletewithbeadednecklaceandhatwithsportstape. 7w,OCTOBER 5,post,11300.0, 
2248906.0, chrisevans Verified Bigsmiles! 7w,OCTOBER 4,post,31800.0, 
882630.0, chrisevans Verified It’sstarting💙 7w,OCTOBER 4,post,6464.0, 
1347888.0, chrisevans Verified Imean... 7w,SEPTEMBER 30,post,16200.0, 
2097714.0, chrisevans Verified Heknowshisangles 10w,SEPTEMBER 9,post,46200.0, 
2013304.0, chrisevans Verified 💙💙💙 #nationaldogday 12w,AUGUST 26,post,24200.0, 
951200.0, chrisevans Verified Coupleofkings 16w,AUGUST 2,post,8903.0, 
1194180.0, chrisevans Verified Thecomfortsofhome....  #recoverybegins 17w,JULY 25,post,16900.0, 
1529585.0, chrisevans Verified HappyFather’sDaytothegreatestmustacheI’veeverknown💙 22w,JUNE 21,post,7923.0, 
1975823.0, chrisevans Verified Justwokeuptothispillowhog 27w,MAY 13,post,19500.0, 
1880100.0, chrisevans Verified HappyMother’sDay!!♥️ 28w,MAY 11,post,12700.0, 
1553905.0," chrisevans Verified IassuredhimIknewwhatIwasdoing.Heseemedskepticalatfirst,butwiththehelpofafewtreats,Italkedhimintoit. Itwentsowrong,sofast.Iguesssomethingsarebetterlefttotheprofessionals.(Hehasn’tseenamirroryet.Itoldhimitlooksgreat)  #Quarantinelife 29w",MAY 4,post,9364.0, 
