likes,about_post,date,type,comments,tagged_names
150053.0," chrissyteigen Verified Thisisaphotoofanunfiltered,reallyfuckinggoodegg,madeby whoisalsoanunfiltered,reallyfuckinggoodegg. 13h",13 HOURS AGO,post,2096.0,"  @adeenasussman,"
252433.0," chrissyteigen Verified JohnandIfoughttwiceonhowtodothe#RMHChearthouseandtakeaWILDguesswhowasrightintheend*!?!?!!Indexfingersdownfortheheart,middleandringfortheroof,pinkyforthechimney!Don’tforgettotag#hereforRMHCsoyoucanhave100dollarsdonatedinyourname♥️💛♥️💛♥️💛 . . . *ME 13h",13 HOURS AGO,post,1320.0, 
363509.0, chrissyteigen Verified okayalldonefortoday(it’scoldandthereforeitischristmas) 1d,1 DAY AGO,post,22900.0, 
396424.0, chrissyteigen Verified justfeellikeposting.alsofeelingprettyproudthattheshopbuttonhasn’tevenbeenaccidentallyhitONCE 1d,1 DAY AGO,post,276.0, 
262406.0," chrissyteigen Verified makeupANDphotographybytoons,withanassistfrom IGUESS(EDIT:PHOTOBYJOHNOBVIOUSLY) 1d",1 DAY AGO,post,519.0,  @novakaplan
557670.0, chrissyteigen Verified 📸bytoons 1d,1 DAY AGO,post,1839.0, 
558863.0, chrissyteigen Verified bornat4poundsandpantsstillfalldownalldaybutourboyisgettingbig! 1d,1 DAY AGO,post,14500.0, 
833826.0, chrissyteigen Verified Throwbacktonightbeforeelection.Idon’tusuallydothrowbacksbutthat’showlongittookmetofigureouthowtopostitonthisnewgodforsakenInstagramlayout 2d,2 DAYS AGO,post,1800.0, 
530334.0," chrissyteigen Verified parsleyteethbutsohappywewereabletoraiseover$100,000for WorldCentralKitchen.ThesecondtheliveendedIfelltothefloorinexhaustionbutitfeltsogoodtoseeyouandlaughwithyouandhelpyououtwiththefirstever Tipsgiving!! 3d",3 DAYS AGO,post,21300.0,  @chefjoseandres @cravingsbychrissyteigen
262945.0, chrissyteigen Verified something’scominnnnnnn! 3d,3 DAYS AGO,post,3640.0, 
2324774.0," chrissyteigen Verified onedayIwilltellyoutherecentstoryofthehardest4daysofmylife.fornow,here’smeneedingmymommy 3d",3 DAYS AGO,post,7551.0, 
39332.0," chrissyteigen Verified Helllooo!SoThanksgivingisnotgoingtobethesamethisyearasweknow,butthatdoesn’tmeantherewon’tberoomforcomfortfood.Ireallywantedtodoalivewhereyoucouldalljointoaskquestions,sharerecipesandswaptips.Sincewe’reallcelebratingabitdifferentlythisyearIasked (mylovelyCravingscoauthor)togoLIVEtodayat4pmPST/7pmESTanddojustthat!Commentwithquestions,sipsomewine,ortreatitlikeapodcastwhileyoudolaundry!!We’llberaisingmoneyfor sopleaseconsiderdonating.WorldCentralKitchenisanonprofitrunbyChefJoséAndrésthatprovidesmealstounderservedcommunitiesaroundtheworld.OH-andYouTubeisgoingtomatchyourdonationsupto50K!Let’shangout!Linkinbio!! 4d",4 DAYS AGO,post,105000.0,  @adeenasussman @WCkitchen
287655.0, chrissyteigen Verified butterydinnerrollshavebeenperfectedandarereadyforbook3! 1w,NOVEMBER 16,post,3568.0, 
1342418.0," chrissyteigen Verified Idon’tfuckingknow,justswipe 1w",NOVEMBER 16,post,2307.0, 
593886.0, chrissyteigen Verified focused 1w,NOVEMBER 15,post,1059.0, 
1231557.0," chrissyteigen Verified imjustthinkingalotaboutjacktoday.ourhouseisveryopenaboutlife,death,grief,everythingreally.wetrytoexplainthingswellandanswereveryquestionimaginableinabeautiful,spiritualbutliteralway.IknowthisisaweirdpostbutIjustwantedtosharethesetoalwaysremembermyincrediblyempatheticlittlemini.lifeisinfinitelybetterwithherinit.Imissu,jack.wemissyoualot. 2w",NOVEMBER 10,post,5863.0, 
842632.0,  ♥️🧡💛💚💙💜 2w,NOVEMBER 10,post,4348.0,  @chrissyteigen Verified meg_a_pixels
1559760.0, chrissyteigen Verified LolIcroppedeveryoneoutsorryguysloveyou(2016HELLOOOOOOOOOO)MADAMEVICEPRESIDENT!!!!! 2w,NOVEMBER 8,post,3383.0, 
1093995.0," chrissyteigen Verified democracyrestored,faithrenewed. 2w",NOVEMBER 7,post,3407.0, 
1053379.0, chrissyteigen Verified someoneinterviewedrandomlyinacrowdtodaysaidtheywantedjoetowinjustsotheycouldgobacktopostingthirsttrapsonInstagraminpeace.Irespectthispersonverymuch 2w,NOVEMBER 7,post,4050.0, 
402453.0, chrissyteigen Verified Currentlytryingtoreplicatetheflavorsofthegreatsourdoughjackintoafamilysizedcasserole. andIarelosinitlolhahahahahahthere’snoelectioneverything’sfinehahahahahahahlololooolosnsisjsjwjaosnshzhzheissiheosisjdududsiowkbahahahah 2w,NOVEMBER 6,post,6214.0,  @adeenasussman
1101354.0, chrissyteigen Verified Nooooonooootoomaaaaachcutetoomachhhh!!!! 2w,NOVEMBER 5,post,4481.0, 
1635687.0," chrissyteigen Verified thanku,cord,forwantingsobadlytobeshowcasedinthisphoto.youlookincredible,powerful,effortless 3w",NOVEMBER 2,post,53600.0, 
862917.0, chrissyteigen Verified mummydogs! 3w,NOVEMBER 1,post,574000.0, 
903788.0, chrissyteigen Verified mydino!🦖🦖🦖 3w,NOVEMBER 1,post,92500.0, 
812141.0, chrissyteigen Verified boymom. ,OCTOBER 31,post,574000.0,  @novakaplan 3w
1672704.0, chrissyteigen Verified myspidey 3w,OCTOBER 31,post,18000.0, 
1478923.0, chrissyteigen Verified HouseholdHalloween!    ,OCTOBER 31,post,1681.0,  @kristinestuddmakeup @hairinel @alanavanderaa @isabelalysa 3w
3186857.0," chrissyteigen Verified Ididn’tknowhowtocomebacktoreallifesoIwrotethispieceforMediumwithhopesthatIcansomehowmoveonbutassoonasIpostedit,tearsflewoutbecauseitfeltso....final.Idon’twanttoevernotrememberjack. . . Thankyoutoeveryonewhohasbeensokind.Thankyoutotheincredibledoctorswhotriedsohardtomakeourthirdlifeareality.Thankyoutomyfriendsandfamilyandourentirehouseholdfortakingcareofmethroughalltheadultdiaperchanges,bedrestandrandomhugs.ThankyouJohnforbeingmybestfriendandloveofmylife.AlotofpeoplethinkofthewomanintimeslikethisbutIwillneverforgetthatjohnalsosufferedthroughthesepastmonths,whiledoingeverythinghecouldtotakecareofme.Iamsurrounded,inahumantherapyblanketoflove.Iamgratefulandhealingandfeelsoincrediblyluckytowitnesssuchlove. 4w",OCTOBER 28,post,765.0, 
3127364.0, chrissyteigen Verified Wearequietbutweareokay.Loveyouallsomuch. 5w,OCTOBER 17,post,8255.0, 
11489535.0," chrissyteigen Verified Weareshockedandinthekindofdeeppainyouonlyhearabout,thekindofpainwe’veneverfeltbefore.Wewereneverabletostopthebleedingandgiveourbabythefluidsheneeded,despitebagsandbagsofbloodtransfusions.Itjustwasn’tenough. . . Weneverdecideonourbabies’namesuntilthelastpossiblemomentafterthey’reborn,justbeforeweleavethehospital.Butwe,forsomereason,hadstartedtocallthislittleguyinmybellyJack.SohewillalwaysbeJacktous.Jackworkedsohardtobeapartofourlittlefamily,andhewillbe,forever. . . ToourJack-I’msosorrythatthefirstfewmomentsofyourlifeweremetwithsomanycomplications,thatwecouldn’tgiveyouthehomeyouneededtosurvive.Wewillalwaysloveyou. . . Thankyoutoeveryonewhohasbeensendinguspositiveenergy,thoughtsandprayers.Wefeelallofyourloveandtrulyappreciateyou. . . Wearesogratefulforthelifewehave,forourwonderfulbabiesLunaandMiles,foralltheamazingthingswe’vebeenabletoexperience.Buteverydaycan’tbefullofsunshine.Onthisdarkestofdays,wewillgrieve,wewillcryoureyesout.Butwewillhugandloveeachotherharderandgetthroughit. 7w",OCTOBER 1,post,9615.0, 
1795792.0," chrissyteigen Verified hellofromhospital.abouttohavemysecondbloodtransfusionwhichtrulytrulytrulysoundsmoredramaticthanitis.It’sanIV,butinsteadoffluids,thebloodofsomekindhumanbeingoutthere.BabyandIarecompletelyfine,justmissingthelittlethingslikewalking...cooking...playingwiththeotherbuttbutts.cameacrossthislittlegemfromringingin2020.Itallmakessensenow! 8w",SEPTEMBER 29,post,4485.0, 
903888.0, chrissyteigen Verified doingimportantbusiness 8w,SEPTEMBER 25,post,413.0, 
1559304.0," chrissyteigen Verified everydayshemakesmeawarm(nothot,chill!)bathandrefusestoletmewashmyownhair😩girls,man. howdidwegetsoluckywithlulu?? 9w",SEPTEMBER 21,post,389.0,  @johnlegend
721512.0," chrissyteigen Verified Bedrestchronicles. (whowentfrommyfirstassistant,gettingmellamasonawhimandanyflowersyoureceivedinthepast5years,shepicked)tonow,myheadofbrandoperationsfor Shehasbeenhereforitallll.Anyhoo,sheisn’tkneelingandfeedingmechocolatehere.WellIguessshekindofis.Butit’sforwork!!!WehavesomethingverrrrrrrrycoolcomingandICANNOTWAIT!!!I’llbeshowcasingmoreofteamcravingsinthenextfewweeks,astheteamhasreallycometogetherandIamjustSOproudofthemandwhatwehavebuilt.Mydreamforeveryoneistheylovewhattheydoandfeelfulfilledineveryway.Iwanttolaughandbestupidandsillyandhavedumbpartiesbecauseit’sTuesday,celebrateeverybirthdaywithanhournaporhouroftelevision andmakedreamshappenonthedaily.Ilovewhat hasbecomeandIcannotwaitforyouguystoseewhatwehaveinstore...instore...innnnstore.Ah!!!Anyhow, myrighthand,mybrainholder.Thankyouforallthesewonderfulyearspast,andthefuturetocome! 9w",SEPTEMBER 21,post,346.0,"  @chrishimmm @cravingsbychrissyteigen! @(mindykaling) @cravingsbychrissyteigen @chrishimmm,"
532062.0, chrissyteigen Verified thankfulforallthehelpwehavealwaysbutespeciallythesedayswhileI’mdown.Parkday🙏🏼💕 9w,SEPTEMBER 20,post,162.0, 
319706.0, chrissyteigen Verified Waitasecondwhatisgoingonherewhysobig 9w,SEPTEMBER 20,post,389.0, 
182695.0," chrissyteigen Verified Herby,CrunchyRiceNoodleSalad!Injust15minutes,youcanuseourmicrowavetechniqueto“fry”crispyshallotsandloadthisnoodledishwithmint,basil,scallions,sambal,fishsauceandredjalapeños!Addsomesoymarinatedchickenbreastorshrimpandevenasunnyeggtomakeityourown.Linkinbio!Xx ",SEPTEMBER 20,post,346.0,  @cravingsbychrissyteigen 9w
449488.0," chrissyteigen Verified superheroesandsushiwasahit!!Icannotthank enoughformakingthishappenforourlittleclass.Ineedyoutocomebacktoteachmeyourshrimptempurasecret!!So,PJsandPizza,SuperheroesandSushi....whatshouldnextweekbe??Thankyouthankyou Ifyou’reinLA,youMUSTorderfromthemanddoNOTskiptheshrimp!! 9w",SEPTEMBER 19,post,145.0,  @krispyrice @krispyrice.
142710.0," chrissyteigen Verified Onepanmaple-glazedorangechicken!IkepttryingtoadjustthecoloronthisbecauseIdidn’tthinkyouguyswouldbelieveitisthisbrightandbeautifulofadish,butitis!!Servewithsomewhiteorbrownricetosoakupallthatgoodness.Linkinbio! ",SEPTEMBER 19,post,790.0,  @cravingsbychrissyteigen 9w
395535.0, chrissyteigen Verified Theguysfromtheincredible justtaughtjohntomakemetheirfamousJapaneseeggsandwich-deliveredtomybed😩thankyousomuchElie forhelpingsetthisup!IslidintotheDM’shardwhentheypostedaboutthemanditallworkedout!Can’twaittoshowyouguyson ,SEPTEMBER 18,post,2808.0,  @sando.itchi @foodbeast @cravingsbychrissyteigen 9w
596837.0, chrissyteigen Verified Fewmore!(OhthatamazingschoolIbuiltinourhousehadtobeupandmovedinonenighttoarentalaswemovedouttoshowit!Sonowtheirclassroomisequippedwiththerental’swinecellarlol) 10w,SEPTEMBER 14,post,2505.0, 
489968.0," chrissyteigen Verified EveryFriday,ourlittlehomepreschoolof6hasatheme.Fortheday,theylearnaboutacertainletter,dressliketheletterandlearntocooksomethingwiththatletter!FridaywasPajamasandPizzaforourppppprecociousbunchanditwastooooocute.Lookingforwardtoteachingourlittlesuperheroestomakesushinextweek! 10w",SEPTEMBER 14,post,2839.0, 
797756.0," chrissyteigen Verified sheisloooove.herfavoritegameisabellIboughtthatsays“ringforakiss”.Sheringshowevermanytimes,yougiveherthatmanykisses.Thenit’syourturn.That’sit.That’sherfavoritegame.Sheiseverything. 10w",SEPTEMBER 13,post,2909.0, 
694827.0," chrissyteigen Verified ifsheisgoodatthisinANYway,itwouldnotbefromeitherofus.milesservingsolelyface. 10w",SEPTEMBER 13,post,3394.0, 
224899.0," chrissyteigen Verified Savorycacioepepeoatmeal!ThisislessofarecipeandmoreofaPSA.Oatmealperfectlyabsorbsandbalancesanyflavoritcomesintocontactwith,thusmakingittheultimateforflavorpackedbreakfasts!Sure,brownsugarisnice.Fruitisnice.Butcheesypepperis...naughty.Bebad!!!!!Linkinbio!! ",SEPTEMBER 11,post,6699.0,  @cravingsbychrissyteigen 10w
622595.0," chrissyteigen Verified Ididthiscoveracoupledaysoutofsurgery,theoneIwaspregnantforallalong.Iwassosososcaredtheaggressiononmybodytookatollonthebabyandjustmentallycametotermswithit“notworkingout”.Ithadneverworkedoutnaturallybeforesoforsureitwouldn’tnow!Ontopofthat,Iwasstrugglinghardwithsomedeepdarkinternet/reallifedays.IhavelivedalifebeggingforpeopletolikemeandthinkI’mcoolandfunnyandtheirfriend,andbam,itfeltlikeeveryonefuckinghatedme.Icouldn’tdoanythingright,sayanythingright.Icouldn’tleavecutecommentsonmyfriend’spagesknowingthey’dbefloodedwithpizzagateinsanity.Myownfanpageswroteme,askingifIstillwantedtobetalkedabouteventhoughthecommentswouldbesuperhurtful.AndIknow.It’sallsostupid.Thereissomuchworseintheworld,butman,asidefromtheworldsucking,mylittleworldsuckedtoo.Makingpeoplehappyismyentirelife.ThereisnothingelseIwannado.IguessI’vecometotermswiththefactnoteveryoneisgoingtolikeme,andeventhoughIstillVERYMUCHDONOTLIKETHAT,icanlivewithit.Iloveyouguysalotandhaveohhhhhsoappreciatedthesupportthepastfewmonths.Nowyouknowwhatitmeanttome!Thankyou fortakingariskandputtingmeonyourcover-IknowyourcommentsbouttobeAMESS.❤️ . . Editor-in-chief: Director:     / /   ",SEPTEMBER 9,post,4857.0,"  @marieclairemag, @ayakanai Entertainment @maxwelllosgar Interview: @alysewhitney Photos: @laurendukoff Stylist: @monicarosestylist Hair: @hairinel @priscillavalles @traceycunningham1 Makeup: @kristinestuddmakeup Manicure: @kimmiekyees 11w"
837021.0, chrissyteigen Verified Iloveourbaby ,SEPTEMBER 6,post,2467.0,  @jakearnold 11w
495805.0,  ,SEPTEMBER 6,post,1210.0,  @chrissyteigen Verified photomatica 11w
472658.0," chrissyteigen Verified Icannotexplainwhatthisphotomeanstome.Somanydreamscometogether.Everyrandomidea,everysillynighttexttotheteam,thelittleblogfrom14yearsago,allmanifestedtheretofeedyouisfulfilled.CravingsHQis*nearly*done!!!Loveyou, Loveyou, ",SEPTEMBER 6,post,3619.0,  @cravingsbychrissyteigen. @jakearnold 11w
212439.0, chrissyteigen Verified YouguysloooovemyChinesechickensaladandVietnamesesummerrollssomuchthatIdecidedtocombinethemintothisbeautifulFrankensteinofadish!ForgetboringsandwichesandbringastackofthesetoyourLaborDaypicnicthisweekend.Justdressthefillinglightlysotheydon’tsogoutandremembertowrapinamoistdishtoweltokeepfromdryingout!Gettherecipeat orthelinkinmybio!! 11w,SEPTEMBER 4,post,1210.0,  @cravingsbychrissyteigen
620115.0," chrissyteigen Verified formyminimysterylover,mydaphne.swipeforclues! 12w",SEPTEMBER 2,post,1955.0, 
287284.0," chrissyteigen Verified Ourfabulousnewfriends,JasmineandAladdin.Ifyou’rekeepingcount,that’s2FrenchBulldogs,1EnglishBulldog,1largeasspoodle,1beardeddragonand1still-alivehamster.(thisistheirlittlecagesowecanhangdownstairs,theyhavealargeronetoplayin!) 12w",AUGUST 31,post,1717.0, 
490225.0, chrissyteigen Verified nodayiseverthesame! 12w,AUGUST 31,post,3996.0, 
664079.0, chrissyteigen Verified important 12w,AUGUST 29,post,2386.0, 
588779.0, chrissyteigen Verified 🛩 12w,AUGUST 29,post,10400.0, 
512845.0, chrissyteigen Verified 🦄 12w,AUGUST 29,post,2313.0, 
605674.0, chrissyteigen Verified fellinlovewithbothKamalaandDougthisday.cannotwaittovoteforMomala. 13w,AUGUST 21,post,3218.0, 
279397.0," chrissyteigen Verified bananachipsaretheonlysemi-healthythingIcanconsumerightnow.wellnotheyaren’tBADforyoubyanymeans,especiallycomparedtowhatIWANTtoeat.ButmanIcandestroyyyyyhandfullsoftheseinmereminutes.Ilovethemwithjustflakeyseasalt,butherearetwomorewaystofeelgoodaboutyoursnacking! . .  Foreachrecipe: 🔥Preheattheovento400degrees 🍌Need1unripe,veryhard,basicallyinediblegreenbanana 👩‍🍳Makes¾cup–1cup.(Allrecipescanbedoubled-ifso,use2bakingsheets).  FortheSpicyThaiChips:  •1tablespoonmeltedcoconutorvegetableoil •11/2teaspoonsfishsauce •1teaspoonsugar •½teaspoonfinelygroundchiliesorchiliflakes(orless,ifyouwantlessspicy!)  1.Tossbananaroundsinabowlwiththeoil,fishsauce,sugar,andchilies.Lineabakingsheetwithparchment(ifyouhaveit)andarrangeroundsonsheet. 2.Bakeuntilcrispandgolden,13-14minutes,rotatingthepaninthemiddleofbaking(bake1-2minlongerifneededtocrisp).Removefromtheoven,cool,&enjoy!  FortheCinnamonSugarChips:  •2tablespoonsmeltedcoconutorvegetableoil •2tablespoonssugar •½teaspoongroundcinnamon •Generouspinchfineseasalt  1.Tossthebananaroundsinabowlwiththeoil.Lineabakingsheetwithparchment(ifyouhaveit)andarrangeroundsonsheet. 2.Baketheuntilcrispandgolden,8minutes.Whilethechipsarebaking,combinethesugar,cinnamon,andsaltinasmallbowl. 3.Removefromtheovenandsprinklecinnamonsugarmixtureevenlyoverthechips.Returntoovenandbakeuntilcrisp,4-5minutes.Removefromtheoven,cool,&enjoy! 14w",AUGUST 19,post,5663.0, 
1045541.0, chrissyteigen Verified heatwavewithmygirl 14w,AUGUST 17,post,4588.0, 
715377.0," chrissyteigen Verified Sundaykitchensquad.Pancakes,commence. 14w",AUGUST 17,post,3362.0, 
324059.0, chrissyteigen Verified Miles’bookclub! 14w,AUGUST 14,post,4588.0, 
977198.0, chrissyteigen Verified Bigday!Thevideofor“wild”premierestomorrow!JohnandIwillbeintroducingitliveatnoonpacificonYouTube.Letusknowifyouhaveanyquestionsforusorourdirector themanwhointroducedus14yearsago!Linkinbio! 14w,AUGUST 13,post,4194.0,"  @nabil,"
347389.0, chrissyteigen Verified “Whatwasyourdreamjobwhenyouwereyoung” 15w,AUGUST 9,post,6739.0, 
722299.0, chrissyteigen Verified deathofme 16w,AUGUST 5,post,9236.0, 
687763.0, chrissyteigen Verified specialdinnertent.magicaltentthatgetsyoutoeatallyourdinner!itworked.thegymnasticsofbeingaparent😩 16w,AUGUST 5,post,4460.0, 
201953.0, chrissyteigen Verified cravingsHQ.starring ,AUGUST 5,post,4947.0,  @jakearnold. 16w
549569.0, chrissyteigen Verified saddestchildren’sbookknowntoman.Lunacallsitmommy’scryingstory 16w,AUGUST 4,post,6162.0, 
777693.0, chrissyteigen Verified justacouplea     ,AUGUST 1,post,934.0,  @kittens . . . monicarosestyle @kristinestuddmakeup @hairinel @yproject_official @gabrielahearst 16w
132273.0, chrissyteigen Verified Sweetchilichickenfajitas!Weareneverwithoutajarofsweetchiliinthishousehold.Notinthe🐔mood?Useshrimporfishorwhynotjustveggies!?You’llwanttodrinkthesaucebuttrytoholdoff-everythingeatentogetherinonebiteisaflavorexplosion.Xxlinkinbio! ,JULY 31,post,2752.0,  @cravingsbychrissyteigen 16w
638918.0, chrissyteigen Verified forever! 16w,JULY 29,post,649.0, 
258586.0, chrissyteigen Verified shootingmom’sMUCHANTICIPATEDcookbook/atelenovelaentitled“noesmimama!!” . . . ❤️totheteam!          ,JULY 29,post,1306.0,  @hellomydumpling @pierceharrison @tyna.hoang @beatricechastka @scottycooksfood @stephanie_de_luca @kristinestuddmakeup @alanavanderaa @novakaplan @hairinel 17w
648408.0, chrissyteigen Verified Ihavetwocaptionideas.“meputtingyouropinionsinmybutt”and“wedgie”.Iwilldecideinonehour 17w,JULY 27,post,1789.0, 
730827.0, chrissyteigen Verified numberone 18w,JULY 22,post,249.0, 
628361.0, chrissyteigen Verified 🥞 18w,JULY 21,post,5023.0, 
