likes,about_post,date,type,comments,tagged_names
3730.0," cleanfoodcrush OnePotLeftoverTurkeySoup🥕🥔🍗  TurkeyLeftoversAnyone?!!🙋‍♀️  There'sjustsomethingultrasatisfying,andextremelycomfortingaboutabigstockpotofhomemadesoupsittingonthestove: Yourkitchensmellsdelicious,soupistotallyeconomical,andit'sgreatbecausedinnerisreadyevenifyouoftenhaveafewstragglerswhocomehomelaterafterworkorsports.  Souphelpsstretchthefamilydinnerbudgetwhilefillingupthosebellieswithfresh,whole-foodingredientsyoucarefullychooseyourself.  I'lloftendoubleupthisrecipebecauseittastesevenbetterthenextday,andalsofreezesverywell.Sorightafterdinner,dishupyourlunchcontainersfortomorrowandstashtheminthefridge,thenfreezetherestfornexttimeyou'recravingthisDELICIOUSsoup!  makes8servings  Ingredients: 6cupscubedroastedturkey 8cupsturkeybroth 3largeRussetpotatoes(about11/2pounds),peeledandchoppedintosmallcubes 6mediumfreshorfrozencarrots,peeledandchopped 1lb.freshorfrozencutgreenbeans 1leek,chopped 4celeryribs,sliced 1bellpepper,diced 3freshgarliccloves,minced 1(15-ounce)canorganictomatosauce 2bayleaves 2Tbspsoliveoil,avocadooil,orghee 2Tbspsfreshlychoppedparsley,togarnish freshlygroundblackpepper,totaste seasalt,totaste,about1/2teaspooneach  Instructions:  Heatoilinalargestockpot,overmedium-highheat.  Addleek,celery,bellpepperandgarlic,sautéfor4-5minutesuntilsoftandslightlygoldenbrown.  Addinchoppedpotatoes,carrots,greenbeansandcubedturkey. Pourintheturkeybrothandtomatosauceandgiveeverythingagoodstirandbringtoaboil.  Addinbayleaves,reducetheheattoLOW,coverandletsimmerfor30minutesoruntilveggiesaretender.  Discardthebayleavesandadjustthesalt&peppertoyourtaste.  Carefullyladlethesoupintothewarmbowls,garnishwithchoppedparsleyandserve.  Staysgoodrefrigeratedforupto5days.  Staysgoodinthefreezerforupto2months.  Enjoy!  ❤Rachel 14h",14 HOURS AGO,post,120, 
5744.0," cleanfoodcrush Rachel'sHomemadeGreenBeanCasserole🌱🧅🧄  Fullymadewithfreshingredientsfromscratchwithlove,andFULLYirresistible!  Iwasn'tmuchofagreenbeancasserolegalasakid,butadulthoodcompletelychangedthatforme.Itjustisn'tThanksgivingwithoutabigscoopofhot-creamygreenbeansinadeliciousbubblingmushroomsauce.  ThisrecipeisGREATforyourgluten-freefamilymembers,sincetraditionalrecipesusuallycontainafewprocessedingredientsthatarefullofgluten(andaninsaneamountofsodium!).  BeSUREtousefreshgreenbeansandfreshmushroomsforbestresults.  MakingthefriedonionringsyourselfisTOTALLYworththeextraeffort!  Youcancompletelyskipthebaconifthatisn'tyourthing...Ithinkitkicksthingsupanotchthough.  makesabout6servings  Ingredients:  1-1/2lbsfreshgreenbeans,trimmedandcutintobite-sizedsizedpiecesifdesired  Mushroomsauce: 2Tbspsclarifiedbutterorghee 2cupsbuttonmushrooms,sliced 1largeyellowonion,diced 2freshgarliccloves,minced 1Tbspcoconutaminosliquid 1/2cupcoconutcream,notcoconutmilk 1cupvegetablebrothorchickenbroth 1Tbspglutenfreeflourorarrowrootpowder 1/4tspseasalt,moretotaste 1/4tspblackpepper,moretotaste 4stripsnitratefreebacon,cookedcrispyandcrumbled  Crispyonions: 1largeyelowonion,slicedintothinrings 2largeeggs 4Tbspsgluten-freeflour 2Tbspsavocadooroliveoil  Optionalgarnishideas: curlyparsley,chopped groundblackpepper,totaste seasaltflakes,totaste  Instructions:  Preheatyourovento375degreesf.  Tocookyouronionrings:  Inasmallbowlwhisktheeggsandflourtogetheruntilsmooth.Seasonwithatinypinchofseasaltandpepper.  Heatalargeskilletovermedium-lowheat.Drizzleinjust1Tbspoil.Diptheonionringsintoyourbatterandallowthemtodripoffanyexcess. Placethemintothepreheatedskilletandcookforabout2-3minutesperside,oruntilgolden-brown. Workinginsmallbatchestokeepthemcrispy,addinremainingoiloncehalfofyouronionringsarecooked. . Cont:https://cleanfoodcrush.com/rachels-homemade-green-bean-casserole/ . . 3d",3 DAYS AGO,post,81, 
6516.0," cleanfoodcrush {New}MarinatedBrusselsSproutSalad  THEsaladthatdeservesaspotonyourholidaytablethisyear!❤  makesabout6servings  Forthedressing: 3Tbspsextravirginoliveoil 1/4cuplemonjuice,freshlysqueezed 1tspapplecidervinegar 3clovesoffreshgarlic,minced 1tspseasalt ½tspblackpepper  Forthemaplecandiednuts: 1cuprawpecans 2Tbspsmaplesyrup 1/2tspflakyseasalt  Forthesalad: 1-1/2lbsBrusselssprouts,endstrimmed,outerlayerremoved 12ouncesbabyspinach,wellcleanedandcompletelydried 3greenonions,slicedonthediagonally 1largejust-ripeavocado,cutintocubes 1cuppomegranatearils,from1largepomegranate ½cupfreshlygratedparmesancheese  Instructions:  Tomakethedressing:  Placeallyourdressingingredientsintoasmalljarandshaketoemulsify.Orplaceeverythinginasmallbowlandwhiskreallywell.Setasideuntilreadytouse.  Tomakethecandiedpecans:  Preheatyourovento350degreesf.andlineasmallbakingsheetwithparchmentpaper.  Addinthepecansanddrizzlewithmaplesyrup.Tosswelltoevenlycoat,thenarrangetoasinglelayer.Sprinklewithflakyseasalt.  Bakefor8-10minutes,thenremovefromtheoven.Allowthemtositontheirtrayforawhile,asthey'llcrispuponcecooled.  Toassembleyoursalad:  Setupyourfoodprocessorwithaslicingblade.Addinthesproutsandpulsetothinlyslicethem.Alternatively,youcanuseasharpknife,buttheprocessormethodislesstimeconsuming.  PlaceyourslicedBrusselssproutsintoalargebowlthendrizzleinthedressing.UsingyourcleanhandsgentlymassagetheBrussels.Allowthesproutstomarinateforatleast30minutesinthefridgebeforeassemblingthesalad.  Oncethesproutsarefinishedmarinating,stirinthespinach,greenonions,avocado,pomegranatearilsandparmesancheese.  Sprinklewithcandidnutsandenjoy!  ❤Rachel 4d",4 DAYS AGO,post,102, 
7237.0," cleanfoodcrush PerfectlyRoastedButternutSquash  ButternutSquashisJason'sabsolutefavoritedish!HewouldeatiteverysinglenightifImadeit!  Thespicemixtureinthisrecipeisespeciallydelicious!  ThisrecipeisPERFECTtoservealongsideofyourbestAutumnmealsuchasroastedturkey,chickenorporktenderloinwithabigfallsalad.  OR,usethisrecipetofoodprep(substitutesquashforyourtypicalhealthycarb).Mostofthecarbsinourdietshouldcomefromnutrient-richcomplexcarbs,likebutternutsquash.  ORR,usethisrecipetopreparethesquashforsoup!ButternutsquashsoupisdefinitelyaseasonalMUST-MAKE.  makesabout6servings  Ingredients:  1largebutternutsquash—about3pounds,peeled,seeded,andcutinto1-inchcubes 2Tbspsavocadooil,meltedcoconutoil,orghee 1Tbsppuremaplesyrup 1tspseasalt 3/4tspgroundcinnamon 1/2tspchilipowder 1/4tspgroundblackpepper  Instructions:  Preheatyourovento400degreesf.andpositiontworacksintheupperandlowerthirdsofyouroven.  Line2largebakingsheetswithsiliconematsorparchmentpaper.  Placethesquashcubesinalargebowl.Sprinklewithallseasoningsthendrizzlewithoil.  Tosswelluntilthoroughlycoated.Dividethesquashcubesbetweenthetwobakingsheetsandspreadtheminasinglelayerwithnooverlapping.  Roastfor15minutesthenremovethepansfromtheovenandswitchthepositionsontheupperandlowerracks.  Continuebakinguntilthesquashistenderandslightlycharred,about15moreminutes.Removefromtheoventransfertoaservingdish.  Servewarmandenjoy!  ❤Rachel 4d",4 DAYS AGO,post,148, 
5456.0," cleanfoodcrush BaconWrappedCheeseStuffedDates🎄  TheultimateSweet&Saltycombo!  Perfectlil'holidayappetizersthatdissappearquick!  They'rereallyeasyandfuntomake(getthekidsinthekitchentohelp!)  Anysoftcheeseworkshere: Goat,gorgonzola,blue,organiccreamcheeseetc.  makesabout6servings  Ingredients: 3.5ozgoatcheese,oranysoftcheese 1/2tspgarlicsalt 12medjooldates 6thin-cutstripsofnitrate-freebacon,cutinhalftocreate12pieces freshlychoppedchives,togarnish freshlygroundblackpepper,totaste  Instructions:  Preheatyourovento375degreesfandlineabakingsheetwithparchmentpaper.  Inasmallbowl,stirtogetherthegoatcheesewiththegarlicsalt.  Cutalengthwiseslitinthedatesandopenthemup,thenremoveanddiscardthepit. Stuffeachdatewithabout2teaspoonsofyourcheesemixture.Pinchthedatestoclose. Nowwrapeachdatewithabaconstrip. Placeallthedatesontothepreparedsheetasshownandbakefor15-20minutesoruntilbaconisbrownedandcrisp;Turningthedateshalfwaythroughtoensureevenbrowning.  Serveyourbaconwrappeddateswarmoratroomtemperature,garnishedwithchoppedchivesandfreshlygroundblackpepper.  Enjoy!  ❤Rachel 4d",4 DAYS AGO,post,67, 
7338.0," cleanfoodcrush CrockpotSpicyChineseChicken🥢  Ifyou'relookingforsomethingsatisfyingtofeedyourcrewthisweek-I'vegotyoucovered!  Crazygood!Workswellformealpreptoo!  makesabout4servings  Ingredients: 1/4cupglutenfreeflour,arrowrootpowder,orcornstarch 1/2tspChinese5spices ¼tspseasalt ¼tspblackpepper 1-1/2lbsboneless,skinlesschickenbreastsortenders,cutintobite-sizedpieces 1Tbspavocadooiloroliveoil 3-4driedredchilipeppers 2redbellpeppers,choppedintobite-sizedpieces 2mediumzucchini,chopped 10ozbabycorn,halveddiagonally 1/2cuprawpeanuts  Sauce: 1/2cupcoconutaminos,Bragg'sliquidaminos,orlowsodiumsoysauce 1/3cupchickenstockorbroth 3Tbspsrawhoney 3freshgarliccloves,minced 2tspsgratedfreshginger ¼-½teaspoondriedredpepperchiliflakes 2Tbspsarrowrootpowder,glutenfreeflour,orcornstarch 2-3Tbspswater  garnish:sesameseedsandslicedgreenonions  Instructions:  Firstlet'smakethesauce: Inalargebowladdyourcoconutaminos,stock,honey,garlic,ginger,andchiliflakes.  Inaseparatesmallbowlwhisk2Tbspsarrowrootpowderwith2-3Tbspswater,untilwelldissolved.Pourthisinwithyouraminosmixturefromaboveandwhiskeverythingtogetheruntilreallywellcombined.  Placeyourchickenpieces,1/4cupgfflour(orarrowrootpowder),Chinese5spicemix,seasaltandpepperinalargebowl.Tossuntilevenlycoated.  Heatoilinaheavyskilletovermedium-highheat.  Addyourcoatedchickenpiecestothehotoil,shakingofftheexcessstarch.  Cookstirringoccasionallyuntilevenlygoldenbrown.  Addyourbrownedchickenintothecrockpot.  Pourthepreparedsauceontop.  CoverandcookonLOWfor2-4hoursoronHIGHfor1-2hours.  Oncetimeisup,adddriedredchilipeppers,redbellpepper,zucchiniandbabycornintoyourcrockpot.  Stirwelltocoatwiththethickenedsauce,coverandcontinuecookingon'high'for30minutesuntilveggiesaretenderandpierceeasilywithafork.  Oncethechickeniscookedthroughandveggiesaretender,sprinklewithpeanuts.  Servewithcookedbrownrice,andgarnishwithsesameseedsan 4d",4 DAYS AGO,post,68, 
5071.0," cleanfoodcrush Cauliflower""Mac&Cheese""🧀 {Lowcarb,comfortfood#HappyWeekend} https://cleanfoodcrush.com/cauliflower-mac-cheese-clean-eating-comfort/ . . makes4-6servings Ingredients: 1largeCauliflowerhead,cutintosmallflorets 2Tbspsclarifiedbutter,orGhee,grassfedifpossible,melted seasaltandpepper,toyourtaste 1cupnaturalcheddarcheese,shredded 1cupalmondmilk,oranymilkofchoice 2Tbspwater 1Tbsppotatoflour,arrowroot,cornflour,orcornstarch 4slicesofcookednitrate-freebacon,crumbled  Instructions: Preheattheovento370degreesf.Lineabakingsheetwithfoilorparchmentpaper. Inalargebowl,tosstogetherthecauliflowerfloretswithhalfofthemeltedbutter.Seasonwithabitofseasaltandblackpepper. Arrangethecauliflowerfloretsonthepreparedbakingsheetinasinglelayer.Roastforabout10-15minutes,untilcrisp-tender. Inasmallsaucepan,overlowheat,addthecheddarcheese,milk,andremainingbutter,stirringconstantly. Inasmallbowl,addtheflourand2Tbspofwaterandmixuntilsmooth.Addthismixturetothecheesesauceandwhiskwellto combine,thensimmerforacoupleofminutestothicken.Becarefulnottoburnthecheese.Tasteandseasonwithseasaltifneeded. Tosscauliflowerwithcheesesaucerightbeforeserving,thensprinklewithcrispybaconcrumbles. #Enjoy ❤Rachel . . . https://cleanfoodcrush.com/cauliflower-mac-cheese-clean-eating-comfort/ 5d",5 DAYS AGO,post,62, 
5633.0," cleanfoodcrush CleanEatingTurkeyGravy🧄🌱🧅🥕  ThishasbeenTHEmostrequestedrecipethroughoutNovemberwithinourCFCcommunities!  Sohereyouhaveit-Wishgranted.  DeliciousHomemadeGravyfullofflavor,andperfectlyseasoned.Ladlethisgravyoveryourroastturkey+allthetrimmingsintheirbeautifulThanksgivingglory.  I'mREALLYexcitedforyoutotryoutthisrecipe!Giveitatest-runusingdrippingsfromaroastchickenthisweekend!  ➡️Rachel'sTips: Ifyoudonothavewineonhand,youmaysubstitutewineformoreturkeyorchickenbroth.  Thewineaddsrichflavor.  Allofthealcoholwillcookoutofyourfinalgravy,sonoworriesthere.  Donotuse""cookingwine""asmostofthosehaveaflavormuchlikerubbingalcohol...LOL.  Forbestflavorandresults,useadecenttonicerbottleofwinethatonewouldactuallydrink,becausethiswillproducetheverybestflavor.  makesabout10servings  Ingredients: 1tspavocadooil,orghee 3freshgarlicclovesminced 3medium/largefreshshallots,diced 3largeceleryribs,diced 1largecarrot,peeledanddiced 1tspsmokedpaprika 1/4tspgroundblackpepper 1tsponionpowder 1/2tspgarlicpowder 1/4tspseasalt,ortotaste 2-1/2cupschickenorturkeybonebroth 1/2cupsweetwhitewine,oryourfavoritewine 1Tbsparrowrootpowder,cornstarch,orglutenfreeflour Optional:about1/4cupturkeypandrippings  Instructions:  Heatyouroilinamediumsaucepan.  Addinchoppedveggiesandsautéonmediumheatuntilsoftandgolden,stirringfrequently.  Addinallofyourseasoningsandstirwelltocombine.  Pourinthebrothandsimmer,forabout15minutes.  Removefromheatanduseahandblender(immersionblender)toblendeverythingintoasmoothsauce.  Inasmallbowl,whisktogetheryourwineandarrowrootpowder,cornstarchorGFflour.Whiskuntilitsfullydissolvedandnoclumpsareleft.  Returnyourpotwiththeblendedveggiestomediumheatandwhiskinthewinemixture.Ifyouhaveanypandrippingsfromyourroastedturkey(orchicken),nowisthetimetoaddthemin.  Whiskeverythingtogetherreallywell.  Allowittosimmerforanadditional5minutes,continuebelow 5d",5 DAYS AGO,post,78, 
10860.0," cleanfoodcrush TeriyakiGreenBeans🌱🥢🥡  TheseTeriyakiGreenBeansareVERYTASTYandexcellentforaquickweeknightdinnersidedish,oranadditiontoyourweeklyfoodprepmeals,butalsoimpressiveenoughtomakeforyourholidaygueststhisupcomingThanksgivingandChristmasseason.  Iservedthesealongsidegarlicchickentendersandbrownricetheothernightformyfamilyandeveryonereallyenjoyedthesebeans!  Inadditiontobeingversatileanddelicious,greenbeanscontainawealthofnutrients.  Greenbeansprovidesomeofourdailyproteinrequirements.TheyalsocontainvitaminslikevitaminA,C,K,B6,andfolicacid.Greenbeansareagoodsourceofmineralssuchascalcium,iron,manganese,potassium,andcopper.Theyalsocontainthatmuchneededfiber!  makesabout4servings  Ingredients:  1lb.freshgreenbeans,endstrimmed  1Tbspsesameoil  2Tbspswater  1-2Tbspstoastedsesameseeds,forserving  HomemadeTeriyakiSauce:  3-4freshgarliccloves,mincedorpressed  2Tbspsfreshginger,finelygrated  1Tbsprawhoney,orpuremaplesyrup  1/3cupcoconutaminos,Bragg'sliquidaminos,orlowsodiumsoysauce  1/2cupbroth(vegetable,orbeef)  1/2Tbspgluten-freeflour  Instructions:  InasmallglassbowlwhiskallTeriyakisauceingredientstogetherreallywell;setaside.  Heatalargeskilletovermedium-highheat,thenaddoil.Addinthebeansand2Tablespoonsofwater.Stir.  Coverandcookfor3-4minutes,thenstiragainandcontinuetocookuntiltheyaredonetoyourliking(Ipreferthemonthecrunchyside""tendercrisp""andstillverygreen).  Drizzleyourhomemadeteriyakisauceoverthebeansandcookstirringuntilsaucethickensandbeansarenicelycoatedforjustaminuteortwo.  Sprinklewithsesameseedsbeforeservingandenjoyimmediately!  ❤Rachel . . . Copy&Paste:https://cleanfoodcrush.com/healthy-teriyaki-green-beans/ . . . 5d",5 DAYS AGO,post,227, 
12603.0," cleanfoodcrush PizzaChickenBake🍕🍕🍕  #HappyWeekend  SkipgreasycardboardtakeoutandmakeTHISpizzabakeathomeinstead!  Simple,Delicious,Melty,andSUPERSatisfying!  Whenshoppingforstoreboughtmarinarasauce:  Iliketomakesurethemarinarahasnoaddedsugar(tomatoesnaturallycontainsugar,butthereshouldn'tbesugarintheingredientslist.)  IREALLYprefersauceinglassjars...muchbetterflavorandnoleachingfromcans. Marinarasauceshouldonlycontainjustafewsimpleingredientssuchastomatoes,garlicandherbs. Splurgeonthehighqualitysaucewhenyoucan,becauseyourmealwilltasteexactlylikethesauceyouuse.  makes4servings  Ingredients: 1lb.bonelessskinlesschickenbreasts(about4),lightlypoundedtoeventhickness 1Tbsphighqualityoliveoil,oravocadooil seasaltandfreshgroundblackpepper,totaste,about1/4teaspooneach 1tspItalianseasonings 1/4tspgarlicpowder 1/4tspcayennepepper 1cuplowsugarmarinarasauce 1/2cupshreddedmozzarellacheese 1ozthinlyslicednitratefreeminipepperoni 1/4cuppittedolives,sliced 1/2cupcherrytomatoes,halved 2Tbspfreshchoppedparsley,oregano,orbasiltogarnish  Instructions:  Preheatyourovento400degreesf.  Seasonthechickenbreastswithseasalt,pepper,Italianseasoning,garlicpowder,andcayennepepper,thendrizzlewiththeoil.  Gentlyrubtheseasoningsintothechickenonallsidestocoatwell,thenarrangethemevenlyintoabakingdish.  Bakefor15minutesinyourpreheatedoven,thenremovefromtheoven.  Spoonthemarinarasaucealloverthechicken,thensprinklewithcheese,minipepperoni,olivesandcherrytomatoesasshown.  Returnthebakingdishtotheovenandbakeuntilchickenisfullycooked(internaltempshouldread165F),about10additionalminutes.  Sprinklewithfreshchoppedherbsandenjoy!  ❤Rachel . . . Copy&Paste: https://cleanfoodcrush.com/low-carb-pizza-chicken-bake-recipe/ . . . 6d",6 DAYS AGO,post,51, 
