likes,about_post,date,type,comments,tagged_names
852.0," cookinwithmima Verified HappyThanksgivingeveryone!Sothankfulforallofyouandyourcontinuoussupport!❤️🙏🏼  HereisagreatCranberrySaucerecipeifyouhavesomefreshcranberriesinhand!Ithastheperfectcombinationofflavors,soquickandeasytomake,thatyou’regoingtowanttoskipthestoreboughtversionthisholidayseason!  Fullrecipelinkinmybio.  https://www.cookinwithmima.com/homemade-cranberry-sauce/ 20h",20 HOURS AGO,post,37.0, 
3065.0," cookinwithmima Verified EasyGreenBeanCasseroleisoneofouraltimefavoriteholidaysides.Richinflavorsandtextures,thisishandsdownthebestGreenBeanCasseroleyou'llhave!Thiseasysidedishismadefromscratchandwillbeatotalcrowdpleaser,tryitthisThanksgivingareanytimeyouwantasupertastysidedish!  Fullstep-by-steprecipelinkinmybio ",1 DAY AGO,post,25.0,  @cookinwithmima  https://www.cookinwithmima.com/easy-green-bean-casserole/ 1d
2891.0," cookinwithmima Verified WowthecrowdwiththesedeliciousandgorgeousMiniPumpkinCheesecakes!Adreamypumpkincheesecakefillingissandwichedbetweenachocolateybaseandpumpkincreamtopping-theseareperfectforfestivedinners,gettogethersorjustasatreat!  Grabthefullrecipelinkfrommybio ",2 DAYS AGO,post,20.0,  @cookinwithmima  https://www.cookinwithmima.com/mini-pumpkin-cheesecakes/ 2d
8228.0," cookinwithmima Verified OvenRoastedBabyPotatoesisasimpleside,guaranteedtobeoneofthemostpopularplatesonyourdinnertable!Whodoesn'tlovecrunchingintooneofthesegoldenbitesofloveliness?Greatforservingthecrowd!  Findthefullstep-by-steprecipefromthelinkinmybio.  https://www.cookinwithmima.com/oven-roasted-baby-potatoes/ 3d",3 DAYS AGO,post,34.0, 
1726.0," cookinwithmima Verified #adMakingturkeydoesn'thavetotakehourstomakeandbecomplicated.Wheneverwearecravingsometurkey,anovenroastedturkeybreastisourgo-torecipe.Tomakethingssimpleandwithminimalcleanup,IuseReynoldsWrapHeavyDutyFoilfrom Ithelpsholdontoalloftheroastedgoodnessoftheturkeywithoutamessycleanup.ThisOvenRoastedTurkeyBreastrecipetakeslessthantwohoursfromstarttofinish,cleanupincluded!#ReynoldsPartner  Grabthestep-by-steprecipefromthelinkinmybio.  https://www.cookinwithmima.com/oven-baked-turkey-breast/ 4d",4 DAYS AGO,post,30.0,  @ReynoldsBrands.
6359.0," cookinwithmima Verified ThisSpicyShrimpPastaisjustsoeasyandsoflavorful!Deliciousshrimpmixedwithgoldenpasta,inafingerlickingsaucethathasacajunkick!Makethissimpleanddeliciouspastadishforheartyweeknightmeal!  Grabthefullrecipefromthelinkinmybio ",5 DAYS AGO,post,55.0,  @cookinwithmima  https://www.cookinwithmima.com/spicy-shrimp-pasta/ 5d
3395.0," cookinwithmima Verified Puffpastrysetsthebaseforthesecrispyandcreamytarts.Theyaremadewithayummycustardfillingthatyoucanmakeinadvance,puffpastrysheets,andtartraspberries.TheseRaspberryPuffPastryTartsarereadyinunderanhourandcanbemadeforjustaboutanyoccasion!  Fullrecipelinkinmybio.  https://www.cookinwithmima.com/raspberry-puff-pastry-tart/ 1w",7 DAYS AGO,post,43.0, 
5270.0," cookinwithmima Verified EasyPotatoesGratinisaclassicsidedishthat'ssoeasytomake!Potatoslices,bakedtoperfectthensmotheredinadreamycreamycheesesauce,it'ssoheartyandsodelicious.Homemadeaugratinpotatoesisoneofthosesimplerecipesthatdeliverssomuch!  Grabthefullstep-by-steprecipefromthelinkinmybio ",NOVEMBER 19,post,35.0,  @cookinwithmima  https://www.cookinwithmima.com/easy-potatoes-gratin/ 1w
5748.0," cookinwithmima Verified Soft,buttery,andlight.Youonlyneed7simpleingredientstomaketheseEasyDinnerRolls.Aclassicsideforanydinner,you’lllovehoweasythisfoolproofdinnerrollrecipeis.  Getthestep-by-steprecipelinkfrommybio ",NOVEMBER 17,post,17.0,  @cookinwithmima  https://www.cookinwithmima.com/easy-dinner-rolls/ 1w
7847.0," cookinwithmima Verified Cheesyontheoutside,creamyandpackedwithrice,chicken,andbroccoliontheinside,thisChickenBroccoliRiceCasseroleistheULTIMATEweeknightdinnerrecipe.Toppedwithmeltycheddarcheese,thishomemadecasserolepackscomfortineverybite!Thisisalsooneofmyfavoriteholidaydish.  Grabthefullstep-by-steprecipelinkfrommybio ",NOVEMBER 16,post,22.0,  @cookinwithmima  https://www.cookinwithmima.com/chicken-broccoli-and-rice-casserole/ 1w
