likes,about_post,date,type,comments,tagged_names
7550.0, coryrichards Verified Cravingbigblueskiesandwideopenlandscapes.Shot#onassignmentfor with and ,2 DAYS AGO,post,72.0,  @natgeo @mikelibecki @freddiewilkinson 2d
21039.0, coryrichards Verified 4yrssobertoday.Stillveryimperfect...butthisneverwasreallyaboutperfection.Gratefulandindebtedtoallthedarknights.Onward. 3d,3 DAYS AGO,post,27.0, 
7108.0," coryrichards Verified Heyeveryone!Justaquickreminderthattomorrow,from5-7pmPST,Iwillbeteachingaclassonconservationphotographywith Inthissession,wewillprimarilyfocusonhowtouseourcamerasasinstrumentsforcultural,social,andenvironmentalchange.Headovertothelinkinmybiotosignup.Hopetoseeyouallthere! 1w",NOVEMBER 15,post,145.0,  @creativephotoacademy.
13715.0," coryrichards Verified Stillkickingmyselffornotgettingthisbirdinfocus,alltheseyearslater.#fuckupfridays 1w",NOVEMBER 14,post,60.0, 
9159.0," coryrichards Verified I'vealwaysfoundthatthebesttimetotakeyourcameraoutiswhenitisleastconvenient.Whetheritsinextremeweatheroraprecariousposition,pushyourselftocapturethenatureofdiscomfort. 2w",NOVEMBER 12,post,38.0, 
7645.0," coryrichards Verified ElephantstraversethefloodedOkavangoDelta,Botswana.Shotonassignmentfor coveringthesourcetosandmega-transectoftheCuitoRiverCatchmentstretchingfromtheAngolanHighlandsthruNamibia,andintoBotswana. 2w",NOVEMBER 12,post,14.0,  @natgeo
4576.0," coryrichards Verified Travelinghasawayofexpandingme,bothinternallyandexternally.Itslowlydisassemblesconditionedbeliefsaboutwhatandwhoisrightorwrong,justifiedorvictimized,goodandbad.IviewtheopportunityI’vehadtomovethroughdiverseculturesasauniquelyhumblingandhumanizingone.I’moftenremindedthemoreIsee,thelessIknowandthatwheneveryonebelievestheyareright,itprobablymeansnooneis...whichIfindtobecomforting.Asahumanfamily,wearefarmoresimilarthanwearedifferent.Ilovebeingabletosortthroughthemilieuxofculturaldiversityonlytouncoveroursharedsimplicity...allofusputtingonourdifferentcostumesonelegatatime.imagetakenatPotalaPalace,Lhasa,Tibet. 2w",NOVEMBER 6,post,10.0, 
6882.0, coryrichards Verified Serenity 3w,NOVEMBER 3,post,25.0, 
4773.0," coryrichards Verified Seenfromspace,highaboveAfrica,theOkavangoDeltaisoneoftheplanet’sgreatwetlands.Anecosystemofoflife-nurturingchannelsandlagoonsamidaseverelydryregionofthecontinent.Thisdeltaisawetrefugesupportingelephants,hippos,crocodiles,andwilddogs;lechweandsitatungasandotherwetlandantelopes;warthogsandbuffalo,lionsandzebras,andbirdlifeofwondrousdiversityandabundance. 3w",NOVEMBER 1,post,63.0, 
7348.0," coryrichards Verified WhenIinitiallycametotheHimalaya,itwasaboutclimbing.Butafter12tripsin3years,IfoundmyselfimmersedintheculturejustasmuchasIwasinfatuatedbythesurroundingmountains.Quickly,thesetripsbecamemoreaboutwhatIwasseeingandtheculturesIwasexperiencing.That'sthethingaboutclimbing.Thislife-longsearchforthemostspectacularsummitsintheworldhastakenmetoplacesIwouldhaveneverotherwisethoughttogo.Intheend,climbingissimplythecatalyst. 3w",OCTOBER 31,post,43.0, 
