likes,about_post,date,type,comments,tagged_names
13386.0, daniel_ernst Verified AlittlebitofIcelandfoundinGermany🥶Thisplaceremindedmeonmyflightoverthehighlandsinwinterafewyearsago.  #weroamgermany#zugspitze#garmischpartenkirchen#roamtheplanet 1d,1 DAY AGO,post,104.0, 
20844.0, daniel_ernst Verified BOOKGIVEAWAY//Heyfriends!Assomenoticed andIreleasedabookabout5yearsofjourneysthroughtheNordicCountries.TodayIhave20copiestogivetoyou!🙌  Allyouhavetodois: 1.Likethisphoto 2.Commentwhichnordiccountryyouwouldlovetogoandwhoyou’dbringwithyou!  ThebookisinGermanbutthephotosspeakaninternationallanguage🤗Goodluck!WinnerswillberandomlypickedonSunday✌️ (GiveawayisnotsponsoredbyInstagram)  #nordwaerts#nordic#norway#sweden#finland#iceland#faroeislands 4d,4 DAYS AGO,post,281.0,  @tashi_ka
11626.0, daniel_ernst Verified Enjoyingacalmmorningbythelakew/ #stademagazine#solarcollective#negativemag#eibsee#utpåtur#friluftsliv#zugspitze#roam 1w,7 DAYS AGO,post,215.0,  @tashi_ka  #weroamgermany
14474.0," daniel_ernst Verified //AnzeigeThroughthemistwith CoupleofweeksagoIfoundmyselfbetweencolorfulautumnforestsanddense,mysticalfogintheSouthofGermany.ForahandfulofdaysweexploredthebeautifulBlackForestregionwhereIhadneverbeenbefore.Followingtheconceptof‘Neuland’,whichmeansasmuchasmypersonalundiscoverednewterritory,wesetouttoforourownnewplaces.Watchthevideowecreatedonthistripbyswipingupinmystory!#Neuland —————————— Neulandmit VoreinpaarWochengingesfürmichindenSchwarzwald.ZwischenbuntenHerbstwäldernunddichtem,mystischenNebelerkundetenwirmitdemQ2dieGegendimSüdenDeutschlands.FürmicheinabsolutesNeuland,ichwarnochnievorherimSchwarzwald-aberdieRegionhat’smiraufjedenFallangetan!Wieesaussahundwowirüberallwaren?ÜbermeineStorygelangtihrzumVideovondemTrip!#Neuland  Filmby & #schwarzwald#blackforest#audi 1w",NOVEMBER 17,post,181.0,  @audi_de. @audi_de. @sixnine @themolderway  #weroamgermany
13891.0," daniel_ernst Verified Afewweeksback andIhadthechancetobeinvolvedinsomeoftheenvironmentalmeasuresofthe Withaprogramtoprotectandconservelandscapeslikeforestsorformerusedmilitaryareas,thecompanyaimstoreturntheseareasintonewhabitatsforanimalsandplants.Over4dayswevisitedvastareaswherebisons,wildhorsesorwaterbuffaloesroamfreelyandlearnedabouttheirpositiveaffecttobiodiversity.Onanotherdaywewentintoanuntouchedforestinwhichnohumanhandhasintervenedforover40years.Inthecomingweekwewillpublishavideothatwillshowmoreaboutourtrip🙌  //Anzeige #DeutscheBahn#dasistgrün#starkeschiene 2w",NOVEMBER 9,post,218.0,  @theolator @deutschebahn. @deutschebahn
13031.0, daniel_ernst Verified AutumndaysinsouthernGermany🍁Where’syourfavoriteplaceforthefallcolors?🤗  #weroamgermany#utpåtur#stademagazine#solarcollective#germany#deutschland#schwarzwald#blackforest 2w,NOVEMBER 7,post,168.0, 
16214.0, daniel_ernst Verified FromacoldandpeacefulmorninginJapan.Timefeelstoslowdownwithaviewlikethis🇯🇵  #mtfuji#japan#stademagazine#solarcollective#negativemag#weroamabroad#friluftsliv#roam 3w,NOVEMBER 5,post,166.0, 
11354.0," daniel_ernst Verified I’mactuallynotabigfanofHalloween,butIloveshootingdark,moodyimagesinthefog.HerearesomespontaneousshotsfromthisweekstriptotheBlackForest.HappyHalloween🎃  #halloween#happyhalloween#blackforest#schwarzwald#weroamgermany#solarcollective#stademagazine 3w",OCTOBER 31,post,134.0, 
13342.0, daniel_ernst Verified Achangeinperspectivealwaysisagoodidea-flyinghighabovetheLofotenarchipelagoremindedmeagainhowbeautifultheregionisandhowmuchmorethereistosee.  #norsk#norge#utpåtur#friluftsliv#lofoten#norway#reine 4w,OCTOBER 30,post,146.0, 
13200.0," daniel_ernst Verified ScenesfromremoteNorway.Icouldstandhereforhours,there’salwayssomethingmesmerizingaboutnature’spower🌊  #friluftsliv#utpåtur#norge#nordic#norway#stayandwander#sollarcollective#stademagazine 4w",OCTOBER 28,post,261.0, 
13568.0, daniel_ernst Verified Coldair.Darknights.Warmfire.Goodfriends.Sharedthoughts.Bestmoments! Wedidn’tactuallyexpectasunsetthatevening.Butalloutofsuddenthesuncamethroughandthewholescenewaslitupinanunrealredtone!Momentslateritwasdarkandtherainwasback-whataluckymoment🙌  #friluftsliv#norge#utpåtur#lofoten#norskfriluftsliv#solarcollective#stademagazine#weroamabroad 4w,OCTOBER 24,post,172.0, 
20696.0, daniel_ernst Verified Archivefinds-memoriesfromPatagoniacoupleofyearsago🍁8dayshikingthroughthewildlandscapeofTorresdelPaine.  #solarcollective#stademagazine#friluftsliv#utpåtur#patagonia#torresdelpaine 5w,OCTOBER 19,post,110.0, 
13366.0," daniel_ernst Verified AlongtheroadsofNorwaywithourvan -sinceweconvertedourvan,roadtripshavebecomesoeasyandcomfortable.Basicallyallweneedisonboard-bed,kitchen,fridge,70lfreshwater,electricityandsoon.It’sjustsoconcisetohaveeverythingwithyouanddecidespontaneouslywheretogoandwheretostay.Likeaproperhome🤗  #wilmaontour#wilmaontheroad#vanlife#vwjourney#norge 6w",OCTOBER 11,post,198.0,  @bulli.wilma
11551.0, daniel_ernst Verified ThisyearstriptoNorwaytookmetosomanylocationsthatIhaven’tbeenbefore-thiswasoneofmyfavoriteplaces.  #norge#nordic#utpåtur#norsknatur#friluftsliv#stayandwander#solarcollective#stademagazine 6w,OCTOBER 10,post,156.0, 
15006.0, daniel_ernst Verified ChasingdistanthorizonsinthedesertofBolivia🇧🇴  #stademagazine#solarcollective#roam#weroamabroad#bolivia#uyunisaltflats#stayandwander 7w,OCTOBER 7,post,181.0, 
13577.0, daniel_ernst Verified Amomentofsilenceandpureblisswithaviewthatmakesyouforgetthosesorelegs⛺️  #nordic#utpåtur#friluftsliv#norge #norsknatur#backpacking#norskfriluftsliv#wilderness 7w,OCTOBER 5,post,455.0, 
