likes,about_post,date,type,comments,tagged_names
286633.0," darshanravaldz Verified Abtohsachmeintumhedekhehueekarsahogaya,Missyouall❤️💙 . #Darshaners#Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver#Missingmyfam . 📸 by ",2 HOURS AGO,post,4580.0,  @zahirabbaskhan Styled @anusoru 2h
457724.0, darshanravaldz Verified 💙❤️ . #Darshaners#Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver . 📸 ,1 DAY AGO,post,1708.0,  @dieppj 1d
795880.0, darshanravaldz Verified Kaisalagrahahoon? . #Darshaners#Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver 2d,2 DAYS AGO,post,2913.0, 
551696.0, darshanravaldz Verified Happybirthdaytomybrother ❤️💙 3d,3 DAYS AGO,post,4128.0,  @hardilpandyaofficial
490252.0, darshanravaldz Verified KyaUskiAnkhonMeinMujhe TuAajBhiDhoondtiHai  #Darshaners#Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver#Mainkisiaurka#Judaiyaan . 📸 ,4 DAYS AGO,post,4423.0,  @dieppj 4d
664965.0, darshanravaldz Verified Hokaisetaanebaanebhune Meradiljulaha.... . #Darshaners#Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver . 📸 ,4 DAYS AGO,post,7081.0,  @dieppj 4d
209506.0, darshanravaldz Verified Superstokedtoannouncethat#DilJulahafrom#Ludoisoutnow!!Pourinyourloveand            #BhushanKumar   #KrishanKumar#AnuragBasuProductions    #Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver#ludo 5d,5 DAYS AGO,post,4714.0,  @tune-in🎧  https://bit.ly/DilJulaha-Ludo bachchan @adityaroykapur @rajkummar_rao @pankajtripathi @sanyamalhotra_ @fatimasanashaikh @pearlemaany @rohitsaraf10 @inayatverma22 @ashanegi @itsshalinivatsa @anuragbasuofficial @divyakhoslakumar @ipritamofficial @tanibasu @tseries.official @tseriesfilms @swanandkirkire @netflix_in . #Darshaners
631441.0, darshanravaldz Verified Danceguruinactionwithmystudent 😂😂😂😝😝 6d,6 DAYS AGO,post,2562.0,  @heli_daruwala
694995.0, darshanravaldz Verified Basjhagdahonehiwalatha... #Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver#Judaiyaan#Mainkisiaurka 1w,7 DAYS AGO,post,4400.0,  @heli_daruwala . #Darshaners
743486.0, darshanravaldz Verified #MainKisiAurKa . #Darshaners#Bluefamily#MyfansMyFamily#Spreadlove#BestFansEver ,NOVEMBER 19,post,3328.0,  @#Judaiyaan . heli_daruwala 1w
