likes,about_post,date,type,comments,tagged_names
483827.0, davidbeckham Verified 23yearslater…soproudtobebackonthecover #FIFA21 4d,4 DAYS AGO,post,2743.0,  @easportsfifa
848025.0, davidbeckham Verified I’mgettingahintof...orange😂🍊Alwaysenjoychoosingmynew#DavidBeckhamFragrances 1w,7 DAYS AGO,post,3589.0, 
879706.0, davidbeckham Verified Alwayslovegettingoutonmybike🏍 1w,NOVEMBER 10,post,4304.0, 
1090688.0," davidbeckham Verified Growingup,mygrandadalwaysmadesureIworeapoppyeveryyearandaschildrenweunderstoodhowimportantitwastorememberthose,likehim,whohadservedourcountryaroundtheworld.ThisyearthePoppyAppealneedsusallmorethanever.That’swhyI’mbacking campaigntosupportthe aheadofRemembranceDay.IwasprivilegedtospendtimewiththeChelseaPensionersatthe thisweek,tolearnabouthowtheyhavecopedduringthepandemicandheartheirincrediblestories.Theyreallyareashiningexampleofstrengthandresilienceandtheirpositiveoutlookonlife,communityspiritandenergywassoinspiring.Pleasejoinmeinwearingapoppywithpride. 2w",NOVEMBER 4,post,2680.0,  @TheSun’s @RoyalBritishLegion @RoyalHospitalChelsea
1909180.0, davidbeckham Verified HappyHalloween🎃#HarperSeven 3w,OCTOBER 31,post,5549.0, 
435957.0, davidbeckham Verified SosadtohearthenewsofNobbypassingtoday...Iwillbeforevergratefulforthesupportandpassionheshowedmeandalltheotheryouthteamplayerswhenwewereyoungkids..WewereluckyenoughtolearnfrommanygreatsatManchesterUnitedbutNobbywasaWorldCupwinnersoitwasextraspecial..ThankyouforeverythingNobbyyouwillbeforeverinourMemoriesasaUnitedandEnglandgreatbutmoreimportantlyourcoach..RestInPeaceandourthoughtsarewithyourfamilyandfriends🏴󠁧󠁢󠁥󠁮󠁧󠁿 3w,OCTOBER 30,post,1311.0, 
878440.0, davidbeckham Verified SoHarperbecameaJuniorZooKeeperforthedaythankstoReggieat andwiththehelpofHelenitwassuchafundayfordadaswell🦏meetBellbtw🦏 4w,OCTOBER 23,post,2862.0,  @cotswoldwildlifepark
930318.0," davidbeckham Verified NeverthoughtI’denjoyforagingasmuchasthis,butdon’tworryIwasn’taloneIwaswithmyprettylady#HarperSeven♥️autumnwreathmaking♥️ ♥️ 4w",OCTOBER 20,post,4019.0,  @daylesfordfarm
1445381.0, davidbeckham Verified Mysecond collectionislaunchingtoday.Weworkedhardtocreatestylesthatarepushingboundariesbutstillhavethatclassicfeel.It’salwaysexcitingtoseethecollectioncometolifeandIcan’twaitforyoualltoseeit🙌🏻#DBEyewear 5w,OCTOBER 13,post,7693.0,  @DBEyewear
951196.0, davidbeckham Verified Ridealong🏍 6w,OCTOBER 12,post,3820.0, 
