likes,about_post,date,type,comments,tagged_names
3755.0,"  isback-thisweekwe’retacklingstuffing.Turnsout...it’sweirdtomakestuffingandeatitbyitselfbut  andImade3differentrecipesthisweektofigureoutwhichstuffingreignssupreme.Listenwhereveryougetpodcastsandifyou’renotmakingyourownthanksgivingmealthisyear,supportalocalrestaurantifpossible🙏staysafeeveryone. 2d",2 DAYS AGO,post,908.0,  @davidchang Verified recipeclub @rrrrrrrachelkhong @chrisyingz
16530.0,"  isoneoftheverybestonanydayoftheweek...it’salsoanamazingalternativetocookingthanksgiving.Italsotravelsextremelywell,sogopicksomefoodup.Ifyouhaven’ttrieditbeforeyouaremissingout.Glendalerestaurantsrule. 2d",2 DAYS AGO,post,62.0,  @davidchang Verified mini_kabob
27696.0, davidchang Verified 🦀🥔=🐐 3d,3 DAYS AGO,post,238.0, 
3652.0," davidchang Verified Firstepisodeof thisweekand  andIarestartingwithturkeysincesomanyofyouaregoingtobecookingit.That’showwewantthispodcasttowork.Recipeclubisn’tjustushostingit-we’rehopingitbecomesmorelikeabookclubthatyou’reallapartofandcookalongwithus.Hopefullywecanteachyoutotrustyourinstinctsinthekitchen,andquestionwhycertainrecipesarepopular.We’regoingtobetweakingthissoletusknowwhatyouthinkaswegetthisgoing.🙏Listenon orwhereveryougetpodcasts. 1w",7 DAYS AGO,post,119.0,  @recipeclub @priyakrishna @chrisyingz @spotifypodcasts
14992.0, davidchang Verified dumb&dumberorthechoechangmethodtolightninggasgrills ,NOVEMBER 16,post,23.0,  @davidchoe 1w
22600.0, davidchang Verified “WhoWantstobeaMillionaire”issomuchharderthanitlooks!!•I’mon tonight ,NOVEMBER 16,post,494.0,  @millionairetv @abcnetwork 1w
91047.0, davidchang Verified bestpartofmyday  📷: ,NOVEMBER 14,post,146.0,  @graceseo 1w
3131.0," davidchang Verified Oneclassicdish.Threerecipes.Letthedebatebegin...Introducing abrandnewpodcastby from  Listentohoweveryougetyourpodcasts.I’mtryingtowineveryepisode  Episode1airsonTuesday,11.17-let’sgetcooking🍽 2w",NOVEMBER 13,post,611.0,"  @recipeclub, @ringer @majordomomedia @spotify."
35116.0," davidchang Verified Beenworkingonsoysaucesincetheearlydaysofmomofukuculinarylab.OfteninAmericangrocerystoressoyandtamaritasteslikecaramelcoloredsaltwater...thathastochange.Theysell10typesofoliveoil,whynot10typessoyortamari?Wemadebonjiforourrestaurantsbutwantedtomakearestaurant-gradeproductforhomecookstoo.Westeeporganicsoyandorganictamariwithkombutomakethemrounderanddeeper.Willbesharingmoreonourprocesssoonandwe’reworkingoninternationalshipping🙏Signupatthelinkinmybiotogetonourlaunchdropwaitlist. 2w",NOVEMBER 12,post,7666.0, 
198299.0, davidchang Verified Mypresident -pleaseconsiderusforpositionsinyourkitchencabinet 2w,NOVEMBER 6,post,586.0,  @joebiden  ps
16251.0," davidchang Verified Nomatterwhathappensinthecomingdays,wehavealongroadaheadtothecountryweallwant.Sharedsomethoughtsandtriedtogearupforthegoodfightonthe today.(Andifyoumakeitthroughmyrambling,there’sagreatepisodeofbadmovieclubwith waitingforyouinthebackhalfofthepod.) 3w",NOVEMBER 6,post,1417.0,  @davechangshow @pattonoswalt
19559.0, davidchang Verified Thisistheway 3w,NOVEMBER 5,post,291.0, 
62416.0, davidchang Verified IhopemorepeopleeatKoreanChinesefoodandsupporttherestaurantsthatmakethisdeliciousstyleoffood.Especiallynowsincesomanyoftheserestaurantsweresodependentonbanquethallbusiness.It’simportanttosupportthem.Besidesit’ssodamndelicious.ThisfoodisastapleforsomanyKoreans.  TheDragonRestaurantinLosAngelesmakesoutstandingfood.CheckyourlocalcitiestoseeifthereisaplacethatmakesKoreanChinesefoodandorderdirectlyfromthem!  Quickprimerorderingguide:  jjajangmyeon(짜장면)-noodleswithablackgravyismaybethemostunderratednoodledishoutthere.  Jjamppong(짬뽕)-spicyseafoodsoup  Tangsuyuk(탕수육)-sweetandsourpork  Eatwithdanmuji(단무지-pickledradish)&rawonions!splashedwithsomevinegaranddippedinsomechujang(춘장)-themainingredientforthejjajangsauce.Thiscomeswiththefood.Plusalwaysusesomericetoeattheleftoverjjajangsauce 4w,OCTOBER 27,post,97.0, 
15163.0,  ofLeBernardinison thisweek.OneofthebestchefsintheworldandsomeonewhosehappinessI’mveryjealousof.Greattotalktohimabouthiscareerandhisexperienceduringcovid. andIplayagameofoverrated/underratedandrankedourfavoritebreakfastcereals.Listenwhereveryougetpodcasts. 5w,OCTOBER 21,post,332.0,  @davidchang Verified ericripert @davechangshow @Also....chrisyingz
