likes,about_post,date,type,comments,tagged_names
26323.0," deliciouslyella Verified Sevenweeksofthissmiley,cuddly,angelbaby🥰🥰🥰 21h",21 HOURS AGO,post,70.0, 
17321.0," deliciouslyella Verified Thebestthingaboutthisbowlisthatthereisnowasteasweusethewholecauliflower:stalk,leavesandflorets🌱Theleavesgolovelyandcrunchy,whilestalksblendbeautifullyintothesmoothbutterbeanmashalongwiththeroastedgarlic,mustard,rosemary,thymeandlemonjuice😍Recipeonpage132ofQuick&Easy,linkinbio❤️ 1d",1 DAY AGO,post,102.0, 
12610.0," deliciouslyella Verified Alittleinspiration🌱Thisbeautycanbeputtogetherwithjustafewvegetablesandkitchencupboardingredients,soitcouldn'tbeeasier.Sautéedonion,garlic,sun-driedtomatoesandthymesimmeredwithtomatoesandstirredthroughroastedaubergineandabigbowlofpasta😍Findtherecipeonourapp,linkinourbio🌱 2d",2 DAYS AGO,post,143.0, 
27341.0," deliciouslyella Verified Snacktime😍Chocolatecoated,almondbutterstuffeddates-genuineheaven!  10Medjooldates 10teaspoonsofalmondbutter(oranyothernutbutter) 60gcacaobutter 3tablespoonsofcacaopowder 4tablespoonsofdatesyrup  Placethecacaobutter,cacaopowderanddatesyrupintoapanoveralowheatandcookuntileverythinghasmelted.  Pitthedatesandstuffeachwith1teaspoonofnutbutter.  Placethedatesonawirerackwithatrayunderneathanddrizzleatablespoonofthechocolatemixture overeach.  Placeinthefridgeuntilthechocolatehasset,about1hour.  Enjoy!😘 3d",3 DAYS AGO,post,89.0, 
13227.0," deliciouslyella Verified Cashews,dijonmustard,roastedgarlicandlemonblendedintoasmooth,creamysauceandstirredthroughsautéedmushrooms,onionandchickpeas-soyum!Afavefromtheapp,linkinourbio🌱 4d",4 DAYS AGO,post,207.0, 
18635.0," deliciouslyella Verified Oursweetpotatogratinistheperfectdishtoenjoyonaspecialoccasion🥰Thethinlyslicedsweetpotatoesarecoatedinacreamycashewsaucewithlayersofwiltedspinachforsomeaddedgreens,andtoppedwithparsleyandcrackedblackpepper🌱Welovetoenjoyitalongsidesomesteamedveggiesandawarmingstew😋Recipebelowandontheapp,linkinbio❤️  Serves4-6  6sweetpotatoes 200gcashews 2tablespoonsofnutritionalyeast 200mlalmondmilk 1tablespoonofDijonmustard Juiceof1lemon 3roastedgarliccloves 1bagoffreshspinach,roughlychopped Handfulofchoppedparsley Drizzleofoliveoil Pinchofsalt  Preheattheovento200C(390F),fansetting.  Veryfinelyslicethesweetpotatoesintothispieces.Placethepiecesontoabakingtrayanddrizzlewitholiveoilandapinchofsalt.Mixwellandcookfor20-25minutesuntiltheyfeelsoftbutstillholdtheirshape.Oncecooked,removefromoven.  Whilethesweetpotatoescook,placethecashews,almondmilk,mustard,nutritionalyeast,lemonjuice,garlicclovesandapinchofsaltintoapowerfulblenderandblenduntilsmooth.Youmaywanttoaddalittlemorealmondmilkifthesaucefeelstoothick.  Placeathinlayerofsweetpotatoesintothebaseodabakingdishistheyareoverlapping.Topwithhalfofthechoppedspinachandathirdofthecashewsauce.Repeatthisprocess,withalayerofsweetpotatoes,spinachandcashewsauce.Finishingwithonemorelayerofsweetpotatoesandcashewsauceontop.  Cookfor20-25minuetsuntilthesweetpotatoesinthemiddlefeelsoft.  Oncethepotatogratingscooked,turntheoventoahighgrillsettingandgrillforthelast5minutesinordertocrispthetop.  Topwithsomefreshlycrackedpepperandchoppedparsley.  Enjoy!😘 4d",4 DAYS AGO,post,119.0, 
10324.0," deliciouslyella Verified Gooeyinthemiddle,crunchyontheoutsidewithbigchunksofmeltedchocolatethroughout,ourbake-at-homeChocolateChipCookiesaretheultimateplant-basedindulgence😋Welovethemstraightfromtheovenorservedwithascoopofcoconuticecreamfordessert😍FindthematTesco,Waitrose,Ocado,PlanetOrganicandWholeFoodsMarket❤️ 4d",4 DAYS AGO,post,295.0, 
14015.0," deliciouslyella Verified Sweetandcreamywithacaramel-likeflavour,ourpecanpieisoneofthemostdeliciousdessertsever🥰Thepecan,dateandmaplesyrupmixsitsonanalmondbaseinfusedwithsubtlehintsofcoconutoilandcinnamon,beforebeingtoppedwithalayerofmapleandcinnamontoastedpecansforanextranuttycrunch😋Recipebelowandontheapp,linkinbio❤️  Makes1largepie  Forthecrust: 125galmonds 125gbuckwheatflour 2tablespoonsofcinnamon 2tablespoonsofmaplesyrup 2tablespoonsofmeltedcoconutoil 4pittedMedjooldates  Forthemiddle: 100gpecans 180mlwater 1x170g(6oz)jarofcashewbutter 12pittedMedjooldates 4tablespoonsofmaplesyrup  Forthetopping: 100gpecans 2tablespoonsofmaplesyrup 1teaspoonofcinnamon  Preheattheovento180C(350F),fansetting.  Makethecrustbyblendingthealmondsinafoodprocessorforaminutetoformaflour.  Addthebuckwheatflour,cinnamon,maple,datesandcoconutoiltopreventthepiefromsticking,beforeusingaspatulatocoverthebottomwiththemixture.  Bakeforabout15minutes,untilthetopbecomesnicelybrownandishardening.  Whilethiscooks,makethemiddlelayerbyblendingthepecansinthefoodprocessorforaminuteuntiltheyareacrossbetweenanutbutterandaflour,beforeaddingthecashewbutter.  Oncethosehavemixed,addthemaplesyrupandpitteddates.  Allowthesetoblendasyougraduallyaddthewater.Keepthismixinthefridgeuntilyou'rereadyspreaditoverthebase.  Finally,placethepecansforthetoppinginabakingdishwiththemaplesyrupandcinnamon,mixthemalltogetherandbakefor10minutesuntiltheybecomealittlebrownedandcrunchy.  Oncethepiehascooked,allowittositforafewminutes.  Spreadthemiddlelayeracrossitandaddthepecansontop.Youmayneedtoleaveitforanhourorsotofullyset.  Enjoy!😘 1w",7 DAYS AGO,post,442.0, 
13592.0," deliciouslyella Verified Easytomakeautumnaltraybake🌱madewithjuicysun-driedtomatoes,crunchychickpeasandcrispykale,coatedinacreamytahiniandharissadressing😍soyumandfullofsomuchgoodness!Recipebelow❤️  Serves2  1redonion,peeledandcutintobite-sizedchunks 5carrots,cutintobite-sizedchunks 1x400gcanofchickpeas,drained Ahandfulofsun-driedtomatoes,roughlychopped Largehandfulofkale,roughlychopped 1tablespoonofsmoothtahini ½tablespoonofharissapaste Squeezeoflemonjuice Drizzleofoliveoil Pinchofsalt  Preheattheovento200C,fansetting.  Placetheredonion,carrots,drainedchickpeasandsun-driedtomatoesintoalargebakingtray.Addadrizzleofoliveoilandapinchofsaltandmixwelluntileverythingiscoated.Cookfor35-40minutesuntilthevegetablesfeelsoft.  Oncesoft,removefromtheovenandmixthroughthekale.Placebackintheovenfor5-10minutestocookuntilthekalebecomescrispy.  Oncecooked,removefromtheovenandmixthroughthetahini,harissapasteandasqueezeoflemonjuice.Mixwelltoensureeverythingiscoatedinthetahiniandharissabeforeserving.  Enjoy!😘 1w",NOVEMBER 18,post,169.0, 
19489.0," deliciouslyella Verified Sweetpotatoandchickpeakatsucurrywithchunksofaubergineandchickpeas🌱Theginger,tamariandalmondbuttergivesamazingrichnessandflavour,whilethecoconutmilkaddadeliciouscreaminesstothedish😍Welovetoserveitwithbrownrice,parsleyandacrackofblackpepper.Recipebelow❤️  Serves2  Forthecurrypaste: 2tablespoonsofoliveoil 1thumb-sizedpieceofginger,peeled 3garliccloves,peeled 1tablespoonofcurrypowder 1teaspoonofturmeric 1tablespoonoftamari 2teaspoonsofmaplesyrup 2teaspoonsofbrownricevinegar 1tablespoonofalmondbutter Pinchofsalt  Forthecurry: 1sweetpotato,peeledandcutintobite-sizechunks 1largeaubergine,cutintobite-sizechunks 1x400gcanofchickpeas,drained 1x400gcanofcoconutmilk 1onion,peeledanddiced 1tablespoonofcoconutoil Oliveoil Pinchofsalt  Preheattheovento200C,fansetting.  Placethechunksofsweetpotatoandaubergineontoabakingtrayanddrizzleinoliveoilandapinchofsalt.Mixwellandcookfor30-35minutesuntilsoft.Oncesoft,removefromtheovenandleavetooneside.  Addthecurrypasteingredientsintoapowerfulblenderandblenduntilsmoothpasteforms.  Placealargepanoveramediumheatandadd1tablespoonofcoconutoil.Oncemelted,addthedicedonionandapinchofsalt.Mixwellandcookfor5-10minutesuntilsoft.  Oncesoft,mixthroughthecurrypasteanddrainedchickpeas.Cookforacoupleofminutesbeforeaddingthecoconutmilk.Mixeverythingreallywellandleavetosimmerfor10-15minutes.  Stirthroughtheroastedsweetpotatoesandaubergineandheateverythingthroughforacoupleofminutesbeforeserving.  Enjoy!😘 1w",NOVEMBER 17,post,150.0, 
