likes,about_post,date,type,comments,tagged_names
18582.0, diipakhosla Verified What’sthefirstthingyounoticeonthesephotos? 2h,2 HOURS AGO,post,526.0, 
105988.0, diipakhosla Verified Whoknowsmebetter:MothervsHusbandPART2  ,5 HOURS AGO,video,202.0,  @❤️  olegbuller @sangithakhosla 5h
49948.0, diipakhosla Verified Thistimelastyear.CelebratingDiwaliwithourfamilyinCopenhagen!🪔GettingexcitedforDiwalithisyeareventhoughitwillbedifferent.WhatareyourDiwaliplansthisyear??#PandemicDiwali 1d,1 DAY AGO,post,675.0, 
295355.0, diipakhosla Verified ThisiswhathappenswhenIaskMomi&Olegtohelpmepickaphototopost😭😂#kalyug 3d,3 DAYS AGO,video,732.0, 
17380.0," diipakhosla Verified Secondhandeverything,andproudofit!🌍❤️🙌🏽 Didyouknow:Thefashionindustryaloneproduces20%ofallhumanity’scarbonemissions.Workingto“Changethewayweshop”andbecomemoreconsciousconsumersiswhat#ProjectEarthisallabout.Proudof & forthisincrediblenewcampaign. - Whatarewaysyoucanchangethewayyoushop?🌍🌍 4d",4 DAYS AGO,post,303.0,  @post.for.change @theofficialselfridges
296002.0," diipakhosla Verified Sohappytoannouncethenewcampaignthat hasproudlylaunchedwith called#ProjectEarth🙌🏽🌍  #PROJECTEARTH,inanutshellisatransformationalsustainabilityinitiativetochangethewayweshopby2025.Thisentirelookisbypre-loveditemsthatIboughtvia 🥰 4d",4 DAYS AGO,video,577.0,  @post.for.change @theofficialselfridges @vestiaireco
23027.0," diipakhosla Verified AsmuchasIlovemybouncyopenhair,Iloveeeapulledbacklook.Whatdoyouguysprefer?Openorpulledback? 5d",5 DAYS AGO,post,432.0, 
445526.0," diipakhosla Verified Herewego..4GoldenHairRulesfrommyhairgoddessherself,myMomi ",6 DAYS AGO,video,700.0,  @❤️  sangithakhosla 6d
41189.0," diipakhosla Verified Hair,hair,hair,hair,hair.Allabouthair.😍Momi’s4GoldenHairRulesvideocomingin3hours!Whoisexcited?🤗 6d",6 DAYS AGO,post,684.0, 
30196.0," diipakhosla Verified Cansomeoneguesswhatmyfavouritecolouris?😜 Also,what’syourfavoutfit? 1w",7 DAYS AGO,post,1484.0, 
403121.0, diipakhosla Verified Someoneexplainmenandfootballtome..🤯😂Whocanrelate? 1w,OCTOBER 19,video,310.0, 
27443.0," diipakhosla Verified HappyMonday!Ratemylookfrom1-10!Ipersonallythinkyoucannevergowrongwithbighair,minimalmakeup,jeansandawhitetop😬❤️ 1w",OCTOBER 19,post,1071.0, 
