likes,about_post,date,type,comments,tagged_names
2748.0, dimaovtcharov Verified #tbttooneofmygreatestmemories!Winning🥉inthemen’ssinglesattheLondon2012Olympics💪  #throwbackthursday#tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 21h,21 HOURS AGO,post,29, 
4247.0, dimaovtcharov Verified Lovethegame🏓  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 1d,1 DAY AGO,post,21, 
3243.0," dimaovtcharov Verified Somy#RESTARTcampaignisover.Ilost4-2toLinYun-juwhoplayedagoodgame.  Thanksforallyourcontinuedsupport,itmeansalot!staysafe!🙏🏓  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 6d",6 DAYS AGO,post,19, 
3473.0, dimaovtcharov Verified TodayIplayintheroundof16attheITTFFinalsagainstLinYun-JuinChina🇨🇳  ⏰Localtime11.40am.TuneinonITTF.com.Let'sdothis!💪🔥  #RESTART #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 1w,7 DAYS AGO,post,68, 
5280.0, dimaovtcharov Verified Soonbackhome❤️🙏missyou ❤️ 1w,NOVEMBER 17,post,18,  @jennyovtcharov_
4049.0, dimaovtcharov Verified Toucheddownwith inZhengzhoureadyfortheITTFGrandFinals💪🏓  #RESTART #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 1w,NOVEMBER 16,post,10,  @mattiasf91
2882.0, dimaovtcharov Verified Greattobebackplayingbutcan’twaittohavefansbackinthearena.Missyouguys🏓🙏  #RESTART #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 1w,NOVEMBER 15,post,23, 
4645.0, dimaovtcharov Verified Itwasn’tmeanttobetodayunfortunately.CongratulationstomyopponentMaLong🤝  TimetopreparefortheWorldTourGrandFinalsnextweek!🔥  📸 #tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 1w,NOVEMBER 14,post,53,  @ittfworld  #RESTART #tabletennis
4227.0, dimaovtcharov Verified TheWorldCupmaindrawisout!Iplaytomorrowat11aminChina🇨🇳  TuneinonITTF.com.Let'sdothis!💪🔥  #RESTART #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 1w,NOVEMBER 13,post,28, 
4840.0, dimaovtcharov Verified LookwhoIjustfoundinthemainhall😉GreattotrainwithLin💪🔥  #RESTART #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 2w,NOVEMBER 12,post,59, 
2641.0, dimaovtcharov Verified We'realmostreadytogohereinWehai!💪🏓  #RESTART #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 2w,NOVEMBER 7,post,32, 
3497.0, dimaovtcharov Verified Justoneweekuntilthe#RESTARTofTableTennis!Let'sdothis!💪  Iwillbepractisingtomorrowandalsocheckingoutthearena!Videostocome!🙌  📸Schillings  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 3w,NOVEMBER 5,post,40, 
3599.0, dimaovtcharov Verified HeyguyssoI'vearrivedinWeihai.BehindmeisthesportsarenawhereIcanjointhisFridayforpractice☕💪Ican'twait🏓  #RESTART#tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 3w,NOVEMBER 4,post,35, 
3895.0, dimaovtcharov Verified Can’tbelievethiswas3yearsago!Hopingforasimilarperformancethisyear!💪  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис  📸via ,NOVEMBER 3,post,52,  @ittfworld 3w
2808.0, dimaovtcharov Verified ItfeelssolongsincemylastinternationalcompetitionandIcan’twaittogetbackonthetable🙌🏓#RESTART  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис  📸via ,OCTOBER 30,post,65,  @ittfworld 3w
4906.0," dimaovtcharov Verified ArrivedsafelyatmyhotelinShanghai🇨🇳#RESTART  Tokeepeveryonesafe,playersmustnowquarantineforamandatory14dayperiodbeforecompetitionbegins🏓  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 4w",OCTOBER 29,post,53, 
3922.0, dimaovtcharov Verified FlyingouttoChinafortheITTFWorldCupandGrandFinals#RESTART  GoingtoreallymissmyfamilybutI’mveryexcitedtogetbacktoInternationalcompetitionaftersuchalongbreak💪  Staysafeeveryone!❤🏓  #tabletennis#tabletennisplayer#ittfworld#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 4w,OCTOBER 28,post,19, 
4366.0, dimaovtcharov Verified MyhotelroominMoscowwasquitesmall😅  #tabletennis#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис#fakelgazprom 4w,OCTOBER 25,post,63, 
2891.0," dimaovtcharov Verified Delightedtosecure ‘s9thRussianPremierLeaguetitle!Proudofourteam💪🏆  Happythenewseasonisunderway,letsgetthe10th💥  #tabletennis#fakelgazprom#tabletennisplayer#tennisdetable#tenisdemesa#tischtennis#настольныйтеннис 4w",OCTOBER 23,post,111,  @fakelgazprom
