likes,about_post,date,type,comments,tagged_names
1482415.0, dishapatani Verified 💜 1d,1 DAY AGO,post,18800.0, 
1471552.0, dishapatani Verified 🌸 1d,1 DAY AGO,post,10300.0, 
528308.0, dishapatani Verified Helpyourdogtostayinshapewith !FeedthemamealfullofREALnutritionaftereveryworkoutsession.#Drools#FeedRealFeedClean#DogNutrition#Ad#Sponsorship 2d,2 DAYS AGO,video,6962.0,  @droolsindia
1719121.0, dishapatani Verified 💜 3d,3 DAYS AGO,post,2365.0, 
901792.0, dishapatani Verified Trackthose💪goalswiththeGen5Smartwatches #GiftingTime#FossilStyle#FossilSmartwatch  ,4 DAYS AGO,post,13600.0,  @Fossil.in @varundvn 4d
660926.0, dishapatani Verified #sketchbysuri❤️🌸mylittlebro’sartinspiredbyinhoso🦋 5d,5 DAYS AGO,post,13300.0, 
1236424.0, dishapatani Verified Classic.Cool.Ceramic.❤️  MyNewFavourite#FossilStyle ,7 DAYS AGO,post,14500.0,  @fossil.in 1w
936621.0, dishapatani Verified Excitedforthefestiveseason?I'mallsettoindulgeinthefestivitiesbeingmyownbeautifulinthisgorgeousdressfromAurelia! Stylethismust-havepiecewithheelsandbefestive.  #Aurelia#AureliaWomensWear#BeYourOwnBeautiful#Festivewear ,OCTOBER 17,video,2473.0,  @aurelia_womenswear 1w
2005483.0, dishapatani Verified 🦋 1w,OCTOBER 16,post,19700.0, 
951328.0, dishapatani Verified #radhepackup❤️thankyoumylovelyteamforbeingthebestever❤️❤️#girlpower💪🏽 2w,OCTOBER 11,post,14300.0, 
6585558.0, dishapatani Verified Butterflykick🦋🌸 2w,OCTOBER 8,video,17300.0, 
2498693.0, dishapatani Verified 🦒 3w,OCTOBER 5,post,13100.0, 
1206034.0, dishapatani Verified 🌸 4w,SEPTEMBER 28,post,1399.0, 
4917065.0," dishapatani Verified 40milliongotmelike🌸60kg10reps🌸thankyoumylovelyfc’sforallthesupportandlove,i’mnothingwithoutyouall❤️🧏🏼‍♀️ 4w",SEPTEMBER 23,video,20800.0, 
527565.0, dishapatani Verified 🌸🦖 ,SEPTEMBER 20,post,4844.0,  @bellajasminegokukeety 5w
1998520.0, dishapatani Verified Lastone🌸 6w,SEPTEMBER 14,post,8940.0, 
2139206.0, dishapatani Verified 🍦 6w,SEPTEMBER 13,post,12000.0, 
2134164.0, dishapatani Verified 🐱 6w,SEPTEMBER 13,post,14500.0, 
1582408.0, dishapatani Verified Watchmecandidwith inaquickQ&Asessionaswelaunchanotherbeautifulcollection! It'sallaboutbeingyourownbeautiful!✨  #Aurelia#AureliaWomensWear#BeYourOwnBeautiful#MF20 7w,SEPTEMBER 8,video,13500.0,  @aurelia_womenswear
2516390.0, dishapatani Verified 🦖lastoneee 7w,SEPTEMBER 4,post,10200.0, 
1838999.0, dishapatani Verified 🧏🏼‍♀️ 7w,SEPTEMBER 2,post,19200.0, 
2456944.0, dishapatani Verified 🍭 8w,SEPTEMBER 1,post,1878.0, 
2236957.0, dishapatani Verified 🌸 8w,SEPTEMBER 1,post,2810.0, 
835568.0, dishapatani Verified Ichoose formypawsomebuddytoboosthisgrowthanddevelopmentwiththebenefitsofrealnutrition. What’syour#SwitchToRealNutritionstory? Tag andsharenow!  #Drools#DroolsIndia#FeedRealFeedClean#ad#sponsorship 8w,AUGUST 31,video,2757.0,"  @droolsindia, @droolsindia"
6473594.0, dishapatani Verified #rasodemaikauntha🧐 8w,AUGUST 30,video,8679.0, 
680843.0, dishapatani Verified Happyinternationaldogsday🌸 8w,AUGUST 26,post,5774.0, 
1380773.0," dishapatani Verified #throwbacktothetimeswheniwasstrong🤪75kg1rep,2ndsetis80kg1repfullrangesquat🌸 thanksforthemotivationsir💪🏽 10w",AUGUST 17,post,18200.0,  @rajendradhole
1718154.0, dishapatani Verified 🐙 10w,AUGUST 14,post,24900.0, 
2059763.0, dishapatani Verified 🐿 10w,AUGUST 13,post,19100.0, 
