likes,about_post,date,type,comments,tagged_names
32778.0, dotzsoh poolwithaview...sunrisedipat rooftoppooloverlookingbeautifulmarinabay✨🌅🌆🏙🌺✨Iamenjoyingthejacuzzipoolalltomyself tagafriendtosharethiswith😊 #singapore#fullertonbayhotel#fullertonexperience#fullertonstaycation #新加坡#屋頂泳池 . photo  #discoversingapore#travelgirl#luxuryhotels#rooftoppool#beautifulhotels#hotelsg#日出 21h,21 HOURS AGO,post,652.0,  @fullertonbayhotelsg @dotzsoh @dotzsoh2 #dotzsoh
40548.0, dotzsoh makeyourdreamshappen✨💃🏼🏨🌇🏙✨sogladtofinallystayattheamazing &wearingstunningcouturegownbythetalented of arrivingin vintagerollsroyceismydreamcomestrue... feelinglikeareallifeprincess #singapore . . photo  #fullertonhotel#fullertonhotelsg#bridalveil#michellehuimin#visitsingapore#staycation#fullertonexperience#rediscoversingapore#rediscoverfullerton#luxuryhotel#beautifulhotels 3d,3 DAYS AGO,post,737.0,  @fullertonhotelsg @michellehuiminofficial @bridalveil & @fullertonhotelsg @dotzsoh @dotzsoh2 #dotzsoh
28223.0, dotzsoh doyoumisstravelling?✨🚁✈️🚢🚞✨Idobutwillstillstayhome&explorethebeautifulcityIlivein.thiswasmylastflightbeginningofthisyear...willbesharingsomeamazinglocalcollaborationssoon. watchmystories&letmeknowhoware   #emiratesairline#emirates#travelblogger#girlswhotravel #travelinstyle#firstclass#firstclasstravel 1w,NOVEMBER 18,post,938.0,  @you. emirates . . photo @dotzsoh @dotzsoh2 . #dotzsoh
32207.0, dotzsoh wonderfuldayinthegardencity✨🍂💃🏼🌿🍃✨haveabeautifulday#singapore#botanicalgardens#unescoworldheritage . . photo  #visitsingapore#singaporediscovers#orchidgarden#gardencity 2w,NOVEMBER 11,post,929.0,  @dotzsoh @dotzsoh2 #dotzsoh
34672.0, dotzsoh wouldyoutakeawalkhere?✨🍂🍁🍂🍂✨#Incheon manybeautifulautumnfoliageplacestoexploreinKorea haveabeautifulstarttoNovember✨🍁✨#Incheontourismorganization#korea . . photoedit  #ig_korea#韩国#southkorea#koreatravel#travelkorea ,NOVEMBER 2,post,827.0,  @discoverincheon.en so @dotzsoh @dotzsoh2 #Incheongrandpark @#untactyoga discoverincheon.en 3w
38096.0," dotzsoh don’tloosehope,lookup&contemplatehowmagicallifeis✨🎆🌌🌃🕌✨#khiva#uzbekistanwithbeautifulhistoricalarchitecture& thanksto         fortherecentfeatures . . photo  #dotzsohphoto#silkroad#nightphotography#moodygrams#amazingplaces#wonderful_places 4w",OCTOBER 25,post,867.0,  @culture worldinfluencerscongress . . big @sunset @allbeauty_addiction @discover_europe_ @travelstories.world @awesome.geography @wowplaces._ @tropicals @beautifulphotographers @planet_earth_shots @dotzsoh @dotzsoh2 #dotzsoh
25583.0, dotzsoh whatfooddoyoulike? popularno1Japanesetempuradonchainisoneofmyfave. enjoyingmyfooddeliveredbyrobotundertheamazing3DanimatedLEDscreen✨#singapore#tenyasg#tenyasingapore . . photo  #tendon#tenyatempura#sgfood#sgfoodporn#sgcafe#orchardcentral #sgigfoodies 6w,OCTOBER 15,post,1105.0,  @✨🍱🍤🥗🍜✨tenyasg @dotzsoh @dotzsoh2 #dotzsoh @orchardcentral
24532.0," dotzsoh fluffyclouds,brightbluesky,beautifulbeach✨☁️☀️🌈🌴✨1-2-3-4-5-6-7whichisyourfavourite?#maldives#constancehalaveli#mycontancemoment#trueindianocean ",OCTOBER 12,post,787.0,  @constancehotels 6w
26346.0, dotzsoh whichisyourfavouriteshot1-2-3-4-5-6-7➡️autumncolourswarmsmyheart✨🍂🍁🍃🍂✨#namiisland#korea#koreabyme#namiseom . . photo  #autumnvibes#beautifulworld#nature#southkorea#韩国#wonderful_places#travelgirl#travelphotography 7w,OCTOBER 5,post,1028.0,  @dotzsoh @dotzsoh2 #dotzsoh
29660.0, dotzsoh anyoneforapicnic✨🌸🧺🍰🍹🍂✨happyOctober&midautumn#korea#seoul#koreabyme . eatingmooncake🥮&enjoyingthebeautifulfullmoontonight&sharingmymemoriesofautumninKorealastyear✨㊗️   #visitseoul#picnic#autumninkorea 8w,OCTOBER 1,post,816.0,  @中秋节快乐 travelgram_korea . . photo @dotzsoh @dotzsoh2 #dotzsoh
25504.0, dotzsoh eachseasonoftheyearhasitsownbeauty✨🍂🍁🍂🍃✨whatisyourfavouriteseason?#namiisland#korea#koreabyme#namiseom   #韩国#visitkorea#autumnvibes#autumninkorea#naturelover#travelphotography#sonybethechange#sonysingapore#naturelover 9w,SEPTEMBER 21,post,1049.0,  @travelgram_korea . . photo @dotzsoh @dotzsoh2 #dotzsoh
23919.0, dotzsoh slowdownandwalkthroughabeautifulgarden✨🌷💐🌿🍂✨willyoudothatsometimes? #bali   #wonderfulindonesia#indonesia#nature#garden#girlsthatwander#travelgirl#traveldames 10w,SEPTEMBER 15,post,796.0,  @#mundukmodingplantation mundukmodingplantation . . photo @dotzsoh @dotzsoh2 #dotzsoh
25034.0, dotzsoh lookup&contemplatehowamazinglifeis✨🌿🍃🍂💃🏼✨1-2?Haveanamazingweek#singapore#fortcanning  #wonderfulplaces#gardencity#singaporediscovers#sonyalpha#travelgirl#traveltheworld#girlswhotravel 11w,SEPTEMBER 7,post,942.0,  @#visitsingapore . . dotzsoh @dotzsoh2 #dotzsoh
26896.0, dotzsoh happinessbloomsfromwithin✨🌹🌺🌸🍰✨guesswhere?&havealovelyweek #throwback#Istanbul#turkey #visitistanbul . . photo  #travelblogger#travelgirl#europe 12w,SEPTEMBER 1,post,739.0,  @visitist @dotzsoh @dotzsoh2 #dotzsoh
