likes,about_post,date,type,comments,tagged_names
449.0," ektaj222 VictoryofEviloverGood  TrueRealityofournationtoday.  Wetakeonestepaheadandtwostepsbehind.Wouldyoubelievethatourscripturesholdwomeninhighesteemandliterallyworshipthem.  WherewomenaresupposedtobereferredtoasShakti-theultimatepower,theyhavenowturnedintoobjectsthatarequiteunbecomingtotheirexistence.  Vedicliteratureshavealwaysmaintainedthatwomenaretoberespectedandkeptatparwithmen,whichthispatriarchalsocietyhasmisinterpreted,andveryconvenientlyso.Wheretheyhavecreatedanenvironmentwhichleadsevenwomentobelievethatthesolepurposeandmottooftheirexistenceistosavetheirdignityandtheirfamily’shonourandonlywaytodoitisbylimitingherselftothefourwallsofherhouse.Andeventhenhersocalledprotectorsturnintopredators.Beingpersecutedhasbeensonormalisedthatmostofthewomenthemselvesdenytheirownbasichumanrights.  ContradictorytoourreligiousbeliefsandpracticesIndiaisconsideredoneofthemostdangerouscountriesintheworldforwomen.  Sexualviolenceandharassmentagainstwomen,thedangerwomenfacefromcultural,tribalandtraditionalpractices,andthecountrywherewomenaremostindangerofhumantraffickingincludingforcedlabour,sexslaveryanddomesticservitudeoutofwhich70percentcasesarenotevenreportedbecauseofthestigmaattachedtoit.  Ihopethatallwomenandmencometogetherinsolidarityandwithholdtheirrightstovoteuntilthegovernmentprovideswomenthesafetyandanenvironmenttowalkasfreelyonaroadasaman.  Maythejusticeprevails,andmaythegoodwinsoverallevil. Jaimaakaali!! #art#inidangoddess#justiceformanisha 7w",OCTOBER 5,post,4, 
134.0, ektaj222 Sawthisvideoyet?Checkoutthelinkinmybionow!!#handpainted#handbag#upcyclefashion 8w,SEPTEMBER 24,post,5, 
493.0, ektaj222 #aspiretoinspire🌻  #upcyclefashion#upcycledhandbag#handpaintedbag#art#fashion#inspiration##upcycle#recycle#consciousfashion#tigerprint 8w,SEPTEMBER 23,post,39, 
348.0, ektaj222 Massi’slittlebrat❤️ ItFeelslikeyesterdayhewasthislittletoddlerandtodayhe’s5andactslikehe’s15.Makingeveryonedancetohistunes.Damnthesekidsgrowtoofast!I’msobummedI’mnottheretodaywithhim. Butmassiissendinglotsofloveandblessingsandwillsoonbewithyoutospoilyou😋 Loveyoutothemoonandback #retouched#painting#birthdaylove#art#love#babyboy 9w,SEPTEMBER 16,post,23,  @❤️ twinklejaggikhurana  #kidsportrait
533.0, ektaj222 #shootdiaries thisscenewithoneword. Commentwitha#hashtagbelow.😋 #saree#Catalouge#manor 10w,SEPTEMBER 13,post,24,  @rj_talents Describe
229.0, ektaj222 #diy#painting#upcycle#fashion#jeans#angel#devil#blogger#love#recycle#sustainable  #upcylefashionbyektajaggi #upcycle#fashion#diy#conciousfashion#sustainablefashion#sustainablefashionblogger#blogger#art#paintedjacket#artonclothes#recycle#revamp#dresstoexpress#recreate#painting#acrylicpainting#environmentalist#handpainted#spreadpositivity#artchallenge#style#styleblogger#chocolata#sia 11w,SEPTEMBER 4,post,4, 
478.0, ektaj222 Superimpressedwiththissyskahairstraightenerbrush.Notonlyeasytousebutalsogiveskeratinelikeshinetoyourhair.💓  #SyskaPersonalCare#SyskaStylingTools#StyleLikeAPro#SyskaHairBrushStraightener#StyleItWithSyska  https://www.amazon.in/SYSKA-HBS200i-Salonfinish-Keratin-Straightener/dp/B083RH291P 11w,SEPTEMBER 3,post,10, 
501.0, ektaj222 Lovemynewsyskaspeakers!!It’spartytimeforme!!!💃🏻💃🏻  #SyskaAccessories#SyskaSoundTool#SyskaSpeaker#BluetoothSpeaker  http://bit.ly/SyskaBT670Speaker  #collaboration#blogger#model#party#speakers#happy#vibe#love#sound 12w,SEPTEMBER 1,post,18, 
570.0, ektaj222 #upcyclefashionbyektajaggiSWIPELEFT◀️ #allthegoodgirlsgotohell#billieeilish#billieeilishart#myluciferislonely #upcyclefashion#series #artonclothes #dresstoexpress #sustainablefashionblogger#recycle#reuse#revampyourcloset#closet#blogger#artist#model#painter#diy#jeans#design#denim#shots#black#devil#art#fashiontherapy#sustainablefashion#indianart#minimilism 12w,AUGUST 27,post,32, 
409.0, ektaj222 Aperfectweekendgetaway❤️Thesepicturesdon’tevendojusticetotheamountoffunwehad.#aambyvalley#vacayvibes#surreal#friends#monsoon#vibes#blacksquad#waterfall#safari#adventure 12w,AUGUST 26,post,10, 
728.0,  by  by  #vibes#monsoonfashion#neon#love#highfashion#ootd#model#blogger 13w,AUGUST 24,post,12,  @ektaj222 hilife.love #Photography @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #styled @stylebydraz papaya.studios @tfm360models #monsoon
619.0, ektaj222 #shootfor by  by  #vibes#monsoonfashion#neon#love#highfashion#ootd 13w,AUGUST 23,post,7,  @hilife.love #Photography @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #styled @stylebydraz papaya.studios @tfm360models #monsoon
396.0, ektaj222 #shootfor by  by  #vibes#monsoonfashion#love#highfashion#white#ootd#style#monsoonpants#love#onfleak 13w,AUGUST 22,post,11,  @hilife.love #Photography @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #styled @stylebydraz papaya.studios @tfm360models #monsoon
594.0, ektaj222 #shootfor by  by  #vibes#monsoonfashion#neon#love#highfashion#green#ootd 14w,AUGUST 15,post,12,  @hilife.love #Photography @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #styled @stylebydraz papaya.studios @tfm360models #monsoon
583.0, ektaj222 #shootfor by  by  #vibes#monsoonfashion#neon#love#highfashion#green#ootd 14w,AUGUST 14,post,8,  @hilife.love #Photography @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #styled @stylebydraz papaya.studios @tfm360models #monsoon
759.0, ektaj222 #Shootfor by:    #model#blogger#makeup#harleyquinn#beauty#potd#love 15w,AUGUST 9,post,5,  @hilife.love #Shot @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #styledby @draz.chauhan @papaya.studios #fashion
453.0,    by-    #harleyquinn#fashion#potd 15w,AUGUST 7,post,12,  @ektaj222 hilife.love @hilife.style #Agency @tfm360models #Photography @rajanikanth_umakanthan #Makeupby @makeupbypoojajain #Styledby @stylebydraz @papaya.studios
577.0,  by   by #fashion#model#blogger#styling 15w,AUGUST 6,post,8,  @ektaj222 hilife.love #Photography @rajanikanth_umakanthan #agency @tfm360models #styledby @draz.chauhan #makeup @makeupbypoojajain papaya.studios #holographic
574.0, ektaj222 Shootfor    by   #holographic#potd#model#blogger#love#yellow#love 16w,AUGUST 4,post,10,  @hilife.love #Shotby @rajanikanth_umakanthan #agency @tfm360models @hey_swapnil tfm360models #makeup @makeupbypoojajain #Styledby @draz.chauhan #studio @papaya.studios #fashion
