likes,about_post,date,type,comments,tagged_names
1073645.0," emmawatson Verified Lastweek,tomakeiteasyforotherstoaccessthemanyusefulresourcesoutthere,Istarteda playlistofpodcasts,writing,analysisanddiscussionthathavehelpedmeunderstandsystemicracism,whitesupremacyandtheexperiencesofblackpeople,indigenouspeopleandpeopleofcolour.⁣ ⁣ Thefirstontheplaylistisaninterviewwith aboutherbook'WhyIamnolongertalkingtowhitepeopleaboutrace'whichwasfeaturedonmybookclub Thesecondisareadingofthe""Histories""chapterofherbook.I’venarratedthisonemyselfbecauseitknockedthewindoutofmewhenIfirstreadit.ItcontainedsomuchhistoryIhadneverbeentaughtinschool.Ihopeanothergenerationofchildrendon'thavetogrowupwithoutunderstandingthehistoricalcontextforcontemporaryracism.⁣ ⁣ YoucanfindmyplaylistOurSharedPodcastonSpotifyandIhopeyou'llfindthecollectionthought-provoking.Thelinktotheplaylistisinmybio.⁣ ⁣ Thankyousomuchtopeoplewhohavesharedrecommendationsforthislist,andtoeveryonewhohasworkedsohardoverthepast10daystogetthisupandrunning,especially     andmywholeteam. . #blacklivesmatter #blackliberation #saytheirname #sayhername #sayhisname #racialjustice #blmmovement #blackauthors 24w",JUNE 7,post,22400.0,"  @Spotify @renieddolodge @OurSharedShelf. @renieddolodge, @bloomsburypublishing, @Audible, @Spotify, @anchor.fm"
792974.0,  🖤🙏repost #blacklivesmatter 24w,JUNE 5,post,2837.0,  @emmawatson Verified missdumezweni @calirock
760461.0," emmawatson Verified #Repost TaylorwasmurderedbackinMARCH.HercasecametolightbeforeGeorgeFloydwasmurderedandwasgarneringsomenationalattention.SheisbeingmentionedlessandlessinthewakeofFloyd’smurder.AlthoughfolksinLouisville,KYhavebeenprotestinginordertohavehermurderersarrested,theystillremainfree. Tomorrowwouldhavebeenher27thBirthday.Joinusincelebratingherbyparticipatinginoneoftheactivitiespostedinthelinkinmybio. #SayHerName #BreonnaTaylor #allblacklivesmatter 24w",JUNE 5,post,1637.0,  @taranajaneen ・・・ Breonna
1027725.0," emmawatson Verified Inthecurrentmoment,manyofyouhaveaskedforideasonwheretogivemoney,timeandotherformsofsupportinsolidarity,asreparation,inthehopeofamorejustandequalfuture.FortheUS,Ifoundthe#blacklivesmattersitetobeabrilliantresource.IntheUK, hascompiledanincrediblelistofblack-ledracialjusticeorganisationsdoingyear-roundwork:bit.ly/3dB2Lmd.Attheintersectionofraceandgenderjustice,I’dalsoliketohighlighttheworkof    whoIhavebeenproudtosupportandcollaboratewith.Pleaseusethisspacetoshareanyrecommendationsyouhavetoo. Imageby ",JUNE 5,post,1700.0,  @gaylenegould @imkaan @withandforgirls @fridafund @mamacashfund @withandforgirls #blacklivesmatter #blackliberation #saytheirname #sayhername #sayhisname #racialjustice #blmmovement 24w
546253.0," emmawatson Verified Year-round,wecanalldomoretosupportblacklivelihoodsandcreativity.IntheUSA, iscallingonmajorretailerstopledge15%oftheirshelfspacetoblack-ownedbusinesses.Thisinitiativewasstartedby ThisyearI’dlovetoworkwithmypartnersat toensureagreaterpercentageofthesustainablebrandstheyfeaturearefoundedorledbyblackpeople.Pleasedotaganybeautifulblack-helmedbrandsheresowecancollectivelysupportthem.Ilovebuyingvintageasit’ssuchasustainablewaytoshopand hascompiledanamazinglistofblack-ownedvintageshops. 24w",JUNE 5,post,877.0,  @15percentpledge @aurorajames. @goodonyou_app @cheshirevintage
983268.0," emmawatson Verified Inadditiontoreading,thereareincredibledocumentariesthattackletheissueofracialjustice.I’vecompiledalistbelowfrom⁣ variousresources~      andmore.Pleasedoshareothersincommentsthatyourecommend~there’ssomuchpowerinsharing!⁣ ⁣ 13th⁣ TheCentralParkFive⁣ TheHardStop⁣ St.LouisSuperman⁣ 31/2Minutes,TenBullets⁣ UnarmedBlackMale⁣ StrongIsland⁣ BlackSheep⁣ IamNotYourNegro⁣ FrantzFanon:BlackSkin,WhiteMask⁣ TheStuartHallProject⁣ TheBlackPanthers:VanguardoftheRevolution⁣ LA92⁣ GenerationRevolution⁣ TwoTownsofJasper⁣ AmericanDenial⁣ AlwaysinSeason⁣ EyesonthePrize⁣ Banished⁣ Reconstruction:AmericaAftertheCivilWar⁣ SlaverybyAnotherName⁣ TheDeathandLifeofMarshaPJohnson⁣ JustMercy⁣ Injustice⁣ NetflixExplained:TheRacialWealth⁣ BlackandScottish⁣ EthnicNotions⁣ ColorAdjustment⁣ ⁣ #blacklivesmatter⁣ #blackliberation⁣ #saytheirname⁣ #sayhername⁣ #sayhisname⁣ #racialjustice⁣ #blmmovement 24w",JUNE 5,post,2975.0,  @buzzfeed @berthadochouse @digitalspy @marieclairemag @bazaaruk @voxdotcom
657922.0," emmawatson Verified Iaminspiredbyandverydrawntotheworkof “Byincorporatingamultifacetedpracticethatunitessculpture,installation,film,performance,improvisation,musicalcompositionsandactionsinurbanspace,Gatestransformssuchspacesintoplacesofartisticandculturalinterventionandintopotentialplatformsforpoliticalandsocialchange.Intheinterplayofsculptureandphotography,Gates’workcreatesaspacethatraisesquestionsaboutBlackhistory,identity,spiritualityandrepresentation,withthepotentialtospecificallyinterferewiththereproductionofreality.”(FromTheasterGate’swebsite).⁣ ⁣ Munich’s isofferingavirtualtourthroughTheaster’sexhibit,BlackChapel,ontheirmuseumpage. #blacklivesmatter #blackliberation #saytheirname #sayhername #sayhisname #racialjustice #blmmovement #blackartists 24w",JUNE 5,post,707.0,  @theastergates. @haus_der_kunst
698321.0," emmawatson Verified Self-educationisanessentialpartofanyanti-racistjourney,andreadinghasalwaysbeenahugepartofmypersonallearning.In2016Istarted abookclubtocreateconversationsaroundintersectionality,feminismandequalrightsandtoprofilefeministwriters.Manyofthewritersandbookswefeaturedovertheyearsarerelevanttoanyonewantingtounderstandthatthestruggleforracialjusticehasbeenalongone,thatALLBlackLivesMatterandwomen’svoicesareavitalpartofanymovementforchange.AliceWalker,BellHooks,MayaAngelou,RoxaneGay,ReniEddo-Lodge,AngieThomas,AudreLorde,BrittneyCooper,andToniMorrisonarejustsomeoftheauthorswefeaturedandwhichIurgeyoutocheckoutifyouhaven’talready.⁣ ⁣ Morerecently,Ihavealsobeenworkingthroughthefollowingbooks.Ihopeyou’llpicktheseupandreadalongwithme.SeemyIGstoriesforotherbooklistsandresources.⁣ ⁣ TheWretchedoftheEarthbyFrantzFanon⁣ WeWereEightYearsinPowerbyTa-NehisiCoates⁣ DiscourseonColonialismbyAiméCésaire⁣ From#BlackLivesMattertoBlackLiberationbyKeeanga-YamahttaTaylor⁣ BlackandBritish:AForgottenHistorybyDavidOlusoga⁣ Girl,Woman,OtherbyBernadineEvaristo⁣ BetweentheWorldandMebyTa-NehisiCoates⁣ WhitePrivilege:TheMythofaPost-RacialSocietybyKalwantBhopal⁣ I’mTellingtheTruthbyBassetIkpi⁣ TheHeartoftheRace.BlackWomen’sLivesinBritainbyBeverlyBryan,StellaDadzie,andSuzanneScafe,LolaOkolosie(foreword)⁣ TheGoodImmigrantbyNikeshShuklaandothers⁣ ⁣ Paintingbyartist ⁣ #blacklivesmatter⁣ #blackliberation⁣ #saytheirname⁣ #sayhername⁣ #sayhisname⁣ #racialjustice⁣ #blmmovement⁣ #blackwriters 24w",JUNE 5,post,1067.0,"  @oursharedshelf, @natalielaurensims"
969322.0," emmawatson Verified OnethingwecanalldotohonourthestruggleforracialjusticeintheUSistointerrogate,understandanddismantletheraciststructuresofourowncountries.TheUKisthecountryIwasbroughtupin,thecountrythatIvoteinandacountrywhoseownhistoryofsystemicracismhasshapedthoseelsewhere-AmericanandBritishhistoriesofracialoppressionareverymuchintertwined.Butitwasn’tuntilIbecameastudentinanAmericanuniversityandwastaughtBritishhistoryfromanoutsider’sperspectivethatIreallystartedtounderstandtheracialviolencethatscarsBritishhistory.AsachildIgrewupwithaschoolcurriculumthattotallyglossedoverBritishcolonialismandBritishslavery.AndanyteachingaroundblackcivilrightsmovementswerefocussedontheAmericanexperience-as pointsoutinherbook,BlackHistoryMonthintheUKoftenendsupofferingBritishchildrentimelinesofAmericanactivists.Forme,understandingourpastisacrucialpartofunderstandingtheinjusticesandinequalitiesofourpresentandremakingourfutureasanation.Ourschooleducationsystemiskey-thestoriesthenationalcurriculumtellsusaboutwhoweare,andthevoicesitcentres,createablueprintforhowweinterpretandinteractwiththeworldaroundus.Asanadult,I’vebenefitedfromtheworkofpeoplelike DavidOlusoga,   PaulGilroy,StuartHallandmanyotherstohelpmeunderstandmycountry’shistory.Butthislearningneedstostartmuch,muchearlierifwearetodismantledeep-rootedsystemsofoppressionandinjustice.Thankyoutoallthehistorians,teachers,activistsandstudentswhoarepavingthewayforatrulyanti-racisteducationsystem.⁣ ⁣ Firstimageby TheTrueCrown.ThisimageispartofIAmSugar(2018),aseriesofphotographsthatrespondtoStuartHall’s1991essay,OldandNewEthnicities,inwhichHallwrites,“IamthesugarinthebottomoftheEnglishcupoftea.”TheworkappearedaspartofGetUp,StandUpNow, in2018.⁣ ⁣ Swipeforaguidebrilliantlyputtogetherby ⁣ 24w",JUNE 5,post,1792.0,"  @renieddolodge @renieddolodge, @johnymodern, @afuahirsch @akalamusic, @rmraffinity, @somersethouse @theblackcurriculum"
731412.0," emmawatson Verified Ithasmademesadthatitseemsifpeopledon’tpostquicklyonsocialmedia,oraretryingtoberespectfulandprovidespace,thiscanbeinterpretedasapathy. Thankyou ",JUNE 5,post,2351.0,  @yomi.adegoke 24w
