likes,about_post,date,type,comments,tagged_names
21497.0, emmett_sparling Verified AperfectpopofcolourafteradarkgreyafternoonhereinVancouver.WhoelseinVancouversawtherainbowyesterday? 1d,1 DAY AGO,post,213, 
12849.0, emmett_sparling Verified ExploringIndonesiaisalwaysanabsolutedream.With   & by ,3 DAYS AGO,post,177,  @josiahwg @emilyytanner @meganhassa @indtravel Song @srfrmusic 3d
22175.0," emmett_sparling Verified 3ofthemostbeautifulcitiesI’vebeento,andtheyallremindmeofeachother.NewYork,Vancouver,andCapeTown.NewYorksharesverysimilararchitecturetoVancouver.WalkingarounddowntownNYfeelslikeyou’reinabiggerversionoftheCanadiancity.CapeTownremindsmeofVancouverbecauseoftheclosevicinitytotheoceanandthemountains. All3oftheseshotswereonlypossiblewithahelicopterandit’ssuperillegaltoflyadronehere 3d",3 DAYS AGO,post,157, 
18902.0," emmett_sparling Verified Hawaii’smountainsalwaysblowmeaway.TheiruniquejaggedridgesanddeepgreencolourmakethemtotallydifferentfromanythingI’veseenoutsideofthePacific.Theseislandsarerelativelyyoungcomparedtotherestoftheplanet.Kauaiis5.1millionyearsold,followedbyOahuat2.2-3.4millionyearsold,andtherestoftheHawaiianislandsgetyoungerfromthere. 5d",5 DAYS AGO,post,383, 
13999.0," emmett_sparling Verified Happyhumpday!(soundon) I’llneverforgetthefeelingofhavingmybodyvibratedbythesoundfromasinginghumpbackwhale.It’ssosurprisingwhenyouhearsoundechoingunderwater.Underwater,I’musedtoeverythingsoundingmuffledbutallofasuddenyoufeellikeyou’reinavastopenspace. 1w",NOVEMBER 18,post,169, 
22395.0, emmett_sparling Verified I’vebeengoingthroughphotosfromlocalBCtripsthissummerandthinkingofalltheadventuresIstillhavelefttodo.Itfeelslikethoselongwarmdaysdisappearedtooquicklyandnowit’salreadythemiddleofNovember. ThefirstpicisfromCapeScott.Wespent4dayshikingoutthereanditwasincredible. Thesecondandthirdpicsarefromahelicopterflightthroughthemountainswiththelegend lasttwopicsarefromthebestsunsetofthesummer. 1w,NOVEMBER 16,post,239,  @bradleyfriesen. The
18964.0, emmett_sparling Verified IPRINTGIVEAWAYWINNERS!!  1stPrize: Prize: Prize: aretheprizes: 1.24x36FramedFineArtPrintofyourchoice. 2.12x18FineArtPrintofyourchoice. 3.50%discountcodeonanyorderfrommycollection  Thanksfortakingpartinthegiveawaywith ! 1w,NOVEMBER 14,post,187,  @caseypaulinefitness 2nd @ptrvda 3rd @sydneydayyy  Here @santogallery
35416.0," emmett_sparling Verified Afterstartingourhikeatmidnight,wereachedthesummitofrainbowmountainatsunriseonour3rddaytrekking.Smileswerebig,toeswerecold,andbreathwasshort(+17,000ftaltitude). 2w",NOVEMBER 12,post,241, 
18582.0," emmett_sparling Verified Goingthroughsomephotosfromthissummer. andItookabeautifulsunsetflightoverTofinoandgotanewperspectiveonthisawesomesurftown.TheweatherhereinVancouverhasgottenreallyfreakincold,andit’smakingmestokedforanadventurefilledCanadianwinter. 2w",NOVEMBER 11,post,255,  @annieemacintosh
28704.0, emmett_sparling Verified ThemostbeautifullittlestretchofroadonMo’orea.Everytimewedrovepastthiscornerwewereblownawaybytheperfectlyframedview. 2w,NOVEMBER 9,post,189, 
24428.0," emmett_sparling Verified I’msuperstokedonthis-someofmyfavouriteshotsfromaroundtheworldarebeingmadeintohigh-qualityprintsforthefirsttimeever.Eachphotocarriesastorywithit,andremindsusofhownaturallybeautifultheearthis. Weatheryou’relookingtospiceuptheartinyourhome,oraChristmaspresentforalovedone,headoverto tocheckthemout🤗 2w",NOVEMBER 8,post,203,  @santogallery
21513.0," emmett_sparling Verified AbsolutelycrankedtheISOforthisone,butitwasabeautifulmomentthatneededtobecaptured.Wehadjustwatchedamind-blowingsunsetoverMt.Assiniboineandthestarswerestartingtocomeout. Checkoutmystoryforthebefore/afterofthisshot! 2w",NOVEMBER 6,post,225, 
31433.0, emmett_sparling Verified Somethingmagicalhappenswhenitstartspouringrainduringsunset 3w,NOVEMBER 2,post,229, 
31151.0," emmett_sparling Verified Oneofthemostfamousreefbreaksintheworld-Teahupo’o.It’sknownasthemostdangerouswaveintheworldbecauseofitssize,speedandpower,breakinginchesabovearazorsharpcoralreef. 3w",NOVEMBER 1,post,211, 
27568.0," emmett_sparling Verified DuringmylastdayonMo’orea,IspenttheafternoontakingasmanyphotosasIcouldtotryandcapturethebeautyofthisplace.Idroveafulllaparoundtheisland,stoppingasmuchasIcould,andtakingasmanyphotosaspossible.IrealizedithadbeenawhilesinceIhaddoneafullysolophotoshoot,andfocusedonlyoncapturingmysurroundings. Thisbeachwasaprettysatisfyingplacetostopforabit. 3w",OCTOBER 30,post,180, 
19859.0," emmett_sparling Verified AhazygoldenhourinDeathValleynationalpark.DeathValleyisoneofthehottestplacesonearthwitharecordtemperatureof56.7°C(134°F).Thedesertalsositsmorethan-250ftbelowsealevel,makingitthelowestplaceinNorthAmerica. 4w",OCTOBER 27,post,304, 
23610.0," emmett_sparling Verified SunsetintheMojavedesertlastnight.Wehikedtothetopofthedunesasthecloudsseemedtocatchfire.Isatinthesoftsandandwatchedthesungodowninthecompletesilenceofthedesert-nolivingthingstomakenoise,andanendlessexpanseofspace. 4w",OCTOBER 26,post,147, 
23455.0," emmett_sparling Verified “Ifyoumoveslowly,theywon’tbiteyou”wereourinstructionsasweloweredourselvesinthechillywatersnearMo’oreaonemorning. Here’sacoolfactaboutsharks-sharks(asaspecies)areroughly450millionyearsold.That’saround70millionyearsolderthanTREES.Socrazy. 4w",OCTOBER 24,post,264, 
23012.0, emmett_sparling Verified Themostpicturesqueplacetoparkyourboat.Thesunsetsfromhereareincredibleandthewaterclarityisinsane. Ican’tgetoverhowcrazythemountainsonMo’orealook. 5w,OCTOBER 22,post,261, 
41444.0, emmett_sparling Verified DrivingthroughthemagicalislandsofFrenchPolynesia (NoKiaPicantoswereharmedinthemakingofthisReel) 5w,OCTOBER 21,post,206, 
19644.0, emmett_sparling Verified Theperfectlycalmmorninglastedforabout10minutesbeforethatmassivestorminthedistancewasrightaboveus.Weswamwiththesharksandstingraysintheshallowwateruntilwewerefreezingcoldandshivering🦈 5w,OCTOBER 20,post,249, 
23085.0," emmett_sparling Verified Yesterdayafternoonwehadthemostincrediblewhaleencounter.After17daysofwind,rain,heavyoceanswells,andbadluckwithourshots,wegottheclearglassydayweweredreamingof. TherewasnowindonthewatersoitwasperfectlysmoothandthedramaticgreenmountainsbehindusonMo’oreawerelitupbytheafternoonsun.Wespottedawhaleplayinginthewater-acalf.Weslowlyandsilentlyswamintheirdirection,makingsuretoletthewhalesdictatetheinteraction.ChelseaandIstoppedswimmingasthemother,calf,andamaleescortturnedandswamdirectlytowardsus.Thewhalesliftedtheirbelliesatus,welockedeyecontact,andtheycontinuedontheirway. Themomentlasted30seconds,butitfeltlikeforever. Overcomewithawe,beautyandgratitude,acrying andIhuggedinthewater. I’mofficiallyaddingthisdivetomytop5ever. Hugethanksto fortakingusout! 5w",OCTOBER 18,post,233,  @chelseakauai @kahaiatours
33699.0,"  andIfoundthemostperfectpalmtree,leaningovertheshallowwateratsunset. Itriedgoingoutonit,andthewholethingstartedbouncingupanddownandIalmostfelloffwithmycamera.MeanwhileMeganjustcasuallywalkedtotheendandbackwithnohesitation 5w",OCTOBER 17,post,152,  @emmett_sparling Verified meganhassa
22950.0," emmett_sparling Verified Mo’orea-abeautifullittleislandwaaayoffintheSouthPacific.Knownforitslushpineappleplantations,laidbackatmosphere,surfing,andasahabitatforhumpbackwhales. Thisislandisnothingshortofmagic. 6w",OCTOBER 15,post,140, 
24933.0," emmett_sparling Verified Lastnight’sincrediblesunsetfromthewater.Iaccidentallydunkedmy1DxiiwithoutahousinginthewavesbecauseIwasholdingitsoclosetothewater...Ithinktheshotturnedoutprettycoolthough.Thesunsetwasabsolutelynuts,sothatdefinitelyhelped. Shoutoutto fortakingusout! 6w",OCTOBER 14,post,506,  @kahaiatours
18061.0, emmett_sparling Verified Amotherandhercalfgentlyswimpastwhileagroupofsharkshangoutintheshallowerwatersnearthereef. TheoceanaroundMo’oreaisteemingwithlifeofallshapesandsizes. 6w,OCTOBER 13,post,296, 
19627.0," emmett_sparling Verified ExploringthejaggedreefssurroundingMotuTiahura.Ittakesaround30minstowalkaroundtheentireisland,butwegotsodistractedevery5minsbyallthebeautifulspotstoshoot. Thanksto fortakingusouthereintheirbeautifulnewboat! 6w",OCTOBER 12,post,185,  @lagoon_vibes
19313.0," emmett_sparling Verified Glassymorningsonthewater.Whenyoucanseethebottom60+feetbelow,youknowit’sgoingtobeagooddayfordiving.Thisplacejustkeepsblowingmeaway🤯 6w",OCTOBER 10,post,297, 
56968.0, emmett_sparling Verified Foundtheperfectspotforasunsethangout ,OCTOBER 9,post,267,  @☀️🌴 meganhassa 7w
22011.0," emmett_sparling Verified Ihadalwaysimaginedhowswimingwithawhalemightbelike-amassivemajesticcreaturethatmakesyoufeelinsignificantandfragile,gentlyfloatingpastyou...kindoflikeawhalesharkmaybe. Inrealityit’ssomuchmorethanthat.Forstarters,hearingawhale’ssongisthemosthauntinglybeautifulthingI’veeverexperienced.Thesoundechoesallaroundyouasthecuriousbabysplashesaroundatthesurface. Divingwithawhalemakesyourealizetheirintelligenceanddeepawarenessofyourconnectionwiththem.It’snotlikedivingwithanythingelsebecauseyoucomeawayfeelinglikeyou’vemetsomeonenew. 7w",OCTOBER 8,post,298, 
