likes,about_post,date,type,comments,tagged_names
4684.0, feelgoodfoodie Verified Mashedsweetpotatoesaresimilartoacasserolebutwithoutthesugarytopping.It'salightenedupThanksgivingsidedish! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ,1 DAY AGO,post,27.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/mashed-sweet-potatoes/ 1d
6915.0, feelgoodfoodie Verified Creamycheesybrusselsproutcasserole-perfectvegetablesideforThanksgiving! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ,2 DAYS AGO,post,65.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/brussel-sprout-casserole/ 2d
4643.0, feelgoodfoodie Verified Thesehealthymashedpotatoesbelongoneveryone’sThanksgivingtablethisyear!!🤩 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ,3 DAYS AGO,post,28.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/healthy-mashed-potatoes/ 3d
8939.0, feelgoodfoodie Verified Creamedcornisthecreamofthecropthanksgivingsidedish-socreamyanddelish! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Swipeforingredientsandclicklinkinprofileforfullrecipe➡️ ,4 DAYS AGO,post,73.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/creamed-corn/ 4d
7781.0," feelgoodfoodie Verified ThispumpkincheesecakerequiresNOBAKING-it’ssweet,simple-to-makeandsosatisfying! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ",4 DAYS AGO,post,90.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/no-bake-pumpkin-cheesecake/ 4d
2739.0," feelgoodfoodie Verified ThisThanksgiving,jazzupyourgreenbeanswithafreshandvibrantflavorbyaddingtoastedalmondsandasqueezeoflemonjuice.  Tomakeprepeasier,checkoutthefreshlyprepareditemsat –theyhaveincredibleproduce,likethesegreenbeans.Andthat’ssomethingtofeelgoodaboutthisholidayseason!#SamsPartner#ThanksgivingRecipes. 5d",5 DAYS AGO,post,32.0,  @samsclub
2294.0," feelgoodfoodie Verified #ADWhenyou’recookingdinnerandsnackingatthesametime😬🍿–whoelsedoesthis?!Lately,I’mloving forthepre-dinnersnackgame.It’s50caloriespercup,airpopped,andyoudon’thavetosacrificeflavor!ClicklinkinbiotopurchaseonAmazon #smartfood#smart50#smart50partner 6d",6 DAYS AGO,post,43.0,  @smartfoodpopcorn
5509.0, feelgoodfoodie Verified TwicebakedsweetpotatoesareTWICEtheyum-thesearegreatforscalingdownthisThanksgivingbecauseyoucanmake8servingsorjust2! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ,7 DAYS AGO,post,56.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/twice-baked-sweet-potatoes/ 1w
9667.0, feelgoodfoodie Verified WhatIateinaday!#whatieatinaday#foodiesofinstagram#reels 1w,NOVEMBER 19,post,107.0, 
3536.0," feelgoodfoodie Verified RicepuddingtakesmebacktowhenIwasakid!#adIrecreatenowwithmykidsusingwaylesssugarand plant-basedOatmilk.ThekidsstirandIcontrolthemilktoriceratioforanultracreamydairy-freetreatthat’sperfectduringtheholidays!  Shareapost,storyorReelsofyourfamilythisholidayseason.Use#ReturnToMyRootsandtag intheposttobeenteredtowina✨TON✨ofgoodies!  INGREDIENTS 1cupshort-grainrice 3tablespoonscanesugar Pinchofsalt 6cups glutenfreeOatMilk 1tablespoonrosewater INSTRUCTIONS 1.Rinsethericeunderrunningwateruntilthewaterrunsclear. 2.Inamediumsaucepan,combinetherinsedrice,canesugar,saltand1cupoftheoatmilk.Cookovermediumlowheat,stirring,untiltheoatmilkisabsorbed,about5minutes. 3.Graduallyadd5morecupsofoatmilk,1cupatatime,stirringandcookinguntilthetexturebecomesverythick,about25-30minutes. 4.Letcoolfor5minutes,thenstirintherosewater. 1w",NOVEMBER 18,post,110.0,  @CalifiaFarms @califiafarms @CalifiaFarms
3500.0," feelgoodfoodie Verified Therisottothatdoesn’tneedstirring–oraspecialkindofrice!It’seasyforaweeknightmealbutlooksfancyenoughtoserveaspartofaspecialfamilygathering!  Iuse JasmineRicethat’sorganic,butteryintasteandeasy-to-cook!Itmakesforacomfortingfallbowlofdeliciousness.AndIhopeitmakesyouexcitedtotrynewpossibilitieswithpantrystaples!#LundbergFamilyTable#sponsored#goodfromthegrainup  Tograbtherecipe,clicklinkinprofile👉 ",NOVEMBER 17,post,61.0,  @Lundbergfarms @feelgoodfoodie  https://feelgoodfoodie.net/recipe/pumpkin-risotto/ 1w
4700.0," feelgoodfoodie Verified Egg-fee,dairy-freehomemadecornbreadthat’ssoftanddelicious–perfectforsnackingortoeatwithchiliorstews! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ",NOVEMBER 15,post,48.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/vegan-cornbread/ 1w
11250.0, feelgoodfoodie Verified Howtomakeanavocadorose!Eatingitwasachallengethough😂#avocado#avocadorose#rice 1w,NOVEMBER 15,post,164.0, 
14580.0, feelgoodfoodie Verified Weareobsessedwiththesehomemadedinnerrolls-basicingredientsandsimpletomakeevenifyou’renotabaker!Theydeserveaspotonyourthanksgivingtablethisyear!🍞🍞 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ,NOVEMBER 14,post,117.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/homemade-dinner-rolls/ 1w
11175.0, feelgoodfoodie Verified Howtocleanadirtystainlesssteelpanafterheavydutycooking!#kitchentips#allclad#allclad 2w,NOVEMBER 13,post,198.0, 
4463.0, feelgoodfoodie Verified Grainbowlsarelikeaheartywarmsaladthatareperfecttoenjoyduringthecoldermonths!🥣Thisisoneofmyfavoritefallcombos! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Swipeforingredientsandclicklinkinprofileforfullrecipe➡️ ,NOVEMBER 13,post,33.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/farro-grain-bowl/ 2w
7500.0, feelgoodfoodie Verified ParmesanBrusselsproutsaremakingitonourthanksgivingtablethisyear-they’reroastedBrusselswithcrispycheesyedges! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Clicklinkinprofileforfullrecipe➡️ ,NOVEMBER 11,post,73.0,  @feelgoodfoodie ⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://feelgoodfoodie.net/recipe/parmesan-brussel-sprouts/ 2w
