likes,about_post,date,type,comments,tagged_names
871.0, gaurimehtaa Verified WelcomeToTheWorldOf 💣  OpeningDoorsTomorrow💯 2d,2 DAYS AGO,post,18,  @Haveli havelidxb
1350.0," gaurimehtaa Verified Flipyour𝐇𝐚𝐢𝐫 Likeyoujustdon’t𝐂𝐚𝐫𝐞👩🏼  #mydubai#dubaibeauty  WentforaCaramelGoldColourthistime,tryingoutlighterhair&lovingitsofar🔥🖤 3d",3 DAYS AGO,post,22, 
990.0," gaurimehtaa Verified Alleyesonme,baby.✔️🔥 6d",6 DAYS AGO,post,26, 
839.0, gaurimehtaa Verified Happinesslooksbeautifulonyou😉🤍 6d,6 DAYS AGO,post,26, 
1256.0, gaurimehtaa Verified Lightingupthefire🧨💥 1w,NOVEMBER 15,post,27, 
1012.0, gaurimehtaa Verified NogirlcaneverysaynotothemagicofaSaree🌟♥️#happydiwali🪔#sareelove 1w,NOVEMBER 13,post,23, 
926.0, gaurimehtaa Verified Lifeistooshortforbadvibes✖️#allblack#mydubai 2w,NOVEMBER 4,post,12, 
1037.0, gaurimehtaa Verified Thisgirlisonfire🔥🌹 3w,NOVEMBER 1,post,25, 
866.0," gaurimehtaa Verified Youknowwhoyouare,Youaretheshininglight⭐️#shiningbright 3w",OCTOBER 30,post,14, 
914.0, gaurimehtaa Verified ThereisashadeofRedforEveryWoman🌹 3w,OCTOBER 29,post,18, 
746.0," gaurimehtaa Verified Nevertiptoethroughlife,letthemheareverystepyoutake. 4w",OCTOBER 26,post,11, 
1007.0, gaurimehtaa Verified Thenewnormal💕#birthdayweekend#staysafe#besttime#mydubai 4w,OCTOBER 24,post,27, 
771.0, gaurimehtaa Verified Youcanliterallyfeelwhenit’stimetomovetothenextchapterofyourlife🔥💕#25 4w,OCTOBER 22,post,21, 
1620.0," gaurimehtaa Verified Lovethewayyoutakecareofme,makemehappy,givemeendlesslove,makemeneverwanttoleave.👧🏻  Iloveyouforyou ",OCTOBER 21,post,20,  @♥️ yogipofficial 4w
1398.0, gaurimehtaa Verified Casuallyslayinginmybed💚  Dress👗  ,OCTOBER 19,post,26,  @clubllondon @asos 5w
1131.0, gaurimehtaa Verified 𝘈𝘭𝘮𝘰𝘴𝘵𝘉𝘪𝘳𝘵𝘩𝘥𝘢𝘺𝘗𝘰𝘴𝘵🎈#birthdayweek  I’msooverwhelmedtohavesuchamazingpeopleinmylife.Thankyousomuchforthesurpriseguys♥️  Andit’snotevenmybirthdayyet👧🏻  Alwaysbettertogether  ,OCTOBER 18,post,23,  @#squadgoals  yogipofficial @👩‍❤️‍💋‍👨 rushalidashh shreyas_mehta nishita_patel_ panchaliguptababber nish.one anujachangrani _somiiiii_ 5w
1689.0, gaurimehtaa Verified Yournameisinroomsyourfeethaven’tenteredyet.  #allblack#allthewayup🔝✔️ 5w,OCTOBER 16,post,36, 
1924.0, gaurimehtaa Verified She’sa𝘲𝘶𝘦𝘦𝘯withalittlebitof𝘴𝘢𝘷𝘢𝘨𝘦🦋#aboutlastnight#mydubai 6w,OCTOBER 14,post,31, 
903.0, gaurimehtaa Verified You’vegottocomewithmorethanwordstomakethemlisten.🔥 6w,OCTOBER 12,post,21, 
