likes,about_post,date,type,comments,tagged_names
995.0, gemmatalbot Instagramvs.Reality💨littlebitwindyhun.Thankgodthewinddidn’tpushmebackwardsintothewater🤣outfitlinkedinmybiohttp://liketk.it/31O9b#liketkit 1d,1 DAY AGO,post,60, 
829.0, gemmatalbot CanIcallmyselfsportyspice?🏀💚 exclusiveto co-ordisalockdownvibe.Outfitlinkedinmybiohttp://liketk.it/31JjV #liketkit 2d,2 DAYS AGO,post,27,  @newbalance @asos @liketoknow.it
1515.0, gemmatalbot VeryBlairWaldorfbutyou’llfindmedownthebiscuitislewearingthisbecausewhenelseamIsupposedtowearmyfancyclothes🤷🏻‍♀️linktooutfitcanbefoundinmybiohttp://liketk.it/31Cte#liketkit 3d,3 DAYS AGO,post,61, 
683.0, gemmatalbot Freshnewkicks👟 (ref:3401/610)there’salsoahugeautumnZarahaulonmyYouTubechannelifyoufancyawatch.Thelinkisinmystories🍂 4d,4 DAYS AGO,post,42,  @zara
929.0, gemmatalbot Thehighlightofmydaywillbeventuringouttogeta vegantoffeenutlatte☕️outfithasbeenlinkedonthe app.Justhitthelinkinmybiohttp://liketk.it/31sO0#liketkit 5d,5 DAYS AGO,post,31,  @starbucksuk @liketoknow.it
873.0, gemmatalbot Foreverdressingadecadeyoungerthanmyactualageinclothesmyboyfrienddespises.Akatheadultbabygrow🤣 ,5 DAYS AGO,post,33,  @zara 5d
441.0, gemmatalbot 4autumnlooksfromlastweek🍂Whichoneisyourfavourite?I’velinkedeverythingonthe appsoclickthelinkinmybiotoshopmyoutfitshttp://liketk.it/31f6C#liketkit 1w,7 DAYS AGO,post,103,  @liketoknow.it
1022.0," gemmatalbot RainySaturdayscallforoversizedsweatshirts,Netflixbingingandendlesscupsofoatmilkcoffees.Clickthelinkinmybiotoshopthissweatshirt.I’mwearingasize14-16💚http://liketk.it/317aV #liketkit 1w",NOVEMBER 14,post,38,  @liketoknow.it
1804.0, gemmatalbot Walkingintotheweekendlike....💃🏻therainbowwaschasingme.Lookatthatlight🌈✨happyFridayeveryonex 1w,NOVEMBER 13,post,70, 
899.0," gemmatalbot Justme,myselfandmytakeawaycoffee☕️wokeupagainthismorningthinkingitwasFriday.Althoughwearewellintoautumn,thisoutfitwillforeverbemyfavourite.Youjustcan’tgowrongwithanoversizedslogansweatshirtandtennisskirt.I’velinkedthisoutfitonthe apphttp://liketk.it/30VkJ(linkinbio)#liketkit 1w",NOVEMBER 12,post,41,  @liketoknow.it
1114.0, gemmatalbot I’dhappilywearthisoutfitallautumnandwinter🍂🍁outfithasbeenlinkedonthe app-clickthelinkinmybiotoshopthiswholelookhttp://liketk.it/30Rk3#liketkit{gifteditems} 1w,NOVEMBER 11,post,54,  @liketoknow.it
1627.0, gemmatalbot PreppyvibesforAW✌🏼veryGossipGirlxoxooutfithasbeenlinkedwith -linkinbiohttp://liketk.it/30JWl#liketkit 1w,NOVEMBER 10,post,66,  @liketoknow.it
892.0, gemmatalbot HappyMondayeveryone🍂howwaseveryone’sfirstweekendinlockdown2.0?🔐outfithasbeenlinkedonthe appthese contourleggingsareadream http://liketk.it/30G5j(linkinbio) 2w,NOVEMBER 9,post,24,  @liketoknow.it @lornaluxe @inthestyle
1393.0, gemmatalbot AclassicautumncombothatI’llbewearingtothesupermarketandonmytakeawaycoffeerunsfortheforeseeable🍂🖤outfithasbeenlinkedonthe apphttp://liketk.it/30CKN{skirtgiftedfromthelatest collectionfrom ,NOVEMBER 9,post,25,  @liketoknow.it @lornaluxe @inthestyle} 2w
637.0," gemmatalbot Day2oflockdown2.0andI’malreadymissingmycoffeefix☕️Settingthetoneforeverydayluxurywiththisgorgeous IconicLinkUnitonewatchinrosegoldwithaccompanyingring.Simple,elegantandtimelessthatlooksgreatpairedwithanyoutfit.Fromyourfavouritecosyknitweartosparklypartypieces.Usemycode:GEMMADWfor15%offyourentirebasketexclusivelyonline#danielwellington#IconicLinkUnitone#ad 2w",NOVEMBER 6,post,53,  @danielwellington
588.0," gemmatalbot Learntmylessonlastlockdown.Nogoodcomesofgettingacrylicnailssoatleastduringlockdown2.0Iwon’tbemeltingmynailsoffinabowlofacetone😒🤣howgorgeousarethesechunkycurbchainringsfrom newcollectionwith I’vealsolinkedanathomeburgundynailmanicureset,soyoucanstillgetthoseathomeautumnnailsthislockdown💅🏻everythinghasbeenlinkedonthe appbutyoucanalsoclickthelinkinmybiohttp://liketk.it/30n0y{prproducts} 2w",NOVEMBER 5,post,18,  @esteelalonde @daisy_jewellery @liketoknow.it
915.0," gemmatalbot Acamelcoatwillforeverbeawardrobestaple🍂outfitlinkedonthe appandinmybiohttp://liketk.it/30i0vincludingthis coat.  Aslockdown2.0looms,howiseveryonefeeling?TrytostaypositiveandremembermyDM’sarealwaysopen❤️it’satoughtimeforusallandweneedtosticktogether.  {prproduct} 2w",NOVEMBER 4,post,57,  @liketoknow.it @lornaluxe
437.0, gemmatalbot 3waystowearthis leopardprintdressforautumnandwinterortoTesconowwearegoingintolockdown2.0  Everythingworninthisvideocanbefoundonthe app.Justclickthelinkinmybio http://liketk.it/30dwd#liketkit#igreels#asos#autumnvibes🍁#autumnstyle#fallfas 2w,NOVEMBER 3,post,28,  @asos @liketoknow.it @gemmatalbot
1317.0, gemmatalbot Goodmorningeveryone.HappyMonday.I’minlovewiththis reversiblecoat.SwiperighttoseebothwaysIwearthisjacket.Whichisyourfavourite?I’velinkedthisoutfitonthe apphttp://liketk.it/308fk#liketkit(I’mwearingasize12forreference) 3w,NOVEMBER 2,post,64,  @topshop @liketoknow.it
593.0, gemmatalbot Withanotherlockdownpendingwe’lldefinitelybespendingmoretimeindoors.Hereare6cosyworkingfromhomeoutfitstoupdateyourloungewearcollection🐻Absolutelyeverythinghasbeenlinkedonthe apphttp://liketk.it/303BOyoucanalsoclickthelinkinmybiotoshopeachoftheselooks.Whichisyourfavourite?#cosy#workfromhome#loungewear#igreels#autumnoutfits 3w,NOVEMBER 1,post,36,  @liketoknow.it
1307.0,  reversiblecoatofmydreams🐻howcutedoesitlookwiththesecamelboots.I’velinkedthisoutfitinmybioandonthe apphttp://liketk.it/300EuhappyHalloweeneveryone👻sendingeveryonelotsofloveduringtheseuncertaintimes(prayinganothermonthlockdownisn’thappeningnextweek😢)#liketkit 3w,OCTOBER 31,post,0,  @gemmatalbot topshop @liketoknow.it
512.0," gemmatalbot HappyFridaymyloves❤️what’sbetterthanacosyshirt?Aknittedcosyshirtandthis oneisanabsolutedream.I’velinkeditinmybioandonthe apphttp://liketk.it/2ZWpBsoit’stoothextractiondaytodayandI’venotreallygivenitmuchthoughtuntilnow.Asaresult,I’vewokenupfeelingalittleanxiousIcan’tlie.I’vestockeduponlotsofyogurt,icecreamandoatmilktoseemethroughthenextfewdays.Hopefullytheywon’tbetoopainful.AtleastforHalloweenIwon’tneedtothinkofacostume.Whoareyou?Myself🤣🦷{prproduct} 3w",OCTOBER 30,post,39,  @andotherstories @liketoknow.it
274.0," gemmatalbot {ad-paidpartnership}I’veneverbeenamassivedrinker,usuallyenjoyingafewonanightout.Withthetimesbeingsouncertainrightnow,Iknowalotofusenjoyhavingatippleattheendoftheweektorelaxandunwind.I’verecentlydiscovered low-alcoholdrinks,whichgivemethesametasteofmyfavouriteG&Tdrinkwithoutthenextdayhangover.Perfectforaweekenddatenightorevenasyourdailywinddownafterastressfuldayatwork.ThewatermelonandstrawberryflavouredCleanGinismyfavourite.It’sdeliciousandonly1.2%ABVtoo!Thetraditionaldistillingmethodsareusedastonotcompromiseonflavourensuringyougetthebesttastingdrinkpossible.Mixedwithtonicandalittlegarnish,this CleanGintastesamazing.Louisisalsoafan.#ad#CleanCo 3w",OCTOBER 29,post,76,  @cleanco @cleanco
784.0, gemmatalbot Winningautumncombo🍂🤎this skirtiscurrently20%offonlinealongwitheverythinguntilmidnight.Usecode:SPOOKY20atthecheckout.I’velinkeditinmybioandstoriesalongwithsomeotherpiecesIpickeduprecently.  http://liketk.it/2ZPqh #liketkit 3w,OCTOBER 29,post,45,  @topshop @liketoknow.it
1554.0, gemmatalbot Doesitgetanymoreautumnalthanthis?🍂I’velinkedthisgorgeousdressinmybio http://liketk.it/2ZMSD#liketkit{boots-prproduct} 3w,OCTOBER 28,post,41,  @liketoknow.it
651.0,  knitweartodiefor🤍 3w,OCTOBER 27,post,27,  @gemmatalbot zara
1563.0, gemmatalbot It’sallaboutshacketsifyoudidn’talreadyknow.I’mlovingthislongline onetoo.Outfithasbeenlinkedonthe app-clickthelinkinmybiotoshopthislook#liketkit#hmxme 4w,OCTOBER 26,post,60,  @hm @liketoknow.it
616.0, gemmatalbot TheperfectmoodySundaymorningcombo☕️🥐there’sanautumncollectivehaulonmyYouTubechannelthismorning(linkinstories)ifnoneofyouareleavingthehouseandwantsomethingtowatch.Hopeyou’reallhavingalovelyweekend❤️ 4w,OCTOBER 25,post,48, 
1043.0, gemmatalbot Ilovedthe ‘Aria’dresssomuchinblackthatIneededitinthetanversiontoo 🤎🍂🌰theexaggeratedsleevesareeverything.BlackandTanversionhavebeenlinkedonthe apphttp://liketk.it/2ZqRK#liketkit 4w,OCTOBER 23,post,60,  @lornaluxe @inthestyle @liketoknow.it
2059.0, gemmatalbot Thisisbasicallymyautumnandwintercolourpalette🤎🍂🌰🤍outfitlinkedonthe appandalsoonmystorieshttp://liketk.it/2Zlhk#liketkit[prproduct] 4w,OCTOBER 22,post,48,  @liketoknow.it
2233.0, gemmatalbot Autumnrainbownails💗💚🧡🤎 4w,OCTOBER 21,post,66, 
703.0, gemmatalbot 3waystostyleGucciGGinterlockingtightsforautumnandwinter.Whichoutfitisyourfavourite?🍂  Alloutfitscanbefoundhere- #falloutfits#autumnoutfit#autumnoutfits#guccitights 4w,OCTOBER 20,post,42,  @https://ltk.app.link/t0ld90ptJab  liketoknow.it  #patternedtights
1126.0, gemmatalbot A/WtexturesandGGtightsseason🤍🤎🍂 5w,OCTOBER 19,post,40, 
1173.0, gemmatalbot Favouriteautumncolourpalette🧸🍂🤎MyautumnandwintercoatcollectionisnowliveonmyYouTubechannelifyoufancygrabbingahotchocolateandgettingcosy.Linkisinmystories.Outfithasbeenlinkedonthe apphttp://liketk.it/2Z3rq#liketkit 5w,OCTOBER 18,post,55,  @liketoknow.it
1093.0," gemmatalbot SpentthewholeofyesterdaydoingmyautumnwinterwardrobeswitchoverwhichI’vebeenputtingoffforweeks.IcannotbelievehowmuchknitwearIhave.It’snotok.Withthatsaid,howcuteismynew knit🎀🤣I’mlovingpinksandneutralspairedtogetheratm. 5w",OCTOBER 17,post,55,  @zara
1341.0, gemmatalbot Teddycoatseasonismyfavouriteseason.Howamazingdoesthis x dresslookpairedwithit🖤🤎wholeoutfithasbeenlinkedwith justheadtothelinkinmybiotoshopthislookordirectlyintheapp!HappyFridayeveryone❤️staywarm🐻http://liketk.it/2YTsl#liketkit 5w,OCTOBER 16,post,41,  @lornaluxe @inthestyle @liketoknow.it
1664.0, gemmatalbot GoingtohavetoputmyselfonaZaraspendingbanbecausethingsjustkeepaccidentallyfallingintomybasket🥴💘 5w,OCTOBER 15,post,74, 
932.0, gemmatalbot 50shadesofbeige👀I’mhereforaneutralcolourpalettethisautumnandImustsayI’mobsessedwiththis longlineshacket.I’velinkedthiswholelookonthe apphttp://liketk.it/2YJLB#liketkit 5w,OCTOBER 14,post,95,  @hm @liketoknow.it
1075.0," gemmatalbot Takingthegovernmentsadviceandre-evaluatingmyskillset🥴I’llbearainbowbaristainnotime🌈🤣butmaybethat’stoocreative?!Becreative.Butnottoocreative.Rethinkyourskillsetbutdon’trethinkyourskillsetoutsidethegovernmentsguidelines.Ringanybells?  Rethink.Reskill.Reboot🤯Honestly,Ihatetotalkpoliticsonheremoreoutoffearofsayingthe‘wrong’thingorbeingtoldIneedto“awaken”and“educate”myself.Butmygod,whatathoughtless,demotivatingcampaignthatjustpissesmeoff.Surelyit’ssatire?Fatima’snextjobcouldbeincyber(shejustdoesn’tknowityet).WellRishi’snextjobcouldbeinWagamama’s(hejustdoesn’tknowityet).It’ssohardtoremainpositiveandupbeatduringsuchuncertaintimeswiththepandemicwearein.Whilstmyjobalongwitheveryoneelse’sisincrediblyuncertain,I’mhopefulitwillbeok.Itookaleapoffaithtobecomeselfemployedinthefirstplaceandusfreelancerswon’tgiveupjustyet.I’msurethegovernmentarethrilledwithus🙃hopefullyonedayitwillbenoticedhowviablethecreativeindustryreallyis.Orcallmecrazyactuallyusethemoneyspentonthisridiculouscampaignforgooduseandhelppeopleintheartssectors.We’llsticktodoingjobswelove.NowI’mofftoenjoymypinklatteandlotusbiscuits🍪headtomystoriesforQ&Atimex 5w",OCTOBER 13,post,53, 
1139.0, gemmatalbot Teddycoatseason🍂🧸🤎happyMondayeveryone.Outfithasbeenlinkedonthe apphttp://liketk.it/2YwfJ#liketkit 6w,OCTOBER 12,post,32,  @liketoknow.it
664.0, gemmatalbot Jumpingintoautumnwithaprettysolidbootcollection👢whichpairareyourfavourite?  Allthebootscanbefoundhere-http://liketk.it/2YmEk  1.      #liketkit#autumn#autumnvibes🍁#boots#bootseason#hmxme#publicdesire#asos#bershkastyle 6w,OCTOBER 10,post,95,  @hm 2. @bershka 3. @publicdesire 4. @publicdesire 5. @asos 6. @asos  liketoknow.it
961.0," gemmatalbot Neverunderestimatethepowerofjewellery✨ nowhavethemostgorgeousjewellerycollectionwhichcomplimentsmyIconicLinkwatch(swipefordetails)andthefundamentalpremiseofthiscollectionisempowerment.  Ilovethismessagebecausewhengettingreadytoleavethehouseinthemornings,Ialwaysreachformyfavouritejewellerypieces.TheycomplementmyoutfitsandwithoutthemIfeel‘naked’.Personallyjewellerymakesmefeelconfident,empoweredandreadytotakeontheday.It’satalkingpiece.Everheard“Iloveyournecklace?”.Weallfeelselfempoweredindifferentwaysfrommotivationalpodcaststoputtingonyourfavouriteoutfit,butwhatdoesselfempowermentlookliketoyou?Commentwithyourbesttipsandadvice.  Youcanget15%offyourentirebasketwithcode:GEMMADW  #betheonetogoforit#danielwellington#ad 6w",OCTOBER 9,post,53,  @danielwellington
676.0, gemmatalbot Autumnwinterknitwearcomingalongnicely💘  Blue cardiganref:6873/139 Pinkandblue cardiganref:9598/136 Cableknitcardigan ref:0896161001 6w,OCTOBER 9,post,32,  @zara @zara @hm
943.0, gemmatalbot Mebeforecoffeevs.aftercoffee☕️(oatmilkcappuccinoofcourse)outfithasbeenlinkedonthe apphttp://liketk.it/2YcX0#liketkit 6w,OCTOBER 8,post,45,  @liketoknow.it
1367.0, gemmatalbot Oversizedshacketsandcosyjumperdressesaremyautumnuniform🍂outfitlinkedonthe apphttp://liketk.it/2Yarx#liketkit{prproduct} 6w,OCTOBER 7,post,39,  @liketoknow.it
504.0," gemmatalbot Autumnnight,summersky☁️WaswalkingbackfrommyTescoweeklyfoodshop,lookedupandsawthisbeautifulpinkcloudinthesky.Icouldn’tnotstopandtakeapicture.OnethingCovid-19hastaughtmeisthatoftenthesmallestthingsinlifebringyouthegreatestpleasure.Weoftentakethemforgrantedbuttheyareallaround.WishingyouallalovelyTuesdayevening💕Who’swatchingtheGreatBritishbake-off?🧁#pinksky 6w",OCTOBER 7,post,71, 
1732.0, gemmatalbot Thecomfylifechoseme🐻Hadmyfirstpumpkinspicedoatlatteoftheyearwhichmadeitofficiallyfeellikeautumn🍂I’velinkedsomeofmyfavouritecosyknittedco-ordsonthe apphttp://liketk.it/2XZIJ#liketkit 7w,OCTOBER 5,post,11,  @liketoknow.it
2062.0, gemmatalbot Someofmyprerainautumnoutfits🍂Whichoneisyourfavourite?  Outfit1:dress boots 2:jumper skort boots 3:shirtdress knittedvest boots 4:shirtdress boots #ootdinspiration#autumn#autumnvibes#zara#topshopstyle#hmxme#neutra 7w,OCTOBER 4,post,42,  @hm @topshop  Outfit @asos @zara @zara  Outfit @topshop @zara @zara  Outfit @topshop @topshop  #ootd
1023.0, gemmatalbot OkI’mgoingtosayit.Missingsummeroutfitslikethis.Ididn’tleavethehousealldayyesterdaybecauseofthisawfulrain☔️outfitlinkedonthe appI’mwearingasizelargeinthissweatshirtbecauseCOSYalways🙌🏻 7w,OCTOBER 3,post,58,  @liketoknow.it
1671.0, gemmatalbot Cosyjumperdressesandkneehighbootsisbasicallymyautumnuniform.Pleasedon’tgetanycoldersoIcanliveinthisoutfit🍂I’velinkedsomeofmyfavouritejumperdressesonthe appforyoualongwithsomekneehighbootshttp://liketk.it/2XOHO#liketkit 7w,OCTOBER 2,post,6,  @liketoknow.it
698.0, gemmatalbot Blueberryandmaplesyruppancakeporn🥞becausewhenispancakesforbreakfasteverabadidea?😍 7w,OCTOBER 1,post,76, 
7882.0," gemmatalbot Goodmorningeveryone💕I’mnotgoingtolie,I’malittlebitobsessedwiththisoutfit.What’syourtakeontheknittedvesttrend?Iabsolutelylovethempairedwithoversizedpoplinshirtsandofcoursemyfavouritekneehighboots. 7w",SEPTEMBER 30,post,87, 
1437.0, gemmatalbot Meofftohibernatefortheforeseeablewithmyelectricblanketandcosyloungewear🍂🐻 7w,SEPTEMBER 29,post,39, 
1092.0, gemmatalbot Officiallycostseason🍂outfitlinkedonthe apphttp://liketk.it/2XxuP#liketkitclickthelinkinmybio [prsample] 8w,SEPTEMBER 28,post,80,  @liketoknow.it @asos
1221.0," gemmatalbot Itcertainlyfeelsfreshthismorning.I’mwonderinghowlongwecandobareleggedweatherfor,soIcanstillwearcutelittle smockdresseslikethis.Outfitlinkedonthe apphttp://liketk.it/2XoVs#liketkit 8w",SEPTEMBER 26,post,340,  @asos @liketoknow.it
962.0," gemmatalbot Andbambjustlikethat,summerdayswereover.Anyoneelsenoticethedropintemperatesincethefirstofficialdayofautumn?🍂swiperightforsomefluffycuteness,I’manauntienow 🐶❤️ 8w",SEPTEMBER 25,post,61,  @thatpomhendrix
735.0, gemmatalbot 15second autumnhaul🍂whatitemsareyouloving?Everythinghasbeenlinkedonthe apphttp://liketk.it/2XcZq#liketkit#hmxme#autumnoutfits#falloutfits 8w,SEPTEMBER 25,post,53,  @hm @liketoknow.it
1007.0, gemmatalbot Someautumnnailinspofromyourfeedsthismorning🍂❤️ http://liketk.it/2XgCg#liketkit{prproduct} 8w,SEPTEMBER 24,post,20,  @liketoknow.it
985.0, gemmatalbot Theanimalprintlifechoseme🐆Cutelittlewrapdressfrom 🍂Outfitlinkedonthe apphttp://liketk.it/2XceH#liketkit(linkinbio) 8w,SEPTEMBER 23,post,48,  @topshop @liketoknow.it
1036.0, gemmatalbot Whenyouwantittobeblazerseasonbutit’snotquiteblazerseason... ,SEPTEMBER 22,post,54,  @zara 8w
