likes,about_post,date,type,comments,tagged_names
7461861.0, gigihadid Verified Awholenewkindofbusy&tired😅❤️butshe’sdabestiesoshegotChristmasdecorationsearly🥰🥰🎁 17h,17 HOURS AGO,post,25100.0, 
2308441.0," gigihadid Verified WANGGANGGITHANG🦓 bythegreat 💡honored, !! 5d",5 DAYS AGO,post,5662.0,  @alexanderwangny aw20 @stevenkleinstudio @alexwangny
1764625.0," gigihadid Verified WANGGANGGITHANG bythegreat 💡honored, !! 5d",5 DAYS AGO,post,4462.0,  @alexanderwangny aw20 @stevenkleinstudio @alexwangny
3188794.0," gigihadid Verified WANGGANGGITHANG bythegreat 💡honored, !! 5d",5 DAYS AGO,post,9159.0,  @alexanderwangny aw20 @stevenkleinstudio @alexwangny
2406191.0," gigihadid Verified Wishingayearofjoytomyamazingdaddio,mybaby’ssweetJido💙4EVERYOUNG youareoneofakind!!!!Iloveyousomuchandcherishourlaughsandyourcooking☺️WishIcouldcelebratewithyoutoday....soon!!HAPPYBIRTHDAY😘 2w",NOVEMBER 7,post,2866.0,  @mohamedhadid
2419458.0, gigihadid Verified PLEASEVOTETOMORROW🇺🇸 2w,NOVEMBER 3,post,6233.0, 
3980047.0, gigihadid Verified chooseyourplayer🕹🎃 3w,NOVEMBER 1,post,13000.0, 
3608630.0," gigihadid Verified Ivotedabsenteelastweekwithmydaughternexttome,foranAmericaIwanthertosee;butnotjustforus-forfellowAmericansthatarelessprivileged,withhopeforanationthatisunified,thatisempathetic,&foraleaderthatiscompassionate. YOUHAVEAWEEKANDAHALF🗳 IFYOU’REVOTINGEARLYIMPROUDOFYOU. IFYOUMAILEDINYOURABSENTEEBALLOTI’MPROUDOFYOU.(&&ifyoudroppeditoffatyourCounty’sBoardofElectionsOfficeoratanEarlyPollingSiteI’mproudofyou!!) IFYOU’REGOINGTOTHEPOLLSONNOVEMBER3RDI’MPROUDOFYOU. WhateveryourPLAN,I’mproudofyou;makesureyouhaveone!!!Letmeknowbelow👇👇👇 4w",OCTOBER 25,post,12600.0, 
5896161.0," gigihadid Verified TodayIcelebrate,butamalwaysgratefulfor,the24yearsthatIhavebeenblessedwithmybabysister whoalwayshasmybackandbringsmetheyummiesttreats🧁🦋Iamsoproudofyourconstantgrowthandlight.YouhaveabeautifulheartandIwishyouayearofeveryopportunitytodowhatmakesyouthemostfulfilled,sharingthatmagic💞nearandfar.🌍WHOLOVESYOU?!YOURSISTER.Havethebestday!!!!!!🍸🏝HAPPYBDAY 6w",OCTOBER 9,post,21500.0,  @bellahadid
13473789.0, gigihadid Verified Ourgirljoinedusearth-sidethisweekendandshe’salreadychangedourworld.Soinlove🥺💕 8w,SEPTEMBER 24,post,164000.0, 
9411620.0, gigihadid Verified fromabout27wks🥺💙timeflew 9w,SEPTEMBER 18,post,54000.0, 
4459366.0, gigihadid Verified more for      ,SEPTEMBER 10,post,14000.0,  @kith @calvinklein @🍦 cassblackbird @ronniefieg @gabriellak_j @erinparsonsmakeup @brycescarlett 10w
2359002.0, gigihadid Verified HappiestBirthdaytotheOGHadidSister💫ourbigsissy 💕creativeandfunandsuchagoodmammatotheangelssheblesseduswith☺️loveyouSOMUCHandwishIcouldbetheretocelebratewithyou🧁🧁🧁Youdeservethebestday&year!!! 11w,SEPTEMBER 7,post,2732.0,  @mariellemama
2899752.0, gigihadid Verified risenshine☕️ x ,SEPTEMBER 5,post,5241.0,  @kith @calvinklein 11w
2721686.0," gigihadid Verified Thedreambillboard!!!ft x !!!WishIcouldbeinthecitytoseeit.🗽🗽🗽Shotatthebeginningoftheyear,soexcitedtofinallysharetheKithforCalvinKlein2020campaignby /gratefulforprojectswfriends 🏆    loveuall🚕❤️ 11w",SEPTEMBER 4,post,5029.0,  @kith @calvinklein @cassblackbird @ronniefieg @austinscotti @gabriellak_j @erinparsonsmakeup @brycescarlett
5537612.0, gigihadid Verified making-of:) 12w,AUGUST 31,post,20400.0, 
7113423.0, gigihadid Verified 33weeks♡ 12w,AUGUST 31,post,28900.0, 
6779482.0, gigihadid Verified afewmorefrom7.26🧚 12w,AUGUST 31,post,28300.0, 
8276924.0, gigihadid Verified cherishingthistime.appreciateallthelove&wellwishes♡willneverforgetcreatingthesespecialimageswithmyfriends   thankyou.Iloveyou! 12w,AUGUST 26,post,48200.0,  @luigiandiango @gabriellak_j @erinparsonsmakeup
8739946.0, gigihadid Verified 7.26.20🕊 12w,AUGUST 26,post,45600.0, 
9528177.0, gigihadid Verified growinanangel:) 12w,AUGUST 26,post,79000.0, 
3056700.0, gigihadid Verified summergratitude 13w,AUGUST 20,post,6337.0, 
2421388.0, gigihadid Verified ParisianRooftop.December Chanel 🎬 16w,AUGUST 3,post,6338.0,  @‘19 chaossixtynine @Issue. cassblackbird
2671819.0," gigihadid Verified DoNotDisturb Paris,December‘19 16w",AUGUST 3,post,3863.0,  @🛎🗝 chaossixtynine
5367921.0, gigihadid Verified SuitedeGigi by   December‘19 16w,AUGUST 3,post,18700.0,"  @🕰🛁🥐 chaossixtynine @cassblackbird ♡ @stockdale.charlotte @katielyall Paris,"
10911174.0, gigihadid Verified babydaddy☺️ 16w,AUGUST 1,post,171000.0, 
1828106.0, gigihadid Verified NEW COVER(s) by //THECHANELISSUE🛁 fromParisinDecemberx Thankyouloves  ,JULY 29,post,3519.0,  @chaossixtynine @cassblackbird @stockdale.charlotte @katielyall 16w
2307303.0," gigihadid Verified HAPPIESTbirthdaytomyamazingbigsister whosespiritissospecialandwhoseheartisgold.Yourabilitytoconnectwithanyoneandalwaysbepresentiswhatmakesyoulovedbysomany.🦁Wishingyouthebestdayandyear&wishIcouldbewithyoutoday!!Incelebrationofmysissy,pleasemakeadonationto -acausethatmeanssomuchtoher:) 17w",JULY 27,post,2735.0,  @lanzybear @makeawishlosangeles
2018632.0, gigihadid Verified 🎠 17w,JULY 27,post,171000.0, 
2180261.0, gigihadid Verified Spentalloflastyeardesigningandcuratingmypassionproject/dreamspot.Ofcourseitallcametogetherrightbeforequarantiningoutofthecity....butI’mexcitedforthetimeI’llgettospendenjoyingallthespecialcornersthatweremadewithalilhelpfromsomeofmyfavoritecreatives(tap!)whoembracedmyideasanddidn’tcallmecrazy.💛++mymamma:)whoisthegreatesthomemaking-sounding-boardIcouldaskfor(shecalledmecrazywhenrequired)☺️gratefultoandforall. SpecialthankstoGordonKahn! 17w,JULY 25,post,3519.0, 
2621546.0," gigihadid Verified Countingdownto#InternationalFriendshipDaywithsomehelpfromDisneyandthelifelongMinnietomyDaisy ❤️🌼Nearorfar,youcontinuetoinspiremewithyourheartanddrive.ILOVEYOU!#MickeyFriendsStayTrue#ad ",JULY 23,post,2735.0,  @livvperez @MickeyTrueOriginal 17w
951471.0," gigihadid Verified Can’tbelieve.NEW campaignbyme!💓📷 shotsfromfittingsandbackstageofthemostrecentshow!BIGLOVEtoMrs.Prada,  forthisopportunity,andalltheamazingmodelsandteamsIworkwithforputtingupwmerunninginandoutoflineuptoputmycamerainyourfaceallseason😄Imissyou🥺 —illustrationsby / layoutby — 17w",JULY 22,post,5846.0,"  @MiuMiu @gisposable @kegrand, @bitton @luellabartley @grahamrounthwaite"
