likes,about_post,date,type,comments,tagged_names
59986.0, gordongram Verified BlackFridayishereguys...the teamhavegotgiftsforeveryone!!Gx 3h,3 HOURS AGO,post,598.0,  @gordonramsayrestaurants
79744.0, gordongram Verified Justlookatthesestunningdishesfrom ...Iknow andtheteamcan’twaittoseeyou!! 1d,1 DAY AGO,post,520.0,  @unionstcafe @degiovanni.davide
31502.0, gordongram Verified Needtheperfectdessertforyour#Holidaygatheringthisweek?TheseAppleGaletteswillmakeyouthestaratyour#Thanksgivinggathering(orZoomcall!)!EnjoyGx 2d,2 DAYS AGO,post,787.0, 
90906.0, gordongram Verified WeCANNOTwaittowelcomeyoubackto inDecember…visitmystoriestobook!!Gx 3d,3 DAYS AGO,post,438.0,  @gordonramsayrestaurants
115275.0,  arehelpingyougetChristmaswrappedupearly....We’velaunchedadailydealwhereyoucansave25%ongifts!!There’llbeanewoneeachday...Firstupthe beefwellingtonexperience.Visitmystoriesformore.Gx 1w,7 DAYS AGO,post,2442.0,  @gordongram Verified gordonramsayrestaurants @heddonstkitchen
64593.0, gordongram Verified Notlongtogountil opentheirdoorsagainandstarttheChristmascelebrations!!We’regoingtobebusy…sovisitmystoriestobooknow!!Gx 1w,NOVEMBER 18,post,907.0,  @gordonramsayrestaurants
408971.0," gordongram Verified WelostaMasterofthe kitchentoday.Benyouwereanincrediblytalentedhomecookandevenstrongeryoungman.Youryounglifehadsomanytoughturnsbutyoualwayspersevered.Iadoredourtimecookingandlaughingtogetheronset.Heartbrokentodaylosingmylittlemate,sendingallmylovetoBenWatkins’familywiththisterriblelossGx 1w",NOVEMBER 18,post,561.0,  @masterchefjunior
79394.0, gordongram Verified Congratulationstothisincrediblemansohappyforyoumyfriend  ,NOVEMBER 15,post,1015.0,  @lewishamilton @mercedesamgf1 1w
143346.0, gordongram Verified Nailthatlockdownbreakfastwithmyfavouritebakedeggsrecipe!!Headtomystoriestocheckitout.... 1w,NOVEMBER 14,post,6223.0, 
142745.0, gordongram Verified HappyFirstBirthday !!Can’twaittoseeyousoon....andgoChiefs! 1w,NOVEMBER 13,post,771.0,  @gordonramsaysteakkc
79043.0, gordongram Verified Iknow andtheteamcannotwaittogetbacktothekitchen topreparebeautifuldishesforyou....likethisstunningCornishcod! 2w,NOVEMBER 12,post,5281.0,  @chef.mattabe @restaurantgordonramsay
226347.0," gordongram Verified Thankyoutoallfortheirservicethis#VeteransDayand#RemembranceDay.ThroughoutmytravelsintheUK,USandaroundtheworldithasbeenanhonourtomeetsomanyofyouandhearyourstories.ThankyouforyourhardworkGx 2w",NOVEMBER 11,post,1340.0, 
77474.0, gordongram Verified Alookbackatsomeofthebeautifulautumndishesfrom ....Can'twaittogetbackthere ,NOVEMBER 10,post,3057.0,  @luckycatbygordonramsay @benjaminorpwood 2w
228070.0, gordongram Verified HappyfirstMondaylockdown thistimeit’sgoingtoflyby! 2w,NOVEMBER 9,post,2914.0,  @oscarjramsay
674030.0," gordongram Verified SharingaBirthdaywiththisbeautifulyoungladydoesn’tgetanybetterasaDad, happybirthdaygorgeous,continueworkinghardandbeingrespectfultoall,lotsofloveDadxxxx 2w",NOVEMBER 8,post,556.0,  @tillyramsay
131971.0, gordongram Verified Alreadycountingdownuntilwecangetbacktodoingwhatwedobest....makingyouthesestunningdishes!! ,NOVEMBER 6,post,859.0,  @gordonramsayrestaurants 3w
