likes,about_post,date,type,comments,tagged_names
32967.0," halfbakedharvest Verified HappyThanksgivingguys!Thankfulformyfamilyandthebestlittlesisterwho’scoolerthanI’lleverbe:)Andreally?I’mextraThankfulforYOUGUYS.NeverhaveIeverseensomanyHBHrecipesbeingmade.Loveyouguysmorethanyouknow.HopeyouallhadanawesomeThanksgiving…withagoodamountofcocktailsandpie;)nowonto🎄also,whatrecipesdidyoumakethisyear!?photo: ",8 HOURS AGO,post,165.0,  @acbatog 8h
62283.0," halfbakedharvest Verified TheEasyHolidayCheeseBoard.Theminuteanyfamilymemberwalksintothekitchenovertheholidays?Theyhave2request,acocktailandsnacks.It'stheGerardway.Sooo,Iperfectedboth.ThereisnothingIlovemorethanaVERYGOODcheeseboard.It’smyfavoriteappetizertoputtogether.Cheese?Meats?Crackers?Spreads?Etc.Etc.alltheVERYGOODthings.Fullhow-tolinkedinprofile.Happythanksgiving…eve:) 1d",1 DAY AGO,post,558.0, 
40766.0," halfbakedharvest Verified VanillaChaiWhiteRussian.HappyThanksgivingeveguys!Finallytimetochill…ormakeawholelotoffoodifyou’recooking.Eitherway,makeyourself+thefamalittleholiday”nightcap"".IloveagoodWhiteRussian,butthisone’sextraspecialwiththeadditionofhomemadechaisyrup(....okandagoodamountofvodka+kahlua).Recipelinkedinprofile.Getatit.Trustme,yaneedagooddrinktonight;) 1d",1 DAY AGO,post,1911.0, 
52083.0," halfbakedharvest Verified 25minuteBlackPepperChickenandGarlicNoodles.PerfectforthesenightsleadinguptoThanksgivingbecauseit'scozy,butstillhealthy(ish).Thechickeniscrispyandcaramelized,saucy,sweet+spicy.ThegarlicbutternoodlesareKEY(…I’mrecommendingyougoheavyonthem).AndIalwaysserveitupwithextralime.It'ssimple,butflavorful,andjustreallyGOOD.Recipelinkedinprofile. 2d",2 DAYS AGO,post,421.0, 
26070.0," halfbakedharvest Verified EasyFluffyEggnogCinnamonRolls…withsweetvanillawhitechocolatefrosting.Theonlythingtodoonasnowyday?Bakecinnamonrolls…morning,afternoon,latenight.Theyarealwaysgood.Theseareaholidayfavoritethough.They’remadelightandfluffywith ,spikedwitheggnog(whichmaybesoundsweird,buttrustme,itmakesforthebestcinnirolls),swirledwithcinnamonsugar,andfinishedwiththesweetestfrosting.Nothingnottolove.Recipelinkinprofile#ad 2d",2 DAYS AGO,post,1771.0,  @fleischmannsyeast
61617.0," halfbakedharvest Verified SweetandSavoryCheesyBaconWrappedPuffPastryTwists...theholidayappetizerthateveryoneasksfor...yearafteryear.Pictureflakypastrytwistedupwithcheese,wrappedincandiedbacon,andbakeduntilthebaconiscrisp.So.Beyond.Good.Andonlyjustalittlebitaddictive.It’sthatsalty,sweet,andspicycombo.Yummmm.Sharedtherecipetoday-linkedinprofile. 3d",3 DAYS AGO,post,1353.0, 
22901.0, halfbakedharvest Verified CreamyFrenchOnionSoup.Thanksgivingweekeats.Frenchonionsoup…onlybetter.Recipebelow+linkedinprofile.  https://www.halfbakedharvest.com/creamy-french-onion-and-mushroom-soup/ 3d,3 DAYS AGO,post,1208.0, 
60826.0," halfbakedharvest Verified CiderBraisedBeefStewwithRosemaryPolenta.LateNovemberSundaynightclassicandalwaysafamilyfavorite.It'scookedwithredwineandservedwithcreamy,butteryrosemarypolenta.Oneofthosefeelgood,comfortfoodkindofdinners.Addedbonus?It’seasyandcooksalldaysothehousesmellsincredible.Servewithbreadandallisperfect.Recipeinprofile.Whateveryonemaketonight? 4d",4 DAYS AGO,post,524.0, 
102934.0," halfbakedharvest Verified SaltedHoneyButterParkerHouseRolls.Itwouldn’tbeThanksgivingwithoutahomemaderoll.Iswitchitupfromyeartoyear,butthesebuttery,light,airy,andsaltyrollsaretheGerardfamilyfavorite.It’sthathoneybutter+flakyseasalt.Keepseveryonecomingbackforthatsecond…orthirdroll:)Youhavetoservethesewarmwithextrahoneybutter.MeltinyourmouthGOOD.Linkinprofile.Dotheserequirea“howto,step-by-step”IGstorybeforeThanksgiving? 4d",4 DAYS AGO,post,1482.0, 
46106.0," halfbakedharvest Verified OnePotSpicyPestoCheeseBakedRigatoni.Whenthefamistogetherfortheholidays,I’mcookingbakedpastabecauseone,it’sadinnereveryonewilleatandtwo?It’salwaysgood.Especiallythispasta.It’ssaucy,butstillheavyonthepasta,there’spesto,agoodamountofseasonings,andit’sjustatouchspicy.Pluscheesy.Andit’sbeyondgood.Recipelinkinprofile. 5d",5 DAYS AGO,post,174.0, 
46463.0," halfbakedharvest Verified VanillaEspressoMartini.ThatafterThanksgivingdinnerdrinkweallneed.Madewithjusttherightamountofespressoandhintsofvanilla,whichmakeitjustatouchmorespecial.Simpletomixup,butsoGOOD.SinceIalwaysrecommendtestingyourThanksgivingrecipes,makethistonightfor“testingpurposes”:)Tip?Rimthatglassinvanillasugar.Trustme,it’sgoodandit’sThanksgivingsoweshouldgoallout.Recipelinkedinprofile.#hbhchristmasdrinksaturday 5d",5 DAYS AGO,post,908.0, 
59887.0," halfbakedharvest Verified ChocolateBourbonPecanPieCupcakeswithButterPecanFrosting.Thinkpecanpie,butincupcakeform.AndsoGOOD.Chocolatecupcakesspikedwithbourbon(it’sThanksgiving…liveitup)andstuffedwithgooeypecanpie“filling”.Andthefrosting?Creamybrownsugarfrosting,toppedwithcinnamonsugarpecans.Betterthanpecanpie?Idunno,buttheyrivalitthat’sforsure.Recipelinkedinprofile. 6d",6 DAYS AGO,post,891.0, 
57528.0," halfbakedharvest Verified 5IngredientCranberryBrieCinnamonPastrySwirls.Thatlastminuteholidayappetizerthatevenmybrotherscouldmakeandsucceedat.LessthanaweektillThanksgiving,sopullingoutalltheeasiestrecipes.Andthese?Sovery,veryGOOD.Flakypastry,meltyBrie,cranberries+atouchofsweetcinnamonsugar.Allrolledupandbakedtomeltyperfection.Hardtonotlovethese.Imakethemeveryyear.Recipelinkedinprofile. 6d",6 DAYS AGO,post,1342.0, 
41350.0," halfbakedharvest Verified OnePan4CheeseSun-DriedTomatoandSpinachPastaBake.ThedaysleadinguptoThanksgivingaremeantforeasydinners.Enterthispasta.It’seasyandyeah,it’sprettydarngood.Thinksaucy,butstillheavyonthepasta,atouchspicy,withagoodamountofredwine(…alittle“drunken”pastaisalwaysbetter).Andthen,allthatcheeseontop…it’sthebest.Majorbonus?Lessdishes,nostress,andbeyondgood.RecipeuponHBHtoday-linkinprofile. 1w",7 DAYS AGO,post,835.0, 
