likes,about_post,date,type,comments,tagged_names
1833750.0, hardikpandya93 Verified 🎶💥 1w,7 DAYS AGO,post,8459.0, 
1276948.0, hardikpandya93 Verified Adreamwhichkeepsturningintoreality🙏🏾🤞🔑 Loveyouandmissyoubrother❤️ 1w,NOVEMBER 14,post,2295.0, 
2482828.0, hardikpandya93 Verified Thisone'sforyouAgastya❤️Lovethisteam! #Believe🖐🏼#MIChampion5 1w,NOVEMBER 11,post,12800.0,  @mumbaiindians
1474463.0, hardikpandya93 Verified Processisthe🔑 1w,NOVEMBER 10,post,5906.0, 
1903081.0," hardikpandya93 Verified PlaytimewithAgastya,thethingImissmost.I'llrememberthesedaysfortherestofmylife🥰 2w",NOVEMBER 6,post,8080.0, 
1207498.0, hardikpandya93 Verified One.More.Step. 💙 2w,NOVEMBER 6,post,4362.0,  @mumbaiindians
1970403.0, hardikpandya93 Verified Happybirthdaybruh❤️☮️keepinspiringforyears ,NOVEMBER 5,post,4012.0,  @virat.kohli 2w
1184807.0, hardikpandya93 Verified 😷 2w,NOVEMBER 4,post,4325.0, 
984647.0, hardikpandya93 Verified 🕶⛓ 3w,NOVEMBER 2,post,3355.0, 
699564.0," hardikpandya93 Verified Hustlinghard,ballingharderwithmynewfavouriteperfumefrom thevibe?Getyourownatwww.villain.in 3w",NOVEMBER 1,post,1778.0,  @villainlife.official.  Love
1900235.0, hardikpandya93 Verified 🌎❤️ Greatestgift❤️ 3w,OCTOBER 29,post,7366.0, 
1091541.0, hardikpandya93 Verified Greatwin💪 youbeauty🙌 🔥 3w,OCTOBER 28,post,2895.0,"  @surya_14kumar, @mumbaiindians"
1136877.0, hardikpandya93 Verified Jobdone✅Ontothenextone. 5w,OCTOBER 16,post,3439.0, 
1746837.0, hardikpandya93 Verified Beachvibes🏖😎 5w,OCTOBER 14,post,6411.0, 
1060429.0, hardikpandya93 Verified Processdone👌🙏🏾🏆 6w,OCTOBER 10,post,6084.0, 
1231293.0, hardikpandya93 Verified 🕵🏽‍♀️ 6w,OCTOBER 8,post,4482.0, 
850951.0, hardikpandya93 Verified 🎩 6w,OCTOBER 8,post,1141.0, 
1350897.0, hardikpandya93 Verified 🍁  📸 ,OCTOBER 7,post,6084.0,  @santoshjadhavphotography 6w
1145048.0, hardikpandya93 Verified Thesetwo🤩Matchwinners🔥 6w,OCTOBER 6,post,4482.0, 
915540.0, hardikpandya93 Verified 2sidesofthecoin  amazingclick📸 7w,OCTOBER 5,post,2434.0,  @🌟 krunalpandya_official  Thanks @santoshjadhavphotography
