likes,about_post,date,type,comments,tagged_names
8277.0, healthyfitnessmeals Verified Somuchtobethankfulfor🙏🏻includingallofyou.❤️❤️🦃🍁#happythanksgivng 19h,19 HOURS AGO,post,93.0, 
10053.0," healthyfitnessmeals Verified TheseHealthyMashedPotatoesarelighterthantraditionalmashedpotatoes,yetstillpackedwithflavor!Perfectlyseasoned,it’saneasysidedishthat’smadeforhecticweeknightsorholidaydinners.Whiptheseupintheinstantpotorstovetop. . Grabtherecipebyclickingthelinkinmyprofile ",1 DAY AGO,post,84.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/healthy-mashed-potatoes/ 1d
8947.0, healthyfitnessmeals Verified What’syourfavoritethanksgivingsidedish?ThischeesyCauliflowerBakewouldbeperfect!😍 . Grabtherecipebyclickingthelinkinmyprofile ,1 DAY AGO,post,67.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/cheesy-cauliflower-bake/ 1d
7137.0," healthyfitnessmeals Verified ThisCreamyGarlicMushroomisaquickandeasysidedishrecipethat’smadewithbuttonmushrooms,tossedinamouthwateringcreamygarlicsaucemadewithbriecheese.Aneasylowcarbandketomushroomrecipesauteedtoperfection. . Grabtherecipebyclickingthelinkinmyprofile ",2 DAYS AGO,post,75.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/creamy-garlic-mushrooms/ 2d
5174.0," healthyfitnessmeals Verified TheseTwice-BakedSweetPotatoesaresocreamyandsmoothintexture.Easytomakewithverylittleingredientsandtheperfectsidedishforanyoccasion.Theyaretoppedwithcheese,ahintofpumpkinspiceseasoning,andsomepecans. . Grabtherecipebyclickingthelinkinmyprofile ",2 DAYS AGO,post,41.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/twice-baked-sweet-potatoes/ 2d
8262.0, healthyfitnessmeals Verified Whowouldn’tlovethesetenderontheinsideandcrispyontheoutsideGarlicButterbakedHasselbackPotatoes?Theyareeasytomakeandpairswellwithanythingonyourdinnertable.Thesearesotastyyouwouldn’tbeabletostopatonlyoneserving. . Grabtherecipebyclickingthelinkinmyprofile ,3 DAYS AGO,post,38.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/garlic-butter-hasselback-potatoes/ 3d
2287.0," healthyfitnessmeals Verified What’sforbreakfastonthanksgiving?😍ThesehomemadePumpkinWafflesaresofluffy,easytomake,healthy,andmadefromscratch.Madewitheverydaypantrystapleingredients,thesewafflesaretheperfectfallbreakfastrecipetheentirefamilywilllove. . Grabtherecipebyclickingthelinkinmyprofile ",3 DAYS AGO,post,22.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/healthy-pumpkin-waffles/ 3d
4231.0," healthyfitnessmeals Verified Wouldyoutrythispinkpineapplefor29$?😍 .  ThisisPinkGlowPineapple,from issustainablygrowninCostaRica.Thepinkcolorisnaturallyderivedfromanexcessinmylycopenefoundinredfruitsliketomatoes.⠀ ⠀ Comparedtoaregularpineapple,it’ssweeterandlessacidic.  Thankyou forsendsomemyway. 4d",4 DAYS AGO,post,71.0,  @delmontefresh @melissasproduce
10084.0, healthyfitnessmeals Verified ThisHealthyEggplantandZucchiniGratin(ratatouille)isperfectlybakedandreadyinlessthananhour.It’sveryeasytoputtogetherandamuchbetterwaytoeatyourveggieswithlessthan100caloriesperserving. . Grabtherecipebyclickingthelinkinmyprofile ,4 DAYS AGO,post,25.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/healthy-eggplant-zucchini-gratin/ 4d
12628.0, healthyfitnessmeals Verified ThisOnePotCheesyCreamedCornrecipeissupereasytomakeandsocreamyitwillbehardtostopatonlyoneserving. . Grabtherecipebyclickingthelinkinmyprofile ,5 DAYS AGO,post,83.0,  @healthyfitnessmeals . https://healthyfitnessmeals.com/one-pot-cheesy-creamed-corn/ 5d
