likes,about_post,date,type,comments,tagged_names
236972.0," ileana_official Verified WorriedaboutHidingyourgreys?  IntroducingmylatestassociationwithIndicaEasyShampooHaircolour  TheeasiestwaytoColouryourgreysbeautifully  NoHelpneeded,NoAmmoniaColour  EasytoapplyJustlikeashampoo  ComeswithgoodnessofAmla&Hibiscus  3BeautifulShadesBurgundy,DarkBrown,&NaturalBlack  Colourshairinjust10minutes  SothisFestiveSeason-Don’tHideYourGreys  JustTakeitEasy&ColourThem–WithIndicaEasy  IndicaEasy,TakeitEasy!  #Indicahaircolour#NoMorehidingGreys#Doityourself  #NoAmmonia#Amla#Hibiscus  #VocalforLocal 6d",6 DAYS AGO,video,1504.0, 
86026.0, ileana_official Verified Alittlebitofbakingsoothesthesouldoesn’tit?👩🏻‍🍳🥰♥️ 1w,OCTOBER 16,post,5583.0, 
446086.0," ileana_official Verified Kabhisochahaikiherokohameshaheroinekegoregoregaalhikyunbeautifullagtehain? Well,yehsochhuipurani,it’stimetobe#UnfairNLovely😉 Superthrilledtoreunitewith after#Mubarakanandworkwiththeawesome    ",OCTOBER 15,post,2177.0,  @balwindersinghjanjua @RandeepHooda sonypicsprodns @sonypicturesin @movietunnelproductions @vivekkrishnani 1w
208190.0," ileana_official Verified YouguysalreadyknowhowmuchIloveagoodupgrade🤓 Thisfestiveseason,Ihavequiteafewplanstorevampmykitchenandespeciallymywardrobe!  IwasthinkingI'llbuyanewfridgebecauseit’sbeenawhilesinceIupgradedsomethingathome.I’malsoeyeingsomesuperbfashionpiecesonAmazon. Sowhatareyourplans?Doyouhaveawish-list? Thegoodpeoplefrom havegivenme1GiftCard*worth5000Rupeestohelpyoumakeyourwishlist,real.Tohsharekaronaa!  Commentbelowwithyourwish-lists!  Tagmeandmyfriends &use#AmazonKhushiyonKiWishlist Waitformetoannouncethewinners. Also…thewish-listneedsalittlestory.Likemyown.Sowhoareyouupgradingfor???  😘  #AmazonGreatIndianFestival#AmazonDoorToHappiness#NowHappinessKnowsNoBounds 1w",OCTOBER 15,post,857.0,  @amazondotin @amazondotin
524093.0, ileana_official Verified It’sWorldMentalHealthDaytoday.Buthowaboutwemakeourmentalhealthapriorityeveryday?💜 2w,OCTOBER 10,post,1563.0, 
554176.0, ileana_official Verified Wishfulthinking? 🏝👙☀️🌊  #islandgirlforlife#takemeback#beachbum#fiji 2w,OCTOBER 7,post,1430.0, 
831579.0," ileana_official Verified I’vealwaysworriedabouthowIlooked.I’veworriedmyhipsaretoowide,mythighstoowobbly,mywaistnotnarrowenough,mytummynotflatenough,myboobsnotbigenough,mybutttoobig,myarmstoojiggly,nosenotstraightenough,lipsnotfullenough..... I’veworriedthatI’mnottallenough,notprettyenough,notfunnyenough,notsmartenough,not“perfect”enough.  NotrealisingIwasnevermeanttobeperfect.Iwasmeanttobebeautifullyflawed. Different. Quirky. Unique. Everyscar,everybump,every“flaw”justmademe,me. Myownkindofbeautiful.  That’swhyI’vestopped.Stoppedtryingtoconformtotheworld’sidealsofwhat’smeanttobebeautiful. I’vestoppedtryingsohardtofitin.WhyshouldI??WhenIwasborntostandout.  #nophotoshop#nobs 📸 ",OCTOBER 1,post,1649.0,  @colstonjulian 3w
476306.0, ileana_official Verified Melancholy💙 3w,SEPTEMBER 29,post,1037.0, 
283732.0, ileana_official Verified Bestie:heywe’regoingouttonight...it’ssupercausal...PLEASEdon’tbeextra! Me:😏 3w,SEPTEMBER 27,post,2023.0, 
410230.0," ileana_official Verified Ifthelookonmyfacewasn’tobviousenough,letmejustsayIlovemyDysonPureCoolAdvancedAirPurifierandnowcan’timaginemyhomewithoutit☺️ #properpurification#dysonindia 4w",SEPTEMBER 26,post,1422.0, 
