likes,about_post,date,type,comments,tagged_names
26043.0, imjennim Verified ThinkingpinkandsmellingsweetinmyEaudeJuicefragranceinPureSugar🌸#adGrabyourveryown#EaudeJuiceat  ,2 DAYS AGO,post,1956.0,  @Walmart! @Cosmopolitan 2d
31843.0," imjennim Verified Glowbbglow❤️#adKeepyourskinhydratedwith LetItGlowSetexclusivelyat It’stheultimatehydrationsettoboostyourskin’smoisturelevels.Thesetcomeswith4products:TheTrueCreamMoisturizingBomb(Fullsize!),AquaBombJellyCleanser,WitchHazelHerbalExtractToner,&MoisturizingEyeBomb.Thesetisa$56valueforthepriceofonefull-sizedMoisturizingBomb($38).Ifyoubuyanybelifpurchaseover$35atUltaonline,you’llalsoreceivealimitededitionJennImstickerpack+pouch!⁣ I’malsogivingaway5LetItGlowsets+stickerpackstofiveluckywinners!Besuretofollowtherulesbelowtoenter.Goodluck!☘️⁣ ⁣ ~GIVEAWAY~⁣ ①Likethispost⁣ ②Follow and Tagafriendinthecomments⁣ *Youmaycommentmorethanoncewithdifferentfriendsformultipleentries.Notaggingbrands,companyaccounts,celebrity/athleteaccountsplease-thoseentrieswillvoidallyourvalidentries.⁣ ⁣ Winnertobeselectedon11/29/20 12PMPST.OpentotheUSonly.⁣ ⁣ #belifbff 2d",2 DAYS AGO,post,182.0,  @belifusa’s @Ultabeauty. @belifusa @imjennim⁣ ③ @
41125.0, imjennim Verified Everybodyknowsshe'safemmefatale🖤Droppingthisepicphotodump(lol)ofmyjewelryeditwith x Ican'tbelieveit'sfinallyout.#jennimx8or⁣ ⁣ Majorthankyoutomydreamteam⁣ •Photographer: ⁣ •Videographer/Editor: CreativeDirector: MakeupArtist: HairStylist: Stylist: StylingAsst: ProductionAssistant: ⁣ •Producer: ,3 DAYS AGO,post,180.0,  @8otherreasons @nordstrom. @emilynnrose @bengunsuk⁣ • @vannganguyen⁣ • @ariannachayleneblean⁣ • @prestonwada⁣ • @katieqian⁣ • @katiebone⁣ • @eviexkang @rare.creatives 3d
57768.0," imjennim Verified Nomatterhowfaryoutravel,youcanneverrunawayfromyourself. 4d",4 DAYS AGO,post,136.0, 
64253.0, imjennim Verified oneofthosenightsyouwishwereneverending🖤film: ,7 DAYS AGO,post,149.0,  @cxchoi 1w
55763.0, imjennim Verified #adThisismy“payingoffmyhomeloanonAnimalCrossing:NewHorizonsoutfit.”Watchmylatestvideotovisitmyprivate~island…Spoiler:It’samess(butit’smymess).😅 #ACNH 1w,NOVEMBER 15,post,137.0,  @NintendoInspired
40603.0," imjennim Verified Slippingintoasunsetreadingseshwith OrganicSpritzes.MypersonalfaveistheBelliniSpritz!They’reonly110caloriesacan,gluten-free,vegan,andlowinsulfites+sugar.#MiamiCocktailMoments#DrinkClean#MCCPartner#JennLovesMiami#ad 1w",NOVEMBER 14,post,204.0,  @miamicocktailcompany’s
29339.0, imjennim Verified Whattypeareyou?🖤  CenterofAttentionSweater:https://bit.ly/35zEDxr OhGirlPant:https://bit.ly/33oLAjL ISpyJacket:https://bit.ly/2FyCwRa ServingLooksSkirt:https://bit.ly/35xBhwo OhGirlCorset:https://bit.ly/2Rqkm6B Lover’sEyesBodysuit:https://bit.ly/32tE5c1 FriendsTee:https://bit.ly/2DY145D FrostyBlazer:https://bit.ly/35GoA0V 1w,NOVEMBER 12,post,37.0, 
20682.0, imjennim Verified raspberrymochipancakes🥞lookedbetterthanittastedtbh 1w,NOVEMBER 10,post,77.0, 
40375.0, imjennim Verified andcuethecollectivesighofrelief🌬 1w,NOVEMBER 10,post,156.0, 
20626.0, imjennim Verified Thebestpartofmydayisremovingmymakeupandapplyingmyskincarewith #adI’llbesharingallsortsofskincaretipson IGnextweek.LeaveanyquestionsaboutskincareinthecommentsandI’llanswertheminmytakeover~ ,OCTOBER 28,post,79.0,  @belifusa. @belifusa’s @sephora 3w
104047.0, imjennim Verified ABGshavemorefun🖤Watchthefulltransformationonmychannel. 4w,OCTOBER 26,post,225.0, 
72006.0, imjennim Verified monday._. 5w,OCTOBER 19,post,107.0, 
36987.0, imjennim Verified grOoOVybby✌🏼 5w,OCTOBER 16,post,169.0, 
38834.0, imjennim Verified #adJumpingrightintofallwithmyfavefalltrends.ShoptheselooksfromTheCottonShop inpartnershipwith #saksstyle#shopcotton  OUTFIT① Dannijo-CroppedTie-DyeHoodie Dannijo-Tie-DyeCutoffShorts  OUTFIT② HelmutLang-RetroRibPoloMaxiDress  OUTFIT③ Sea-JamesStripedKnitTee Re/doneHigh-RiseStovepipeComfortCottonStretch  OUTFIT④ Rhode-EmmaTie-WaistFlareDress 5w,OCTOBER 15,post,242.0,  @at saks @discovercotton.
93697.0," imjennim Verified Ifindnewwaystoloveyoueveryday.Eachyearyougetsharper,wittier,kinder,funnierandevenmorecreative.I'mbeyondluckytohavemarriedyou.You'llalwaysbethemanofmydreams.Happybirthday 🎂 5w",OCTOBER 13,post,93.0,  @bengunsuk
42628.0, imjennim Verified Arguelikeyou'rerightandlistenlikeyou'rewrong. 6w,OCTOBER 6,post,629.0, 
88539.0, imjennim Verified Iwas20whenIstartedYoutubeandIneverthoughtI'dstillbeonthereadecadelater.IjustuploadedavideoaboutsomelessonsIlearnedeachyearinmytwenties.💫 7w,OCTOBER 4,post,31.0, 
23892.0, imjennim Verified Myfavewaytospendtheweekend💫 7w,OCTOBER 4,post,85.0, 
38795.0, imjennim Verified Ihopeeverythinggoodfindsyou.💟 7w,OCTOBER 3,post,38.0, 
73788.0, imjennim Verified Unpluggedforaweekinparadisewithmyman.Nothingbeatsreadinginthesunwithaglassofwine.❣️ 7w,SEPTEMBER 29,post,29.0, 
