likes,about_post,date,type,comments,tagged_names
2906.0," jn Verified TogetherInElectricDreams.  [Ads]InSeptemberIwastravelinginSwitzerlandwithanelectriccar.AspartofWAVE2020,werodetheGrandTourofSwitzerland.AhighlightwasdrivingovertheGotthardPass.Thesecondpictureshowstheotherelectriccarsthatwereonthetour-somebigger,somesmaller.Therearesomanydifferentmodelsnow.Agreatexperienceformewasthattherewerenoproblemsatallwithchargingthecar'sbattery.Butsometimesitcouldbereallydifficultbecauseofdifferentchargingstandardsandblockedchargers.SoformeitwasaverycomfortablejourneyandIhopeIcandoitagain(withanEV).Ifyouhaveanyquestionsaboutthistripfeelfreetocontact ",15 HOURS AGO,post,61,  @me.  myswitzerlandde  #SwissGrandTour #IneedSwitzerland #InLoveWithSwitzerland 15h
3816.0, jn Verified BrandenburgRiviera.  acoastalroadseeninOctober2020  Gear:DJIMavicPro2  Settings:ISO100-f/3.5-1/6sec 2d,2 DAYS AGO,post,98, 
6582.0, jn Verified Lastdaysofautumn. Yellowtreesseenin#BerlininNovember2020  Gear:LumixS5andLumixS20-60mm  Settings:ISO100-f5.6-1/10sec-20mmfocallength 4d,4 DAYS AGO,post,119, 
7768.0, jn Verified pathshavenotalwaysbeenstraight Treesseenin#BerlininNovember2020  Gear:LumixS5andLumixS20-60mm  Settings:ISO100-f4.9-1/80sec-42mmfocallength 6d,6 DAYS AGO,post,171, 
6238.0, jn Verified Encounter. Yellowtrainsseenin#BerlininOctober2020  YesterdayIscrolledthroughmyfeedandIrealizedthatIdidn’tpostmuchBerlinviewsrecentlyespeciallyofoneofmyearlytopicsthepublictransport.Sohereitisoneofmyfavoritespotswhereyouhaveaperfectviewtotheyellowtrains.  Gear:LumixS5andLumixS20-60mm  Settings:ISO100-f6.3-1/50sec-60mmfocallength 1w,7 DAYS AGO,post,81, 
9136.0, jn Verified Undertheyellowtrees.  Seenin#BerlininOctober2020  Gear:LumixS5andLumixS20-60mm  Settings:ISO100-f3.5-1/80sec-20mmfocallength 1w,NOVEMBER 17,post,77, 
5481.0, jn Verified Lookup. Seenin#BerlininOctober2020  Gear:LumixS5andSigmaArt14-24mm  Settings:ISO100-f3.2-1/80sec-14mmfocallength  #lumixs5#lumixambassador #visitberlinlater#panasoniclumix 1w,NOVEMBER 17,post,123,  @lumix
4273.0, jn Verified LittleMissSunshine #asundaycarpicseenin#BerlininNovember2020  Gear:LumixS5andLumixS20-60mm  Settings:ISO100-f5.6-1/60sec-20mmfocallength  #lumixs5#lumixambassador #carspotter#soloparking#panasoniclumix 1w,NOVEMBER 15,post,112,  @lumix
6474.0, jn Verified WalkOntheWildSide. SeeninnearBerlininOctober2020  Gear:LumixS5andLumixS20-60mm  Settings-firstpicture:ISO100-f5.6-1/30sec-60mmfocallength  Settings-secondpicture:ISO100-f5.6-1/50sec-20mmfocallength  Settings-thirdpicture:ISO100-f5.6-1/20sec-28mmfocallength  Settings-fourthpicture:ISO320-f5.6-1/100sec-60mmfocallength  #lumixs5#lumixambassador #foggyday#foggyforest#panasoniclumix 1w,NOVEMBER 14,post,53,  @lumix
5858.0, jn Verified Deepintheforest. seenin#ThuringiainOctober2020  Gear:DJIMavicPro2  Settings:ISO100-f5.0-1/60sec 2w,NOVEMBER 13,post,88, 
