likes,about_post,date,type,comments,tagged_names
3212.0," juhigodambe Verified Thecutestnewadditiontomyjewellerycollection❤️from latestlaunch,#DisneyxTALISMAN🥰 . . Talisman’sjewelleryishandcraftedandsetin925sterlingsilver.MadewithsemipreciousstonesandItalianenamel.Skinfriendlyjewellerywithuniquedesigns.Alsolovehowthey’realsoaffordableandsoperfectalsoasagift❤️ . . Youcanget20%offbyusingmyexclusivecodeJUHI20• Checkoutwww.talismanworld.comformore #BetterTogether 3h",3 HOURS AGO,post,41,  @theofficialworldoftalisman’s @disneyindia
11461.0, juhigodambe Verified Aprincessmomentinthisstunningsilverbeadedlehengafrom 🥰✨ . . . . Shotby  ,6 HOURS AGO,post,80,  @annus_creation @akash.pshah Jewellery @vandalsworld_unofficial 6h
6510.0," juhigodambe Verified JustaphotoIfoundfromMilan❤️Mylasttripjustdaysbeforethelockdown.Didn’tknowthatwouldbethelastinternationaloneforabit.Justremindsmehowmuchwemustliveeverymoment,neverknowwhat’snext.[Capturedbymygirl #JGInMilan 12h",12 HOURS AGO,post,41,  @wild.f.o.x]
8213.0, juhigodambe Verified ThatGoaGlow✨😋Can’twaittogobackalready! 1d,1 DAY AGO,post,15, 
11596.0, juhigodambe Verified Casualwithahintof bythepool🍃 . . #Burberry#BurberryIndia 1d,1 DAY AGO,post,28,  @burberry
13154.0, juhigodambe Verified Thispufferjacketfrom isnotjustsupercozybutisalsosuchastatement!🍂Canseemyselfwearingthisoverandoveragainspeciallywithmytravellooks🌺 . . #LabelRituKumar#LabelFestiveWinter’20#LabelSquad 2d,2 DAYS AGO,post,26,  @labelritukumar
19679.0," juhigodambe Verified Thelastfestivelookfortheseason🙏🏼🪔•ThestorybehindthisoneisthatIwasalldressedtoleavetoafriendsDiwalidinnerandfoundoutthatafamilymemberwasdownwithamildfever.SoIdecidedtostayhometomakesurenooneisputatriskjustincase.Thisyearhasbeenasunexpectedasitcouldgetbutwhat’simportantisthat,all’swell!I’msafeathomeandIspentmyDiwaliwithmylovedones❤️•Hopeyouguysaresafeandenjoyingthefestivitiesaroundyou😘#Diwali2020 . . Outfit ✨ 3d",3 DAYS AGO,post,81,  @sonaakshiraaj
12222.0, juhigodambe Verified 🙏🏼✨ 3d,3 DAYS AGO,post,6, 
9887.0, juhigodambe Verified Thatsmile❤️ 4d,4 DAYS AGO,post,6, 
12667.0, juhigodambe Verified Yesterdaywasperfect!Lotsoffamilytimeandlotsoffood😋❤️HopeyouguyshadawonderfulDiwalitoo🤗 . . . . Wearing by ,4 DAYS AGO,post,15,  @houseofhiya Styled @ruchikapoor 4d
14138.0, juhigodambe Verified FromthePoojayesterday.Startingworkatthenewofficewiththeblessingsofganpatibappaandourelders🙏🏼🪔🥰It’sfinallyhappening!❤️ 5d,5 DAYS AGO,post,13, 
12962.0," juhigodambe Verified HappyDiwaliYouGuys❤️❤️❤️Wishingyoulotsoflove,happiness,goodhealthandkindness🤗 . . . . #diwali2020#diwali#happydiwali 5d",5 DAYS AGO,post,18, 
3457.0, juhigodambe Verified Therightkindafinishingtouchistherightkindaaccessorieslikethesefrom •Findtheseandmoreon andvirtuallyin-store🍂•#MKSoHo #giftedbyMK 1w,7 DAYS AGO,post,38,  @michaelkors @tatacliqluxury @luxe_project
2944.0," juhigodambe Verified The#MKSoHobaghasbecomeTHEbagthisseasonforme.It’sgorgeous,sopracticalandmygotoforeverydayfussfreelooks!Availableinsomanystunningcolours!🌼Finditon orvirtuallyinstore #GiftedbyMK 1w",7 DAYS AGO,post,58,  @tatacliqluxury @🍂 luxe_project
4661.0, juhigodambe Verified Someseriousbohovibesinmynewdressfrom teamedwiththe#MKSoHobag🌼Isn’titperfectforadaytonightlook!•Shopthisandmoreon orvirtuallyinstore #GiftedbyMK 1w,7 DAYS AGO,post,29,  @michaelkors @tatacliqluxury @🍂 luxe_project
6356.0," juhigodambe Verified Thisisanodetomyfavouritechildhoodgame😍❤️SuperMario!!!I’msoexcitedthatCrocshastakenaroaddownmemorylanewiththerecentlylaunchedSUPERMARIOJibbitzcollection,bringingbackourfavoritechildhoodmemories❤️MrMarioandhisprincessgottobemyfav😋👸🏻 YoucanshopandpersonalizeyourClassicClogswiththeseadorableJibbitzcharmsfrom #crocsindia#classic 1w",7 DAYS AGO,post,86,  @shopcrocs.in crocsindia nintendo #comeasyouare
12804.0, juhigodambe Verified FeltcuteinthisKellycroptopfrom 🥰🌿•Nowavailableonwww.arabellaa.com#BoRoArabellaa❤️ 1w,NOVEMBER 10,post,8,  @arabellaaofficial
10389.0, juhigodambe Verified Allaboutthiseasyvelvetsuit✨🪔❤️ . . . Outfit ,NOVEMBER 9,post,25,  @labelvarsha 1w
21249.0, juhigodambe Verified Somesunsoak’n☀️ 1w,NOVEMBER 9,post,74, 
6384.0, juhigodambe Verified ✌🏼🤷🏻‍♀️😅(Decodethecaption) 1w,NOVEMBER 8,post,16, 
4677.0," juhigodambe Verified IliketotakeprideineverythingthatI'vebuiltformyself-whetherthat'smyprofessionormypersonalstyle♥️Andwhenitcomestoeffortlessness,it'smymotherofpearlwatchfrom thatleavesnostoneunturnedtoleavealastingimpression.Carryinganaerodynamicdesignalongwiththesoothingcombinationofhueslikerosegold,white&steely-silver,it'sawatchthatbecomesashowstoppereverytimeIhaveiton!🔥 . .  #StrapUpWithShaze#AeroCollection(AD) 1w",NOVEMBER 7,post,32,  @Shazeindia
18244.0, juhigodambe Verified Easy🌿🌺 1w,NOVEMBER 7,post,35, 
12251.0," juhigodambe Verified Thisyearmayhaveputlimitationsinthewaywecelebratebutdon’tletitstopyoufromspreadingjoyandcheerwithyourlovedonesathome!Let’srejoicehappiness,safetyandlovethisyearandbringinDiwaliwitha#BrighterThanEverspirit❤️•#HmIndia#HM(AD) . . Balloons ",NOVEMBER 6,post,30,  @beyondballoons.in 1w
7326.0, juhigodambe Verified Wouldstaysuitedinaheartbeat👌🏼 1w,NOVEMBER 6,post,35, 
5996.0, juhigodambe Verified Thisgorgeousscentby setstherightmood🌺#GucciBloomAmbrosiaDiFioribyAlessandroMichelenowavailableon (AD) #InBloom#GucciBeauty#GucciIndia 2w,NOVEMBER 5,post,30,  @Gucci @mynykaa
11786.0," juhigodambe Verified Isn’tthisthemostperfectlocationforaweddingfunction🤩🌺🌿•Overlookingtheracecourse,i’mabsolutelyinlovewiththedreamydecorat Ifyouhaveaspecialoccasioncomingup,besuretogocheckoutGallopsAlFrescoinMumbai❤️ . .  #gallops#alfresco#JGxDior 2w",NOVEMBER 5,post,76,  @gallopsmumbai.
8145.0, juhigodambe Verified Isn’tshestunning?❤️InaweofthisbejewelledLadyDior✨Madeitinstorejustintimeforthefestiveseason!❤️#LadyDior •#JGxDior#DiorFestive 2w,NOVEMBER 4,post,40,  @dior
19302.0," juhigodambe Verified Feelingeverybitofthislehengaby 🙌🏼🌺HavealwaysbeensofondofArpita’sprettydesignsandshehasanexcitingannouncementtomakeon5thNov,12noon❤️can’twait!!!Besuretotunein!🔥 2w",NOVEMBER 4,post,181,  @arpitamehtaofficial
8874.0, juhigodambe Verified ILSayIt!Thisoneisgoingtobemyforeverfavouritedress🥰❤️🌼•Shopthisfrom BohoRomancecollectiononwww.arabellaa.com . . . #BoRoArabellaa 2w,NOVEMBER 4,post,187,  @arabellaaofficial’s
37417.0, juhigodambe Verified Hi😘 2w,NOVEMBER 2,post,28, 
11931.0, juhigodambe Verified Howprettyisthissariby 🌸🌸🌸Theirprintsareallhandpainted.Absolutelylovetheireasypre-drapedsaris.Sochicandeasy!Justrightfortheseason❤️ . . . . Outfit- - - ,NOVEMBER 2,post,108,  @printsbyradhika @printsbyradhika Jewellery @karishma.joolry Location @gallopsmumbai 2w
9664.0, juhigodambe Verified Howfunisthisdressfrom 🌸🌸🌸MakingmemissourlittleGoagetaway🙈🌴Can’twaittogoback! . . . #jgingoa 2w,OCTOBER 31,post,29,  @faballey
4395.0," juhigodambe Verified ContestAlert!•Tellmewhatmakesyouweartheconcealer? Twomostexcitinganswersstandachancetowinsome#maybellinefitmegoodies!  IpersonallyMultipurposemyconcealer🙌🏼Tocover,contourandtohighlightwithdifferentshade. Myperfectfitforthenewnormal!IwearmyFITmeconcealereverydayit’sgoodformyskin&fitsmeperfectly!It’snon-comedogenic(doesn’tclogpores)&leavesmyskinflawlessalways!✨#SKINFITMASKFIT#MaybellineFitme#maybellineindia 2w",OCTOBER 31,post,15, 
8062.0," juhigodambe Verified Themoststunningaccessorythisfestiveseasonisnowavailableat India❤️🔥Sayhellototheminisequin MarmontBags,availableinsomanycolours.I’minlove!❤️#GucciDiwali . . . Outfit  by #GucciMarmont#SequinMarmont#GucciIndia 2w",OCTOBER 30,post,46,  @Gucci @Gucci @payalsinghal Jewellery @vandalsworld_unofficial Shot @akash.pshah . . . #Gucci
6709.0," juhigodambe Verified Themoststunningaccessorythisfestiveseasonisnowavailableat India❤️🔥Sayhellototheminisequin MarmontBags,availableinsomanycolours.I’minlove!❤️#GucciDiwali . . . Outfit  by #GucciMarmont#SequinMarmont#GucciIndia 2w",OCTOBER 30,post,29,  @Gucci @Gucci @payalsinghal Jewellery @vandalsworld_unofficial Shot @akash.pshah . . . #Gucci
11115.0," juhigodambe Verified Themoststunningaccessorythisfestiveseasonisnowavailableat India❤️🔥Sayhellototheminisequin MarmontBags,availableinsomanycolours.I’minlove!❤️#GucciDiwali . . . Outfit  by #GucciMarmont#SequinMarmont#GucciIndia 2w",OCTOBER 30,post,15,  @Gucci @Gucci @payalsinghal Jewellery @vandalsworld_unofficial Shot @akash.pshah . . . #Gucci
12992.0, juhigodambe Verified OnHoliday🌴 3w,OCTOBER 29,post,46, 
9405.0, juhigodambe Verified Who’sexcitedtoweartonsofIndianoverthecomingweeks🥰It’salmostDiwali!😁•DoyoucelebrateDiwali?Ifyesdoyouenjoydressingup?😋Outfit- ,OCTOBER 28,post,9,  @labelnitibothra 3w
7370.0, juhigodambe Verified Sointoeasycottonsets!🌸 3w,OCTOBER 28,post,26, 
