likes,about_post,date,type,comments,tagged_names
22456.0, kanika868 Justlikeasunflower🌻 Outfit: 📷 ,16 HOURS AGO,post,83.0,  @lamourroseofficial @dstudio9953532021 16h
10792.0, kanika868 Newlook🙆🏻‍♀️ Whatdoyouthinkguys?💞 3d,3 DAYS AGO,post,332.0, 
29704.0, kanika868 Idothiswithnoeffort😼💞 1w,NOVEMBER 17,post,187.0, 
31118.0," kanika868 HappyDiwalitoyouall🪔MaythisDiwalibringsoutlotsoflove,happiness,success✨Outfit: ",NOVEMBER 14,post,511.0,  @stylestatement_official 1w
27584.0, kanika868 Alexaplayeveryonethateverplayedme.✨💞 2w,NOVEMBER 8,post,239.0, 
44642.0, kanika868 ❤️😂 2w,NOVEMBER 7,post,107.0, 
16407.0, kanika868 Let’sgoforameeting👩🏻‍💻💞 2w,NOVEMBER 6,post,373.0, 
19956.0, kanika868 Switchin'thempositionsforyou✨🤎 3w,NOVEMBER 3,post,234.0, 
38928.0, kanika868 I’mnotapsychicbutiseemyselfalloveryouuu⚡️💞 3w,OCTOBER 31,post,382.0, 
10786.0, kanika868 Lastnightwasperfect💞 Thankyou forthisbeautifuldecor🥰 4w,OCTOBER 25,post,523.0,  @shop_4_party
22128.0," kanika868 Thedarkerthenight,thebrighterthestars. Thankyouforthismagicalnight ⭐️🥰 4w",OCTOBER 25,post,406.0,  @⚡️❤️ shop_4_party
21912.0," kanika868 Justgotthemostawaited#RingLightby Itisanessentialforeverycontentcreator,nomattertheplatform.Ihaveseenthemostprofessionalphotographers/artistsusing#DigitekRingLightthatcomeswithcolourvariationsandadjustablebrightnessoption.Inbuiltmobileholderstandisdefinitelyabonus,whichmakesitacompletestudio-likesetupatyourhome,inyourbudget.  WhileI'mstillexperimentingnewtechniquesandphotographyangleswiththisbeautifulRingLight,butitlookspromising.  #ringlight#beautylight#influencers#shootmode#contentcreator#instareels#instatrends#digitekringlight#digiteklight#roundlight#makeupartist#mua#muaindia#photography#photographer#photoshoot#videoshoot#videodiaries 5w",OCTOBER 18,post,264.0,  @digitekofficial.
22332.0, kanika868 Ratethislookoutof1/10❤️🌹 6w,OCTOBER 14,post,341.0, 
15861.0, kanika868 Thissong🖤what’syourcurrentfavouritePunjabisong? #reel#indianwear#goodvibes 6w,OCTOBER 10,post,440.0, 
38704.0, kanika868 throwbacktothebesttripever💚#baliindonesia 7w,OCTOBER 3,post,614.0, 
22542.0," kanika868 AreyouboredwiththesameoldProtein?Leavetheboredombehindandgetyour#FitnessRefreshedwiththebrandnewfruitflavouredprotein""Frotein""from yourfunworkoutideawiththehashtag#FitnessRefreshed.andtagyourfriend Ordernowon ",SEPTEMBER 28,post,553.0,  @bigmuscles_nutrition. Share @amazondotin 8w
36793.0, kanika868 Bringingsexyback🔥⚡️ 9w,SEPTEMBER 19,post,174.0, 
26284.0," kanika868 lifeisapuzzle,you’rethelastpiecethatcompletesit💘 💫 10w",SEPTEMBER 10,post,294.0,  @sohitkathuria #forever
36486.0, kanika868 Thislookslikeagoodplacetosit😜😁 11w,SEPTEMBER 6,post,348.0, 
20449.0, kanika868 Thepowerofpuberty🔥😂 #pubertychallenge#feelitreelit#reel 11w,SEPTEMBER 4,post,450.0, 
32476.0, kanika868 Youhavemyattention💙 12w,SEPTEMBER 2,post,196.0, 
39133.0, kanika868 Alwaysonthemove🐅 12w,AUGUST 31,post,725.0, 
34195.0, kanika868 WhensomeonetellsmeIlookcute👅 13w,AUGUST 22,post,433.0, 
27434.0, kanika868 Letmeupgradeu...✨ 14w,AUGUST 19,post,375.0, 
22803.0, kanika868 Hoikterikardiglowaaskinni 14w,AUGUST 14,post,454.0, 
31800.0, kanika868 Thickthighssavelives 14w,AUGUST 13,post,269.0, 
31626.0, kanika868 Thisismyhappyplace🌊Areyouabeachlovertoo?#baliindonesia#reel 15w,AUGUST 9,post,256.0, 
36477.0, kanika868 Sweetorsour?🍬 15w,AUGUST 8,post,564.0, 
21540.0, kanika868 Didyoulikethislook?#ootd Wearing ,AUGUST 3,post,910.0,  @knittingdreams_byallen 16w
33265.0, kanika868 Textmelater. 16w,AUGUST 1,post,181.0, 
28157.0, kanika868 DoIcrossyourmind? 16w,JULY 30,post,564.0, 
49272.0, kanika868 Pleasedonotdisturb. 17w,JULY 25,post,181.0, 
29633.0, kanika868 Ireallywanttochangemyhaircolour🥴Givemeideasinthecomments♥️ 17w,JULY 23,post,497.0, 
33518.0, kanika868 *crossyourheart*canIcomein?😈 18w,JULY 19,post,248.0, 
29467.0, kanika868 Girlsneedlove🧡 18w,JULY 18,post,458.0, 
31004.0, kanika868 Nothingbuttroublebaby💘 19w,JULY 15,post,493.0, 
29519.0, kanika868 Thankyousomucheveryoneforallthelove❤️Ilovedreadingallyourmessagesandcomments!IwassooverwhelmedyesterdayandIfeelsoblessed!💕 19w,JULY 11,post,211.0, 
40338.0, kanika868 You'vegotmyattention🤍#22🥂 19w,JULY 10,post,397.0, 
41940.0, kanika868 It’smybirthday.....🎂💘 19w,JULY 10,post,493.0, 
43318.0," kanika868 I'mlivingthebestmomentofmylifewithyou💞,Thankyouforbrighteningmylife #togetherforever✨ 20w",JULY 7,post,211.0,  @sohitkathuria
20584.0," kanika868 Desiversion♥️, 💄 👗  ",JULY 3,post,522.0,  @sargam3727 @labelpriyankasoni 💍 @diamondpolkijewellery 20w
34214.0," kanika868 Birthdaymonthishere🎂💃🏻Mineis10thJuly,Yours? 21w",JULY 1,post,125.0, 
23758.0, kanika868 Givemeanickname💙 21w,JUNE 27,post,90.0, 
23035.0," kanika868 Areyoulost,babygirl?🌸💘 21w",JUNE 25,post,382.0, 
33236.0, kanika868 Youcanlookbutyoucan’ttouch❌👅 22w,JUNE 21,post,478.0, 
40090.0, kanika868 Handlelife’sdifficultieswithgrace...andswag💋😎 23w,JUNE 16,post,307.0, 
20460.0," kanika868 Youlooklost,followme💕 #balilife#nusapenida#paradise 23w",JUNE 12,post,170.0, 
29805.0, kanika868 Shebreakingtherules🤭💋 24w,JUNE 7,post,339.0, 
28018.0, kanika868 Whichhaircolouryoulikethemost?💁🏼‍♀️♥️ 24w,JUNE 6,post,382.0, 
27049.0, kanika868 Fromthejungle🐅 25w,MAY 31,post,156.0, 
27518.0, kanika868 EidMubarak🌙✨ 26w,MAY 25,post,134.0, 
30781.0, kanika868 WishIwasatthebeach🏝🌞 26w,MAY 24,post,368.0, 
27934.0, kanika868 DoIlookgoodinsaree? YesorNo?💫 27w,MAY 18,post,487.0, 
32066.0," kanika868 Hey,let’srunaway💜 29w",MAY 2,post,1138.0, 
24943.0," kanika868 Lookingforyou💙,💄 👗 💍 📷 ",APRIL 30,post,457.0,  @sargam3727 @labelpriyankasoni @diamondpolkijewellery @clickwalaphotography 29w
36199.0, kanika868 DoIhaveyourattention?#quarantine 30w,APRIL 26,post,449.0, 
32244.0, kanika868 Hardtoignore💋 30w,APRIL 23,post,1138.0, 
33225.0," kanika868 It’shot,drinkwater🥵 31w",APRIL 22,post,457.0, 
38167.0, kanika868 Sweetlikehoney🍯 31w,APRIL 20,post,995.0, 
50091.0, kanika868 Relaxathome 31w,APRIL 18,post,87.0, 
30875.0, kanika868 Socialdistancingbelike: 32w,APRIL 12,post,517.0, 
36738.0," kanika868 Afterhours⚡️ 1,2,3orall?? 33w",APRIL 8,post,845.0, 
42509.0, kanika868 Describemeinjustoneword💕 33w,APRIL 5,post,299.0, 
43591.0, kanika868 I'masavage🔪 33w,APRIL 2,post,322.0, 
29202.0, kanika868 Barbiedreams💕🦋 34w,APRIL 1,post,783.0, 
42054.0, kanika868 Sweetlikecandy🍭 34w,MARCH 28,post,407.0, 
36401.0, kanika868 Quarantineandchill? 35w,MARCH 24,post,1115.0, 
61939.0, kanika868 Hotgirlsummer🤷🏽‍♀️ 35w,MARCH 21,post,581.0, 
45589.0, kanika868 Lookbackatit🍑 36w,MARCH 18,post,308.0, 
34796.0," kanika868 well,hellothere🦋 36w",MARCH 13,post,227.0, 
29203.0, kanika868 Happyholieveryone💕 37w,MARCH 10,post,757.0, 
47777.0, kanika868 Mirrormirroronthewall...?🧡 37w,MARCH 8,post,493.0, 
39848.0, kanika868 Dowhatyoulike💕 38w,MARCH 2,post,335.0, 
33552.0, kanika868 SotellmeI’mrare?👼🏽 38w,FEBRUARY 29,post,757.0, 
34712.0, kanika868 WhenyourhairmatchesyourOOTD💘Thankyou fortheamazingservice.#ootd 39w,FEBRUARY 26,post,493.0,  @hairmasters_rajindernagar
