likes,about_post,date,type,comments,tagged_names
219181.0," katrinakaif Verified #educategirls  Mobilizingcommunitiesthroughvillageandneighbourhoodmeetings,tocounsellingandconvincingparentsandfamiliesoftheseGirls,#EducateGirls’#TeamBalikavolunteersareontopofit,workinginover18,000remoteandruralvillagesofIndia.Sogratefulto forlettingmestepintotheshoesof#TeamBalikavolunteers,toworkinonesuchvillageofMadhyaPradesh.Myfirsthandexperienceofbringinggirls#BacktoSchoolhasbeenquiteexciting.This#DayoftheGirl,let'sworktowardgivingourgirlstheir#RighttoEducationandavoiceforanequalfuture.Afterall,health,nutrition,employability,povertyalleviation,evenclimatechange–somanythingsarepositivelyimpactedwhengirlsareeducated! #EducateGirls #GenderEquality #generationequality 4h",4 HOURS AGO,video,17300.0,  @educategirlsngo
1482740.0," katrinakaif Verified Sayhi👋tomyfriendAyushi!HerswasthefirstdoorIknockedonwhenI becamea#TeamBalikavolunteerfor beforelockdown.Itwasaproudmomentsteppingintotheirshoes,beingalignedtotheirpurposeofsendingeverygirlintheirvillagebacktoschool💁🏻‍♀️📚.#EducateGirls,isworkinginIndia’smostrural,remoteareastobridgethegenderand#literacygap.Theyhavehelpedenrol750,000girlsinschoolandimprovedlearningoutcomesforover1.3millionchildrentilldate.#backtoschool #DayoftheGirl🧡 #genderequality 2d",2 DAYS AGO,post,18300.0,  @educategirlsngo
998284.0, katrinakaif Verified 🙂+👽 3d,3 DAYS AGO,post,11000.0, 
2125758.0, katrinakaif Verified ChannelingmyinnerAyannaAirwiththeallnewLegionOfFurycollection💜👩🏼‍🎤 #LegionofFury 📸 ,SEPTEMBER 29,post,22300.0,  @reebokclassicindia @abheetgidwani 1w
1823374.0, katrinakaif Verified 🌊💙 3w,SEPTEMBER 15,post,12400.0, 
4727197.0, katrinakaif Verified EnergizeyourdaywiththeallnewZig!⚡️💥  NewcolorwaysoftheZigKineticaHorizonavailableonshop4reebok.comandinselectReebokstores. #ZIGKinetica ,SEPTEMBER 9,video,10400.0,  @reebokindia 4w
2460284.0, katrinakaif Verified Sunday’swithmyfavourite☕️ 🧡 5w,SEPTEMBER 6,post,17700.0,  @abheetgidwani
1678637.0, katrinakaif Verified Sairuandme❤️from👶to👧 5w,AUGUST 31,post,21700.0, 
1803101.0, katrinakaif Verified Justfelthappyseeingthispic📷 ,AUGUST 24,post,15300.0,  @🧡anushkasharma 6w
2303969.0," katrinakaif Verified Whenitrains,  Isharemyumbrella.  IfIhavenoumbrella,  Isharetherain.☔️🙂.  -anonymous 7w",AUGUST 23,post,11500.0, 
2288280.0," katrinakaif Verified Trytobearainbowinsomeoneelse’scloud,yourlegacyiseverylifeyoutouch🧡#writeyourlegacy✏️🧡  Wearingmynew#ClassicLeatherLegacyfrom Aneffortlessandeasy-to-wearretro-runninginspiredlifestyleshoe,withawholelottacolor💙  Getyourpaironshop4reebok.comoratselectReebokstores. 7w",AUGUST 18,post,5364.0,  @reebokclassicindia.
1900770.0, katrinakaif Verified MissingCricket🏏alwaysreadytoplay🙋🏻‍♀️properlyattiredorno😇 9w,AUGUST 7,post,11400.0, 
1429581.0, katrinakaif Verified 🚨JUSTDROPPED🚨  SayhellototheultrashimmeryHighlightersby 🤩  Reasonstolove:  💫Comesin6gorgeousshadestocomplimenteveryskintone! 💫Transparentveiloflighteffect 💫Givesanaturalglowyfinish  🚨NowAvailableatNykaa.com🚨 9w,AUGUST 6,post,14500.0,  @kaybykatrina
2215340.0," katrinakaif Verified JUSTLAUNCHED Perfectyourhighlightinjustonestroke!🤩 Presenting,KayBeautyIlluminatingHighlighters  Availablein6shades: 🌟FrostedIce 🌟RoseyDew 🌟SunlitGold 🌟ChampagneFizz 🌟HoneyGlaze 🌟CopperShine  Whichoneareyouexcitedtotry?Headto toshop.  #KayBeauty#KayByKatrina#KayHighlighters#HighOnGlow#KatrinaKaif#NewLaunch 9w",AUGUST 6,video,4948.0,  @kaybykatrina
3531139.0, katrinakaif Verified Thankuformynewraincoat ......iloveeeeeeit☔️#alldressedupandnowheretogo 9w,AUGUST 3,video,4162.0,  @reebokindia
1740272.0, katrinakaif Verified #challengeaccepted 🧡sogratefulfortheinspirationandsupportfromallthewomenaroundme👯‍♂️        ,JULY 28,post,8614.0,  @anaitashroffadajania @anushkasharma @kareenakapoorkhan @chhabra.reena17 @rohiniyer @fatimasanashaikh @kushakapila @yasminkarachiwala @isakaif 10w
2846669.0, katrinakaif Verified Us👻’s-thingsaregettingscaryaroundhere        ,JULY 20,video,85600.0,  @😜  ishaankhatter @siddhantchaturvedi @gurmmeetsingh @ravi.shankaran @jasvinderbath @ritesh_sid @faroutakhtar @excelmovies 11w
2772588.0, katrinakaif Verified Onefineday-BTS➡️📞👻        ,JULY 20,video,13600.0,  @#shotbeforelockdown  ishaankhatter @siddhantchaturvedi @gurmmeetsingh @ravi.shankaran @jasvinderbath @ritesh_sid @faroutakhtar @excelmovies 11w
1712012.0," katrinakaif Verified Theonestopshopforallbhootrelatedproblems,#PhoneBhoot👻ringingincinemasin        ",JULY 20,post,7016.0,  @2021  ishaankhatter @siddhantchaturvedi @gurmmeetsingh @ravi.shankaran @jasvinderbath @ritesh_sid @faroutakhtar @excelmovies 11w
3454451.0, katrinakaif Verified 🎂+🏠=🧡thankuforallthebirthdaywishes🎊💝 12w,JULY 16,post,5304.0, 
