likes,about_post,date,type,comments,tagged_names
3699059.0, kendalljenner Verified TheRowheadtotoe 5h,5 HOURS AGO,post,57400.0, 
6916693.0, kendalljenner Verified Barbvoted...yourturn!!! 2w,NOVEMBER 3,post,0.0, 
4100945.0, kendalljenner Verified 🖤🧡 2w,NOVEMBER 2,post,29200.0, 
6007811.0, kendalljenner Verified “don’tcallmebabe”happyhalloween!GOVOTE!!!  measPamelaAndersoninBarbWire 📸bymyangel ,OCTOBER 31,post,32600.0,  @amberasaly 2w
8732751.0, kendalljenner Verified jellygotme 3w,OCTOBER 28,post,32900.0, 
8753191.0, kendalljenner Verified locationsasecret 3w,OCTOBER 27,post,18200.0, 
3576216.0, kendalljenner Verified new by ,OCTOBER 24,post,20400.0,  @calvinklein @lachlanbailey 3w
5199936.0,  dressedmeup🤠🤍😌athomeinthenew byMATTWILLIAMS🤍congratsyougenius!!!whatabeautifulcollection 4w,OCTOBER 16,post,0.0,  @kendalljenner Verified matthewmwilliams @givenchyofficial
651753.0," kendalljenner Verified didyouknowthatinsomestatesyoucanearlyvote???youdon’thavetowaittillNovember3rd(that’salsomybdayandalliwantisforyoutovote,pleaseeeeandthanks)thisisthemostimportantelectionofourlives!earlyvoteifyoucan!!!iknowi’mgoingto!  borrowedthesegraphicsfrom & 🤍 6w",OCTOBER 5,post,49100.0,  @voguemagazine @heyrooney
5437338.0, kendalljenner Verified notno 6w,OCTOBER 2,post,161000.0, 
5501833.0," kendalljenner Verified Whowantsa$60,000USDpreloadedVISA💳💵+alltheluxurybagspicturedherewithme?#ad$60,000USD👀!!Openworldwide!Thisislifechanging! . . TOENTER,IT’SSIMPLE⤵️ . . 1️⃣Goto NOW>YoumustFOLLOWeveryoneheisfollowing(itonlytakes90secondstoenter) . . . 2️⃣Comebackhere&tellmewhoyouwouldsharetheprizewithORwouldyoukeepitallforyourself?😆👛💵 . . . YouMUSTENTERVIA NOW . . . 🚨Thissweepstakesisinnowaysponsored,administered,orassociatedwithInstagram,VISA,ORTHEBRANDSinthispicture.Thisprepaidvisawillbesentinthewinnerscurrency.Byentering,entrantsconfirmthattheyare18+yearsofage,releaseInstagramofresponsibilityandliability,andagreetoInstagram'stermsofuse.ThissweepstakeswillbeliveonmypageforONLY48hoursthenthepostwillbeARCHIVEDoncethecontestofficiallyclosesonFridaySeptember25th,2020at7:00pmPDT,somakesureyouenterNOW!OpenWORLDWIDE🌎ProfilesmustbeonPUBLICuntilthewinnerisannounced.Thewinnerwillbeannouncedonthewww.curatedbusinesses.comwebsite(wherealltheirpreviouswinnersareshown)&thisimageon IG,BYMondaySeptember28th,2020.Nopurchasenecessary.Voidwhereprohibitedbylaw. . . PermitTP/00007 8w",SEPTEMBER 24,post,51000.0,  @letthelordbewithyou @letthelordbewithyou @curatedbusinesses
3806625.0, kendalljenner Verified ⛓🐾⛓ 10w,SEPTEMBER 11,post,57800.0, 
8528181.0, kendalljenner Verified i💛lakes 11w,SEPTEMBER 4,post,20100.0, 
6516850.0, kendalljenner Verified i💛lakes 11w,SEPTEMBER 2,post,9975.0, 
3620311.0, kendalljenner Verified oralbeauty🤍 #moon_partner 11w,SEPTEMBER 2,post,69000.0,  @moon
8287117.0, kendalljenner Verified :))) 13w,AUGUST 20,post,25100.0, 
6078983.0, kendalljenner Verified rumpunchwithmynameonit 13w,AUGUST 18,post,52800.0, 
4921174.0, kendalljenner Verified Summersmileby #moon_partner 15w,JULY 31,post,14500.0,  @moon
2907919.0,  TheChanelIssueby ,JULY 30,post,7152.0,  @kendalljenner Verified chaossixtynine @luigiandiango 16w
2138117.0,  TheChanelIssueby ,JULY 30,post,14500.0,  @kendalljenner Verified chaossixtynine @luigiandiango 16w
