likes,about_post,date,type,comments,tagged_names
199642.0, ketikasharma Verified Youareentirelyuptoyou🦋 P.S-longtimeeveryone❣️ #selfiesunday#selflove#blackonblack#mood#vanitydiaries#selfportrait#simplicity#gratefulheart#loveandlight 2w,NOVEMBER 8,post,1680.0, 
85255.0, ketikasharma Verified Elysian🕊 #morning#selfie#instagram#filters#green#location#saturdayselfie#beautiful#grounding#peaceful#humbled#grateful#onset#loveandlight 9w,SEPTEMBER 19,post,498.0, 
104591.0," ketikasharma Verified VerifiedonInstagram⭐️❤️thankyousomuchInstagramandthankyoumyinstafambamforallthelove.Ifeeltrulygratefulfromallmyheart. Lastbutnevertheleast,thankyou formakingeverydayandeverymomentsospecialandmemorable.Youarewarmth,happinessandlove.Mycompassionatebabygirl,I’msoblessed❤️#touchwood Funfact:sisowastheonewhoactuallyinsistedandgotmeonInstagramandtodayshecelebratesmyverificationwithsomuchheart🥺❤️Iloveyousisoforinfinityandbeyond🦥#verified#ketikasharma#happyday#celebration#goodtimes#grateful#positivevibes#blessed#best#sister#blue#loveandlight 13w",AUGUST 21,post,594.0,  @sagarikamalla11
39411.0, ketikasharma Verified Comingupwithoneoftheancientsportsinthe     ,JULY 27,post,104.0,  @world.#firstlook actorshaurya northstarentertainmentofficial @#SVCLLP actorshaurya @santhossh1 @bhairavudu @junaid.editor  #NS20Firstlook #india'sfirstfilmonarchery #Archery 17w
69467.0, ketikasharma Verified Takemebacktothebetterdaysofinnocenceandpurity❣️ #major#throwback#baby#ketikasharma#poser#since#then#somethings#never#change#childhood#memories#gratefulheart#loveandlight 19w,JULY 12,post,508.0, 
171266.0, ketikasharma Verified ThrowbackThursdaytothisselfie🌸 #longhair#days#wild#unkept#vibe#mood#post#after#long#quarantine#things#grateful#happyvibes#positivity#loveandlight 23w,JUNE 11,post,1206.0, 
157012.0, ketikasharma Verified Blackandwhiteorcolour?📸- 🔥🔥 #dual#closeup#beauty#portrait#blackandwhite#colour#shadesofnude#ombre#lipshade#lovely#shot#throwback#lovethis#loveyourself#gratitude#grateful#loveandlight 31w,APRIL 21,post,1281.0,  @shazzalamphotography
176669.0," ketikasharma Verified “Letyourselfbecomelivingpoetry“-Rumi🕊 P.S-Thisshotby issointeresting,viewthisimagefromanyangleonyourphones(horizontallyorverticallyfromeithersides)anditmakessuchabeautifulframeeverytime(Shazzwhatabrilliantoneya🦋)#beautiful#frames#talented#work#blackandwhite#all#angle#shot#imagery#quarantine#throwbacks#rumi#quotes#poetry#art#loveandlight 31w",APRIL 15,post,1575.0,  @shazzalamphotography
152100.0," ketikasharma Verified Nolink,justsomepink🌸 #mondaymood#majorthrowback#saare#shotoniphone#focalblur#pink#yellow#happycolours#alwaysavibe#tb#loveandlight 32w",APRIL 13,post,1120.0, 
128467.0," ketikasharma Verified “I’msorryIdon’thavethetimetohateyouordwellonourpast,I’mtoobusywateringmyflowersandmakingsuretheygetenoughsunlighttogrow.”-ROBERT.M.DRAKE 📸- 🔥🌸 #rmdrake#love#his#quotes#selfcare#selflove#growth#positivity#selfnurture#portraitphotography#nudepink#my#soul#colour#happysunday#gratitude#grateful#loveandlight 33w",APRIL 5,post,767.0,  @rmdrk @shazzalamphotography
