likes,about_post,date,type,comments,tagged_names
1401784.0, khloekardashian Verified IgivethankseverydayforyoumysweetTrue!!!!🌹Alwaysstoptosmelltherosescutie 2d,2 DAYS AGO,post,3785.0, 
1025231.0, khloekardashian Verified ✨Foreverthankful!Forevergrateful!That’smygirl✨wearejustgettingstarted✨ 3d,3 DAYS AGO,post,1211.0, 
993706.0," khloekardashian Verified Ilovereadingaboutyourexperienceswith Ourhighdoseof10,000mgofcollagenperservingmeansourcustomersseeresultsfast.Swipetoreadjustafewofthereviewswereceiveeverydayandtaguswithyourstories🤍 1w",NOVEMBER 19,post,8241.0,  @doseandco!
354297.0," khloekardashian Verified Ilovereadingaboutyourexperienceswith Ourhighdoseof10,000mgofcollagenperservingmeansourcustomersseeresultsfast.Swipetoreadjustafewofthereviewswereceiveeverydayandtaguswithyourstories🤍 1w",NOVEMBER 18,post,1415.0,  @doseandco!
2246849.0, khloekardashian Verified TheworldisyourrunwayTuTu!!!Youbettttaaaaa! 1w,NOVEMBER 18,post,1001.0, 
677360.0, khloekardashian Verified DesignMeetings #Denim#Good#american 1w,NOVEMBER 18,post,2856.0,  @goodamerican
487008.0," khloekardashian Verified OMGIjustgotthe🔑to HolidayHousetoofficiallykickofftheholidaysandletmetellyou—it’sGOOD.Epicoffers,tonsofgiveaways(like,20!?),andthejuiciestbrands.Butfirst,asurprise!!Goto andfindthesekeysintheirgridforthedetails.😘🎄#IPSYPartner 1w",NOVEMBER 14,post,9427.0,"  @IPSY’s @IPSY,"
1604947.0, khloekardashian Verified ♡countingdownthedaysuntilChristmas♡ 2w,NOVEMBER 11,post,5708.0, 
2398259.0," khloekardashian Verified ♚Happybeautifulbirthdaymommy,mytwin,myQueen,myeverything!!Weareheretocelebrateyoudaily!!!Youmakeeverymomentmemorable!Youmakelifehappyandfilledwithlove!YouexcitemewhenitcomestoLife!Youremindmethatlifeisacelebration!YoumakemebelieveIcandoanythingatanytime.Youmakeitalllooksofabulous!YouareaQueen!MyliteralQueenwhohasraisedminiQueensandayoungKing.Youbuiltthiskingdomandwehonoryou!IonlyprayIcanleavefootprintsonpeoplessoulsthewayyoudo.Iloveyousomuch.IgenuinelycannotusewordstoexplainhowmuchIloveyou.You'vebeenmybiggestinspirationforalloftheyearsofmylife.Yourstrength,grace,compassion,love,workethic,beautyandyourincrediblegenerosityisbeyondanythingelseIhavewitnessed.TherearesomanygoodthingsIcouldsayaboutyou.Thelistcouldgoonforever.Mom,weALLloveandadoreyou!!!Youaremyheroandmyheart!IwillloveyoumoreandmoreeverydayUntiltheendoftime.Thankfulforourblessingsandfortheloveyougiveeachandeveryoneofus!TodaypleaseenjoybeingtheQueenthatyouare!!!HappybirthdayTwin♚ 3w",NOVEMBER 5,post,10500.0, 
2569873.0," khloekardashian Verified CurrentlyscreamsingingHappybirthdaymysweetKenny!Youareoneofmymostfavoritepeople!Iloveyouforwhoyouareandcouldn'timaginealifewithoutYOU.IfanyoneknowsyoulikeIdo,theyknowhowmuchofanamazing,kind,quirky,loyal,lovingpersonyouareandhowmuchanyonewoulddreamtohaveyouintheirlife.Somepeoplearen'tasluckyasus-noteveryonegetstohaveasisterandnoteveryonegetstohavealoveandbondthatallussiblingshavewithoneanother.Wearesoulmates.Ineverylifetimewewillfindoneanotherbecausewearedestinedto.Untiltimerunsout,wewillbetogetherinsomecapacity.Iamsoluckytohavesomeoneasselflessandlovingasyoubymyside.Iloveyou,Irespectyou,Ivalueeverythingthatyouare.Weallcelebrateyoutodayandeveryday!Letyourconfidencecontinuetoshineandneverbeanyonebutyourself.Youareperfectineverysingleway.Iloveyoumysweetangelsister! 3w",NOVEMBER 4,post,18500.0, 
2442928.0, khloekardashian Verified Ｃｌｅｏｐａｔｒａ 3w,NOVEMBER 3,post,5617.0, 
3565380.0, khloekardashian Verified ♔Cleopatra♔ ♔MarkAntony♔ ♔RoyalHighnessTrue♔  Customoutfits (evenonmissTrue) Bratop chestplate    ,NOVEMBER 3,post,3172.0,  @bryanhearns @laureldewitt TTs @grahamcruzstylist Glam @ash_kholm @andrewfitzsimons Nails @chaunlegend 3w
1976851.0, khloekardashian Verified Bottleserviceanyone?!?!Kendallisthetequilaqueen! 3w,OCTOBER 31,post,1810.0, 
1504949.0, khloekardashian Verified 🐆ShewillforeverbemyZebra🦓 3w,OCTOBER 30,post,4077.0, 
438128.0, khloekardashian Verified 🐆ShewillforeverbemyZebra🦓 3w,OCTOBER 29,post,8379.0, 
1709134.0, khloekardashian Verified 💙AtPeace💙 4w,OCTOBER 29,post,0.0, 
2499010.0, khloekardashian Verified IwasthinkingaboutphotoshoppingKylieintothisphoto 4w,OCTOBER 29,post,6234.0, 
3146098.0, khloekardashian Verified 💛BESTTRIPEVER!!ThankyouKeeks💛  📸 ,OCTOBER 28,post,2270.0,  @pierresnaps 4w
1252973.0, khloekardashian Verified 𝗧𝗵𝗲𝗕𝗼𝗺𝗯𝘀𝗵𝗲𝗹𝗹𝗟𝗲𝗴𝗴𝗶𝗻𝗴!!  OUT Fit 4w,OCTOBER 27,post,7513.0,  @NOW!!!  XS-5XL  goodamerican
581467.0, khloekardashian Verified 𝗧𝗵𝗲𝗕𝗼𝗺𝗯𝘀𝗵𝗲𝗹𝗹𝗟𝗲𝗴𝗴𝗶𝗻𝗴!!  OUT Fit 4w,OCTOBER 23,post,1199.0,  @NOW!!!  XS-5XL  goodamerican
2020435.0," khloekardashian Verified ♡HappybirthdayKeeks!!!!!!!  I’mscreaming,It’syourbirthday!!!!!!!!!!!  Myentirelife,you’vealwaysbeensomeonethatIhaveadmired.Stilldoandalwayswill.Yourdetermination,ambition,grace,ethics,youreagernesstomakeachange,Icangoonandon.Youdoitallwithpoise.Youareaglamoroussuperwomaninmyeyes!!I’mnotsurehowyoudoitandyetyoumakeeverythinglooksoseamless.  Thewayyoubalancebeingadaughter,sister,Mommy,wife,friend,businesswoman,everyone’sgotoforadvice,conciergeservicetomanyLOL,It’sallveryimpressive.Youmakeitalllooksoeasy.  Foralltheyearsofyourlife,youhavehadsomethingspecial.Alightfromwithin.Therehasalwaysbeenamagneticenergyaboutyou.You’vewrittenyourownsetofrules,alwayswithlove.Youhaveforeverhadanimmenseamountofcourage,confidence,faiththateverythingwillworkout.Andeverythingalwayshas.Neverloosethatfaithinyourselfbecauseit’sinspiring.Butmostimportantly,Youleavepeoplebetter.Youwanteveryonetobethebestversionofthemselves.Youleavepeoplefeelingempoweredandfull.Ipray,onyourbirthdayandeverydayofyourlife,thatyouforeverfeelloved,respectedandappreciated!Ipraythateverywishyouhave,itcomestrue.Youaresodeserving!Weallloveyousomuch!Iamsoproudofallthatyouwere,allthatyouareandallthatyouaregoingtobe!Happybirthday Youareeverythingtosomanybutespeciallyme.Untiltheendoftime,Iloveyou!!!♡ 5w",OCTOBER 21,post,5278.0,  @kimkardashian!!
