likes,about_post,date,type,comments,tagged_names
483037.0, kourtneykardash Verified 🤍 2d,2 DAYS AGO,post,2054.0, 
1452089.0, kourtneykardash Verified notok 3d,3 DAYS AGO,post,7891.0, 
890124.0,  ,5 DAYS AGO,post,6765.0,  @kourtneykardash Verified poosh 5d
2039449.0, kourtneykardash Verified SoproudofmyfriendStaceyandherbrand fordonatingapercentofproceedsfromallpantspurchasedfromtheirnewcasuallinetocharities—mychosencharityforthisstyleisa ❤️LastDecemberItookmykidstodoworkwiththisorganizationwhichstrivestopreventhomelessnessamongstyouthwhohave“aged-out”ofthefostercaresystem.Happyshopping!Linkinmystory. 6d,6 DAYS AGO,post,4040.0,  @aliceandolivia @asenseofhomeorg
1381382.0, kourtneykardash Verified 🌴🍹🥥🦎🦈🔫🌊🏝 1w,NOVEMBER 14,post,11700.0, 
1252851.0, kourtneykardash Verified yourfairygodmother 1w,NOVEMBER 12,post,5615.0, 
1430107.0," kourtneykardash Verified HeyBob,doyoumissBBM? 1w",NOVEMBER 11,post,22300.0, 
646629.0, kourtneykardash Verified 💃🏻 1w,NOVEMBER 10,post,12600.0, 
724168.0,  ,NOVEMBER 10,post,13000.0,  @kourtneykardash Verified kkwfragrance 1w
666510.0," kourtneykardash Verified joyisdoubledbyothersandsorrowishalvedby newmerchoutnow,checkmystoryforinfo🌙✨ 1w",NOVEMBER 9,post,21100.0,  @others  harryhudson
1075825.0, kourtneykardash Verified Thefuturelooksbright. 2w,NOVEMBER 8,post,16100.000000000002, 
1199402.0," kourtneykardash Verified HappyhappybirthdaytomymagicalJudyguru !Torespectingourselves,treatingourselves,cheatingourselves,laughingatourselves...themorningupdates,storiesandlaughstolast100lifetimes!Iloveyouforlife!Andshoutoutto forjustlookingso🔥inthisphoto❤️ 2w",NOVEMBER 6,post,12300.0,  @simonhuck @lala
904575.0," kourtneykardash Verified Tomymommy,thebossiestofallbosses,thequeen.Happyhappybirthdaymayyoucontinuetobeblessedwithlove,happiness,andlight.Foralloftheloveyougivetous,wecelebrateyoulikeyoucelebrateEaster,HalloweenChristmas,Thanksgiving,Valentine’sDay,andSt.Patrick’sDay! 2w",NOVEMBER 6,post,15000.0, 
875668.0, kourtneykardash Verified HappyElectionDay!GetoutthereandVOTEifyouhaven’talready.Yourvoiceisimportant.Yourvotehaspower.Everyvotecounts. 2w,NOVEMBER 3,post,14800.0, 
1872399.0, kourtneykardash Verified Hotdiggitydog! 2w,NOVEMBER 3,post,14600.0, 
2008950.0, kourtneykardash Verified Rockn’Roll🧷🎸💀 3w,OCTOBER 31,post,10700.0, 
2121334.0, kourtneykardash Verified 🦓🐆 3w,OCTOBER 30,post,15000.0, 
915376.0, kourtneykardash Verified grateful 3w,OCTOBER 30,post,13800.0, 
2031878.0, kourtneykardash Verified mysistersbirthday!! (andthebestweekofmylife) 3w,OCTOBER 30,post,19400.0, 
3933690.0, kourtneykardash Verified selfieselfie 3w,OCTOBER 29,post,10300.0, 
2088399.0, kourtneykardash Verified nameabettertrio 3w,OCTOBER 28,post,15300.0, 
2161485.0, kourtneykardash Verified IamMoanaofMotunui. 3w,OCTOBER 28,post,9197.0, 
1123979.0, kourtneykardash Verified 🍉🍓🍒🍎 4w,OCTOBER 20,post,20000.0, 
1137798.0," kourtneykardash Verified Idon’tcook,Idon’tclean 4w",OCTOBER 20,post,36900.0, 
1813329.0, kourtneykardash Verified Costumeideas?VampiraandCruellawouldliketoknow. 5w,OCTOBER 16,post,13800.0, 
1341853.0," kourtneykardash Verified Ihavebeenworkingwith foralmostthreeyearsnowtohelpbantoxicchemicalsfromourpersonalcareproductsandcosmetics(thinkshampoo,conditioner,deodorant,toothpaste,lotionandincludingthoseforchildrenandbabies)andwefinallyhaveamajorvictoryforthemovement!Thankyou  forleadingoncosmeticsreformbysigningtheToxic-FreeCosmeticsActintolawandprotectingCalifornians!Californiawillnowban24toxicchemicalsfromthepersonalcareproductsandcosmeticsweuseeveryday.IAMHAPPY!! 5w",OCTOBER 16,post,24600.0,  @environmentalworkinggroup @CAgovernor @GavinNewsom
1403853.0, kourtneykardash Verified nightswimmer 5w,OCTOBER 15,post,60100.0, 
907029.0," kourtneykardash Verified OK challengeaccepted.Iammyown#votingsquadbecauseIwillbedroppingoffmyballotatanofficialdropbox💌😊butIdolovediscussingourthoughtsonimportantvotingtopicsonourgroupfamilychats,forthefutureofourcountryandformychildren.Inominateallmyfollowers,getoutthereandVOTE! 5w",OCTOBER 15,post,10600.0,  @kerrywashington
955349.0, kourtneykardash Verified ArtBarbie 5w,OCTOBER 14,post,24600.0, 
943973.0, kourtneykardash Verified FallinNewYork🍂🌻🎃 5w,OCTOBER 13,post,60100.0, 
748705.0, kourtneykardash Verified readallaboutit ,OCTOBER 12,post,10600.0,  @zerobondnyc 6w
815469.0, kourtneykardash Verified zoomzoom 6w,OCTOBER 8,post,13400.0, 
789948.0," kourtneykardash Verified Havana,Cuba2016 6w",OCTOBER 8,post,26100.0, 
960200.0, kourtneykardash Verified 🕷 7w,OCTOBER 4,post,56700.0, 
1423941.0, kourtneykardash Verified Iloveyoumorethanyesterdayandlessthantomorrow. 7w,OCTOBER 4,post,32500.0, 
956694.0, kourtneykardash Verified OurPooshxVitalProteinsDreamofMeCollagenTeajustlaunched!And...ittasteslikeapplepie(fallinacup).  Sweetdreamsdocometrue.Availablenowexclusivelyonshop.poosh.com 🍎🥧☕️ 7w,OCTOBER 2,post,68100.0, 
291873.0," kourtneykardash Verified Blackbeauty. A thread.  Oneofmyfavouritethingsaboutworkingat isaccesstothebeautycupboardandthelegendarybeautyshootswecreate. Iamaselfconfessedbeautyjunkie.Ihavechestsandcupboardsfilledwithproductsneatly(andsomenotsoneatly)organisedlikeobjectsofartandsignificance. AsI’veincreasinglyshiftedtocleanbeautyproducts,particulartrendsintheproductstargetedatBlackcommunitieshavebecomeacauseforconcern. HappilythereareactionswecanALLtakethatprotectBlackhealthandtheenvironmentforall. forupdatestofollowon  ",OCTOBER 2,post,14600.0,  @vanessakingori @BritishVogue @VanessaKingori #ShareTheMicUK #ShareTheMicNow Artwork @missnay_xo 7w
447952.0," kourtneykardash Verified MotheringwhileBlack.A thread. . BeingamumistheonlyroleIeverreallyknewIwantedanditdoesn’tdisappoint(sleepdeprivationaside),ILOVEit.Butgettingtothispointwasabumpyroad. Isufferedwithfibroidsthatwentundiagnosedanddismissedbyhealthcareprofessionalsforyearsthiscoupledwithstresscausedbyworkinginatoxicmaleenvironmentfullofalltheassociatedismscreatedunsavourycocktailleadingtomultiplemiscarriages.Eachofwhichbrokemeinawaythatisindescribable. Ileftthejob,ignoredthefibroidadvice(justleavethem!?Really?)didmyownhealthresearchwhichleadtosurgeryANDfinallygotpregnant✨. Butthencametherealworry. BlackwomenintheU.K.are5timesmorelikelytodieduringpregnancy,irrespectiveofhowmuchmoneytheycanthrowat‘good’healthcare.Thestat.issimilarfortheUSA. Researchhasshownagainandagainthatracebasedstereotypingistheculprit. WecanALLhelptostopthis. Swipeandtapattheendforresourcesandpleasesharemoreresourcesinthecommentsbelow. Sendingsomuchlovetoallthemamasandmamastobe.You’vegotthis.♥️ Moretocomeonthisat  ",OCTOBER 2,post,14600.0,  @vanessakingori @vanessakingori. . Artwork: @missnay_xo #ShareTheMicUk #ShareTheMicNow 7w
276177.0, kourtneykardash Verified IamsoexcitedtohandovermyInstagramaccountto onOctober1st!Iwilltakepartin#ShareTheMicUKtomagnifyBlackwomen’svoices.Ican’twaittolistenandwatchVanessatakeovermyaccount.  Artwork: ,SEPTEMBER 30,post,14600.0,  @vanessakingori @Amelia_creative 7w
