likes,about_post,date,type,comments,tagged_names
7101.0, kohki 𝕊𝕡𝕒𝕔𝕖𝕤𝕥𝕒𝕥𝕚𝕠𝕟 w/ adaywhenspacetravelwouldbeascommonastravelingtoadifferentcontinenthereonearth”🚀 1d,1 DAY AGO,post,280,  @ninjacatgirl “Imagining
11321.0," kohki Can’tgetredderthanthis🍁 OkaysoIwantedtorepostthis,wellnotnecessarilyrepostasit’sadifferentphotobutmanyofyouwerewonderingwhyIusedaNDfilterforthisshot. Youcanseefromthe2ndphotothattheskyhasgapsallacross,whichtomelooksoddornotveryaesthetic. TheNDallowsmetocreatethisbeautifulstreakofskywhilemaintainingthereddishorangesunsetlight. I’vealsocomposedthepagodafromaearlierphotofromthislocationsothatitisn’tcompletelydark. Gottagetthemtutorialsoutthereforyouallbecausethisisjustthebasicswhichyouallcanlearninaminute🤘🏼 3d",3 DAYS AGO,post,67, 
11363.0, kohki Stumbleduponalocationthatlookslikeascenefromafairytale🍁 Doyouseetheswanandkoifish? 1w,NOVEMBER 18,post,240, 
7445.0, kohki Autumnspirit🍁 Iwonderwherethedoorwillleadto... w/ ,NOVEMBER 15,post,317,  @mocheexs 1w
14920.0, kohki DemaslookingatrealestateinTokyo🤔 Wouldanyofyoulivehere? w/ ,NOVEMBER 12,post,139,  @demas 2w
12532.0," kohki Homeallyear,withoutbeingabletoseemuchofthebeautifullandscapesthiscountryhastooffer,Ifeelblessedtohavewitnessedandexperiencetheautumncolors🍁 Haveyouallbeenabletoexploreyourhomecountry/neighborhoodsrecently? 2w",NOVEMBER 9,post,195, 
4751.0, kohki Thesefeelings😌 23minute‘Yurikamome’trainridein16seconds✌🏼Timeflieswhenyou’reshootingatimelapse. 3w,NOVEMBER 4,post,161, 
12623.0, kohki Ascenefrommydream💭 “What’syourmostrecentdreamabout?” 3w,OCTOBER 30,post,100, 
18418.0," kohki Heyguys! iscurrentlydoinga#voyagedexplorecampaignwhereyoucanwincashprizeandgetfeaturedonboth and ! - Justhashtaganyshotsofyourfavouriteplaceorhiddengemsthatyouhavefoundinyourneighbourhoodorcountrywith#voyagedExploreandincludetheexactlocationnameinthepost. - Atatimewhentravelingisnotavailable,it’sagreatopportunitytosharethebeautyofyourcountryorthecountryyoucurrentlyresidein! Thephotoscanbeoldonesyou’vetakensoifyoucannotgoout,youcanstillenter! - ContestendsNovember09th2020. Goodluck🙋🏻‍♂️ 4w",OCTOBER 23,post,121,  @voyaged @voyaged @9gag
6159.0," kohki Morningbreezefromthehighestplaceontheisland😌“Withtraveloutofthequestion,haveyoubeenexploringnaturearoundyourcountrythat’sunpopulated?” 5w",OCTOBER 21,post,53, 
8427.0, kohki Everydayanewsunrisepaintsourskies🌙 5w,OCTOBER 19,post,222, 
4777.0," kohki Sometimeswejustdon’tknowuntilwetry.Youmightfindalittlesaplinggrowattheendofitall,discoveramajestictreeorjustnothingatall. Butwejustdon’tknowuntilwetry🌱 5w",OCTOBER 17,post,217, 
17941.0," kohki Gettingusedtosomethingisquitedangerous.Westarttoloseappreciationforthethingsaroundus,forthesolereasonthatitisandwillalwaysbethere.Thiscanbeappliedtomorethanjustbeautifulsceneriesandplaces,butthat’sawholeotherstory. 6w",OCTOBER 13,post,173, 
