likes,about_post,date,type,comments,tagged_names
413057.0," komalpandeyofficial Verified #FashionTherapy,Season3-#Episode68:9WaysToDoSareeWithBoots.✨  Takingmyloveforsareestoanotherleveltoday,I’mshowingyoumytakeondoingsareewithboots.IrememberdoingthisevenwhilegoingtoworkwhenIwas21yearsold.Itwasliberatinginadifferentway.Atruesareeloverwouldknowthatskyisthelimitwhenitcomestowearingone,beitasangeetoracocktail.Aweddingoraformalevent.🤍 Look1: Saree: &blackcroptop:Zara Look2: Bikinitop: 3: Leatherdress:Zara Belt:superold Look4: Saree: wornasatop: 5: Shirt: wornonshirt: 6: Blazer:veryold Look7: Leathersaree: 8: Saree: shouldertop:Zara Look9: Cardigan:veryold Sareewornasdrapedskirt: ",1 DAY AGO,video,278.0,  @saakshakinni Boots @essgee_shop Look @labelankitajain Scarf @labelankitajain Look @labelankitajain Dress @labelankitajain Look @storeat44 Look @snbyshantanunikhil Off @snbyshantanunikhil 1d
181319.0," komalpandeyofficial Verified Kasamkikasam,haikasamse..humkopyaarhai-sirfHUMSE.🥰  Wearingthegorgeous kurtaset&jewelsby 🕊 2d",2 DAYS AGO,post,1253.0,  @houseofpinkofficial @suhana_art_and_jewels.
475164.0," komalpandeyofficial Verified FestiveOutfitsInspiredByBollywoodCharacters!🕊  HappySaturday,EVERYONE!Afterallthestylingvideos,IthoughtofputtingalittlespinandgivingyousomeinspirationfromsomeiconicBollywoodcharacters.Takingalittlebitfromeachofthem-thisishowIwouldIdoitandmypersonalfavisMastaniandNandini.Yours?🥰 3d",3 DAYS AGO,video,655.0, 
95785.0," komalpandeyofficial Verified Mainaaphiapnipremika, Mainaaphiapnisaheli.🕊  Wearingthegorgeous onmynewfavsetfrom 🤍 5d",5 DAYS AGO,post,12900.0,  @amama_loves @essgee_shop.
516060.0," komalpandeyofficial Verified 1Lehenga,10FestiveAesthetics.🕊  Youguysaskedmetostyleawhitelehenga,hereyougo.You’llfindsomethingforyourselfoutofalltheselooks,Ipromise.🤍 Look1: 1.Indigokurta&jacket- (perfectstopforyouifyou’reonabudgetthisfestiveseason) 2.Lehengaskirt- 2: Bralette-H&M Jewels-  3: Yellowtieupcroptop- dupatta-  4: Indigotop-  5: Dupatta-  6: Dupatta&randomcloth-boughtfromalocalareamarket Jewels- 7: Dupatta-Fabricshop Jacket-  8: Dupattaworkasonesideoffshoulder-  9: Blazer&shirt-  10: Jacket- Zara Jewels- ",6 DAYS AGO,video,375.0,  @rangsutracrafts @rishiandvibhuti Look @suhana_art_and_jewels Dupatta- @rishiandvibhuti Look @kalakaaribysagarika Yellow @rishiandvibhuti Jewels- @amama_loves Look @rangsutracrafts Jewels- @amama_loves Look @varunbahlpret Jewels- @suhana_art_and_jewels Look @amama_loves Look @rishiandvibhuti Jewels- @suhana_art_and_jewels Look @varunbahlpret Jewels- @suhana_art_and_jewels Look @kaalateeka.in Jewels- @amama_loves Look @smruthimanaistore Bralette- @suhana_art_and_jewels 6d
141797.0," komalpandeyofficial Verified Aakashhaikoipremkavi,mainuskilikhikavita.🕊  Thisgorgeousknitfrom thatIcannotwaittostyleinmanyways.🤍 1w",NOVEMBER 2,post,496.0,"  @madebycuin,"
385188.0," komalpandeyofficial Verified #FashionTherapy,Season3:1Waistcoat,10Fits.👡  BreakingupthefestivecontentwithabitofwinterstylethatIcannotwaittojustwearandhopefully(fingerscrossed)beabletowearout.Pleasewatch,shareandletmeknowwhatyouthinkinthecomments?🤍 1w",NOVEMBER 1,video,1896.0, 
153939.0," komalpandeyofficial Verified RepeatYourMaa’sSareesIn5Ways(forthefestiveseason)🕊 I’msomeonewhostilluseshermother’sgorgeoussareecollectionandinsteadofgettingblousesstitched,ImakeuseofthestuffthatIalreadyhaveinuclosetgivingitmyowntwist.Socanyou..andhere’showyoudoit.❤️ Look1: Bralette-veryold,H&M Choker- 2: Top: from 3: Jacket-  4: Saree-  5: Waistcoat-Zara 1w",OCTOBER 31,post,1286.0,  @suhana_art_and_jewels Look @shehlaakhan Jewels @suhana_art_and_jewels Look @smruthimanaistore Choker- @amama_loves Look @chidiyaaonline Choker- @amama_loves Look
184523.0, komalpandeyofficial Verified Wearingmyghagraasadressandfeltlikeroyalty.🕊 Protip:thishackwouldworkwithalowwaistghagra/lehengaonly.  ThegorgeousDupattafrom &ghagrafrom ✨ Jewelsfrom 🤍  Clickedby 👩‍❤️‍💋‍👨 1w,OCTOBER 30,post,2104.0,  @varunbahlpret @rishiandvibhuti @amama_loves @siddharth93batra
558048.0, komalpandeyofficial Verified TheArtOfMix&Match-10FUSIONFESTIVEFITS!🕊  Icreatedthis10outfitsbyRE-USINGmyoldtraditionalpiecesmixedwithwesternpiecestogiveyouguysmorefestiveinspo.Thisvideoistoinspireyoutousewhatyoumightalreadyhaveinyourclosetandhavefunthisfestiveseason.🤍 Look1: Croptop&Dupattawornasadrapedskirtfrom stoledrapedinsideforliningfrom  2: Shirtdress:   3: Croptop:veryold Sharara(itwasasizetoobigsogaveitaknotinthefront): 4: Dupatta: wornasadrapedsareeonabasicwhitebraletteandskirt. Choker: 5: Pantsuitfrom from 6: Sareefrom from from 7: Topfrom from from 8: Straplessblouse-tailormade Shrug:   9; Stole: veryoldfromH&M Jewellery: 10: Dress:   ,OCTOBER 29,video,444.0,  @picchika White @rishiandvibhuti Jewellery- @suhana_art_and_jewels Look @alayabystage3 Dupatta: @varunbahlpret Jewellery: @suhana_art_and_jewels Look @varunbahlpret Look @varunbahlpret @jokerandwitch Look @zara Jewellery @suhana_art_and_jewels Look @varunbahlpret Neckpiece @amama_loves Shirt @alayabystage3 Look @shehlaakhan Pants @mango Jewellery @suhana_art_and_jewels Look @rishiandvibhuti Jewellery: @suhana_art_and_jewels Jeans: @levis_in Look @rishiandvibhuti Pants @suhana_art_and_jewels Look @taroindiaofficial Dupatta: @thenehstore Jewellery: @amama_loves 1w
