likes,about_post,date,type,comments,tagged_names
213539.0," kyle_lowry7 Verified BOY!!!BETONYOURSELF!! Thisdayhaslegitcomefrombloodsweetandbrokenteeth😂😂😂Thismylittlebrotheryo,I’msohappyforhimy’alldon’tunderstandman!!WowsincedayONEIknewthismanwasspecial!! He’snowseeingtheblessingfromthehardworkhe’sbeenputtinginthetimetheefforttobecomethisMANFIRSTandbasketballplayer!!  Loveyoulittlebro!!Yeahhe’spayingfortheBoatdaysfromnowon😂😂. #yesyou ",5 DAYS AGO,post,1595.0,  @fredvanvleet #themteethreallyshinningnow 5d
62825.0, kyle_lowry7 Verified Thankyoutoallmyfriendswhohelpedmakethisdayabetterformanyfamiliesduringthesetimes.Ireallyappreciateallthetimeandeffortyouguysputin!!  IhopeallofCanadahadagreatholiday!! #lowrylovefoundation 6w,OCTOBER 13,post,0.0, 
145272.0, kyle_lowry7 Verified It’samazingthat9yearsagoyouwerebroughtintothisworldKarterKing!!!Wowthat’scrazy!!! Thankyoukidforchangingmyworldandmylife!!Iloveyousoomuchandmissyoulikecrazy!! HappybirthdayKarterKing!! 14w,AUGUST 18,post,1788.0, 
116033.0, kyle_lowry7 Verified Kyle“ManI’msore”DeMar“causeyouold“haha Nowlookswhogettingold!!! Y’allknowit’s10earthdaysoigottashouthimout...youoldnowfool.Thebig3-1today!!!Butyouheretosayyou31andI’mproudandhappytoapartofthisjourneyyou’vebeenon..loveyoumybrother!!!Happyearthday enjoyit!! 15w,AUGUST 7,post,1006.0,  @demar_derozan
180740.0," kyle_lowry7 Verified NotgonnalieIalmostcriedtodaybecauseI’msohappyformyKamturningthebig5. EventhoughI’mnotthereI’mstillthereandIloveyou!!!You’reamazing,funny,andthesmileyouhavewilllightupANYroom. AlwaysbeyoumysonIloveyou!! Happy5thBirthday #KAMKINGLOWRY #yeshegotmorehopsthanme 19w",JULY 15,post,1910.0, 
177038.0," kyle_lowry7 Verified Toalegend: ThankyouforbeingYOU!!You’vebeenaninspirationtoageneration.You’vemeantsoomuchtothegameofbasketballnotjustinthecitesyou’veplayedinbutTHECOUNTRYOFCANADA!!Youdeserveeverythingthatwillbecomingtoyouinthefuture!!15forever!!! Thankyou!!Tomyfriend:timetogetthatgolfgameright,yougottimenow!!!!Ican’twaittogetbackouttheretokickitandhangoutwithmyfriendandaLEGEND!!! #HALFMANHALFAMAZING!! Love!! 22w",JUNE 26,post,1009.0, 
73546.0, kyle_lowry7 Verified KINGS!!! 22w,JUNE 22,post,400.0, 
152640.0, kyle_lowry7 Verified Doesn’tmattertheteamorsportWEfightingtogether!!!BLacklivesMatter!!! 24w,JUNE 7,post,925.0, 
48742.0, kyle_lowry7 Verified Doesn’tmattertheteamorsportWEfightingtogether!!!BLacklivesMatter!!! 24w,JUNE 2,post,0.0, 
108553.0, kyle_lowry7 Verified 34it’sbeenagreatdayforme!!It’sabitdifferentthanIplannedforbutIgotbewithKarterandKameronsothat’sawin!!Thesetwoareamazing!!ThankyouforallthebirthdaywishesfromeveryoneIreallyappreciateeveryone!!I’mblessedreallyIam!!#34=7greatyearcoming!! 35w,MARCH 26,post,2197.0, 
140694.0, kyle_lowry7 Verified Whatanhonor!!!Novanationthankyou!! LOWRYisupthereFOREVER!!! OnceawildcatAlwaysawildcat!!✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾✌🏾upforever!! 39w,FEBRUARY 27,post,1596.0, 
119544.0, kyle_lowry7 Verified Chi-townthankyouforthelove!!Allstar2020wasthebestoneI’vebeenapartof!!!Lovey’all!!!Andyupthisguytookcharges🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️!! 40w,FEBRUARY 17,post,917.0, 
125088.0, kyle_lowry7 Verified KarterxKameron 6xblessed!! 40w,FEBRUARY 16,post,935.0, 
66625.0, kyle_lowry7 Verified Proudpartnerof Keepingmesmilingonandoffthecourt#invisalignsmile#ad 41w,FEBRUARY 12,post,524.0,  @invisalign.
171830.0," kyle_lowry7 Verified 6xforthe6!!!Icouldn’timagineinmywildestdreamsIwouldbeabletosaythat!!ButIwouldn’tbeabletobeherewithoutmyteammates,coaches,family,friendsandorganization!!! Thanky’allforreal!!#blessed  Restwellbean!!8x24 42w",JANUARY 31,post,1519.0, 
321022.0, kyle_lowry7 Verified Thankyouoldhead!!! Restwellbean RestwellGIGI!! 43w,JANUARY 27,post,1323.0, 
108355.0, kyle_lowry7 Verified #13wasgreat!!HouseIgrewupingotanicevisit..Butit’stimetofocusonyear14!! 57w,"OCTOBER 23, 2019",post,1004.0, 
116600.0, kyle_lowry7 Verified Listenman isoneofthefunniestcommentatorsthereis😂😂😂!!! Hesaidit’sonlyoneplayerhewouldtrustinacoacheschallengecallisthekidofthatbasketballcommercialwhohittheballoutofboundstheygaveittohisteamandhetoldeveryonehehititout!!ManI’mdying😂😂 58w,"OCTOBER 18, 2019",post,744.0,  @markjackson
86738.0," kyle_lowry7 Verified Neverstopworking!!! Thankyou!!signed,sealedanddelivered!!! Hardworktrulypaysoff!!! #yupthatsbobburgersonthehat😂😂 58w","OCTOBER 15, 2019",post,1009.0, 
21855.0, kyle_lowry7 Verified I’mexcitedtobringLarrydownNorthPhilly!!Comeoutandandenjoy!!CbMoorerecaddressis2251n22ndstreet 66w,"AUGUST 22, 2019",post,271.0, 
83086.0, kyle_lowry7 Verified KarterKing=8now!!! HappyBirthdayIloveyou!!! #sillyshyboy 66w,"AUGUST 18, 2019",post,569.0, 
251134.0," kyle_lowry7 Verified It’saspecialdayformybrotherain’tbloodbutclosesthingtoit...30clubnowwelcomeain’tnooldjokesyou’renowinsamenumberareaasmeandallusotherolddudes😂😂😂Thishowyougottadressfornowonsinceyou30,Iknowyoudon’twanttohearthisbutyou’recloseto40now😂😂😂!!!Happyearthdaymybrother gotaghimwiththis👴🏾andwishhimahappyday😂😂 68w","AUGUST 7, 2019",post,3637.0,  @demar_derozan Everyone
169777.0, kyle_lowry7 Verified KameronKingLowryHappyBirthday!!!YougottaslowdownIcan’tbelieveyou’re4wow!!!Theworldonlygetsbetterwhenyousmilelikethis!!!Thisisyourdaybabyboy!!Iloveyou!! 71w,"JULY 16, 2019",post,1388.0, 
91944.0," kyle_lowry7 Verified 2ndyearattheAmericancenturychampionshipwasanotherunrealweekend!!Thankyou forputtingtogetheramazingfitsfortheweekend... IreallytrulyenjoytheeventandbeinginbeautifulLakeTahoe.MygolfgamegottagetbetterbutIhavemyexcusesready😂!! Thankyou foralwaysputtingonagreattime!!Ilookforwardtoitnextyear!! OooIgottoseeJVonthecoursealso,nawforrealtheyreallylookalike🤷🏾‍♂️😂😂😂 71w","JULY 15, 2019",post,467.0,  @adidasgolf @acchampionship
113539.0, kyle_lowry7 Verified NotthedayIwantedbutIhadfunlikecrazy!!Andthese2dudesrightherearegreatpeople...#americancenturychampionship 71w,"JULY 13, 2019",post,450.0, 
394064.0, kyle_lowry7 Verified YesterdayshowedwhyCANADAhastheBESTFANSEVER!!!ItwaseverythingIcouldn’tevenimaginebecauseofhowcrazythatwas!!Ilegitcouldn’tstopsayingwow!! #5hrsand25minbecauseourfansarecrazy!!! #thankyou...I’llneverforgetthisday!! 75w,"JUNE 18, 2019",post,5193.0, 
330421.0, kyle_lowry7 Verified Wow!!!#WETHENORTH Iheardwegetting2millionattheparade?!?!! GrandmaIknowyoufrontrowalready!! 75w,"JUNE 17, 2019",post,2944.0, 
138337.0, kyle_lowry7 Verified ALLSTAR2019Charlottewrapped!! ThankyouQueenCityforbeinganamazinghost!!!Enjoyingthemomentsandsharingthemwiththefuture!!#NBAALLSTAR2019 #hadtofixthispostha!! 92w,"FEBRUARY 21, 2019",post,0.0, 
