likes,about_post,date,type,comments,tagged_names
2205785.0, kyliejenner Verified weareSOLDOUToftheentiregrinchcollection.wowowoowiloveyouguyssomuchthankyoufromthebottomofmyheartforalwayssupportingthisismy5thholidaycollectionahh!andi’msosorrytothosewhomissedout💚 5h,5 HOURS AGO,post,22500.0, 
3415551.0, kyliejenner Verified thegrinchcollectionisLIVEonKylieCosmetics.com💚 5h,5 HOURS AGO,post,18900.0, 
7322079.0, kyliejenner Verified we’rebackmakingGrinchcupcakesincelebrationoftheGrinchXKyliecollectionlaunchingTODAYat3pmpst!watchournewyoutubenow💚 11h,11 HOURS AGO,post,33700.0, 
11349923.0, kyliejenner Verified mygrinchcollectionlaunchestomorrow❤️ 1d,1 DAY AGO,post,25600.0, 
896767.0, kyliejenner Verified TheGrinchXKyliecollectionlaunchesTOMORROWat3pmpstonlyonKylieCosmetics.com! 1d,1 DAY AGO,post,20100.0, 
6678681.0, kyliejenner Verified lovethatforyou 2d,2 DAYS AGO,post,8958.0, 
8200860.0, kyliejenner Verified whereuat? 2d,2 DAYS AGO,post,40300.0, 
7479480.0, kyliejenner Verified dinner mine? 3d,3 DAYS AGO,post,15400.0,  @
5461116.0, kyliejenner Verified kyliestolechristmas💚theGRINCHXKYLIEcollectionlaunchesTHISTHURSDAY11.19justintimefortheholidays. 🎄🎄 3d,3 DAYS AGO,post,43900.0,  @kyliecosmetics
8303611.0, kyliejenner Verified wearingmynewHOWTHEGRINCHSTOLECHRISTMASlipkittoday💚actuallyinloooovewiththismutedred.perfectfortheholidays✨launching11.19 4d,4 DAYS AGO,post,7085.0, 
3789769.0, kyliejenner Verified someofmyfavsfromthereveal💚thegrinchxkyliecollectionlaunches11.19! 5d,5 DAYS AGO,post,410000.0, 
6981771.0, kyliejenner Verified canyouguessthethemeofmyholidaycollectionthisyear👀🎄...revealcomingTOMORROW. 1w,7 DAYS AGO,post,12000.0, 
1073966.0," kyliejenner Verified weareLIVE!!mylimitededitionRoseBathCollectionjustlaunchedatKylieSkin.com🛁🌹hurry,thiscollectionisavailableonetimeonly! ",7 DAYS AGO,post,8956.0,  @kylieskin 1w
4608258.0, kyliejenner Verified therosebathcollectionandadventcalendarslaunchTOMORROWat9ampst🤍🛁🌷KylieSkin.com 1w,NOVEMBER 12,post,37900.0, 
11602288.0, kyliejenner Verified missumissinme 1w,NOVEMBER 12,post,63400.0, 
1650677.0, kyliejenner Verified justfinishedsigning100adventcalendarsgoingliveTOMORROWat9ampstalongwiththeentirebrandnewrosebathcollection🤍🛁 ,NOVEMBER 11,post,18200.0,  @kylieskin 1w
10182627.0, kyliejenner Verified 🤍 1w,NOVEMBER 11,post,31700.0, 
1106519.0, kyliejenner Verified BignewsAustralia🇦🇺andNewZealand🇳🇿 hasofficiallylaunchedinMECCAstoresandonline!Soexcited✨ ,NOVEMBER 11,post,22800.0,  @KylieSkin @meccamaxima 1w
7895445.0, kyliejenner Verified blondie 1w,NOVEMBER 11,post,10500.0, 
1320129.0," kyliejenner Verified mybrandnew rosebathcollection,launchesthisThursdayNov12at9am,justintimefortheholidays!i’minloooooovewiththiscollection.ialsomadeaspeciallimitededitionadventcalendaralsolaunchingonthe12th!!!gotomystoriesforthefullreveal!🌹🛁 1w",NOVEMBER 10,post,40400.0,  @kylieskin
7282783.0, kyliejenner Verified hellofall💚 1w,NOVEMBER 9,post,52100.0, 
7029624.0, kyliejenner Verified 👑🐍 2w,NOVEMBER 2,post,24100.0, 
5541937.0, kyliejenner Verified 🐍🐍🤍MUGLERCOBRA 2w,NOVEMBER 2,post,14400.0, 
7892153.0, kyliejenner Verified KingCobra🐍thankyou  🤍 2w,NOVEMBER 1,post,4436.0,  @muglerofficial @cadwallader
8039188.0, kyliejenner Verified myminiongirl💜 2w,NOVEMBER 1,post,35400.0, 
5178457.0, kyliejenner Verified happyhalloween🖤 2w,NOVEMBER 1,post,29400.0, 
9456249.0, kyliejenner Verified it’smorphin’time 2w,OCTOBER 31,post,4436.0, 
8378192.0, kyliejenner Verified gowatchbaesnewyoutubevideo🤍 3w,OCTOBER 28,post,29400.0, 
2174962.0, kyliejenner Verified this4piecehighglosssettho👅actuallymightbemyfavoriteshadeswe’vedone.can’twaitforthesetolaunchonmonday!10.26🤎KylieCosmetics.com 3w,OCTOBER 24,post,41300.0, 
