likes,about_post,date,type,comments,tagged_names
1032.0, kyliejshot Christmasissoon🎄 1d,1 DAY AGO,post,10, 
1983.0, kyliejshot Billionaire💙 📸: ,1 DAY AGO,post,3,  @splashnews 1d
1103.0, kyliejshot Wap? 3d,3 DAYS AGO,post,7, 
549.0, kyliejshot Blondie👱🏻‍♀️ 📸: ,3 DAYS AGO,post,7,  @splashnews 3d
10563.0, kyliejshot Welcomeback ❤️❤️❤️ Pleasefollow  formore 3d,3 DAYS AGO,post,183,  @kardashianline @kardashianline @kardashianline
1582.0, kyliejshot Unconditionallove❤️ 5d,5 DAYS AGO,post,6, 
1875.0, kyliejshot Christmas2018🎄 1w,7 DAYS AGO,post,54, 
1553.0, kyliejshot Stormi’sparents❤️ 1w,7 DAYS AGO,post,31, 
15634.0, kyliejshot MetGala2020afterparty 1w,NOVEMBER 14,post,23, 
7379.0, kyliejshot LuxyLife✈️ 1w,NOVEMBER 14,post,139, 
5092.0, kyliejshot Family💙 1w,NOVEMBER 13,post,74, 
23681.0, kyliejshot StormiwKylieorwTravis? 1w,NOVEMBER 13,post,52, 
2145.0, kyliejshot KimorKylie? 1w,NOVEMBER 12,post,89, 
15561.0, kyliejshot 2014😩 1w,NOVEMBER 12,post,4, 
5245.0, kyliejshot HelloEveryone!pleasegofollowthisartist  foramazingarts  ,NOVEMBER 7,post,20,  @iamquevin @iamquevin @iamquevin @iamquevin 2w
715.0, kyliejshot HelloEveryone!pleasegofollowthisartist  foramazingarts  ,NOVEMBER 7,post,31,  @iamquevin @iamquevin @iamquevin @iamquevin 2w
8417.0, kyliejshot HelloEveryone!pleasegofollowthispage  fordailyupdates+allaboutKardashian/Jenner  ,NOVEMBER 5,post,48,  @kardashianlife @kardashianlife @kardashianlife @kardashianlife 2w
6450.0, kyliejshot HelloEveryone!pleasegofollowthispage  fordailyupdates+allaboutKardashian/Jenner  ,NOVEMBER 5,post,228,  @kardashianlife @kardashianlife @kardashianlife @kardashianlife 2w
15560.0, kyliejshot Sisters🤍🤎 2w,NOVEMBER 3,post,2, 
10849.0, kyliejshot Omg🤣😂😳 2w,NOVEMBER 3,post,14, 
664.0, kyliejshot Powerrangers❤️ 📸: / ,OCTOBER 31,post,261,  @therealspw @splashnews 3w
11835.0, kyliejshot Playgirls🎃 3w,OCTOBER 30,post,532, 
13163.0, kyliejshot Thoughts? 3w,OCTOBER 30,post,11, 
22886.0, kyliejshot Who’syourfavorite? 4w,OCTOBER 24,post,8, 
4005.0, kyliejshot Sisters💛 4w,OCTOBER 24,post,21, 
3217.0, kyliejshot Happy40thbirthdayKim🤍 4w,OCTOBER 22,post,9, 
1766.0, kyliejshot Iloveit😍 📸: ,OCTOBER 21,post,21,  @therealspw 4w
6972.0, kyliejshot Stormiisbignow😍❤️ 5w,OCTOBER 19,post,13, 
3548.0, kyliejshot BossKylie💙 📸: ,OCTOBER 19,post,9,  @splashnews 5w
13414.0," kyliejshot Kylie&WinnieasMarilynMonroe,whoisyourfavorite? 5w",OCTOBER 17,post,16, 
9382.0, kyliejshot Nofriendcanreplaceasister🖤 5w,OCTOBER 17,post,200, 
4442.0, kyliejshot Simplelook💚 📸: ,OCTOBER 15,post,25,  @splashnews 5w
5371.0," kyliejshot Whowearsitbetter,KylieorStass? 5w",OCTOBER 13,post,10, 
1263.0, kyliejshot KylieasBarbieforHalloween2018💞 6w,OCTOBER 12,post,445, 
16774.0, kyliejshot Socute🖤 6w,OCTOBER 11,post,12, 
1712.0, kyliejshot Halloween2019🎃 📸: ,OCTOBER 9,post,41,  @splashnews 6w
4152.0," kyliejshot TravisasIronman,KylieasCaptainMarvel&StormiasThor 6w",OCTOBER 9,post,445, 
1235.0, kyliejshot Mommy🖤 8w,SEPTEMBER 28,post,12, 
4878.0, kyliejshot EveryonepleasegoFollow  foryourdailydoseofFashion   ,SEPTEMBER 22,post,41,  @luxyinall @luxyinall @luxyinall @luxyinall @luxyinall 8w
1404.0, kyliejshot Somuchlove💙 9w,SEPTEMBER 21,post,14, 
9955.0, kyliejshot Everyonepleasegofollowthispage  forallaboutKardashians   ,SEPTEMBER 19,post,11,  @kardashianlife @kardashianlife @kardashianlife @kardashianlife @kardashianlife 9w
2254.0, kyliejshot GoddessKylie🖤 9w,SEPTEMBER 18,post,39, 
7337.0, kyliejshot Family🤍 9w,SEPTEMBER 16,post,11, 
3334.0, kyliejshot Timesreallydoesfly🥺😭🤍 9w,SEPTEMBER 16,post,8, 
1747.0, kyliejshot Everyonepleasegofollowthisgoddessmybestieandmysis   forallaboutKendallJenner   ,SEPTEMBER 13,post,24,  @kendalljshot @kendalljshot @kendalljshot @kendalljshot @kendalljshot @kendalljshot 10w
2871.0, kyliejshot Billionaire🔥 10w,SEPTEMBER 13,post,14, 
6498.0, kyliejshot I’mobsessedwiththislook🍒🔥 📸: ,SEPTEMBER 12,post,23,  @splashnews 10w
6239.0, kyliejshot Stormi’sParents🖤 10w,SEPTEMBER 12,post,6, 
15865.0, kyliejshot Fashionbattle! Kylie&StassorJT&Caresha? 10w,SEPTEMBER 12,post,12, 
5739.0, kyliejshot KylieandMalika🤎 10w,SEPTEMBER 9,post,11, 
1064.0, kyliejshot Kylie&Stassassforestfairy🧚🏻‍♀️ 10w,SEPTEMBER 9,post,21, 
3181.0, kyliejshot Who'sthenextsistertogetmarried? Ibetkendallisnext😉 11w,SEPTEMBER 6,post,13, 
8599.0," kyliejshot Whoworeitbetter,KylieorSelena? Ican’tchoose😩💕 11w",SEPTEMBER 5,post,259, 
14147.0," kyliejshot Whichduoisthecutest,KENFAIorKYFAI? ",SEPTEMBER 1,post,8,  @🖤 kardashianlife 11w
15185.0, kyliejshot Tagur ,SEPTEMBER 1,post,26,  @friends kardashianlife 11w
7116.0, kyliejshot Follow  forallaboutKylieJenner   ,AUGUST 30,post,21,  @kyliejennercr @kyliejennercr @kyliejennercr @kyliejennercr @kyliejennercr 12w
26442.0, kyliejshot Family🖤 12w,AUGUST 30,post,8, 
1500.0, kyliejshot They’resocute❤️ 12w,AUGUST 29,post,26, 
6814.0, kyliejshot Thepowerduo🔥 12w,AUGUST 28,post,427, 
16895.0, kyliejshot Thisgirlisflawless🤍 📸: ,AUGUST 28,post,421,  @splashnews 12w
13687.0, kyliejshot Sisters🖤 12w,AUGUST 27,post,229, 
13767.0, kyliejshot Happybirthday ,AUGUST 25,post,93,  @sofiarichie 12w
29899.0, kyliejshot ShelookslikeStormi ,AUGUST 25,post,21,  @🥰 into.kylie 12w
6694.0, kyliejshot Sobeautifulky🔥😻 13w,AUGUST 24,post,101, 
920.0, kyliejshot Kourtneyhas100millionnowcongratulationsKourt😍 13w,AUGUST 24,post,32, 
14283.0, kyliejshot Kylie&Stormi🤍 13w,AUGUST 20,post,29, 
2057.0, kyliejshot Sistersbyhazardbestfriendsbychoice🤍 14w,AUGUST 17,post,15, 
1038.0, kyliejshot 22yearsor23years?💚💛 14w,AUGUST 15,post,41, 
20175.0," kyliejshot Halloweenisin2months,who’sexitedforthisyear? 📸: ",AUGUST 15,post,19,  @therealspw 14w
11980.0, kyliejshot Unconditionallove❤️ 14w,AUGUST 13,post,64, 
1478.0, kyliejshot Happy23rdtothecoolestmom ,AUGUST 11,post,64,  @kyliejenner 14w
2214.0, kyliejshot Her21stbirthday😻😍 📸: ,AUGUST 10,post,278,  @splashnews 15w
2061.0, kyliejshot Thecutestduo🤎 15w,AUGUST 5,post,65, 
18848.0, kyliejshot 5moresdayuntilKylie’sbirthday ,AUGUST 5,post,11,  @🎂 kardashianlife 15w
25425.0," kyliejshot JustlikeauntieKylie💜 Whowearspurplebetter,NorthorKylie? 16w",AUGUST 3,post,11, 
5437.0, kyliejshot Besties😍❤️🔥 📸: ,AUGUST 1,post,14,  @splashnews 16w
1459.0, kyliejshot Stormi’sparents🤍😍🔥 📸: ,JULY 30,post,17,  @splashnews 16w
16842.0, kyliejshot Everyonepleasegofollowmybestie  forallaboutkoko   ,JULY 29,post,12,  @khloeksnaps @khloeksnaps @khloeksnaps @khloeksnaps @khloeksnaps 16w
6801.0, kyliejshot Followmybestie  foreverythingaboutKimKardashian  : ,JULY 27,post,8,  @kimksnaps @kimksnaps @kimksnaps @kimksnaps 📸 @splashnews 17w
2432.0, kyliejshot Obsessedwiththislook❤️🔥 📸: ,JULY 26,post,28,  @splashnews 17w
2076.0, kyliejshot GoddessKylie🤍 📸: ,JULY 23,post,6,  @splashnews 17w
1901.0, kyliejshot Sisters🤍💚 17w,JULY 21,post,158, 
2151.0, kyliejshot Simplelook💚 📸: ,JULY 21,post,70,  @splashnews 17w
3105.0, kyliejshot HappySunday💜 18w,JULY 19,post,158, 
624.0, kyliejshot Kylie&Kristoday💕 18w,JULY 17,post,70, 
691.0, kyliejshot Stormi🤎 19w,JULY 9,post,14, 
755.0, kyliejshot Sisters💜 19w,JULY 7,post,12, 
654.0, kyliejshot Matching💛 20w,JULY 4,post,444, 
