likes,about_post,date,type,comments,tagged_names
107556.0, malvikasharmaofficial Verified Sixyardsofsheerelegance💫  📸   ,5 DAYS AGO,post,602.0,  @q9fashionstudio 👗 @akhila.dasari_ @jhansireddy717 5d
35218.0, malvikasharmaofficial Verified HappyDiwali🪔 📸    ,NOVEMBER 14,post,258.0,  @q9fashionstudio @👗poojitatadikonda @akhila.dasari_ @jhansireddy717 1w
72759.0, malvikasharmaofficial Verified धनतेरसकीशुभकामनायें🙏 Mayyourlifeisfullofhappinessandharmonywithenoughwealthtogiveyouallcomfortsyouhaveeverwishedfor💫 HappyDhanteras🙏 📸    ,NOVEMBER 13,post,465.0,  @q9fashionstudio @akhila.dasari_ 👗 @poojitatadikonda @jhansireddy717 1w
125841.0, malvikasharmaofficial Verified Mood🏖 2w,NOVEMBER 10,post,757.0, 
89054.0, malvikasharmaofficial Verified Somebeautifulpathscan’tbediscoveredwithoutgettinglost💫 3w,NOVEMBER 2,post,560.0, 
79719.0, malvikasharmaofficial Verified Leavealittlesparkleeverywhereyougo💫 📸 #malvikasharmaofficial#lovelife#trafitional#navratri2020#gujarat 4w,OCTOBER 22,post,547.0,  @riddhiipandya #malvikasharma
70191.0," malvikasharmaofficial Verified Whateverisgoodforyoursoul,dothat!💫 6w",OCTOBER 12,post,534.0, 
57593.0, malvikasharmaofficial Verified Findmewherethewildthingsare👅 6w,OCTOBER 11,post,364.0, 
92397.0, malvikasharmaofficial Verified Crazy👻Wild😉Free💃Andthatjustdescribesmyhair👅 #malvikasharma#nofiltersneeded#malvikasharmaofficial#curlyhair#curlyhairdontcare#lawstudent#soontobelawyer#loveyourself#lovemylife#love❤️ 6w,OCTOBER 9,post,761.0, 
87959.0, malvikasharmaofficial Verified Youoweyourselfthelovethatyousofreelygivetootherpeople❤️ 7w,OCTOBER 3,post,609.0, 
12664.0, malvikasharmaofficial Verified JusticeforManisha🙏 7w,SEPTEMBER 30,post,96.0, 
53802.0, malvikasharmaofficial Verified 🍃🌳🌞🍂 8w,SEPTEMBER 30,post,228.0, 
96680.0, malvikasharmaofficial Verified Asassadaykeepsthebasicsaway👅 📸 ,SEPTEMBER 26,post,788.0,  @srikanth_visioneye 8w
39839.0, malvikasharmaofficial Verified MalabarGoldandDiamonds😬MaharashtrianBride👰 #advertisement#malabargoldanddiamonds#malvikasharma#malvikasharmaofficial 9w,SEPTEMBER 23,post,186.0, 
74020.0, malvikasharmaofficial Verified Itisnotinthestarstoholdourdestinybutinourselves💫 9w,SEPTEMBER 20,post,419.0, 
68246.0, malvikasharmaofficial Verified Mumbai❤️ 10w,SEPTEMBER 12,post,289.0, 
49039.0, malvikasharmaofficial Verified VeniceCarnival🎡#throwback 10w,SEPTEMBER 11,post,205.0, 
88063.0, malvikasharmaofficial Verified Studying📚📖#lawstudent😬#soontobelawyer#lovelife#finalyearlawstudent#malvikasharma 11w,SEPTEMBER 8,post,526.0, 
57528.0, malvikasharmaofficial Verified Beautybeginsthemomentyoudecidetobeyourself!❤️ 12w,AUGUST 29,post,372.0, 
