likes,about_post,date,type,comments,tagged_names
67639.0," malvikasitlaniofficial Verified Soneva,Wecan’tgetenoughofyou ❤️🙏🏻💦 . . It’sbeen2dayshere,thisplaceissowarmandwelcoming...❤️ Everywherewelook,it’swater💦Trees🌴&bunnies🐇 Ah,I’minlove🌸💞 . . #discoversoneva#sonevafushi#sosoneva ",1 DAY AGO,post,832.0,  @#sustainablesoneva discoversoneva 1d
75799.0, malvikasitlaniofficial Verified Maldiveswasworththewait...😏🙏🏻❤️ . . . Unreal...thisplaceisParadise😍Wecannotbelievewhatwe’reseeing... #Day1 #discoversoneva#sonevafushi#sosoneva ,2 DAYS AGO,post,177.0,  @#sustainablesoneva discoversoneva 2d
55734.0,  🙏🏻🤤 1w,7 DAYS AGO,post,372.0,  @malvikasitlaniofficial Verified 🌸🌼🦋 . . payalsinghal
72230.0, malvikasitlaniofficial Verified तारीफअपनेआपकीकरनाफ़िज़ूलहै खुशबूखुदबतादेतीहैकौनसाफूलहै -Gulzar . . 🍂🍁 Wearing- 🍁❤️ 1w,NOVEMBER 7,post,437.0,  @payalsinghal
67407.0, malvikasitlaniofficial Verified 🔥🔥🔥 . . Feelinmyselfinthesegorgeous Pants😍❤️ SwipelefttoseehowItakemyphotos!😅Justlookintomyeyes😎 . . 🌴🌴🌴 1w,NOVEMBER 5,post,517.0,  @papadontpreachbyshubhika
69217.0, malvikasitlaniofficial Verified WatchingtheSungodown🌤 . . Outfitby 🔥💞 1w,NOVEMBER 4,post,332.0,  @intrinsic.in
63165.0," malvikasitlaniofficial Verified TumsemilkeDilkaHaiJoHaalkyakahe...🎻 . . Ifeltsoconfident&sexyinasaree😍 ThissuperGlammakeupalongwithsubtleIndianjewelleryismyultimateDesiLookman!IdrewinspirationfromSushmitaSeninMainHoonNaandaddedmyowntouchofextranessss!😁 . . Blouse- CropTop Saree-Giftedtomeby -FromstoresinLokhandwala😇 . . Tutorialisnowliveonmychannel Linkisinthebio😘❤️🙏🏻 Ifyoudorecreatethislook,pleasetagme!IwanaseeyourBollywoodada💅🏼😍 2w",OCTOBER 31,post,351.0,  @zara @nddesignersarees Jewellery
91873.0, malvikasitlaniofficial Verified Tutorialcomingsoon...🌸 2w,OCTOBER 30,post,591.0, 
41776.0," malvikasitlaniofficial Verified 🌸💖GlamonaBudget!💖🌸 . . Createdafullfaceusing products😍💖 YouaregoingtoLOVEthiseyelook! Ialsoshowyousometechniquesonhowyoucankeepyourbaselight,breathableandtransferproof😇 . . Linkisinmybio😘🌸 3w",OCTOBER 27,post,3433.0,  @maybelline
71283.0, malvikasitlaniofficial Verified NEWTAT📷❤️🙌🏻😍 . . OurloveforCamerasisInexplicable❤️ . . Twinninwithbabybro 👶🏻👧🏻 3w,OCTOBER 24,post,281.0,  @jakesitlani
49401.0, malvikasitlaniofficial Verified SomeFallVibes🍂🍁 . . It’snearingmyfavtimeoftheyear🎄😬🤩 Whatisyourfavfestiveseason? Lip- ToppedwithBrandy 3w,OCTOBER 20,post,314.0,  @maccosmeticsindia
68152.0," malvikasitlaniofficial Verified Nah,myheadain’thurtin’😅 TutorialonthisGlamLookisnowonmychannel!😍 Intoday’svideo,IcatchyouupontheHouseTour,mytravelplansfortheyear&someencouragingwords❤️😇 . . Jewelry- - ",OCTOBER 16,post,154.0,  @hm Top @zara 4w
44920.0," malvikasitlaniofficial Verified 'I’vealwaysbeenfascinatedwithmake-upbut2016iswhenIbegantakingakeeninterestbecauseIwasenchantedwiththetransformationthatmake-upcoulddoonpeopleandthatpiquedacuriosityinmetoexploreitfurtherandonceIstarted,therewasnostoppingme!'  Couldn'thavebeenhappierspeakingto aboutmyloveformake-up,myjourneyandall-things-beauty!😍🥰 Checkoutmystoryinthismonth'sdigitalissueonwww.peacockmagazine.com. . . Photographer- -MyFAVES❤️😍  #falgunishanepeacock#thepeacockmagazine#falgunipeacock#shanepeacock#fsp#thepeacockfoundation#octoberissue#digitalissue#featurestory#malvikasitlani 4w",OCTOBER 15,post,822.0,  @thepeacockmagazine_ @abheetgidwani Clothing @falgunishanepeacockindia falgunipeacock @shanepeacock Location jwmarriottjuhu . #falgunishanepeacockindia
49973.0," malvikasitlaniofficial Verified *HUGEGIVEAWAY*🤩💯  Iloveyou,andIvalueeachandeveryoneofyou.Iamgrateful&appreciativeofalltheloveandsupportyou'vegivenme. Forthetimesthatmywordsfellshort,hereismywaytogivesomethingbacktoyou😇🤗  Iamrunningthisgiveawayacross4weeks,pickingonewinnereachweek!😍  Thewinnerforthisweek'sgiveawaywouldgettheitemsshowninthispost  Here'sthefirsteditionof#ReCreateWithMals!🐧  Herearetherules: 1.AllyougottadoisReCreatemymakeuplook(swipeleft)Letyourpersonalityshinethroughthislook😇 2.Yourlookcanberecordedasashort15secondvideo,orasimpleimagepostwilldo. 3.DONOTFORGETTOHASHTAG #ReCreateWithMalsinyourcaptionwhenyoupost. 4.Tag3ofyourfriendstoparticipateinthecommentsectionbelow. 5.Followmehere 🤗andsubscribetomyYouTubeChannel❤️(MalvikaSitlani)  PleaserefrainfromEmailingorDM’ingmeoranyoneIknow,abouttheentries😇 Simplyfollowtherules💯❤️  Thisweek'swinnerwouldbeannouncedonMonday,October19th2020.  Icannotwaittoseeyourmagic,goodluck🙏🏻😍 #ReCreateWithMals . . TeAmo👩‍❤️‍💋‍👩 . . *Youcanparticipateinallthe4Giveaways😇* 5w",OCTOBER 12,post,309.0,  @malvikasitlaniofficial
97658.0, malvikasitlaniofficial Verified IloveagoodHAIRMAKEOVER😍❤️! 5w,OCTOBER 9,post,4589.0, 
48709.0," malvikasitlaniofficial Verified Hastobemyfavecolorsofar❤️🥰 . . Guys,Idon’tknowexactlywhathaircolorthisis...youcanaskthegeniusbehindit>>> 🤷🏻‍♀️🥰 . . Every4/5monthsIgetboredofmyhaircolorandshecompletelychangesitupandHow!😅 ❤️ What’sthecraziesthaircoloryou’vedone?😅 6w",OCTOBER 5,post,601.0,  @natashanaegamvala
66771.0, malvikasitlaniofficial Verified YesterdayEveningAksidaisyandIwentforarelaxingSpaexperientialat 😻 . . IgottheKerastaseChronologisteSignatureSpaRitual🧖🏼‍♀️ Thewholeexperienceformewassorelaxingyouguys Myhairistypicallyverydrybecauseit’scolortreatedbutthisritualnourishedmyhairandhow!Lookedsupersoftandsilky😻  AndAkhilgottheTheHeadmassage💆🏻‍♂️😻andthenwaitedtillIfinishedmypamperingsesh💅🏼💅🏼💅🏼💅🏼😉 . . HighlyrecommendtheTreatmentifyouhavedryhair gavemethebestBlowDryever💖💅🏼 6w,OCTOBER 3,post,379.0,  @dessangemumbai @☺️❤️  #TheDessangeExperience  DessangeMumbai loicindia
46677.0, malvikasitlaniofficial Verified DidsomeonesayHotPink?💅🏼💅🏼 . . . 💖 6w,OCTOBER 2,post,306.0, 
36526.0," malvikasitlaniofficial Verified BeccaIndiajustgrantedmemywishoflookinglikeaGlowGoddess!🤩  ThislookwascreatedusingtheiconicChampagnePop,thatmeltsintotheskin,achievingallthehighlightergoalsIeverhadguuuurl!😍 I'msogladthatyourouterglowisnowjustoneclickaway!🥰 Ican'twaitforallofyoutotryitout&shareyourouterglowstorieswithme😘  #BeccaGlow#BeccaxIndia#BeccaPartner ",OCTOBER 1,post,492.0,  @#Ad  beccacosmetics 6w
54677.0," malvikasitlaniofficial Verified YouallknowhowIloveagoodblindinghighlighterbutyourinnerglowalwaystrumpstheouter!😇 Personally,I'mGlowingifIamGrowing💫 I’mDesigningmylifebybeingpatient,understandingandmoreaccepting... TryingtobebetterthanwhoIwasyesterdayismywaytoalwayskeepshiningandglowing!🙂  I'mtaggingthebeautifulwomeninmylifetosharetheirs!  🥰 TellmewhatmakesyouGlow?⭐️  Wearing-BeccaChampagnePop  Launchingexclusivelyon soon!🤩😍 📸 ❤️  #BeccaGlow#BeccaxIndia#BeccaPartner#ad 6w",SEPTEMBER 29,post,434.0,  @veronicabahl @❤️ shuhnanabuhnana @mynykaa @keegancrasto
110189.0," malvikasitlaniofficial Verified MyFAVEOmbréNails!💅🏼😍 NomatterwhatNailArtItry,Ialwaysgobacktothesebabies😍 . What’syourfavNailArt??? . . Nailsby  ",SEPTEMBER 27,post,440.0,  @rozzxanthony @at arshsalon_hair_nails_beauty 7w
74059.0," malvikasitlaniofficial Verified 🕊Oneyearsinceyouproposed💍 . . Santorini,Greece💙🤍 7w",SEPTEMBER 26,post,319.0, 
55590.0," malvikasitlaniofficial Verified *NEW*VloguploadedontheAKIKAHomeSeriesonmychannel!😍👏🏼 . Intoday’sepisode,ItakeyouaroundmyFIRSTDAYinthenewhouse.You’llseemesettingmywardrobe&Kitchen😬 Also,cookingmyfirstmealinthathouse!😅🙏🏻 . . ThankyouforlovingthisseriesSOmuch🤗 Yourcommentswarmmyheart❤️ Whatwasyourfavouritepartinthevlog?!😍😘 . . Linkinthebio! 7w",SEPTEMBER 26,post,453.0, 
146767.0," malvikasitlaniofficial Verified Well,whatcanIsay?🤓 . . Itiswhatitis💅🏼 😁 TAGthewivessssss Cutestdeliveryboyever😅 . .  PS-I’mSUPERgratefulforALLmyPRpackages!🙏🏻😇 IwillNevertakeitforgranted❤️🙏🏻🕊 7w",SEPTEMBER 25,post,362.0,  @🥬🥒👸🏻 jakesitlani
