likes,about_post,date,type,comments,tagged_names
23055.0, markmcmorris Verified YouaresomissedJake❤️ Youareshiningdownonallofusandtrulyonmyminddaily.Loveyoubrother❤️ 6d,6 DAYS AGO,post,101.0, 
12452.0, markmcmorris Verified NorthShoreisforREELZ⚡️💯😛 2w,NOVEMBER 8,post,185.0, 
15460.0, markmcmorris Verified SPINDATSHIT ,NOVEMBER 6,post,115.0,  @burtonsnowboards 21savagescraps 2w
26226.0, markmcmorris Verified 🇲🇻❤️🐳🌴🙏🏽🏄🏽‍♂️🌈🍻⚡️ 4w,OCTOBER 29,post,221.0, 
22448.0, markmcmorris Verified Unoudeux?👨🏽‍🎨 4w,OCTOBER 27,post,340.0, 
15199.0, markmcmorris Verified SwissScraps🇨🇭 4w,OCTOBER 23,post,227.0, 
22103.0," markmcmorris Verified IGOTF*&KIN’BARRELLED!(Intheocean) Faceofafirsttimer😵SOscarySOfunSteepdrop,massivelip,4ftofwater,reefbottom...TRIPPiNG! Iwannahearpeople’sfirstbarrelstories! 📸 ",OCTOBER 22,post,362.0,  @badboyryry_ 5w
33391.0, markmcmorris Verified Nocomplaintshere🤗 5w,OCTOBER 19,post,105.0, 
19723.0, markmcmorris Verified Finallygotmyhandsonacopy😄📖🍾 6w,OCTOBER 16,post,131.0, 
13220.0," markmcmorris Verified Nojoke,It’sforREELSthistime🙃 6w",OCTOBER 14,post,159.0, 
7270.0, markmcmorris Verified 💙HONOURED💙THANKYOU !ShotinAKby filmingforthe OneWorldfilmreleasingthisNovember💙 7w,OCTOBER 9,post,289.0,  @snowboardermag @blattphoto @burtonsnowboards
15513.0, markmcmorris Verified ThankfultobebackonmyGRIND🙏🏽🏔 7w,OCTOBER 7,post,105.0, 
19271.0, markmcmorris Verified 🤪 8w,OCTOBER 2,post,271.0, 
16509.0, markmcmorris Verified DayONEdoinwhatiwanna;) 👩‍🎨 ,SEPTEMBER 27,post,244.0,  @russell69 8w
19445.0, markmcmorris Verified Memorylanewith ! 7yearssinceourMTVshowreleasedsowerelivedsomefunnymoments🤪 Can’twaittosharethiswithyouguys⚡️💯😂 8w,SEPTEMBER 25,post,211.0,  @redbullcanada
23759.0, markmcmorris Verified ThisonemeansALOTto x begivingaway5pairstowhoeverisfollowingbothaccountsandcommentswhattheyaredoingtohelpprotectourplanet🌎💚 9w,SEPTEMBER 21,post,534.0,  @me! skullcandy @protectourwinters I’ll
16554.0, markmcmorris Verified NEWNEW...formeatleast👻 9w,SEPTEMBER 20,post,262.0, 
180695.0, markmcmorris Verified Swisschedda’bisque🇨🇭 10w,SEPTEMBER 15,post,462.0, 
17445.0,  ‘slastproject x wasluckyenoughtoworkwithJakeonthisprojectinLongIslandlastsummerandseeingitcometofruitionisunrealandemotionalallatthesametime🙏🏽#rideonjake 11w,SEPTEMBER 9,post,116.0,  @markmcmorris Verified jakeburton77 @💙💙💙 neighborhood_official @mine77official I
29539.0, markmcmorris Verified CABODUMPSKIIIII🇲🇽💚 11w,SEPTEMBER 5,post,119.0, 
15568.0," markmcmorris Verified #AdThereasonIliveinWhistleristobeclosethemountainsandbecauseIlovetheincrediblesupportthatthecommunityprovidesforeachotherwhentimesaretough.LocalCanadianbusinessesneedusnowmorethaneverandI’mhereforit.Grassrootsbusinessesthataresustainable,eco-consciousandprovideasafeplacetoeatarewhatmakeWhistlergoround- isoneofthoseforme.Tagyourfavouritelocalbusinessesbelowandlet’sunitetogetherandletthemknowwe’reheretosupportthem.💪#CanadaUnited 12w",AUGUST 29,post,160.0,  @greenmoustachecafe
