likes,about_post,date,type,comments,tagged_names
21420.0,  and arewhippingupsomethingextraspecial—BigMartha'smashedpotatoes!WatchourfavoriteduomakethisclassicrecipeandmakeitforThanksgivingthisyear. 15h,15 HOURS AGO,post,81.0,  @marthastewart Verified marthastewart48 @snoopdogg
26855.0," marthastewart Verified Theturkeymightgetalltheattention,butweallknowthesidesarethestarsoftheThanksgivingmeal.Oneofourfavorites?BigMartha’smashedpotatorecipe,whichmakesforoneoftherichestandmostvelvetyversionsofmashedpotatoeswe'veeverhad.Tellus:Whatsidesareyoumostlookingforwardtotoday?GetBigMartha’srecipeatthelinkinbio.📷: ",19 HOURS AGO,post,69.0,  @johnny_miller_ 19h
7814.0," marthastewart Verified HappyThanksgiving!Inbetweencookingtheturkeyandmakingyoursides,watchthisvintageclipfromHolidayEntertainingwithMarthaStewartin1986. makesItalianplumchutney,stuffing,andturkeytoserveatherThanksgivingtable.Whorememberswatchingthisholidayspecial?🙋🏻‍♀️ 21h",21 HOURS AGO,post,260.0,  @marthastewart48
2329.0," marthastewart Verified Frommealkitsandcozybeddingsetstoawiderangeof wellnessessentials, collectionsmakeholidaygiftingeasy.Andwithallthedeepdiscountshappening,there'sneverbeenabettertimetostockupononpresentsthanrightnow.Visitthelinkinbiotoshop!👆🏼 1d",1 DAY AGO,post,292.0,  @marthastewartcbd @marthastewart48’s
8347.0, marthastewart Verified Watch and whipupamouth-wateringcranberryglaze—perfectforyourThanksgivingturkey.CheckoutthefullclipfromtheMarthaShow+gettherecipeatthelinkinbio.👆🏼 . DidyouknowyoucouldstreamfullepisodesoftheMarthaShow?Visitmarthastewart.tvtostartyourfreetrial.📺 1d,1 DAY AGO,post,401.0,  @marthastewart48 @jennifer.garner
6389.0," marthastewart Verified Crispradicchioandescaroleareteamedwithroastedacornsquashandshiitakemushroomsandcombinedwithcrunchypepitasandpomegranatearilsinthisheartywintersalad,astarsidetoampupyourThanksgivingdinner.""ForthosewhoareparingdowntheirThanksgivingmealsthisyear,thisextraspecialsaladisagreatoptionforthetable.I’llbeservingitformyfamilyalongsideturkeymeatballs,""saysseniorfoodeditor Grabtherecipeatthelinkinbio.📷: ",2 DAYS AGO,post,39.0,  @lucullanfoods. @kate_mathis 2d
35770.0," marthastewart Verified Todate, haswrittenandpublished97books(andcounting!)overthecourseofhercareer.Writingbooks,saysourfounder,servedasthebedrockofhervocation—andherfirst,Entertaining,putheronthemap.""WhatreallychangedmylifewasthepublicationofEntertainingin1982.Thatreallychangedmylife.Ifoundmyvoice—andIthinkI'dfoundmycareer,""shesays.Fromdecoratingguides,weddingplanners,andopusesonflowerarrangingtoholiday-centricvolumesandhow-to(dojustabouteverything)manuals,there'ssomethingforabsolutelyeveryoneinthelifestyleexpert'scollection.📚 . Swipethegallerytoseesomeofourfavoritevintagecoversandvisitthelinkinbiotolookbackatall97ofourfounder’sbooksovertheyears.Andtellusinthecomments:WhichMarthabooksareyourgo-tos?#30yearsofLiving 2d",2 DAYS AGO,post,151.0,  @marthastewrt48
20060.0," marthastewart Verified Justintimeforholidaygifting, signaturevestisbackinstock-andnowinmorecolors!ShopMartha’s“TheNewSweater”onher brandshopatthelinkinbio.👆🏼 2d",2 DAYS AGO,post,1640.0,  @marthastewart48's @amazon
7331.0," marthastewart Verified Haveyoupickedoutyourholidaywinesyet?Whetheryou’rehostingavirtualdinnerorhavingasmallgatheringwithfamily,enjoyMartha-curatedwinesthateveryonewillloveat Shopthecollectionatthelinkinbio.📷: ",3 DAYS AGO,post,211.0,  @marthawineco! @joyfullygreen 3d
26172.0," marthastewart Verified Yes,thereisawaytoimproveuponclassicParkerHouserollsthankstothisbeautifulherbgarlicbreadwreath!Tomakethisnext-leveldinnerrollwreath,spreadgarlic-herbbutteronthehand-mixeddough,braiditintoawreath,andgivetheideaofbreakingbreadawholenewmeaning.Swipethegalleryforthestep-by-stepguidetomakingthisdecorativeanddeliciousbreadwreathathome.Plus,checkouttherecipefeaturedinourDecemberissueatthelinkinbio.📷: recipeby: foodstylingby: propstylingby: ",3 DAYS AGO,post,60.0,  @chrisrsimpson @sarahcarey1 @laurarege @suzie_myers 3d
15319.0," marthastewart Verified InthisclassicclipfromtheMarthaShow, and showushowtoprepareturkeybreastthat'sperfectforasmallergatheringthisThanksgiving.Getthefullrecipeatthelinkinbio!👆🏼 3d",3 DAYS AGO,post,143.0,  @marthastewart48 @emeril
