likes,about_post,date,type,comments,tagged_names
2617283.0, milliebobbybrown Verified mumwastakingtoolong...shopping!sowedidaminiphotoshoot🎀 3d,3 DAYS AGO,post,7134.0, 
3161473.0, milliebobbybrown Verified feelingfestivewith 🤍.florenceholidaykitsnowavailableat    andflorencebymills.com 1w,NOVEMBER 10,post,19700.0,"  @florencebymills @ultabeauty, @beautybaycom, @douglas_cosmetics, @asos"
3905342.0, milliebobbybrown Verified hieveryone!wantedtocheckinwithyouallandmakesureeveryoneisok.plsdon'tforgettowearamask:)staysafebecausethereisstillavirusouttherethatwehavetogetundercontrol!!Iurgeyoutobesmartandbecompassionateforothers!🌨❄🤍 2w,NOVEMBER 9,post,22900.0, 
4659062.0, milliebobbybrown Verified happystrangerthingsday!thanksforthebestyearseverfilledwithloveandsupport.weappreciateitmorethanuknow!❤ 2w,NOVEMBER 6,post,12100.0, 
2739098.0," milliebobbybrown Verified Myrules,yourway–with Whichonesdoyouliveyourlifeby?#LetsVogue#MBBxVogueEyewear#VogueEyewearpartner 3w",OCTOBER 30,post,11700.0,  @vogueeyewear.
2973256.0, milliebobbybrown Verified missmybeautifulteam🤍   ,OCTOBER 29,post,7756.0,  @kdeenihan @bridgetbragerhair @tcarterphillips 3w
5209605.0, milliebobbybrown Verified notevenHalloweenyetandourtreeisup👼🤍 4w,OCTOBER 23,post,9294.0, 
1570176.0," milliebobbybrown Verified Thankstothe76millionpeoplearoundtheworldwhohavefalleninlovewithEnolaHolmes!Sheisafeistyone,yes,butEnolafightsforthegreatergood,isn’tafraidtousehervoiceandtakeaction,shesayswhatshemeansandmeetsachallengeheadon.Sendingallmylove,respectandappreciationtothosewhohaveembracedtheEnolathatlivesinusall,especiallytheyounggirlwarriorsoutthere!Iseeyou!“Thefutureisuptous!”❤️🙏🏻🙌🏻 #enolaholmes 4w",OCTOBER 21,post,4776.0,  @netflixfilm
1428238.0," milliebobbybrown Verified Asa GoodwillAmbassador,I'mexcitedtolaunchtheillustrationchallengeforWorldChildren'sDay(Nov20th),whereyoucandrawyourvisionfortheworldyouwanttobuildafterCOVID-19.  CheckoutsomeofthefantasticillustrationscreatedbytheseyoungpeopleMashid(22fromIran),Vibha(23fromIndia),Vania(20fromIndonesia)andFawas(14fromNigeria).Theirworkreimaginesworldswithoutfear,withgreenfutures,inclusivelearningandrealizinggirls’potential.  Ifyouare13-24yearsold,shareyourowndrawinginyourInstagramaccount,usingthehashtag#voicesofyouth.Inthecaption,explainwhatinspiredyoutocreatethisdrawing,whythisissuematterstoyouorhowyoureimagineabetterworldforchildren.Learnmore thisisaboutyourvisionforthefutureandnothowgoodyouareatdrawing.Everyonecantakepart! 4w",OCTOBER 20,post,12700.0,"  @UNICEF @voicesofyouth,"
5368291.0, milliebobbybrown Verified readyforfallsweatersandchucks🍂 5w,OCTOBER 18,post,16900.0, 
3938288.0, milliebobbybrown Verified bestfriendmeetbestfriend💓 5w,OCTOBER 16,post,5796.0, 
