likes,about_post,date,type,comments,tagged_names
8259.0," minimalistbaker Verified Let’sbereal.It’sallaboutthesides😏.Happythanksgiving,friends! 13h",13 HOURS AGO,post,28.0, 
7728.0," minimalistbaker Verified Ifyourstomachisfulltoday,butyoursweettoothstillcalls😋wehavejustthetreattogiveyouanenergyboost:No-BakeCarrotCakeBites!🥕🍰They'renaturallysweetenedandrequirejust30minutes,9ingredients,and1foodprocessortomake!🧡//LINKinbiofortherecipe#plantbased#cakebites#carrotcake⁠⠀ 17h",17 HOURS AGO,post,145.0, 
11719.0," minimalistbaker Verified NEW!🚨ThanksgivingisTOMORROW,butevenifyouhaven'tplannedyourmealyet,there'sstilltime!Letour20Last-MinuteThanksgivingrecipesguideyouthroughappetizers🥜,sides🍠,salads🥗,mains🥘,anddesserts🥧.Plus,everythingonthislistis#plantbased!//LINKinbiofortheround-up#thanksgiving#recipes 1d",1 DAY AGO,post,85.0, 
17230.0," minimalistbaker Verified TriedourRoastedButternutSquashSoupyet?🧡It'salreadyaFANFAVORITE!10ingredients,SUPERcreamy,easytomake,andakickofspice.🌶️Swoon!😍Ifyoutryit,leaveacommentandrating!//LINKinbiofortherecipe#plantbased#butternut#soup 2d",2 DAYS AGO,post,161.0, 
9115.0," minimalistbaker Verified NEW!💫TheInstantPot101GUIDEishere!🎉🤓📚Wediveintothepros&cons,whichsizetobuy,howtosafelycookwithit,tipsforcleaning,aFREEdownloadablecooktimeschart🙌🏼,+more!⭐🌈//LINKinbioforallthedetails#instantpot#cookingtips 4d",4 DAYS AGO,post,202.0, 
7407.0, minimalistbaker Verified Needaweekendpick-me-up!?☀️We'vegoteverythingyouneedtoknowtomakeaperfectcupofPour-OverCoffee!☕We'vetestedthismethodthousandsoftimesandit'sPERFECT!🎉🙌🏼//LINKinbioforallourbesttipsandtricks#coffee#pourover#howto 5d,5 DAYS AGO,post,100.0, 
17222.0," minimalistbaker Verified It'sHERE🙌🏼🍂!TheULTIMATEThanksgivingRecipeRound-up!⏰Timetofinalizethatmenu—andourround-upof150+easy,deliciousThanksgivingRecipesisheretohelp!😉Fromappstomainstodesserts🥧,you'llfindeverythingyouneedhere🎉//LINKinbioforthefulllist!#thanksgiving#recipes⁠⠀ 6d",6 DAYS AGO,post,73.0, 
12406.0," minimalistbaker Verified EasyPan-RoasedVegetablesarethesidedishthatcandoitALL!🏆We'vegottipsgaloreforgettingyourveggiesperfectlytender☁️,seasoningthemsotheflavorspop💥,andpairingthemwiththeperfectmaindish👯//LINKinbioforallthedetails!#plantbased#veggies#sides 1w",7 DAYS AGO,post,65.0, 
14991.0," minimalistbaker Verified IsthereanythingcuterthanMiniVeganPumpkinPies?!🎃🥧Bitethroughtheflakycoconutoilcrusttoreachthenaturallysweetenedandperfectlyspicedpumpkininside!😋Plus,only10INGREDIENTSrequired!//LINKinbiofortherecipe#plantbased#pumpkinpie#thanksgiving 1w",NOVEMBER 18,post,51.0, 
9143.0," minimalistbaker Verified LeaningintoALLTHESQUASHrightnow?🙋‍♀️🧡We'vegotyoucoveredwiththese26Plant-BasedWinterSquashRecipes!🎉Thinkenchiladas,cozysoups,hummus,andMORE!//LINKinbioforthefullroundup#plantbased#squash#butternut 1w",NOVEMBER 16,post,206.0, 
7856.0," minimalistbaker Verified WeekendbreakfastINSPO💫:VeganScrambledEggs!🍳Thisfluffy,wholesomebreakfastswapsinmungbeansfor🥚,andisversatileenoughforyourfavoriteomelet,frittata,orscramble!🆒//LINKinbiofortherecipe#plantbased#scrambledeggs#breakfast 1w",NOVEMBER 15,post,59.0, 
13400.0," minimalistbaker Verified ForYourThanksgivingConsideration🍂:VeganGarlicMashedCauliflower🏆Just6INGREDIENTSrequiredforthiscreamy,garlicky,buttery,PERFECTside!//LINKinbiofortherecipe#plantbased#cauliflower 1w",NOVEMBER 13,post,189.0, 
6035.0," minimalistbaker Verified Needsomebird-roastingpracticebeforeThanksgivingarrives?🦃GetstartedwithLemon&HerbRoastedChicken!🍋🌿Just1panand6INGREDIENTSrequiredforthissimple,fool-proofrecipe!//LINKinbiotolearnmore#chicken#roast#cookingtips#thanksgiving 2w",NOVEMBER 12,post,52.0, 
6594.0," minimalistbaker Verified Triedour5-MinuteMushroomLatteyet?🍄☕Nutrient-packedmushroompowdersblendwithyourchoiceofcoffeeorcacaotocreateacreamy,perfectlysweetpick-me-up!😋//LINKinbiotolearnmore#plantbased#adaptogenic#latte 2w",NOVEMBER 11,post,154.0, 
21368.0," minimalistbaker Verified It'snotappleseasonunlessyou'vemadeDeepDishAppleCrumblePie!🍎🍏Flakycrust,plentyofcinnamon,nuttytopping=MAJORyum!😋Plus,only1BOWLrequired!//LINKinbiofortherecipe#plantbased#applepie 2w",NOVEMBER 9,post,61.0, 
13684.0," minimalistbaker Verified NEW!🎉We'veroundedup22ComfortingOne-PotMealstousherintheautumn.🥘🍂Acozymealwithlessclean-upafterwards?Signusup!🙋‍♀️Plus,theserecipesareall#plantbased!//LINKinbiofortheround-up!#onepotmeal#onepotmeals 2w",NOVEMBER 7,post,279.0, 
15303.0," minimalistbaker Verified FancyupyourThursdaywithAPPS—maywesuggestourKaleandWhiteBeanArtichokeDip?🌿🧀This#plantbasedtwistonclassicspinach&artichokedipaddsextranutrientsandprotein,anddoesn'tskimpwithcreaminess&savoriness😋Just10INGREDIENTSrequired!//LINKinbiofortherecipe#plantbased#appetizers#dip 3w",NOVEMBER 5,post,348.0, 
21959.0," minimalistbaker Verified QUICKdinnerinspo💫:WhiteBeanKaleSaladwithTahiniDressing🥗!Just30MINUTESrequiredtoputthislemony🍋,herby🌿,garlicky🧄saladonthetable.🏆Don'tforgetthecreamytahinidressing!//LINKinbiofortherecipe!#plantbased#salad 3w",NOVEMBER 5,post,68.0, 
