likes,about_post,date,type,comments,tagged_names
57586.0,"  yourstoryhasinspiredmetopenthisletter.The#BeingSerenaechoesmyexperienceandthatofwomenworldwidewhoeverydaybalancefamilyandpersonalgoals.  IfyouareinIndia,youcancatchBeingSerenaon ",2 DAYS AGO,post,392.0,  @mirzasaniar Verified serenawilliams @discoveryplusin 2d
104965.0, mirzasaniar Verified 🌲🌳🌴#TBT 1w,7 DAYS AGO,post,1146.0, 
287964.0, mirzasaniar Verified ❤️❤️ 1w,NOVEMBER 16,post,924.0, 
249748.0, mirzasaniar Verified Home❤️ 1w,NOVEMBER 16,post,911.0, 
198021.0, mirzasaniar Verified Thankyouallforyourwonderfulwishesandsomuchlove❤️Itrulyfeelblessed..Ihadthemostamazingtimewithfamilyandfriends..andthankyouto fortheamazingsurprise💞 1w,NOVEMBER 16,post,586.0,  @realshoaibmalik
155816.0, mirzasaniar Verified Happybirthdaytomybeautifulmumma❤️foreverluckytobebornonyourbirthdayandgivingyouthebestgiftever😂loveyou 1w,NOVEMBER 15,post,219.0, 
58245.0, mirzasaniar Verified Missbeingamonkey🐒 2w,NOVEMBER 13,post,4791.0, 
172583.0, mirzasaniar Verified 'Ifyouhavenoshadowsthenyouarenotstandinginthelight'-LadyGaga 2w,NOVEMBER 10,post,498.0, 
106326.0, mirzasaniar Verified Thisvibe🏖️🌥️👒 2w,NOVEMBER 8,post,930.0, 
275225.0, mirzasaniar Verified Beachplease🏖️✋🏽 2w,NOVEMBER 7,post,83.0, 
244600.0," mirzasaniar Verified Happybirthdaytothisboywholightsupmyworld..whoismyworldandwhochangedmyworld❤️ Weloveyousomuchmybabyboy..yougiveussomuchunconditionallove,happiness,laughsandcuddlesthatitfillsupourheart..mayAllahguideyouandgiveyoueverythingyouwishforever.. Weloveyoumorethananythingoranyoneinthisworld❤️ ",OCTOBER 30,post,224.0,  @izhaan.mirzamalik 4w
285365.0, mirzasaniar Verified Perfectafternoonwalkswithmy❤️ ,OCTOBER 15,post,352.0,  @izhaan.mirzamalik 6w
296031.0, mirzasaniar Verified ThisismeposingtoactlikeIamnotposingwhenIamactuallyposing!!rareoccasionIactuallyputsomelipstickon...🤷🏽‍♀️ 7w,OCTOBER 2,post,1002.0, 
251474.0, mirzasaniar Verified 🌸🌺💞 9w,SEPTEMBER 22,post,794.0, 
198257.0, mirzasaniar Verified Sun✅ Water✅ Smile✅ 9w,SEPTEMBER 20,post,135.0, 
341617.0, mirzasaniar Verified 🏡 10w,SEPTEMBER 17,post,598.0, 
185879.0, mirzasaniar Verified Perfectmorningswithmy❤️ ,SEPTEMBER 15,post,693.0,  @izhaan.mirzamalik 10w
199594.0, mirzasaniar Verified जस्टलाइकथाट👀 12w,AUGUST 29,post,886.0, 
285117.0," mirzasaniar Verified Youarepartofme,mylittleone❤️🤱🏽#ourwalksandconversations💞 ",AUGUST 26,post,301.0,  @izhaan.mirzamalik 13w
147257.0, mirzasaniar Verified फार्मवाइब्ज़!!#Hippyvibes 📸 ,AUGUST 24,post,491.0,  @digitaldiarybyzoya 13w
