likes,about_post,date,type,comments,tagged_names
7296.0,"  oftheTsleilWaututhFirstNationandTulaliptribedrawsinthehazytendrilsofsmokeduringacleansingceremonyinhercommunity’swatchhouse.TruechangestartswithsupportingouryoungleaderstoguideusintoafuturewhereIndigenousvoicesarecelebratedandthescarsthatspanoverfartoomanygenerationscanbegintoheal.Todayisadayofthanks,butitisalsoadayofmourningformany.IwanttotakeamomenttohonortheIndigenousleadersandadvocatesIhavehadtheincredibleprivilegeofworkingwithovertheyearsaswellasthefamiliesandcommunitiesofFirstNations,NativeAmericans,andallIndigenouspeople.AndIespeciallywanttohonortheIndigenouswomenwhoareleadingthewaytowardsafuturewhereallIndigenous,Black,andBrownvoicesareempoweredandrising. 17h",17 HOURS AGO,post,26.0,  @mitty Verified KayahGeorge
19472.0,"  wasbornwhen andIwantedourphotographsandvisualcontenttodomoreforourplanet.Weknewthatifwecouldonlyjustshareourexperienceswithothersasiftheytoohadlookedintothetrustingeyesofaloneseawolforsharedahumblingdivewithapodoforcas,wecouldmoveanentirenetworkofpeopletoactionforourocean.Weassembledourteamandsettoworktobringthestoriesoftheoceantoallofyou.Theresponsewasastounding.Allacrosstheworld,adeafeningsymphonyofvoicesforchangeandadvocacyroseinsupportofourwork.Whatstartedastwopeoplehopingtoleavetheworldalittlebetterthanwhenwefounditexplodedintothousandsofpeoplewhosharedthesamedream.Sointhespiritofthankfulness,Iwanttothankallofyouforyourconviction,strength,andpassion.Thelegacyofourseatoday,fromthecoralkingdomsofTimor-LestetotheprotectedfjordsofLofoten,isjustasmuchyoursasitisours.Wewouldneverhavemadeitthisfarwithoutyou. 21h",21 HOURS AGO,post,175.0,  @mitty Verified sealegacy @paulnicklen
4650.0," mitty Verified Wehaveawinner!ThisphotoofaSamíreindeerherderwasmadebythewinnerofthe ZV-1camera. isacommunity-basedconservationistwhoseimagesandprofoundwritingshinealightonthevoicesofmarginalizedcommunitiesacrosstheworld.Iamsopleasedthatthispowerfulstorytellingtoolisgoingtosomeonesodedicatedtothecauseofindigenousknowledgeandsovereignty.Congratulations,Emmie!IamalsodonatingmyownZV-1cameratothe aninspiringpageofactionledbythetalentedWet'suwet'encontentcreatorCasTsakëwhohasbeenusingvisualstorytellingtoopposeoilpipelinesandinjusticesthroughWet'suwet'enterritoryinCanada.YoucanhelpCasupliftthevoicesofFirstNationsandIndigenouscommunitiesbysharinganddonatingtotheGoFundMelinkedinmybio.  Thankyou formakingthispossibleandthankyoutoeveryonewhoparticipated!Itwassoincrediblyheartwarmingtoreadthroughallofyourdreamsandplansasvisualcreators.  //Wordsby “‘Timehereisrunningshort.Wehaveabouttwodecadesbeforereindeerherdingwillbeextinct.Inonecupthereisourcultureandintheothercupthere’smoney-butIfeellikeyoucan’tputavalueoncultureuntilitisgone.Wedon’twantmoneyfromthegovernment,wejustwanttobereindeerherdersthesameasourancestorshavebeenforthousandsofyears.’Thisisaportraitof,andquoteby,atenthgenerationSámireindeerherderandmygoodfriend.Heandmanyotherpeopleinmarginalizedandindigenouscommuntiiesaorundtheworldareconcernedaboutprotectingtheirfuturesandancestrallands.Thesevoicesareoftenunderrepresentedandnotseenastheagentsforchangeinthefightforenvironmentalconservation,butratherashelplessvictims.Ihavebeenprivilegedtoworkwith,andlistento,friendsinindigenouscommunitiesaroundtheworldwhoareattheforefrontofthefighttoprotecttheenvironmentandwhosewordsandstrengthplayanintegralroleinthisprotection.MarginalizedcommunitieslikemySámifriend'saredisproportionatelyaffectedbutareuniquelydeterminedtoperservere 1d",1 DAY AGO,post,354.0,  @sonyalpha @emmieshukla @Wetsuweten_Checkpoint; @sonyalpha @emmieshukla
18017.0," mitty Verified Formostofus,itishardtoevenknowwhatahealthycorallookslikeanymore.IwassurprisedtofindonelastsurvivorinthisdesolatestretchofcoastlineofftheislandofMoorea.Thereisnoquestionthatboththeoceanandthecryosphere(afancywordtodescribethefrozenportionsofourplanet)arecrucialformitigatingthe#climatecrisis.Foryears,theoceanhasabsorbedmassiveamountsofheatcreatedbyhumancarbonemissions,keepingourearthcooler,butatagreatcost.Carbonabsorptionhasincreasedtheacidityofourocean,whichnotonlymakesitmoredifficultforourcoralreefstorecoverfrombleachingevents,butitalsoinhibitstheirabilitytosurvive.Thishasdangerousimplicationsforthefutureofmarinediversityandcoastalcommunityprotection.Healthyreefsactasabufferbetweenshorelinesandstorms,shieldingcommunitiesandsavinglivesandpropertyfromdamageofwavesandfloods.Asthe#climatecrisisintensifies,coastalcommunitieswillgetpummeledbymorefrequentandmorepowerfulstorms.Thisdoesn'thavetobeourfuture.Wearen'tpowerless.Ifwecandramaticallycurbourcarbonemissions,wewillgiveouroceanachancetorecover.Clickthelinkinmybiotobecomeapartofthe movementandfindouthowyoucanhelpcoralreefsacrosstheworld.#Ocean#Conservation#Coral#ClimateJustice 1d",1 DAY AGO,post,95.0,  @OnlyOne
13274.0," mitty Verified Todayistheday!SeaLegacy1isfinallyembarkingonitsjourneyaroundtheworldtobringthestoriesofouroceanhometoallofyouandcreatealastinglegacyofmarineconservationandoceanleadership.Iamsoproudandgratefultoourdedicatedteammemberswhohavespentweekshelpingusprepareforthelongjourneyahead.Thisyearwe’refacingunparalleledchallengesaswecontinuetoworktoprotectandreplenishcriticalmarinehabitatsthroughcommunity-basedinitiatives,radicalcollaboration,andpowerfulstorytelling.Thejourneyaheadwon’tbeeasy,but ourteam ourfriends andIarefullypreparedtodowhateverittakestokeepouroceanthriving.Andmostimportantly,wehavethesupportofallofyou;ournetworkoffellowoceanleadersandadvocates.YourvoicesforchangecontinuetofilloursailsandIamsoincrediblygratefultobeabletosharethisnewchapterwitheveryoneofyou. 2d",2 DAYS AGO,post,195.0,"  @PaulNicklen, @SeaLegacy, @OnlyOne,"
25733.0," mitty Verified Aglimpsebehindthesceneswhenwildlifedecidestofieldtestyourcameraforyou.WhenI’mdocumentinganimals,Itrytodoeverythinginmypowertoblendintotheenvironmentandnotdisturbthem.Butthereisn’tmuchyoucandowhenanimalsdecidetovisityou.Withitstalonssecurelylatchedaroundmyflash,IwatchedthisJohnnyrooktrytodecideifmycamerawasedible.Thesebirdsofpreyarecleverthievesandrelentlessintruders,drivenbyaninsatiablecuriosityfortheworldaroundthem.Ifyouleaveanythinglyingaround,theywillgothroughitinsearchoffood.Ifyouhappentoleaveadoororawindowopen,youbetterbereadytofindamesswhenyoureturn.Theyareascleverastheyareexasperatingandhaveprovidedmanyphotographerswithcountlesshoursofamusement,especiallywhentheybatheinthedirt.#BirdsofPrey#bts  #alphauniverse 3d",3 DAYS AGO,post,98.0,  @sonyalpha @sony
24423.0," mitty Verified “ISeeYou”/InthelushmountainsofRwanda'sVolcanoesNationalParkintheVirungaMountains,Itrekkedquietlywith andourgroupofrangersandguidesthroughthedenseforests.Steamrosefromthemountainslopesandclungtotheundersidesofleavesindroplets.Wehadspentdaystryingtocatchaglimpseofalocalpopulationofmountaingorillaswithnoluck.Butonourlastdayofhiking,wefinallystumbledacrossasleepyfamilyhidingdeepinthebushes.Icreptcloserandlaughedasthisbabygorilla,withoutchangingposition,trainedhiswarmeyesonmeandmeltedmyheart.Thehopethatshoneinhisbrightlittlefacewasthankstothetirelesseffortsoflocalrangersandconservationistswhoprotecthisfamilyintheirnaturalhabitatthroughthepracticeofcarefullymonitoredecotourism.ThisimageremindsmeofthekindofworldwecouldhaveifwelearntoworkwiththenaturalworldtoprotectitswildheartandispartofmynewfineartseriesRegeneration.Topurchasethisprintorviewtherestofmyfineartportfolio,clickthelinkinmybio. 4d",4 DAYS AGO,post,99.0,  @PaulNicklen
6953.0," mitty Verified Onceyouarepartofthe family,youbecomeforeverfamily.Fromlefttoright, wasoneofourfirstemployees(ca.2016-17), cameasaninternin2018andeventuallybecame2ndcamera. isourcurrentfilmandphotoassistant.Allthreeofthem(alongwithasmallarmyoflocaltalentedpeople)haveconvergedtohelp andIgetthe#sealegacy1readytosailoffoffinserviceofoceanconservation.Oneofourmostbeloveddonorsisalsopitchinginforthisadventureandhehasofferedtomatchupto$60,000USindonations.IfyouareInterestdindonatingtohaveyourcontributionmatched,pleaseDMmeandIwillconnectyoutoourofficefortaxdeductiblereceipt.ThisMondaywesailofffromtheshoresoftheChesapeakeBayandwillbeinTheBahamasforthenextsixmonthsfilmingstoriesforourpartnersat     andmanyothers.Followusandjoinourexpeditiontorestorehealthandabundancetoouroceans!!#adventure#gratitude#alittlescared ",5 DAYS AGO,post,80.0,  @sealegacy @derekrushton_ @kyle.roepke @johnkelseyphoto @paulnicklen @onlyone @oceanschoolnow @beneaththewaves @breef242 @ceibahamas @sheltondupreez 5d
29131.0," mitty Verified Thefirstphotoinmynewfineartseries""Regeneration""isfromoneofmyfirstNationalGeographicassignmentsinMakaha,Hawaii.There,IphotographedthesethreeyoungHawaiianwomenstandingontheshoresofthesamewaterstheirfamilieshavesurfedforgenerations.Theygazedoutatthehorizon,anticipatingtherisingwaveswiththeirboardsclutchedbeneaththeirarmsandchattedtooneanotherovertheroarofthesurf.Ithoughtofallouryoungleadersacrosstheworldwhoarelookingtowardsthefutureandhowit'suptoustotakeactiontodaytocreateabetterworldforthemtomorrow.Thisphotographisavailableasalimitededitionprintforpurchase.Tolearnmoreandviewtherestofmyfineartportfolio,clickthelinkinmybio. 5d",5 DAYS AGO,post,268.0, 
25714.0," mitty Verified “Wearenotanoilnation.Weareanoceannation.”activistsspearheadedbyoceanleaders   and areraisingtheirvoicestostopoildrillingintheirbelovedislands.TheBahamasarehometocrystalclearwatersteemingwithbiodiversitythatsupportthenation’sfishingeconomy,tourism,andcriticalmarinehabitats.TodaytheBahamiangovernmenthassecuredalicenseforoffshoredrillinginaregionstillreelingfromtheDeepwaterHorizonoilspill.We’velearnedthehardwaythatallittakesisonemistaketodestroythelivelihoodsofthousands,crippleanentireeconomy,andturnbluewaterstoblack.TimeshavebeenespeciallyhardontheBahamasinthelastfewyears.Butturningtooilandriskingthehealthandsecurityofanentirecountryanditssurroundingnationsisnottheanswer.SignthepetitionlinkedinmybioandstandwithusinurgingPrimeMinisterMinnis toceaseallplansforoildrilling. 6d",6 DAYS AGO,post,359.0,  @AlannahVellacott @LaurenAritchie @NatureBoyNiel @CatIslandKita @OPMTheBahamas
