likes,about_post,date,type,comments,tagged_names
2410306.0, nehakakkar Verified Waitingfor#ShonaShonaSongbelike!😝 #NehuDiaries 3d,3 DAYS AGO,post,8704.0, 
2067921.0, nehakakkar Verified Funatbreakfasttablewith   Look:StyledbyMe🥰  #NehuPreet 1w,NOVEMBER 18,post,9589.0,  @rohanpreetsingh @🥳🥰😇  addressboulevard @addresshotels  Our
2315047.0, nehakakkar Verified Thankyou  🥰😘  OurLook:StyledbyMe🥰  #NehuPreet 1w,NOVEMBER 18,post,8701.0,  @addressboulevard @addresshotels
2326891.0, nehakakkar Verified Thankyou 😍🙌🏼 Loveyouthemost ♥️🤴🏻 BestHoneymoon🙏🏼  #NehuPreet 1w,NOVEMBER 17,post,6421.0,  @atlantisthepalm @rohanpreetsingh
2651587.0, nehakakkar Verified HoneymoonDiaries!!  🤴🏻♥️  #NehuPreet 1w,NOVEMBER 17,post,9469.0,  @♥️🥰😇  atlantisthepalm @🤗 rohanpreetsingh
1819221.0," nehakakkar Verified HappyBhaiDoojtotheBestBrother&BestSisterintheworld!!!♥️🙌🏼Theway DidiisholdingMeand Bhaiyu,shehasthesamekindofloveforus,infactmore.LoveYouSonuDidiandTonyBhaiyu🥰🤗😇🙏🏼 P.S.Recognisethe#ChotiNehu?🙈  #KakkarSiblings#KakkarFamily 1w",NOVEMBER 16,post,5953.0,  @sonukakkarofficial @tonykakkar
1700906.0," nehakakkar Verified MeritarafseasmallPostDiwaliGiftformyNehearts🥰andallofyouonInstagram!🤗Presenting#FeelItReelItAnthem,atrackfullofMastiNaachandBeats,madeespeciallyaapkeliye,meresaath !🤗GocreateyourReelslikeIdid-can’twaittoseeallyourReelswithmysongwith#FeelItReelIt!🥳  #HappyDiwali#DoYourThing#FeelitReelit,#FeelkaroReelkaro 1w",NOVEMBER 15,post,10400.0,  @nakashaziz
2818474.0, nehakakkar Verified OurFirstDiwaliTogetherandMostSpecialone.🙌🏼HappyDiwaliEveryone!!!Godblessyouall♥️🤗😇🙏🏼  #NehuPreet 1w,NOVEMBER 14,post,6379.0, 
2100013.0,"  andIwishyouandyourlovedonesaveryhappyDiwali!!♥️🤗  MaytheFestivaloflightsaboundwithnewbeginnings,loveandhappinessprofound.🙏🏼  #ThisIsYourTime#Tissot#NehuLovesTissot#Diwali2020  Outfitby  by   ",NOVEMBER 14,post,5715.0,  @nehakakkar Verified Tissot_official @shreyaagarwallabel Jewellery: @malliram_jewelleryhouse Styled @stylebysugandhasood Makeup: @ritikavatsmakeupandhair Hair: @vibhagusain 1w
2333948.0," nehakakkar Verified HelloNehearts!😘  IamallsetforDiwalicelebrations.Iknowit'sadayearly,butI'mreallyexcited!!!🥰  ThisDiwaliisthemostspecialonebecauseI'llbespendingitwithmymostspecialperson.Forme,thisDiwaliisallaboutlovedones,tastysweetsandmyfavourite#GIVAJewellery hopeyou'llbecelebratingitdhoomdhaamsetoo! Stillhaven'tgotyourlookinplace?Offo,it'salreadyDiwalieve!SoquicklycheckouttheNehaKakkarCollectioncreatedbyme.♥️  #NehaKakkarCollection#GivaDiva#NehaKakkar#GivaJewellery 2w",NOVEMBER 13,post,9267.0,  @(giva.co)!!  I
