likes,about_post,date,type,comments,tagged_names
10957.0," newdarlings Coffee!It’stheonlythinggettingusthroughthesecrazyhecticdayslately.Blackcoffeeorespressoismyfavorite.😋Whataboutyou?☕️Sharingsomegiftideasforthecoffeeloverontheblogtoday:alltheprettycoffeeaccessories,ourfavoritecoffeemakersandmore. . Phototakenatthebeautiful wearing 🧡 4d",4 DAYS AGO,post,109.0,"  @thejoshuatreehouse, @esby_apparel"
9339.0," newdarlings Wehavebeenlookingforwardtotheholidayssomuch!💫🌲Itfeelsgoodtohavesomethingtocelebrateandcontinuesometraditionsasafamilyofthree,likewearingthesecuteMatchingFamilyslippersfrom Nomomentistoosmallandanytimetogetherlatelyfeelsspecial.🥰 . Ollieisgrowingatarapidpace,andwejustwanttosoakineverymomentwithhim.Hehasbeenwearinghisbabybearslippersanddraggingaroundhislittlebearallaroundthehouselately,🐻🧡soofcourseweneededmatchingmamaandpapabearonestoo. . LikeIsaid,nothingfeelstoosmalltocelebratethesedays.IknowI’mgoingtolookback,andmyheartwillacheforthetimehefitintothesebabybearslipperswhilewereadfestivebookstogether.🙈😭Man,theholidaysmakemesoemotional.😉Whataresomeofyourfamilytraditions?#DFPartner 5d",5 DAYS AGO,post,56.0,  @dearfoams!
2720.0, newdarlings OneSweaterThreeWayswith Stylingtherecycledcashmerefisherman#jennikaynesweaterforfall.🍁🥰Whichlookisyourfavorite?  Outfit1: Sweater:     2: Sweater:    3: Sweater: old    RichardSwift-“LadyLuck”  #jennikaynepartner#stylingvideo#fallstyle#onesweaterthreeways#oootdfashion 6d,6 DAYS AGO,post,47.0,  @jennikayne. @jennikayne Pants: @esby_apparel Bag: @chloe Boots: @dolcevita Hat: @gigipip  Outfit @jennikayne Jeans: @esby_apparel Hat: @gigipip Mules: @jennikayne  Outfit @jennikayne Skirt: @madewell Bag: @polene_paris Boots: @sezane Hat: @gigipip  🎶:
7865.0," newdarlings It’sabouttolooklikeChristmasinourhousesoIfigureditwasnowornevertosharesomeofmyfavoritefallfamilyphotos.🍁🙈Olliewassohappythisday.ItwasthedaybeforemybirthdayandIrememberdrivinghomethinkingitwasthebestbirthdaygiftpossible.🥰Thisseasonoflifehaslookedsodifferentthanweallcouldhaveimagined,buttheselittlememoriescreateabigimpact.Iknowgoingintotheholidayseason,we’llfindsmallwaystomakethingsfeelspecialasafamilyofthree.🧡 1w",NOVEMBER 15,post,89.0, 
9118.0, newdarlings I’llberighthereallweekend.💫stayingcozyinthis set+sweater.🐻youcanusecodeNEWDARLINGS15for15%off.I’lladdalinkinigstories. . Alsoswipe👉🏼hairdownorhairup?What’syourfav?☺️ . #ozmaofcalifornia#sustainablefashion#cornersofmyhome#neutralhome 1w,NOVEMBER 14,post,85.0,  @ozma_of_california
7507.0," newdarlings Anearlymorningwakeupcallsforalargecupofcoffee,puffysleevesandsomelipstickforgoodmeasure.😉#adLet’spowerthrough! VertuoCoffeeMakerhasbeencominginhandythesedays,betweenelectionchaos,gearingupforholidayprojects,andkeepingupwithOllie,I’vedefinitelybeenenjoyingmorecoffeethanusual.LovethatIcangetahighqualitycupfromhomethesedaysanditmakesthehousesmellsogoodwhileit’sbrewing.Olliehasstartedsaying""vee-vee”forcoffeeandyoucanbethe’sbeensayingitalotthisweek.Wonderwhy?😴😆#nespresso#coffeetime 1w",NOVEMBER 13,post,82.0,  @nespressoUSA’s
12123.0," newdarlings Whenlifehandsyoulemons,makesureyouhaveyourbestfriendbyyourside.🥰🍋2020hasbeenonehellofyear,(foreveryone).Personally,ithaschangedusinwaysthatwenevercouldhaveimagined.We’vehadtorethinkalot,changethewaywework,thewayweparent,howweunplugfrom“itall”,andthewaywemaketimeforeachother.Thankfulfortheselittlelessons.It’sareminderthatwe’reconstantlyevolving,changing,andgrowingandthat’stheonlywaytotrulyconnectandfeelitall.🧡 1w",NOVEMBER 12,post,64.0, 
5105.0," newdarlings Throwbacktoshootingfor inthedesertwithmylittlebabyafewmonthsback.Itfeelslikehehasgrownsomuchsincethen.Wehavespentsomanymorningsattheparkandontrailswiththislittlemanstrappedtomychestandhewouldalwaysbesocontent!I’mgoingtomissitashegrows.🧡He’srunningaroundsoquicklythesedays.Ithinkourfutureadventuresmightinvolvehimonmybackfromnowon.😉Man-it’struewhattheysay,eachstagegoessoquickly. . Checkoutthenewcollection+colorson#ergobaby’ssite.I’lllinktothisspecificoneinIGstories.😊 #sponsored#babywearing#motherhoodunplugged 1w",NOVEMBER 11,post,79.0,  @ergobaby
5494.0," newdarlings Aging:it’ssomethingwe’renotreallytaughtorshowntowelcomegraciouslyaswomen.It’ssomethingwe’retaughttofight,toprevent,tohideaseachyearpasses.I’mstillinmyearlythirtiesandeventhoughIcouldn’tevenrememberhowoldIwasturningthisyear,(thanksforkindlykeepingtrackforme,Rob😉),IcandefinitelycountonmorethanonehandtheamountoftimespeopletoldmeIshouldbedoingsomethingbecauseofmyage,or“timewasrunningout”,orthe“windowofopportunitywasclosing”… . Sometimes,asamom,agingfeelslikeit’shappeningmorerapidly:I'mspreadquitethinsomedays.Agingusedtoscaretheheckoutofme,butnowit’ssomethingIwelcome.IthinkOliverhasreallyhelpedmewiththat.Becomingamomhasallowedmetoacceptmyselffully,beproudofmyselfmorevsfocusingonshortcomings,andfeelfreer/moreconfidenttosharemytrueself. . EventhoughI’mmoretiredthanIeverhavebeenandjugglingmorethanIthoughtIcouldhandle,Isomehowfeellikeallofthisisshapingmeintoastrongerwoman.Irecentlyhadachataboutagingasawoman,withafriend.Thepressurethatisputonustoreachcertain“milestones""bycertainagesfeelslikecrazytalk.However,lessstressandlessselfdoubtisdefinitelyacommonthemeandI’macceptingitall(includingsomelaughlines)withopenarms.🧡 . #motherhoodunplugged#motherhoodrising#twinningtuesday 1w",NOVEMBER 11,post,38.0, 
5397.0," newdarlings Takingafewmomentstoslowdownandfocusonthegood.Diffusingsomewoodsyscentsfrom forallthecalm,fallvibes.Thislittlecornerismyfavoriteinourroom.💫 . PS:thefirstgiftguideoftheseasonisupontheblog,allaboutselfcarefavorite.Checkitout.YoucanusecodeNEWDARLINGSfor20%off#vitruvi‘ssite.☺️🙌🏼 . #newdarlingsHOME#vitruvipartner #cornersofmyhome#neutralstyle#beigeaesthetic 2w",NOVEMBER 9,post,24.0,  @vitruvi
1257.0, newdarlings Sharingacloserlookatourbuilt-inwallunit/bookcasewithallofourfavoriteceramicsandknickknacks.💫ItmovesprettyquicklysoI’llsharealinktoapastblogpostinourIGstories.  Someartists #homedecor#cornersof 2w,NOVEMBER 9,post,308.0,  @featured: bkbceramics gopishahceramics pfcandleco kativonlehman lucymichel bettinachowpottery hannahgarvin virginiasin__  #newdarlingsHOME
15739.0," newdarlings Livinghistory.🧡Hopehasbeenrestoredforsomanypeopletoday.There’ssomuchworktodo,butthiselectionhasbeenproofthatwhenwecometogether,greatthingshappen.Here’stomovingforwardwithloveandrespectforall.✌🏼#BidenHarris2020 2w",NOVEMBER 8,post,45.0, 
4977.0," newdarlings Tryingtofindmomentsofcalmwhilewewait.It’sbeenacrazyfewdaysandeveryone’sanxietyishigh,butthishasbeenamonumentalweekforourcountry,climateandourfuture.Morevoteshavebeencastinthiselectionthananyotherinhistory,andthat’ssomethingtocelebrate.Morepeoplehavevotedforunity,loveandawarenessthaneverbefore.🧡Holdingontothat. 2w",NOVEMBER 6,post,271.0, 
