likes,about_post,date,type,comments,tagged_names
760630.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽❤️⚽️#Ligue1 17h,17 HOURS AGO,post,5, 
1961926.0, neymarjr Verified UmMaluconopedaço🤪🤟🏽 1d,1 DAY AGO,post,9, 
1310797.0, neymarjr Verified Focus👀 3d,3 DAYS AGO,post,40, 
2180102.0, neymarjr Verified Masche..enhorabuenaportodoloquehizoalfútbol.Eresunfenomenocomojugadorycomopersona.Fueunplacercompartirgrandesmomentoscontigo.Cuídateymuchasuerteporloqueviene👏🏽👏🏽GRACIAS ,4 DAYS AGO,post,4,  @mascherano14 4d
2104256.0, neymarjr Verified Falandocomacrush🤪quemseráo ?🤣🤣 5d,5 DAYS AGO,post,34,  @
2815230.0, neymarjr Verified Oldschoolstill SUEDE. #ForAllTime 1w,NOVEMBER 9,post,37,  @cool. PUMA
2517414.0, neymarjr Verified Recovery🔥 2w,NOVEMBER 5,post,16, 
1653413.0, neymarjr Verified HappyHalloween🎃👻 2w,NOVEMBER 1,post,28, 
1029520.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️❤️#ChampionsLeague 3w,OCTOBER 28,post,23, 
1760485.0, neymarjr Verified 🇹🇷⚽️ 3w,OCTOBER 28,post,26, 
1866791.0, neymarjr Verified 🤩🗼 3w,OCTOBER 26,post,39, 
1882960.0," neymarjr Verified ParabénsEquipe,grandejogo.ALLEZPARIS👏🏽⚽️🙏🏽 3w",OCTOBER 25,post,85, 
932945.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️#Ligue1 3w,OCTOBER 24,post,13, 
2392774.0, neymarjr Verified Ninguémsecomparaati👑 Obrigadoportudoquefezpelofutebol...VidalongaaoREI👑 HappybirthdayKing ,OCTOBER 23,post,45,  @pele 4w
3199455.0," neymarjr Verified hojeéumdosdiasmaisespeciaisquetenhoemminhavida.21/10diade ❤️ Amãesuperheroínaquemeufilhotem,aamigaeparceiraqueeutenho.QuesortenóstemosemDaviLucca😂🤣...Carolétipodepessoaquenãoconseguedisfarçarabsolutamentenada,elatropeçaemqualquercoisaevivesemprecheioderoxo(comodizDavi)🤣😂mastodososqueaconheceAMADEMAIS.Caparabénspeloseudia,vocêmerecetodasascoisasmaislindasdessemundo,eusótenhoateagradecerpeloquefazpelonossofilhoepormim.OBRIGADO!!!Odiaéseumasquemcomemorasomosnósportervocêemnossasvidas.Teamo❤️👊🏽 4w",OCTOBER 22,post,46,  @candantas
1305542.0, neymarjr Verified JustchillingwiththenewKing👑  ,OCTOBER 21,post,25,  @pumafootball  📸 @gilcebola 4w
1157518.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️❤️#ChampionsLeague20/21 4w,OCTOBER 20,post,15, 
2055914.0, neymarjr Verified VamoscomeçarasemanaagradecendoaDeusporquequetenhocertezaquemaisbênçãosvirão.Boasemanaatodos❤️ 4w,OCTOBER 19,post,31, 
2039390.0, neymarjr Verified Training⚽️ 4w,OCTOBER 17,post,109, 
1665581.0, neymarjr Verified Muitofelizdete(RE)encontrarirmão! Queagentesejamuitofelizcomofomossemprequejogamosjuntos!Boasortepratiaqui❤️💙teamo 👑 5w,OCTOBER 15,post,111,  @rafalcantara
1554203.0," neymarjr Verified ❤️❤️❤️ #Repost with omeurespeitoporti !Jogamuito,dáassistência,toca,driblaegoleia.Océuéolimite.Voa,moleque!Quehistórialindavocêestáescrevendo.Umjogadorcompletoecadavezmaismaduro.Craque!Seioquantoaamarelinhaépesadaelidarcomapressãoforadecampo,àsvezes,émaisdesafiadordoqueaprópriabolanopé.Agoramedigavocê:daondeviemos,ondechegamos...quemvainosdizeroqueéimpossível?Sigaconfiandonosseusinstintosporqueotalentoéseueninguémpodetirardevocê.Temmuitorecordeprasuperareassuasmarcaspradeixar.Orgulhodeverumbrasileironotopo! 5w",OCTOBER 15,post,49,  @ronaldo @make_repost ・・・ Todo @neymarjr
1772099.0," neymarjr Verified Carainchadadecansaçoesono..masmuitofeliz,muitofelizmesmo. Doisjogoseduasgrandesvitórias,maisumavezvoltandopracasacheiodeenergiaboaeaprendizado.Parabénsatodanossaequipeecomissão❤️🇧🇷“SouBRASILEIRO,commuitoORGULHO,commuitoAMOR”🎶🎵(essamúsicamearrepiatodo) 5w",OCTOBER 14,post,38, 
2780794.0, neymarjr Verified TodomeurespeitoportiFENÔMENO 👆🏽👉🏽👇🏽☝🏽 5w,OCTOBER 14,post,83,  @ronaldo
1094427.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️#eliminatorias2022 5w,OCTOBER 14,post,82, 
2315413.0, neymarjr Verified Sercriançaéviveremumuniversodebrincadeiraeconhecermundosmaravilhososqueapenasumaimaginaçãoabençoadaécapazdeconceber.  FelizdiadasCrianças❤️😍 5w,OCTOBER 12,post,41, 
3083217.0, neymarjr Verified 🇧🇷👏🏽❤️ 6w,OCTOBER 10,post,25, 
1237695.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽❤️🇧🇷#Eliminatorias2022 6w,OCTOBER 10,post,82, 
1786094.0, neymarjr Verified GIGANTEPORNATUREZA🇧🇷🤩❤️ 6w,OCTOBER 7,post,41, 
1857177.0, neymarjr Verified ⚽️🇧🇷 6w,OCTOBER 6,post,25, 
2342430.0, neymarjr Verified Family❤️ 6w,OCTOBER 5,post,61, 
1474346.0, neymarjr Verified ❤️❤️❤️ 6w,OCTOBER 4,post,33, 
2032832.0, neymarjr Verified BlackLivesMatter✊🏽 6w,OCTOBER 3,post,42, 
983483.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️#Ligue1 7w,OCTOBER 2,post,35, 
1278967.0, neymarjr Verified Checkoutmynewsignaturecollectionby #NJRCapsule#Replay4NJR#CapsuleCollection#ad 7w,OCTOBER 1,post,46,  @replay  #Replayjeans
1103874.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️#Ligue1 7w,SEPTEMBER 27,post,36, 
1780620.0, neymarjr Verified ⚽️ 8w,SEPTEMBER 25,post,23, 
1252378.0, neymarjr Verified Obrigadopelodiadehoje❤️  #pumafootball  📸: ,SEPTEMBER 24,post,40,  @pumafrance @puma @gilcebola 8w
2614014.0,  🐆 8w,SEPTEMBER 21,post,46,  @neymarjr Verified puma
1694270.0, neymarjr Verified saudadedasbagunças❤️TBT 9w,SEPTEMBER 18,post,29, 
1241142.0, neymarjr Verified MaisAmoraoMundo!  MorelovetotheWorld!  #noracism#saynotoracism#racismoaquinão 9w,SEPTEMBER 14,post,99, 
2874261.0, neymarjr Verified I’mveryhappy🤪😁 9w,SEPTEMBER 12,post,38, 
1211567.0, neymarjr Verified 📝Inmyownwords. 📝Usandominhas  #KingIsBack 9w,SEPTEMBER 12,post,29,  @palavras. pumafootball @puma
2492215.0, neymarjr Verified Jantarzincomasminhasmaluquetes❤️andthanksforeverythingbro primeirafotodelassemfotoshop😂🤣😂🤣masjáfaleiquesãolindasdomesmojeito❤️😍 10w,SEPTEMBER 12,post,38,  @mehdicesar  Obs:
1506090.0, neymarjr Verified Likeamodel🤪🔥  ,SEPTEMBER 8,post,58,  @ffashiontv_mag_vn_official alangelati @ilarianiccolini 10w
2504100.0," neymarjr Verified Therewillalwaysbeupsanddowns.Thisispartofthegame. Nomatterwhat,thestoryisyettobewritten.Iamgettingreadyforanintensenewseason. Becauseintensityiswhatmakesuswin. #spiritofthebrave#liveintensely #ad 11w",SEPTEMBER 1,post,94,  @dieselfragrances
1837575.0, neymarjr Verified Squad🤟🏽 11w,AUGUST 31,post,53, 
2177727.0, neymarjr Verified Goodvibes🤙🏽 11w,AUGUST 31,post,28, 
3437912.0, neymarjr Verified Unplacerfenómeno🤙🏽 ,AUGUST 30,post,17,  @aron.piper 11w
2869473.0, neymarjr Verified Sentireisaudadedeencherteusacotododia... Boasorte.Teamo  ,AUGUST 28,post,29,  @❤️⚽️😢 thiagosilva . . . 📸 @nogueirafoto 12w
3280866.0, neymarjr Verified 🤟🏽🤪 12w,AUGUST 28,post,29, 
2824313.0," neymarjr Verified Parabénsacadajogadorestaff..Nãoterminamoscomoqueríamosedesejávamosmasfoiincrívelviveroquevivemos. Agoraérecarregarasenergias,voltarmaisfortesecomamesmavontadedevencer.FoiFODAdemais❤️👏🏽 ALLEZPARIS 12w",AUGUST 26,post,26, 
6267853.0, neymarjr Verified Parabénsmeuamor...9aninhos! EUTEAMODEMAIS❤️❤️ 12w,AUGUST 24,post,28, 
7344586.0," neymarjr Verified Combatiobomcombate,termineiacorrida,guardeiafé. 2Timóteo4:7 12w",AUGUST 24,post,53, 
2255498.0, neymarjr Verified QueDeusnosabençoeenosproteja🙏🏽⚽️#ChampiosLeagueFinal 12w,AUGUST 23,post,64, 
2794598.0, neymarjr Verified Readyfortomorrow⚽️😍🤤😁 12w,AUGUST 23,post,88, 
1735759.0, neymarjr Verified 🙌🏽🙏🏽 13w,AUGUST 22,post,311, 
