likes,about_post,date,type,comments,tagged_names
1759052.0, nickiminaj Verified IfIpermmyhairit’sgonbtouchinmybooty.ShouldIpermityall?Realhairtomatchmyrealbigolghettobooty.Ughlovethisforme🤪 17h,17 HOURS AGO,post,112.0, 
2190119.0, nickiminaj Verified #PinkFriday10YearAnniversarywhat’syourfavefromthatalbum?loveyouguyssomuch.Who’sreadyformyannouncementin45mins????♥️🎀🦄 2d,2 DAYS AGO,post,59.0, 
1900967.0, nickiminaj Verified #PinkFriday10YearAnniversary 3d,3 DAYS AGO,post,58.0, 
1048303.0, nickiminaj Verified Congratulations ♥️#HolyGround#ABetterTime#NaijatotheWORLD!!!!🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬 1w,NOVEMBER 13,post,86.0,  @davido!!!
2656872.0, nickiminaj Verified #Halloqueen 2w,NOVEMBER 3,post,80.0, 
4539136.0, nickiminaj Verified #WhatThatSpeedBoutTHURSDAYNIGHT🚨🚨🚨🚨NBAYOUNGBOYXBARBIEXMIKEWILL👅👅👅🔥🔥🔥💥💥💥⚡️⚡️⚡️☄️ 2w,NOVEMBER 2,post,152.0, 
4957025.0," nickiminaj Verified HappyAnniversary,mylove♥️ 4w",OCTOBER 21,post,57.0, 
2913116.0," nickiminaj Verified ThankyoutoQueenB,Kim&Ye,RiccardoTisci,Winnie,Karol&everyonewhosentwellwishesduringthistime.Itmeanttheworldtome.Iamsograteful&inlovewithmyson.Madlyinlove.Myfavoriteliddoboyinthewholewideworld.🥳🧸🎁🎈 5w",OCTOBER 15,post,76.0, 
941965.0, nickiminaj Verified Midnight#WholeLottaChoppas🚨 ,OCTOBER 15,post,49.0,  @sadababy 5w
2751272.0, nickiminaj Verified Strawberryshortcakehair.Chinesebangs.Witmy2braids.Aye!#MoveYaHipsoutnowlinkinbio🍓 16w,JULY 31,post,26100.0, 
3178689.0," nickiminaj Verified WhileIwasinTrinidadearlierthisyear,Ihadtheworstmorningsicknessofalltime.Didn’tknowmorningsicknesscouldlastalldayeither😩Butnevertheless,thisisoneofthepicsItookb4youcouldseemylilbabybump.🥳🙏 16w",JULY 30,post,47200.0, 
1246262.0, nickiminaj Verified THURSDAY#MoveYaHips  🔥Pre-Savelinkinmybio 16w,JULY 27,post,87000.0,  @asapferg @madeintyo
8032022.0," nickiminaj Verified Andfinally,by#DavidLaChapelle🙏 17w",JULY 20,post,94700.0, 
7471362.0, nickiminaj Verified Love.Marriage.Babycarriage.Overflowingwithexcitement&gratitude.Thankyouallforthewellwishes.💛 17w,JULY 20,post,87100.0, 
